,,,,,,,Playing Time,,,,Performance,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR
1,Damià Abella,es ESP,"DF,MF",Osasuna,31,1982,34,32,"2,821",31.3,0,1,0,0,0,10,1
2,Javier Acuña,py PAR,FW,Osasuna,25,1988,16,3,549,6.1,3,0,3,0,0,2,0
3,Antonio Adán,es ESP,GK,Betis,26,1987,17,17,"1,522",16.9,0,0,0,0,0,1,0
4,Issam El Adoua,ma MAR,DF,Levante,26,1986,18,9,"1,017",11.3,0,0,0,0,0,2,0
5,Adriano,br BRA,"DF,MF",Barcelona,28,1984,26,24,"2,071",23,3,1,3,0,0,8,0
6,Aritz Aduriz,es ESP,FW,Athletic Club,32,1981,31,26,"2,392",26.6,16,8,14,2,3,7,2
7,Ibrahim Afellay,nl NED,"FW,MF",Barcelona,27,1986,1,0,4,0,0,0,0,0,0,0,0
8,Imanol Agirretxe,es ESP,FW,Real Sociedad,26,1987,31,21,"1,942",21.6,8,1,8,0,0,1,0
9,Jordi Alba,es ESP,"DF,MF",Barcelona,24,1989,15,14,"1,240",13.8,0,2,0,0,0,6,1
10,Edu Albácar,es ESP,DF,Elche,33,1979,18,18,"1,586",17.6,3,1,0,3,3,4,0
11,Unai Albizua,es ESP,DF,Athletic Club,24,1989,4,0,55,0.6,0,0,0,0,0,0,0
12,Paco Alcácer,es ESP,FW,Valencia,19,1993,23,17,"1,531",17,6,2,6,0,0,5,0
13,Toby Alderweireld,be BEL,DF,Atlético Madrid,24,1989,12,10,909,10.1,1,0,1,0,0,0,0
14,Alexis,es ESP,DF,Getafe,27,1985,29,27,"2,491",27.7,0,0,0,0,0,15,1
15,Xabi Alonso,es ESP,MF,Real Madrid,31,1981,26,23,"2,021",22.5,0,1,0,0,0,5,0
16,Sergio Álvarez,es ESP,GK,Celta Vigo,26,1986,3,3,270,3,0,0,0,0,0,0,0
17,Víctor Álvarez,es ESP,"DF,MF",Espanyol,20,1993,7,5,300,3.3,0,0,0,0,0,2,1
18,Dani Alves,br BRA,"DF,MF",Barcelona,30,1983,27,26,"2,385",26.5,2,3,2,0,0,6,0
19,Diego Alves,br BRA,GK,Valencia,28,1985,27,27,"2,280",25.3,0,0,0,0,0,3,0
20,Antonio Amaya,es ESP,DF,Betis,30,1983,24,22,"2,027",22.5,1,1,1,0,0,10,1
21,Nordin Amrabat,ma MAR,"FW,MF",Málaga,26,1987,15,15,"1,305",14.5,2,5,1,1,1,1,1
22,Stephan Andersen,dk DEN,GK,Betis,31,1981,7,6,585,6.5,0,0,0,0,0,0,0
23,Bobley Anderson,ci CIV,MF,Málaga,21,1992,8,1,255,2.8,0,1,0,0,0,1,0
24,José Ángel,es ESP,DF,Real Sociedad,23,1989,22,22,"1,906",21.2,1,5,1,0,0,5,0
25,Miguel Ángel Moyá,es ESP,GK,Getafe,29,1984,26,26,"2,307",25.6,0,0,0,0,0,1,0
26,Joan Àngel Román,es ESP,"FW,MF",Villarreal,20,1993,2,1,90,1,0,0,0,0,0,0,0
27,Marcos Angeleri,ar ARG,DF,Málaga,30,1983,26,25,"2,221",24.7,0,1,0,0,0,9,2
28,Brayan Angulo,co COL,"DF,MF",Granada,23,1989,34,33,"2,938",32.6,0,2,0,0,0,5,0
29,Ion Ansotegi,es ESP,DF,Real Sociedad,31,1982,24,18,"1,790",19.9,2,0,2,0,0,1,0
30,José Antonio Caro,es ESP,DF,Betis,20,1993,4,1,171,1.9,0,0,0,0,0,0,0
31,José Antonio Reyes,es ESP,MF,Sevilla,29,1983,21,15,"1,174",13,0,6,0,0,0,5,0
32,Vitorino Antunes,pt POR,DF,Málaga,26,1987,36,36,"3,179",35.3,0,0,0,0,0,12,0
33,Javier Aquino,mx MEX,"DF,MF",Villarreal,23,1990,32,18,"1,848",20.5,1,5,1,0,0,2,0
34,Youssef El-Arabi,ma MAR,FW,Granada,26,1987,36,34,"2,769",30.8,12,2,11,1,2,5,0
35,Daniel Aranzubia,es ESP,GK,Atlético Madrid,33,1979,1,1,84,0.9,0,0,0,0,0,0,1
36,Vinícius Araújo,br BRA,FW,Valencia,20,1993,6,0,105,1.2,0,1,0,0,0,0,0
37,Álvaro Arbeloa,es ESP,DF,Real Madrid,30,1983,18,14,"1,315",14.6,0,0,0,0,0,7,0
38,Anaitz Arbilla,es ESP,DF,Rayo Vallecano,26,1987,30,26,"2,382",26.5,1,0,1,0,0,9,1
39,José Ariel Núñez,py PAR,"FW,MF",Osasuna,24,1988,6,2,252,2.8,0,0,0,0,0,0,0
40,Emiliano Armenteros,ar ARG,MF,Osasuna,27,1986,29,27,"2,268",25.2,4,3,4,0,0,5,0
41,Alejandro Arribas,es ESP,DF,Osasuna,24,1989,36,36,"3,196",35.5,1,1,1,0,0,10,1
42,Álvaro Arroyo,es ESP,DF,Getafe,25,1988,17,16,"1,442",16,1,0,1,0,0,5,0
43,Sergio Asenjo,es ESP,GK,Villarreal,24,1989,35,35,"3,150",35,0,0,0,0,0,1,0
44,Jon Aurtenetxe,es ESP,DF,Celta Vigo,21,1992,20,17,"1,565",17.4,0,2,0,0,0,6,1
45,Ramon Azeez,ng NGA,MF,Almería,20,1992,30,21,"2,054",22.8,2,0,2,0,0,5,0
46,Carlos Bacca,co COL,FW,Sevilla,26,1986,35,27,"2,293",25.5,14,5,13,1,1,4,0
47,Raúl Baena,es ESP,MF,Rayo Vallecano,24,1989,20,15,"1,222",13.6,0,0,0,0,0,4,1
48,Gareth Bale,wls WAL,"FW,MF",Real Madrid,24,1989,27,24,"2,062",22.9,15,12,15,0,0,3,0
49,Mikel Balenziaga,es ESP,DF,Athletic Club,25,1988,31,31,"2,659",29.5,0,0,0,0,0,4,0
50,Éver Banega,ar ARG,MF,Valencia,25,1988,18,14,"1,149",12.8,1,3,0,1,2,6,0
51,Lass Bangoura,gn GUI,"FW,MF",Rayo Vallecano,21,1992,28,19,"1,785",19.8,0,0,0,0,0,4,1
52,Léo Baptistão,br BRA,"FW,MF",Betis,20,1992,17,13,"1,003",11.1,1,1,1,0,0,3,0
53,Léo Baptistão,br BRA,"FW,MF",Atlético Madrid,20,1992,5,1,125,1.4,0,1,0,0,0,0,0
54,Javier Baraja,es ESP,"DF,MF",Valladolid,32,1980,12,6,520,5.8,0,1,0,0,0,4,0
55,Hélder Barbosa,pt POR,"FW,MF",Almería,26,1987,28,7,986,11,1,0,1,0,0,2,0
56,Heinz Barmettler,do DOM,DF,Valladolid,26,1987,1,1,90,1,0,0,0,0,0,0,0
57,Antonio Barragán,es ESP,"DF,MF",Valencia,26,1987,20,17,"1,493",16.6,0,3,0,0,0,3,2
58,David Barral,es ESP,FW,Levante,30,1983,32,25,"2,250",25,7,0,6,1,2,12,0
59,Marc Bartra,es ESP,DF,Barcelona,22,1991,20,17,"1,592",17.7,1,1,1,0,0,3,0
60,Carlos Bellvís,es ESP,DF,Celta Vigo,28,1985,1,1,16,0.2,0,0,0,0,0,0,0
61,Dani Benítez,es ESP,MF,Granada,26,1987,9,4,327,3.6,0,1,0,0,0,1,1
62,Karim Benzema,fr FRA,FW,Real Madrid,25,1987,35,34,"2,733",30.4,17,8,17,0,0,2,0
63,Markel Bergara,es ESP,MF,Real Sociedad,27,1986,32,32,"2,717",30.2,1,2,1,0,0,4,0
64,Zakarya Bergdich,ma MAR,"DF,MF",Valladolid,24,1989,22,19,"1,514",16.8,0,2,0,0,0,6,1
65,Mario Bermejo,es ESP,FW,Celta Vigo,34,1978,13,2,340,3.8,0,0,0,0,0,1,0
66,Juan Bernat,es ESP,"DF,FW",Valencia,20,1993,32,26,"2,493",27.7,1,2,1,0,0,2,0
