,,,,,,,Playing Time,,,,Performance,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR
1,Sabit Abdulai,gh GHA,MF,Getafe,21,1999,3,0,60,0.7,0,0,0,0,0,1,0
2,Marcos Acuña,ar ARG,DF,Sevilla,28,1991,30,26,"2,330",25.9,1,2,1,0,0,5,0
3,Bobby Adekanye,nl NED,"FW,MF",Cádiz,21,1999,3,0,36,0.4,0,0,0,0,0,0,0
4,Martin Agirregabiria,es ESP,"DF,MF",Alavés,24,1996,26,16,"1,558",17.3,0,1,0,0,0,1,0
5,Joseph Aidoo,gh GHA,DF,Celta Vigo,24,1995,25,14,"1,289",14.3,0,0,0,0,0,3,0
6,Carlos Akapo,gq EQG,DF,Cádiz,27,1993,13,10,865,9.6,1,0,1,0,0,3,1
7,Paul Akouokou,ci CIV,MF,Betis,22,1997,10,4,378,4.2,0,0,0,0,0,5,1
8,Jony Álamo,es ESP,MF,Elche,18,2001,1,1,73,0.8,0,0,0,0,0,0,0
9,Jordi Alba,es ESP,DF,Barcelona,31,1989,35,34,"3,025",33.6,3,5,3,0,0,9,0
10,Raúl Albiol,es ESP,DF,Villarreal,34,1985,35,35,"3,115",34.6,0,0,0,0,0,7,0
11,Paco Alcácer,es ESP,FW,Villarreal,26,1993,27,19,"1,544",17.2,6,4,5,1,2,0,0
12,Pedro Alcalá,es ESP,DF,Cádiz,31,1989,13,8,909,10.1,0,0,0,0,0,2,0
13,Rubén Alcaraz,es ESP,MF,Valladolid,29,1991,30,25,"2,165",24.1,1,0,1,0,0,10,0
14,Iván Alejo,es ESP,"MF,FW",Cádiz,25,1995,22,6,827,9.2,1,1,1,0,0,5,0
15,Carles Aleñá,es ESP,"MF,FW",Getafe,22,1998,22,15,"1,366",15.2,2,2,2,0,0,1,0
16,Carles Aleñá,es ESP,MF,Barcelona,22,1998,2,0,48,0.5,0,0,0,0,0,1,0
17,Alfon,es ESP,MF,Celta Vigo,21,1999,2,0,34,0.4,0,0,0,0,0,0,0
18,Sergio Álvarez,es ESP,"MF,DF",Eibar,28,1992,27,17,"1,568",17.4,0,0,0,0,0,3,0
19,Yeray Álvarez,es ESP,DF,Athletic Club,25,1995,23,22,"1,948",21.6,1,0,1,0,0,6,0
20,Emmanuel Amankwaa Akurugu,gh GHA,DF,Getafe,18,2001,1,0,45,0.5,0,0,0,0,0,0,0
21,Jon Ander Garrido,es ESP,MF,Cádiz,30,1989,23,7,800,8.9,0,0,0,0,0,1,0
22,Ángel,es ESP,GK,Granada,18,2002,1,1,90,1,0,0,0,0,0,0,0
23,José Ángel,es ESP,DF,Eibar,30,1989,14,11,901,10,0,0,0,0,0,3,0
24,Miguel Ángel Rubio,es ESP,DF,Valladolid,22,1998,2,1,135,1.5,0,0,0,0,0,0,0
25,José Antonio Miranda,gq EQG,"MF,DF",Getafe,22,1998,4,0,26,0.3,0,0,0,0,0,1,0
26,Aritz Arambarri,es ESP,DF,Real Sociedad,22,1998,1,0,26,0.3,0,0,0,0,0,0,0
27,Mauro Arambarri,uy URU,MF,Getafe,24,1995,34,33,"2,983",33.1,3,0,3,0,0,11,0
28,Néstor Araujo,mx MEX,DF,Celta Vigo,28,1991,33,26,"2,426",27,0,0,0,0,0,5,0
29,Ronald Araújo,uy URU,DF,Barcelona,21,1999,24,16,"1,510",16.8,2,1,2,0,0,3,0
30,Anaitz Arbilla,es ESP,DF,Eibar,33,1987,34,30,"2,807",31.2,0,1,0,0,0,8,0
31,Unai Arietaleanizbeaskoa,es ESP,"FW,MF",Eibar,21,1999,4,0,47,0.5,0,0,0,0,0,1,0
32,Sergio Arribas,es ESP,"FW,DF",Real Madrid,18,2001,8,0,135,1.5,0,0,0,0,0,1,0
33,Sergio Asenjo,es ESP,GK,Villarreal,31,1989,36,36,"3,240",36,0,0,0,0,0,2,0
34,Marco Asensio,es ESP,"FW,MF",Real Madrid,24,1996,35,21,"1,869",20.8,5,2,5,0,0,1,0
