,,,,,,,Playing Time,,,,Performance,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR
1,Aymen Abdennour,tn TUN,DF,Valencia,26,1989,13,9,879,9.8,0,0,0,0,0,4,0
2,Antonio Adán,es ESP,GK,Betis,29,1987,37,37,"3,330",37,0,0,0,0,0,5,0
3,Aritz Aduriz,es ESP,FW,Athletic Club,35,1981,32,27,"2,458",27.3,16,1,11,5,5,8,1
4,Akram Afif,qa QAT,MF,Sporting Gijón,19,1996,9,2,234,2.6,0,0,0,0,0,2,0
5,Rachid Aït-Atmane,dz ALG,MF,Sporting Gijón,23,1993,8,6,492,5.5,0,0,0,0,0,3,0
6,Javi Álamo,es ESP,"FW,MF",Osasuna,27,1988,2,0,13,0.1,0,0,0,0,0,0,0
7,Jordi Alba,es ESP,DF,Barcelona,27,1989,26,21,"1,968",21.9,1,6,1,0,0,4,0
8,Raúl Albentosa,es ESP,DF,La Coruña,27,1988,27,26,"2,335",25.9,1,1,1,0,0,10,1
9,Paco Alcácer,es ESP,FW,Barcelona,22,1993,20,6,858,9.5,6,3,6,0,0,1,0
10,Paco Alcácer,es ESP,FW,Valencia,22,1993,1,1,90,1,0,0,0,0,0,0,0
11,Álex Alegría,es ESP,FW,Betis,23,1992,25,15,"1,438",16,3,2,3,0,0,2,0
12,Carles Aleñá,es ESP,MF,Barcelona,18,1998,3,0,43,0.5,0,0,0,0,0,1,0
13,Alexander,ar ARG,MF,Leganés,27,1988,28,24,"2,031",22.6,8,2,7,1,2,1,0
14,Alexis,es ESP,DF,Alavés,30,1985,24,19,"1,819",20.2,2,1,2,0,0,10,1
15,Sergio Álvarez,es ESP,GK,Celta Vigo,29,1986,26,26,"2,340",26,0,1,0,0,0,0,1
16,Sergio Álvarez,es ESP,MF,Sporting Gijón,24,1992,36,34,"3,003",33.4,2,1,2,0,0,9,0
17,Víctor Álvarez,es ESP,DF,Espanyol,23,1993,4,2,204,2.3,0,0,0,0,0,2,0
18,Yeray Álvarez,es ESP,DF,Athletic Club,21,1995,26,25,"2,271",25.2,0,0,0,0,0,3,0
19,Diego Alves,br BRA,GK,Valencia,31,1985,33,33,"2,970",33,0,0,0,0,0,4,0
20,Fernando Amorebieta,ve VEN,DF,Sporting Gijón,31,1985,27,26,"2,218",24.6,0,1,0,0,0,17,0
21,Jon Ander Serantes,es ESP,GK,Leganés,26,1989,13,13,"1,109",12.3,0,0,0,0,0,2,0
22,Florin Andone,ro ROU,FW,La Coruña,23,1993,37,32,"2,893",32.1,12,2,12,0,0,6,0
23,Victorien Angban,ci CIV,MF,Granada,19,1996,10,8,682,7.6,0,0,0,0,0,4,0
