,,,,,,,Playing Time,,,,Performance,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR
1,Aymen Abdennour,tn TUN,DF,Valencia,25,1989,22,22,"1,851",20.6,0,0,0,0,0,4,0
2,Antonio Adán,es ESP,GK,Betis,28,1987,36,36,"3,212",35.7,0,0,0,0,0,5,0
3,Adriano,br BRA,DF,Barcelona,30,1984,8,4,434,4.8,0,1,0,0,0,0,0
4,Aritz Aduriz,es ESP,FW,Athletic Club,34,1981,34,30,"2,776",30.8,20,6,17,3,5,9,0
5,Imanol Agirretxe,es ESP,FW,Real Sociedad,28,1987,16,14,"1,170",13,13,0,13,0,0,0,0
6,Rachid Aït-Atmane,dz ALG,MF,Sporting Gijón,22,1993,18,11,"1,060",11.8,0,2,0,0,0,2,0
7,Ager Aketxe,es ESP,MF,Athletic Club,21,1993,3,2,185,2.1,0,0,0,0,0,0,0
8,Jordi Alba,es ESP,DF,Barcelona,26,1989,31,29,"2,589",28.8,0,6,0,0,0,2,0
9,Raúl Albentosa,es ESP,DF,Málaga,26,1988,29,27,"2,555",28.4,2,0,2,0,0,11,0
10,Luis Alberto,es ESP,"MF,FW",La Coruña,22,1992,29,25,"2,098",23.3,6,7,6,0,0,3,0
11,Paco Alcácer,es ESP,FW,Valencia,21,1993,34,25,"2,419",26.9,13,6,11,2,3,2,0
12,Antolín Alcaraz,py PAR,DF,Las Palmas,33,1982,6,6,540,6,1,0,1,0,0,2,0
13,Nauzet Alemán,es ESP,MF,Las Palmas,30,1985,10,2,248,2.8,0,0,0,0,0,0,0
14,Diego Alende,es ESP,DF,Celta Vigo,17,1997,1,0,40,0.4,0,0,0,0,0,0,0
15,Alexis,es ESP,DF,Getafe,29,1985,15,15,"1,350",15,1,0,1,0,0,7,0
16,Sergio Álvarez,es ESP,GK,Celta Vigo,28,1986,31,30,"2,726",30.3,0,0,0,0,0,0,0
17,Sergio Álvarez,es ESP,MF,Sporting Gijón,23,1992,27,26,"2,185",24.3,2,2,2,0,0,9,1
18,Víctor Álvarez,es ESP,"MF,DF",Espanyol,22,1993,27,25,"1,959",21.8,1,2,1,0,0,6,0
19,Dani Alves,br BRA,DF,Barcelona,32,1983,29,24,"2,145",23.8,0,3,0,0,0,6,0
20,Diego Alves,br BRA,GK,Valencia,30,1985,13,13,"1,170",13,0,0,0,0,0,1,0
21,Antonio Amaya,es ESP,DF,Rayo Vallecano,32,1983,17,10,"1,033",11.5,1,1,1,0,0,6,1
22,Nordin Amrabat,ma MAR,"MF,FW",Málaga,28,1987,13,13,"1,003",11.1,0,1,0,0,1,5,1
23,Marco Andreolli,it ITA,DF,Sevilla,29,1986,7,7,553,6.1,0,1,0,0,0,2,0
24,José Ángel Crespo,es ESP,DF,Rayo Vallecano,28,1987,9,9,715,7.9,0,0,0,0,0,4,0
