,,,,,,,Playing Time,,,,Performance,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR
1,Aly Abeid,mr MTN,DF,Levante,19,1997,1,1,77,0.9,0,0,0,0,0,0,0
2,Antonio Adán,es ESP,GK,Betis,30,1987,30,30,"2,700",30,0,2,0,0,0,4,0
3,Aday,es ESP,"DF,MF",Girona,29,1987,31,20,"1,835",20.4,2,0,1,1,2,10,0
4,Aritz Aduriz,es ESP,FW,Athletic Club,36,1981,33,21,"2,152",23.9,9,1,6,3,5,5,0
5,Martin Agirregabiria,es ESP,DF,Alavés,21,1996,21,20,"1,828",20.3,0,4,0,0,0,4,0
6,Imanol Agirretxe,es ESP,"FW,MF",Real Sociedad,30,1987,11,2,232,2.6,0,0,0,0,0,0,0
7,Matías Aguirregaray,uy URU,DF,Las Palmas,28,1989,15,14,"1,153",12.8,0,0,0,0,0,3,0
8,Ager Aketxe,es ESP,MF,Athletic Club,23,1993,3,0,37,0.4,0,0,0,0,0,1,0
9,David Alba,es ESP,DF,Getafe,18,1999,1,1,61,0.7,0,0,0,0,0,0,0
10,Jordi Alba,es ESP,DF,Barcelona,28,1989,33,30,"2,744",30.5,2,8,2,0,0,7,0
11,Raúl Albentosa,es ESP,DF,La Coruña,28,1988,20,19,"1,748",19.4,1,0,1,0,0,5,0
12,Paco Alcácer,es ESP,"MF,FW",Barcelona,23,1993,17,8,695,7.7,4,3,4,0,0,0,0
13,Pedro Alcalá,es ESP,DF,Girona,28,1989,8,8,689,7.7,1,0,1,0,0,4,0
14,Steve Aldo One,cm CMR,DF,La Coruña,22,1995,1,1,90,1,0,0,0,0,0,0,0
15,Álex Alegría,es ESP,FW,Levante,24,1992,9,8,628,7,0,0,0,0,0,1,0
16,Iván Alejo,es ESP,"MF,FW",Eibar,22,1995,22,14,"1,102",12.2,1,3,1,0,0,5,0
