,,,,,,,Playing Time,,,,Performance,,,,,,
17,Alexander,ar ARG,"MF,FW",Leganés,28,1988,13,13,"1,060",11.8,2,2,1,1,1,1,0
18,Alexis,es ESP,DF,Alavés,31,1985,28,25,"2,184",24.3,1,0,1,0,0,6,0
19,José Alonso Lara,es ESP,FW,Sevilla,17,2000,1,0,10,0.1,0,0,0,0,0,0,0
20,Sergio Álvarez,es ESP,GK,Celta Vigo,30,1986,17,16,"1,476",16.4,0,0,0,0,0,0,0
21,Yeray Álvarez,es ESP,DF,Athletic Club,22,1995,8,7,675,7.5,0,0,0,0,0,2,0
22,Eloi Amagat,es ESP,"FW,MF",Girona,32,1985,2,0,15,0.2,0,0,0,0,0,0,0
23,Jordi Amat,es ESP,"DF,MF",Betis,25,1992,25,24,"2,045",22.7,0,0,0,0,0,7,2
24,Amath,sn SEN,"MF,FW",Getafe,21,1996,37,36,"2,859",31.8,3,3,3,0,0,9,0
25,Nordin Amrabat,ma MAR,"FW,MF",Leganés,30,1987,30,17,"1,623",18,2,4,2,0,0,6,1
26,Jon Ander Serantes,es ESP,GK,Leganés,27,1989,1,1,90,1,0,0,0,0,0,0,0
27,Florin Andone,ro ROU,FW,La Coruña,24,1993,29,16,"1,636",18.2,7,3,7,0,1,6,0
28,Miguel Ángel Guerrero,es ESP,FW,Leganés,27,1990,22,15,"1,442",16,4,3,4,0,1,3,0
29,José Ángel,es ESP,DF,Eibar,27,1989,30,28,"2,426",27,0,8,0,0,0,4,0
30,Miguel Ángel Moyá,es ESP,GK,Real Sociedad,33,1984,9,9,764,8.5,0,0,0,0,0,0,0
31,Miguel Ángel Rubio,es ESP,DF,Getafe,19,1998,1,0,29,0.3,0,0,0,0,0,0,0
32,Vitorino Antunes,pt POR,DF,Getafe,30,1987,34,31,"2,799",31.1,0,2,0,0,1,14,0
33,Alberto Aquilani,it ITA,MF,Las Palmas,33,1984,21,15,"1,297",14.4,0,0,0,0,0,4,0
34,Mauro Arambarri,uy URU,MF,Getafe,21,1995,27,26,"2,124",23.6,1,1,1,0,0,9,1
35,Guilherme Arana,br BRA,DF,Sevilla,20,1997,3,2,193,2.1,0,0,0,0,0,0,0
36,Sergio Araujo,ar ARG,MF,Las Palmas,25,1992,2,0,39,0.4,0,0,0,0,0,0,0
37,Anaitz Arbilla,es ESP,DF,Eibar,30,1987,29,26,"2,414",26.8,2,1,2,0,0,8,0
38,José Arnaiz,es ESP,MF,Barcelona,22,1995,1,0,6,0.1,0,0,0,0,0,0,0
39,Alejandro Arribas,es ESP,DF,La Coruña,28,1989,3,3,270,3,0,0,0,0,0,0,0
40,Kepa Arrizabalaga,es ESP,GK,Athletic Club,22,1994,30,30,"2,700",30,0,0,0,0,0,3,0
41,Aythami Artiles,es ESP,DF,Las Palmas,31,1986,3,2,184,2,0,0,0,0,0,0,0
42,Sergio Asenjo,es ESP,GK,Villarreal,28,1989,23,23,"2,070",23,0,0,0,0,0,3,0
43,Marco Asensio,es ESP,"FW,MF",Real Madrid,21,1996,32,19,"1,844",20.5,6,6,6,0,0,2,0
44,Iago Aspas,es ESP,FW,Celta Vigo,29,1987,34,33,"2,936",32.6,22,5,20,2,3,9,0
45,Carlos Bacca,co COL,FW,Villarreal,30,1986,35,30,"2,497",27.7,15,6,14,1,1,9,0
46,Cédric Bakambu,cd COD,FW,Villarreal,26,1991,15,15,"1,263",14,9,0,8,1,1,5,0
47,Zakaria Bakkali,be BEL,"FW,MF",La Coruña,21,1996,23,10,909,10.1,0,0,0,0,0,5,0
48,Gareth Bale,wls WAL,"FW,MF",Real Madrid,28,1989,26,20,"1,799",20,16,2,15,1,1,5,0
49,Mikel Balenziaga,es ESP,DF,Athletic Club,29,1988,18,18,"1,549",17.2,0,2,0,0,0,1,0
50,Éver Banega,ar ARG,MF,Sevilla,29,1988,31,25,"2,399",26.7,3,3,0,3,3,9,1
51,Léo Baptistão,br BRA,"FW,MF",Espanyol,24,1992,36,31,"2,677",29.7,8,3,8,0,0,4,0
52,Mariano Barbosa,ar ARG,GK,Villarreal,33,1984,13,12,"1,125",12.5,0,0,0,0,0,0,0
53,Enis Bardhi,mk MKD,MF,Levante,22,1995,26,16,"1,580",17.6,9,1,9,0,0,8,0
54,Antonio Barragán,es ESP,"DF,MF",Betis,30,1987,29,28,"2,373",26.4,0,6,0,0,0,7,0
55,Barri,es ESP,"MF,FW",Getafe,21,1995,2,1,113,1.3,0,0,0,0,0,0,0
56,Marc Bartra,es ESP,DF,Betis,26,1991,16,16,"1,420",15.8,1,0,1,0,0,6,0
57,Borja Bastón,es ESP,FW,Málaga,24,1992,20,8,985,10.9,2,0,1,1,2,2,0
58,Jon Bautista,es ESP,FW,Real Sociedad,22,1995,11,1,181,2,1,0,1,0,0,0,0
59,Paul Baysse,fr FRA,DF,Málaga,29,1988,15,13,"1,239",13.8,1,0,1,0,0,1,0
60,Claudio Beauvue,gp GLP,FW,Leganés,29,1988,28,17,"1,672",18.6,2,0,2,0,0,4,0
61,Bebé,cv CPV,"MF,FW",Eibar,27,1990,9,3,365,4.1,0,1,0,0,0,0,0
62,Wissam Ben Yedder,fr FRA,FW,Sevilla,26,1990,25,18,"1,700",18.9,9,3,8,1,1,2,1
63,Karim Benzema,fr FRA,FW,Real Madrid,29,1987,32,25,"2,150",23.9,5,10,3,2,2,0,0
64,Markel Bergara,es ESP,MF,Getafe,31,1986,18,18,"1,463",16.3,4,1,4,0,0,5,0
65,Pedro Bigas,es ESP,DF,Las Palmas,26,1990,12,11,894,9.9,0,0,0,0,0,3,0
66,Rubén Blanco,es ESP,GK,Celta Vigo,22,1995,22,22,"1,941",21.6,0,0,0,0,0,3,1
67,Emmanuel Boateng,gh GHA,FW,Levante,21,1996,25,10,"1,276",14.2,6,0,6,0,0,5,0
68,Daniele Bonera,it ITA,DF,Villarreal,36,1981,15,14,"1,190",13.2,0,1,0,0,0,4,1
69,Celso Borges,cr CRC,MF,La Coruña,29,1988,32,26,"2,300",25.6,3,3,3,0,0,4,1
70,Ryad Boudebouz,dz ALG,"MF,FW",Betis,27,1990,27,15,"1,360",15.1,2,3,2,0,0,2,0
71,Yassine Bounou,ma MAR,GK,Girona,26,1991,30,30,"2,655",29.5,0,0,0,0,0,2,0
72,Eneko Bóveda,es ESP,DF,La Coruña,28,1988,8,7,667,7.4,0,0,0,0,0,2,0
73,Eneko Bóveda,es ESP,DF,Athletic Club,28,1988,6,6,522,5.8,0,1,0,0,0,1,0
74,Lucas Boyé,ar ARG,"FW,MF",Celta Vigo,21,1996,13,2,276,3.1,0,0,0,0,0,2,0
75,Darko Brasanac,rs SRB,"MF,FW",Leganés,25,1992,23,13,"1,203",13.4,2,0,2,0,0,3,0
76,Alberto Bueno,es ESP,"FW,MF",Málaga,29,1988,11,1,226,2.5,0,0,0,0,0,0,0
77,Burgui,es ESP,"MF,FW",Alavés,23,1993,23,12,"1,034",11.5,1,0,1,0,0,1,0
78,Sergio Busquets,es ESP,MF,Barcelona,29,1988,31,30,"2,593",28.8,1,4,1,0,0,8,0
79,Unai Bustinza,es ESP,DF,Leganés,25,1992,20,18,"1,637",18.2,2,0,2,0,0,5,0
80,Erick Cabaco,uy URU,DF,Levante,22,1995,14,12,"1,040",11.6,0,0,0,0,0,5,0
81,Gustavo Cabral,ar ARG,DF,Celta Vigo,31,1985,26,20,"1,891",21,1,1,1,0,0,5,0
82,Leandro Cabrera,uy URU,DF,Getafe,26,1991,9,8,720,8,0,0,0,0,0,3,0
83,Cala,es ESP,DF,Getafe,27,1989,20,20,"1,800",20,2,2,2,0,0,9,0
84,Carlos Calderón,es ESP,FW,Getafe,22,1995,1,0,4,0,0,0,0,0,0,0,0
85,Jonathan Calleri,ar ARG,FW,Las Palmas,23,1993,37,34,"3,109",34.5,9,3,4,5,5,7,0
86,Víctor Camarasa,es ESP,MF,Betis,23,1994,24,14,"1,252",13.9,1,0,1,0,0,1,0
87,José Campaña,es ESP,MF,Levante,24,1993,35,33,"2,734",30.4,1,4,1,0,0,9,1
88,Joel Campbell,cr CRC,"MF,FW",Betis,25,1992,8,2,214,2.4,2,1,2,0,0,1,0
89,Sergio Canales,es ESP,"MF,FW",Real Sociedad,26,1991,36,20,"1,928",21.4,4,5,4,0,0,4,0
90,João Cancelo,pt POR,MF,Valencia,23,1994,1,1,90,1,0,0,0,0,0,0,0
91,Ander Capa,es ESP,DF,Eibar,25,1992,33,25,"2,249",25,0,1,0,0,0,4,0
92,Lionel Carole,fr FRA,DF,Sevilla,26,1991,6,6,540,6,0,1,0,0,0,0,0
93,Yannick Carrasco,be BEL,"MF,FW",Atlético Madrid,23,1993,17,8,901,10,3,4,3,0,0,3,0
94,Daniel Carriço,pt POR,DF,Sevilla,28,1988,6,5,460,5.1,0,0,0,0,0,1,0
95,Federico Cartabia,ar ARG,"FW,MF",La Coruña,24,1993,20,16,"1,324",14.7,2,1,2,0,0,6,0
96,Dani Carvajal,es ESP,DF,Real Madrid,25,1992,25,25,"2,222",24.7,0,2,0,0,0,11,1
97,Casemiro,br BRA,MF,Real Madrid,25,1992,30,30,"2,595",28.8,5,3,5,0,0,8,0
98,Kiko Casilla,es ESP,GK,Real Madrid,30,1986,10,10,900,10,0,0,0,0,0,0,0
99,Dani Castellano,es ESP,DF,Las Palmas,29,1987,24,23,"2,025",22.5,0,2,0,0,0,5,0
100,Javi Castellano,es ESP,MF,Las Palmas,29,1987,23,17,"1,566",17.4,0,0,0,0,0,4,0
101,Samu Castillejo,es ESP,"MF,FW",Villarreal,22,1995,30,25,"2,074",23,6,5,6,0,0,4,0
102,Chory Castro,uy URU,"MF,FW",Málaga,32,1984,26,26,"2,061",22.9,4,2,3,1,1,5,1
103,Jonny Castro,es ESP,DF,Celta Vigo,23,1994,36,36,"3,202",35.6,2,1,2,0,0,10,0
104,Rubén Castro,es ESP,FW,Betis,36,1981,10,3,359,4,1,1,0,1,1,0,0
105,Dani Ceballos,es ESP,"MF,FW",Real Madrid,20,1996,12,4,401,4.5,2,0,2,0,0,0,0
106,Emanuel Cecchini,ar ARG,"MF,DF",Málaga,20,1996,2,0,30,0.3,0,0,0,0,0,2,0
107,Nereo Champagne,ar ARG,GK,Leganés,32,1985,2,2,180,2,0,0,0,0,0,0,0
108,Charles,br BRA,FW,Eibar,33,1984,30,18,"1,582",17.6,8,1,7,1,1,5,1
109,Chema,es ESP,DF,Levante,25,1992,25,23,"2,017",22.4,1,1,1,0,0,7,1
110,Denis Cheryshev,ru RUS,"MF,FW",Villarreal,26,1990,24,9,926,10.3,2,1,2,0,0,2,0
111,Leandro Chichizola,ar ARG,GK,Las Palmas,27,1990,27,27,"2,430",27,0,0,0,0,0,2,0
112,Chuca,es ESP,MF,Villarreal,20,1997,4,1,88,1,0,0,0,0,0,1,0
113,Cifu,es ESP,DF,Málaga,26,1990,2,1,108,1.2,0,0,0,0,0,0,0
114,Jasper Cillessen,nl NED,GK,Barcelona,28,1989,1,1,90,1,0,0,0,0,0,0,0
115,Coke,es ESP,DF,Levante,30,1987,17,16,"1,383",15.4,3,0,3,0,0,5,1
116,Emre Çolak,tr TUR,"MF,FW",La Coruña,26,1991,26,17,"1,449",16.1,1,1,1,0,0,4,0
117,Francis Coquelin,fr FRA,"MF,DF",Valencia,26,1991,9,7,657,7.3,1,0,1,0,0,2,0
118,Sébastien Corchia,fr FRA,DF,Sevilla,26,1990,12,9,821,9.1,0,1,0,0,0,4,0
119,Iñigo Córdoba,es ESP,"FW,MF",Athletic Club,20,1997,30,18,"1,459",16.2,1,1,1,0,0,3,0
120,Ángel Correa,ar ARG,"FW,MF",Atlético Madrid,22,1995,37,27,"2,253",25,8,4,8,0,0,4,1
121,Joaquín Correa,ar ARG,"FW,MF",Sevilla,22,1994,21,15,"1,193",13.3,1,1,1,0,0,5,0
122,Diego Costa,es ESP,FW,Atlético Madrid,28,1988,15,13,"1,041",11.6,3,3,3,0,0,7,1
123,Jaume Costa,es ESP,DF,Villarreal,29,1988,30,29,"2,536",28.2,0,0,0,0,0,14,1
124,Philippe Coutinho,br BRA,"FW,MF",Barcelona,25,1992,18,16,"1,296",14.4,8,5,8,0,0,1,0
125,Juan Cruz,es ESP,FW,Málaga,17,2000,1,0,7,0.1,0,0,0,0,0,0,0
126,Iván Cuéllar,es ESP,GK,Leganés,33,1984,35,35,"3,150",35,0,0,0,0,0,4,0
127,Sergi Darder,es ESP,MF,Espanyol,23,1993,35,32,"2,782",30.9,1,2,1,0,0,7,0
128,Salem Al-Dawsari,sa KSA,MF,Villarreal,25,1991,1,0,34,0.4,0,0,0,0,0,1,0
129,Ousmane Dembélé,fr FRA,"FW,MF",Barcelona,20,1997,17,12,925,10.3,3,6,3,0,0,2,0
130,Ermedin Demirovi?,ba BIH,FW,Alavés,19,1998,3,2,182,2,1,1,1,0,0,0,0
131,Gerard Deulofeu,es ESP,"MF,FW",Barcelona,23,1994,10,5,503,5.6,1,1,1,0,0,1,0
132,Adrián Diéguez,es ESP,DF,Alavés,21,1996,6,6,435,4.8,0,0,0,0,0,5,0
133,Lucas Digne,fr FRA,DF,Barcelona,24,1993,12,8,704,7.8,0,2,0,0,0,2,0
134,Papakouli Diop,sn SEN,MF,Espanyol,31,1986,5,3,264,2.9,0,0,0,0,0,2,0
135,Papakouli Diop,sn SEN,MF,Eibar,31,1986,15,12,940,10.4,0,0,0,0,0,5,0
136,Djené,tg TOG,DF,Getafe,25,1991,36,36,"3,239",36,1,0,1,0,0,9,0
137,Marko Dmitrovi?,rs SRB,GK,Eibar,25,1992,36,36,"3,240",36,0,0,0,0,0,1,0
138,Jaume Doménech,es ESP,GK,Valencia,26,1990,5,5,450,5,0,0,0,0,0,2,0
139,Mauro dos Santos,ar ARG,DF,Leganés,28,1989,14,10,983,10.9,0,0,0,0,0,3,0
140,Cheick Doukouré,ci CIV,MF,Levante,24,1992,19,12,"1,022",11.4,1,0,1,0,0,4,0
141,Óscar Duarte,cr CRC,DF,Espanyol,28,1989,11,11,990,11,0,0,0,0,0,1,0
142,Rubén Duarte,es ESP,DF,Alavés,21,1995,24,24,"2,138",23.8,0,2,0,0,0,9,1
143,Riza Durmisi,dk DEN,"DF,MF",Betis,23,1994,24,23,"2,080",23.1,2,3,2,0,0,4,0
144,Hugo Duro,es ESP,FW,Getafe,17,1999,2,0,19,0.2,0,0,0,0,0,0,0
145,Aritz Elustondo,es ESP,DF,Real Sociedad,23,1994,19,18,"1,596",17.7,3,2,3,0,0,1,0
146,Rodrigo Ely,br BRA,DF,Alavés,23,1993,31,30,"2,691",29.9,1,0,1,0,0,11,1
147,Youssef En-Nesyri,ma MAR,FW,Málaga,20,1997,25,16,"1,596",17.7,4,0,4,0,1,2,1
148,Sergi Enrich,es ESP,FW,Eibar,27,1990,19,14,"1,330",14.8,3,1,3,0,0,2,0
149,Javier Eraso,es ESP,"MF,FW",Leganés,27,1990,34,31,"2,533",28.1,4,3,4,0,0,4,0
150,Gonzalo Escalante,ar ARG,MF,Eibar,24,1993,28,16,"1,565",17.4,1,0,1,0,0,3,0
151,Sergio Escudero,es ESP,DF,Sevilla,27,1989,27,26,"2,332",25.9,0,2,0,0,0,10,0
152,Bernardo Espinosa,co COL,DF,Girona,28,1989,34,32,"2,868",31.9,0,3,0,0,0,7,0
153,Oghenekaro Etebo,ng NGA,MF,Las Palmas,21,1995,14,14,"1,215",13.5,0,1,0,0,0,3,0
154,Beñat Etxebarria,es ESP,MF,Athletic Club,30,1987,24,12,"1,120",12.4,0,2,0,0,0,3,0
155,Xabier Etxeita,es ESP,DF,Athletic Club,29,1987,5,5,376,4.2,1,0,1,0,0,2,0
156,Edu Expósito,es ESP,MF,La Coruña,20,1996,3,0,96,1.1,0,0,0,0,0,1,0
157,Erik Expósito,es ESP,FW,Las Palmas,21,1996,10,4,467,5.2,1,0,1,0,0,0,0
158,Imoh Ezekiel,ng NGA,"FW,MF",Las Palmas,23,1993,10,5,469,5.2,0,0,0,0,0,0,0
159,Fayçal Fajr,ma MAR,"MF,FW",Getafe,28,1988,31,26,"2,385",26.5,1,4,1,0,1,7,0
160,Zouhair Feddal,ma MAR,DF,Betis,28,1989,15,14,"1,257",14,3,0,3,0,0,7,0
161,Andrés Fernández,es ESP,GK,Villarreal,30,1986,3,3,225,2.5,0,0,0,0,0,0,0
162,Augusto Fernández,ar ARG,"MF,FW",Atlético Madrid,31,1986,5,1,107,1.2,0,0,0,0,0,1,0
163,Carlos Fernández,es ESP,FW,Sevilla,21,1996,2,2,137,1.5,1,0,1,0,0,0,0
165,Raúl Fernández,es ESP,GK,Levante,29,1988,11,11,990,11,0,0,0,0,0,0,0
166,Junior Firpo,es ESP,"DF,MF",Betis,20,1996,14,14,"1,189",13.2,2,2,2,0,0,4,0
167,Mathieu Flamini,fr FRA,MF,Getafe,33,1984,8,6,480,5.3,0,0,0,0,0,2,1
168,Andreu Fontàs,es ESP,DF,Celta Vigo,27,1989,12,9,885,9.8,0,1,0,0,0,2,0
169,Pablo Fornals,es ESP,"MF,FW",Villarreal,21,1996,35,30,"2,620",29.1,3,12,3,0,0,4,0
170,Javi Fuego,es ESP,MF,Espanyol,33,1984,17,17,"1,341",14.9,0,0,0,0,0,6,0
171,Javi Fuego,es ESP,MF,Villarreal,33,1984,11,6,537,6,0,0,0,0,0,2,0
172,Gabi,es ESP,MF,Atlético Madrid,34,1983,34,25,"2,349",26.1,0,1,0,0,0,8,0
173,Gabriel,br BRA,MF,Leganés,23,1993,29,28,"2,377",26.4,5,2,4,1,1,6,1
174,Nicolás Gaitán,ar ARG,"MF,FW",Atlético Madrid,29,1988,6,1,219,2.4,0,0,0,0,0,0,0
175,Álex Gálvez,es ESP,DF,Eibar,28,1989,4,4,360,4,1,0,1,0,0,1,0
176,Álex Gálvez,es ESP,DF,Las Palmas,28,1989,18,18,"1,619",18,0,0,0,0,0,5,1
177,Bruno Gama,pt POR,"FW,MF",La Coruña,29,1987,6,1,115,1.3,0,0,0,0,0,1,0
178,Kévin Gameiro,fr FRA,FW,Atlético Madrid,30,1987,25,11,"1,125",12.5,7,2,5,2,2,0,0
179,Ganso,br BRA,MF,Sevilla,27,1989,8,7,519,5.8,2,0,2,0,0,0,0
180,Ezequiel Garay,ar ARG,DF,Valencia,30,1986,24,23,"2,028",22.5,0,0,0,0,0,5,0
181,Aleix García,es ESP,MF,Girona,20,1997,20,7,852,9.5,1,0,1,0,0,3,0
182,Borja García,es ESP,"MF,FW",Girona,26,1990,37,34,"2,798",31.1,2,5,2,0,0,2,0
183,Dani García,es ESP,MF,Eibar,27,1990,32,32,"2,775",30.8,0,1,0,0,0,14,0
184,David García,es ESP,DF,Las Palmas,35,1982,11,9,860,9.6,1,0,1,0,0,2,0
185,Javi García,es ESP,"MF,DF",Betis,30,1987,32,27,"2,410",26.8,1,0,1,0,0,7,0
186,Manu García,es ESP,MF,Alavés,31,1986,30,27,"2,439",27.1,3,0,3,0,2,9,0
187,Raúl García,es ESP,DF,Leganés,28,1989,19,15,"1,392",15.5,0,2,0,0,0,1,0
188,Raúl García,es ESP,"MF,FW",Athletic Club,31,1986,34,30,"2,627",29.2,10,1,7,3,3,10,0
189,Samu García,es ESP,"MF,FW",Levante,27,1990,11,2,191,2.1,0,0,0,0,0,1,0
190,Samu García,es ESP,"MF,FW",Málaga,27,1990,7,2,177,2,0,1,0,0,0,1,1
191,Sergio García,es ESP,"FW,MF",Espanyol,34,1983,33,14,"1,641",18.2,2,6,2,0,0,4,0
192,Mario Gaspar,es ESP,DF,Villarreal,26,1990,32,31,"2,806",31.2,2,3,2,0,0,6,0
193,Johannes Geis,de GER,"DF,MF",Sevilla,23,1993,14,7,676,7.5,0,1,0,0,0,0,0
194,Carles Gil,es ESP,"FW,MF",La Coruña,24,1992,10,6,476,5.3,0,1,0,0,0,0,0
195,Nacho Gil,es ESP,"FW,MF",Las Palmas,21,1995,14,8,729,8.1,0,0,0,0,0,1,0
196,Nacho Gil,es ESP,"MF,FW",Valencia,21,1995,6,2,229,2.5,0,1,0,0,0,0,0
197,Dani Giménez,es ESP,GK,Betis,34,1983,4,4,308,3.4,0,0,0,0,0,0,0
198,Diego Godín,uy URU,DF,Atlético Madrid,31,1986,30,28,"2,554",28.4,0,0,0,0,0,6,0
199,André Gomes,pt POR,"MF,FW",Barcelona,24,1993,16,6,635,7.1,0,0,0,0,0,1,0
200,Ibai Gómez,es ESP,"MF,FW",Alavés,27,1989,34,26,"2,319",25.8,7,6,6,1,1,1,0
201,Maxi Gómez,uy URU,FW,Celta Vigo,20,1996,36,35,"3,068",34.1,17,4,17,0,0,12,0
202,Sergi Gómez,es ESP,DF,Celta Vigo,25,1992,33,31,"2,680",29.8,2,0,2,0,0,3,0
203,Vicente Gómez,es ESP,MF,Las Palmas,28,1988,25,17,"1,525",16.9,0,0,0,0,0,3,0
204,Adrián González,es ESP,MF,Málaga,29,1988,29,27,"2,340",26,3,0,2,1,1,8,1
205,Álvaro González,es ESP,DF,Villarreal,27,1990,33,32,"2,898",32.2,0,2,0,0,0,14,1
206,Bruno González,es ESP,DF,Getafe,27,1990,20,17,"1,540",17.1,0,0,0,0,0,5,0
207,Diego González,es ESP,DF,Málaga,22,1995,18,17,"1,429",15.9,1,0,1,0,0,5,0
208,Fabio González,es ESP,MF,Las Palmas,20,1997,1,1,64,0.7,0,0,0,0,0,1,0
209,Mario González,es ESP,FW,Villarreal,21,1996,2,0,18,0.2,0,0,0,0,0,0,0
210,Andoni Gorosabel,es ESP,DF,Real Sociedad,20,1996,2,1,76,0.8,0,0,0,0,0,0,0
211,Julio Gracia,es ESP,"MF,FW",Betis,19,1998,2,0,23,0.3,0,0,0,0,0,0,0
212,Álex Granell,es ESP,MF,Girona,28,1988,34,33,"2,848",31.6,1,7,1,0,1,11,0
213,Esteban Granero,es ESP,"MF,FW",Espanyol,30,1987,25,11,"1,230",13.7,1,2,1,0,0,4,0
214,Antoine Griezmann,fr FRA,FW,Atlético Madrid,26,1991,32,30,"2,519",28,19,9,17,2,2,7,1
215,Vicente Guaita,es ESP,GK,Getafe,30,1987,33,33,"2,970",33,0,0,0,0,0,1,0
216,Andrés Guardado,mx MEX,MF,Betis,30,1986,29,25,"2,264",25.2,2,8,1,1,1,7,0
217,Gonçalo Guedes,pt POR,"MF,FW",Valencia,20,1996,33,27,"2,439",27.1,5,9,5,0,0,2,0
218,Ramiro Guerra,uy URU,MF,Villarreal,20,1997,4,0,71,0.8,0,0,0,0,0,1,0
219,Francis Guerrero,es ESP,"DF,MF",Betis,21,1996,14,10,993,11,1,0,1,0,0,2,0
220,John Guidetti,se SWE,"FW,MF",Celta Vigo,25,1992,8,0,115,1.3,0,0,0,0,0,0,0
221,John Guidetti,se SWE,FW,Alavés,25,1992,17,15,"1,222",13.6,3,3,3,0,0,3,0
222,Guilherme,br BRA,MF,La Coruña,26,1991,31,31,"2,639",29.3,0,0,0,0,0,11,0
223,Gerard Gumbau,es ESP,MF,Leganés,22,1994,25,16,"1,434",15.9,1,0,1,0,0,8,0
224,Jon Guridi,es ESP,"MF,FW",Real Sociedad,22,1995,4,0,54,0.6,0,0,0,0,0,0,0
225,Alejandro Gutiérrez Mozo,es ESP,MF,Leganés,22,1995,1,0,45,0.5,0,0,0,0,0,0,0
226,Hacen,mr MTN,MF,Levante,19,1997,2,1,81,0.9,0,0,0,0,0,0,0
227,Munir El Haddadi,ma MAR,FW,Alavés,21,1995,33,28,"2,444",27.2,10,6,10,0,0,7,1
228,Achraf Hakimi,ma MAR,DF,Real Madrid,18,1998,9,8,757,8.4,2,0,2,0,0,0,0
229,Alen Halilovi?,hr CRO,"FW,MF",Las Palmas,21,1996,20,16,"1,304",14.5,2,1,2,0,0,1,1
230,Mario Hermoso,es ESP,DF,Espanyol,22,1995,22,22,"1,928",21.4,1,0,1,0,0,6,1
231,Hernán,es ESP,MF,Las Palmas,26,1990,7,4,351,3.9,0,0,0,0,0,1,0
232,Héctor Hernández,es ESP,DF,Alavés,26,1991,1,0,16,0.2,0,0,0,0,0,0,0
233,Lucas Hernández,fr FRA,DF,Atlético Madrid,21,1996,27,24,"2,116",23.5,0,1,0,0,0,7,1
234,Luis Hernández,es ESP,DF,Málaga,28,1989,36,36,"3,240",36,0,1,0,0,0,8,0
235,Pablo Hernández,cl CHI,MF,Celta Vigo,30,1986,30,18,"1,819",20.2,3,2,3,0,0,4,0
236,Theo Hernández,fr FRA,DF,Real Madrid,19,1997,13,10,963,10.7,0,0,0,0,0,1,0
237,Borja Herrera,es ESP,DF,Las Palmas,24,1993,3,3,241,2.7,0,0,0,0,0,0,0
238,Iago Herrerín,es ESP,GK,Athletic Club,29,1988,8,8,720,8,0,0,0,0,0,0,0
239,Andrew Hjulsager,dk DEN,"DF,MF",Celta Vigo,22,1995,2,0,14,0.2,0,0,0,0,0,0,0
240,Brown Ideye,ng NGA,FW,Málaga,28,1988,13,8,733,8.1,1,0,1,0,0,2,0
241,Asier Illarramendi,es ESP,MF,Real Sociedad,27,1990,36,35,"3,163",35.1,7,5,7,0,0,10,1
242,Andrés Iniesta,es ESP,MF,Barcelona,33,1984,30,25,"1,824",20.3,1,2,1,0,0,1,0
243,Takashi Inui,jp JPN,"MF,FW",Eibar,29,1988,34,31,"2,631",29.2,5,2,5,0,0,4,0
244,Gorka Iraizoz,es ESP,GK,Girona,36,1981,9,8,765,8.5,0,0,0,0,0,1,0
245,Carlos Isaac,es ESP,DF,Atlético Madrid,19,1998,1,1,63,0.7,0,0,0,0,0,1,0
246,Isco,es ESP,MF,Real Madrid,25,1992,30,21,"1,774",19.7,7,7,7,0,0,1,0
247,Manuel Iturra,cl CHI,MF,Málaga,33,1984,20,18,"1,583",17.6,0,0,0,0,0,6,0
248,Ander Iturraspe,es ESP,MF,Athletic Club,28,1989,30,20,"1,904",21.2,0,0,0,0,0,7,0
