,,,,,,,Playing Time,,,,Performance,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR
1,Damià Abella,es ESP,"DF,MF",Osasuna,29,1982,30,24,"2,255",25.1,0,0,0,0,0,11,0
2,Éric Abidal,fr FRA,DF,Barcelona,31,1979,22,20,"1,762",19.6,0,1,0,0,0,0,0
3,Lautaro Acosta,ar ARG,"FW,MF",Racing Sant,23,1988,21,14,"1,259",14,2,0,2,0,0,4,0
4,Antonio Adán,es ESP,GK,Real Madrid,24,1987,1,1,90,1,0,0,0,0,0,0,0
5,Adriano,br BRA,"DF,MF",Barcelona,26,1984,26,20,"1,722",19.1,1,4,1,0,0,3,0
6,Aritz Aduriz,es ESP,FW,Valencia,30,1981,29,11,"1,302",14.5,7,1,7,0,0,5,1
7,Ibrahim Afellay,nl NED,"FW,MF",Barcelona,25,1986,4,1,116,1.3,0,0,0,0,0,0,0
8,Imanol Agirretxe,es ESP,FW,Real Sociedad,24,1987,36,27,"2,183",24.3,10,3,10,0,0,1,0
9,Jordi Alba,es ESP,"DF,MF",Valencia,22,1989,32,27,"2,543",28.3,2,5,2,0,0,13,1
10,David Albelda,es ESP,"DF,MF",Valencia,33,1977,21,19,"1,586",17.6,0,0,0,0,0,10,1
11,Luis Alberto,es ESP,"FW,MF",Sevilla,18,1992,5,0,85,0.9,0,0,0,0,0,0,0
12,Raúl Albiol,es ESP,DF,Real Madrid,25,1985,10,5,621,6.9,0,0,0,0,0,1,0
13,Paco Alcácer,es ESP,FW,Valencia,17,1993,3,0,40,0.4,0,0,0,0,0,0,0
14,Thiago Alcántara,es ESP,MF,Barcelona,20,1991,27,20,"1,825",20.3,2,2,2,0,0,3,1
15,Alexis,es ESP,DF,Getafe,25,1985,12,11,992,11,1,0,1,0,0,3,0
16,Alexis,es ESP,DF,Sevilla,25,1985,1,1,90,1,1,0,1,0,0,1,0
17,Alejandro Alfaro,es ESP,"FW,MF",Mallorca,24,1986,29,13,"1,252",13.9,2,1,2,0,0,2,0
18,Christian Alfonso,es ESP,MF,Espanyol,22,1989,5,0,56,0.6,0,0,0,0,0,0,0
19,Henrique Almeida,br BRA,FW,Granada,20,1991,6,1,214,2.4,0,0,0,0,0,1,1
20,Xabi Alonso,es ESP,MF,Real Madrid,29,1981,36,35,"3,138",34.9,1,5,1,0,0,13,0
21,Hamit Alt?ntop,tr TUR,"DF,MF",Real Madrid,28,1982,5,1,164,1.8,1,0,1,0,0,0,0
22,Cristian Álvarez,ar ARG,GK,Espanyol,25,1985,23,23,"2,059",22.9,0,0,0,0,0,3,0
23,Pablo Álvarez,ar ARG,DF,Zaragoza,27,1984,15,15,"1,281",14.2,0,1,0,0,0,6,1
24,Sergio Álvarez,es ESP,MF,Sporting Gijón,19,1992,6,4,325,3.6,0,0,0,0,0,1,0
25,Dani Alves,br BRA,"DF,MF",Barcelona,28,1983,33,29,"2,674",29.7,2,9,2,0,0,8,2
26,Diego Alves,br BRA,GK,Valencia,26,1985,12,12,"1,080",12,0,0,0,0,0,3,0
27,Luis Amaranto Perea,co COL,DF,Atlético Madrid,32,1979,19,11,"1,107",12.3,0,0,0,0,0,5,0
28,Jordi Amat,es ESP,DF,Espanyol,19,1992,9,7,638,7.1,0,0,0,0,0,3,1
29,Antonio Amaya,es ESP,DF,Betis,28,1983,12,9,941,10.5,0,0,0,0,0,4,0
30,Fernando Amorebieta,ve VEN,DF,Athletic Club,26,1985,28,27,"2,330",25.9,3,0,3,0,0,11,2
31,Juan Ángel Albín,uy URU,"FW,MF",Espanyol,25,1986,6,2,166,1.8,1,0,1,0,0,1,0
32,Miguel Ángel Moyá,es ESP,GK,Getafe,27,1984,36,36,"3,240",36,0,0,0,0,0,2,0
33,Xavi Annunziata,es ESP,"FW,MF",Osasuna,23,1987,6,2,148,1.6,0,0,0,0,0,0,0
