,,,,,,,Playing Time,,,,Performance,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR
1,Issam El Adoua,ma MAR,DF,Levante,27,1986,4,3,290,3.2,0,0,0,0,0,0,0
2,Adriano,br BRA,"DF,MF",Barcelona,29,1984,16,10,962,10.7,0,1,0,0,0,2,0
3,Aritz Aduriz,es ESP,FW,Athletic Club,33,1981,31,30,"2,579",28.7,18,3,13,5,5,12,0
4,Imanol Agirretxe,es ESP,FW,Real Sociedad,27,1987,31,21,"1,946",21.6,7,1,7,0,0,2,0
5,Ager Aketxe,es ESP,MF,Athletic Club,20,1993,8,3,299,3.3,1,1,1,0,0,1,0
6,Jordi Alba,es ESP,"DF,MF",Barcelona,25,1989,27,27,"2,329",25.9,1,3,1,0,0,7,1
7,Edu Albácar,es ESP,DF,Elche,34,1979,18,16,"1,436",16,3,3,2,1,1,7,0
8,Raúl Albentosa,es ESP,DF,Eibar,25,1988,17,17,"1,530",17,2,2,2,0,0,5,0
9,Luis Alberto,es ESP,"FW,MF",Málaga,21,1992,15,6,582,6.5,2,1,2,0,1,0,0
10,Paco Alcácer,es ESP,FW,Valencia,20,1993,32,26,"2,155",23.9,11,5,11,0,0,2,1
11,Alexis,es ESP,DF,Getafe,28,1985,29,28,"2,507",27.9,1,1,1,0,0,13,1
12,Cristian Álvarez,ar ARG,GK,Rayo Vallecano,28,1985,17,16,"1,440",16,0,0,0,0,0,2,0
13,Sergio Álvarez,es ESP,GK,Celta Vigo,27,1986,38,38,"3,350",37.2,0,0,0,0,0,1,1
14,Víctor Álvarez,es ESP,"DF,MF",Espanyol,21,1993,18,15,"1,224",13.6,0,2,0,0,0,4,0
15,Dani Alves,br BRA,"DF,MF",Barcelona,31,1983,30,29,"2,517",28,0,6,0,0,0,6,1
16,Diego Alves,br BRA,GK,Valencia,29,1985,37,37,"3,311",36.8,0,0,0,0,0,4,0
17,Antonio Amaya,es ESP,DF,Rayo Vallecano,31,1983,19,19,"1,587",17.6,1,0,1,0,0,6,0
18,Nordin Amrabat,ma MAR,"FW,MF",Málaga,27,1987,31,20,"2,048",22.8,6,4,3,3,4,7,0
19,Florin Andone,ro ROU,FW,Córdoba,21,1993,20,17,"1,519",16.9,5,0,5,0,0,5,0
20,José Ángel Alonso,es ESP,DF,Elche,25,1989,13,8,663,7.4,0,0,0,0,0,6,0
21,José Ángel Crespo,es ESP,DF,Córdoba,27,1987,27,26,"2,163",24,0,0,0,0,0,6,0
22,Miguel Ángel Moyá,es ESP,GK,Atlético Madrid,30,1984,27,27,"2,430",27,0,0,0,0,0,0,0
23,Marcos Angeleri,ar ARG,DF,Málaga,31,1983,22,21,"1,880",20.9,0,0,0,0,0,4,2
24,Txema Añibarro,es ESP,"DF,MF",Eibar,35,1979,15,12,"1,146",12.7,0,0,0,0,0,2,0
25,Cristian Ansaldi,ar ARG,"DF,MF",Atlético Madrid,27,1986,7,6,578,6.4,0,0,0,0,0,0,0
26,Ion Ansotegi,es ESP,DF,Real Sociedad,32,1982,19,19,"1,710",19,0,0,0,0,0,6,0
27,José Antonio Reyes,es ESP,MF,Sevilla,30,1983,19,15,"1,218",13.5,3,4,3,0,0,5,0
28,Vitorino Antunes,pt POR,DF,Málaga,27,1987,15,15,"1,319",14.7,0,2,0,0,0,1,1
29,Javier Aquino,mx MEX,"DF,MF",Rayo Vallecano,24,1990,24,13,"1,270",14.1,0,2,0,0,0,2,2
30,Youssef El-Arabi,ma MAR,FW,Granada,27,1987,28,24,"1,977",22,8,2,4,4,4,4,1
31,Álvaro Arbeloa,es ESP,DF,Real Madrid,31,1983,22,12,"1,121",12.5,1,4,1,0,0,7,0
32,Anaitz Arbilla,es ESP,DF,Espanyol,27,1987,28,25,"2,234",24.8,1,1,1,0,0,10,1
33,Mario Arqués,es ESP,MF,Elche,22,1992,1,0,6,0.1,0,0,0,0,0,0,0
34,Alejandro Arribas,es ESP,DF,Sevilla,25,1989,11,10,864,9.6,0,0,0,0,0,4,0
35,Álvaro Arroyo,es ESP,DF,Getafe,26,1988,12,10,891,9.9,0,0,0,0,0,3,0
36,Mikel Arruabarrena,es ESP,FW,Eibar,31,1983,34,29,"2,539",28.2,9,3,7,2,2,10,0
37,Sergio Asenjo,es ESP,GK,Villarreal,25,1989,34,34,"3,053",33.9,0,0,0,0,0,1,0
38,Iago Aspas,es ESP,"FW,MF",Sevilla,26,1987,16,4,461,5.1,2,1,2,0,0,2,0
39,Filipe Augusto,br BRA,MF,Valencia,20,1993,6,1,149,1.7,0,0,0,0,0,2,0
40,Jon Aurtenetxe,es ESP,DF,Athletic Club,22,1992,4,3,287,3.2,0,0,0,0,0,0,0
41,Ramon Azeez,ng NGA,MF,Almería,21,1992,14,10,846,9.4,0,1,0,0,0,2,1
42,Abdoulaye Ba,sn SEN,DF,Rayo Vallecano,23,1991,20,20,"1,609",17.9,0,0,0,0,0,10,0
43,Jean-Sylvain Babin,mq MTQ,DF,Granada,27,1986,34,34,"3,030",33.7,1,0,1,0,0,2,0
44,Carlos Bacca,co COL,FW,Sevilla,27,1986,37,31,"2,536",28.2,20,6,14,6,8,4,0
45,Raúl Baena,es ESP,MF,Rayo Vallecano,25,1989,28,28,"2,330",25.9,2,0,2,0,0,14,1
46,Eric Bailly,ci CIV,DF,Espanyol,20,1994,5,4,354,3.9,0,0,0,0,0,1,0
47,Eric Bailly,ci CIV,DF,Villarreal,20,1994,10,10,823,9.1,0,0,0,0,0,5,0
48,Gareth Bale,wls WAL,"FW,MF",Real Madrid,25,1989,31,30,"2,573",28.6,13,9,12,1,1,2,0
49,Mikel Balenziaga,es ESP,DF,Athletic Club,26,1988,33,33,"2,917",32.4,0,0,0,0,0,9,0
50,Éver Banega,ar ARG,MF,Sevilla,26,1988,34,23,"2,200",24.4,3,3,3,0,0,11,0
51,Lass Bangoura,gn GUI,"FW,MF",Granada,22,1992,14,12,922,10.2,0,1,0,0,0,6,0
52,Lass Bangoura,gn GUI,"FW,MF",Rayo Vallecano,22,1992,1,0,16,0.2,0,0,0,0,0,0,0
53,Léo Baptistão,br BRA,"FW,MF",Rayo Vallecano,21,1992,25,22,"1,776",19.7,7,1,7,0,0,3,0
54,Mariano Barbosa,ar ARG,GK,Sevilla,30,1984,2,1,164,1.8,0,0,0,0,0,0,0
55,Antonio Barragán,es ESP,"DF,MF",Valencia,27,1987,34,32,"2,845",31.6,1,3,1,0,0,8,0
56,David Barral,es ESP,FW,Levante,31,1983,35,32,"2,624",29.2,11,0,9,2,2,11,0
57,Marc Bartra,es ESP,DF,Barcelona,23,1991,14,11,"1,036",11.5,1,3,1,0,0,1,0
58,Bebé,cv CPV,"FW,MF",Córdoba,24,1990,18,16,"1,461",16.2,0,2,0,0,0,5,0
59,Karim Benzema,fr FRA,FW,Real Madrid,26,1987,29,29,"2,278",25.3,15,11,15,0,0,1,0
60,Yuri Berchiche,es ESP,DF,Real Sociedad,24,1990,21,17,"1,469",16.3,0,1,0,0,0,7,0
61,Álex Bergantiños,es ESP,MF,La Coruña,29,1985,33,29,"2,647",29.4,0,1,0,0,0,5,0
62,Markel Bergara,es ESP,MF,Real Sociedad,28,1986,30,24,"2,128",23.6,1,1,1,0,0,9,0
63,Saúl Berjón,es ESP,"FW,MF",Eibar,28,1986,34,30,"2,387",26.5,3,7,3,0,0,4,0
64,Beto,pt POR,GK,Sevilla,32,1982,18,18,"1,444",16,0,0,0,0,0,4,0
65,Thievy Bifouma,cg CGO,"FW,MF",Almería,22,1992,29,21,"1,776",19.7,4,1,4,0,0,7,1
66,Rubén Blanco,es ESP,GK,Celta Vigo,19,1995,1,0,70,0.8,0,0,0,0,0,0,0
67,Derek Boateng,gh GHA,MF,Eibar,31,1983,13,8,729,8.1,0,0,0,0,0,3,0
68,Arthur Boka,ci CIV,DF,Málaga,31,1983,23,18,"1,708",19,0,1,0,0,0,2,0
69,Theo Bongonda,cd COD,"FW,MF",Celta Vigo,18,1995,8,0,140,1.6,1,1,1,0,0,0,0
70,Celso Borges,cr CRC,"FW,MF",La Coruña,26,1988,17,17,"1,468",16.3,3,0,2,1,1,6,0
71,Iago Bouzón,es ESP,DF,Córdoba,31,1983,3,3,225,2.5,0,0,0,0,0,2,0
72,Eneko Bóveda,es ESP,DF,Eibar,25,1988,35,35,"3,136",34.8,1,3,1,0,0,5,0
73,Claudio Bravo,cl CHI,GK,Barcelona,31,1983,37,37,"3,330",37,0,0,0,0,0,1,0
74,Emi Buendía,ar ARG,"FW,MF",Getafe,17,1996,6,1,135,1.5,0,0,0,0,0,1,0
75,Alberto Bueno,es ESP,"FW,MF",Rayo Vallecano,26,1988,36,35,"2,864",31.8,17,4,15,2,3,4,0
76,Sergio Busquets,es ESP,MF,Barcelona,26,1988,33,29,"2,475",27.5,0,2,0,0,0,7,0
