,,,,,,,Playing Time,,,,Performance,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR
1,Damià Abella,es ESP,"DF,MF",Osasuna,30,1982,29,29,"2,471",27.5,0,1,0,0,0,15,0
2,Éric Abidal,fr FRA,DF,Barcelona,32,1979,5,2,187,2.1,0,0,0,0,0,0,0
3,David Abraham,ar ARG,DF,Getafe,26,1986,9,9,768,8.5,0,0,0,0,0,1,0
4,Mohammed Abu,gh GHA,"FW,MF",Rayo Vallecano,20,1991,1,1,56,0.6,0,0,0,0,0,0,0
5,Robert Acquafresca,it ITA,FW,Levante,24,1987,13,12,936,10.4,3,0,3,0,0,1,0
6,Antonio Adán,es ESP,GK,Real Madrid,25,1987,3,3,186,2.1,0,0,0,0,0,0,1
7,Adrián,es ESP,GK,Betis,25,1987,32,31,"2,869",31.9,0,0,0,0,0,5,0
8,Adriano,br BRA,"DF,MF",Barcelona,27,1984,23,18,"1,428",15.9,5,1,5,0,0,3,0
9,Aritz Aduriz,es ESP,FW,Athletic Club,31,1981,36,33,"2,547",28.3,14,6,13,1,2,12,1
10,Imanol Agirretxe,es ESP,FW,Real Sociedad,25,1987,34,22,"2,060",22.9,13,6,13,0,0,2,0
11,Salvador Agra,pt POR,"FW,MF",Betis,20,1991,10,7,506,5.6,1,0,1,0,0,3,0
12,Tarsicio Aguado,es ESP,MF,Zaragoza,17,1994,1,0,64,0.7,0,0,0,0,0,0,0
13,Abel Aguilar,co COL,MF,La Coruña,27,1985,28,27,"2,411",26.8,3,3,3,0,0,13,1
14,Javi Álamo,es ESP,"FW,MF",Zaragoza,23,1988,7,0,79,0.9,0,0,0,0,0,0,0
15,Jordi Alba,es ESP,"DF,MF",Barcelona,23,1989,29,27,"2,497",27.7,2,5,2,0,0,3,0
16,David Albelda,es ESP,"DF,MF",Valencia,34,1977,18,16,"1,188",13.2,0,0,0,0,0,11,0
17,Raúl Albiol,es ESP,DF,Real Madrid,26,1985,18,14,"1,380",15.3,1,0,1,0,0,6,0
18,Paco Alcácer,es ESP,FW,Getafe,18,1993,20,6,694,7.7,3,0,3,0,0,0,0
19,Thiago Alcántara,es ESP,MF,Barcelona,21,1991,27,15,"1,415",15.7,2,4,2,0,0,4,0
20,Pablo Alcolea,es ESP,GK,Zaragoza,23,1989,2,1,103,1.1,0,0,0,0,0,1,0
