,,,,,,,Playing Time,,,,Performance,,,,,,
21,Alexis,es ESP,DF,Getafe,26,1985,26,25,"2,246",25,3,0,3,0,0,11,2
22,Alejandro Alfaro,es ESP,"FW,MF",Mallorca,25,1986,27,13,"1,302",14.5,6,1,6,0,0,1,0
23,Christian Alfonso,es ESP,MF,Espanyol,23,1989,13,2,313,3.5,0,0,0,0,0,1,0
24,Xabi Alonso,es ESP,MF,Real Madrid,30,1981,28,22,"2,149",23.9,0,5,0,0,1,11,0
25,Cristian Álvarez,ar ARG,GK,Espanyol,26,1985,18,18,"1,597",17.7,0,0,0,0,0,6,0
26,Sergio Álvarez,es ESP,GK,Celta Vigo,25,1986,2,2,180,2,0,0,0,0,0,0,0
27,Víctor Álvarez,es ESP,"DF,MF",Espanyol,19,1993,18,13,"1,146",12.7,0,2,0,0,0,2,1
28,Dani Alves,br BRA,"DF,MF",Barcelona,29,1983,30,26,"2,265",25.2,0,6,0,0,0,2,0
29,Diego Alves,br BRA,GK,Valencia,27,1985,24,24,"2,160",24,0,0,0,0,0,0,0
30,Jordi Amat,es ESP,DF,Rayo Vallecano,20,1992,27,26,"2,193",24.4,1,0,1,0,0,12,0
31,Antonio Amaya,es ESP,DF,Betis,29,1983,28,26,"2,353",26.1,0,0,0,0,0,7,2
32,Fernando Amorebieta,ve VEN,DF,Athletic Club,27,1985,11,10,886,9.8,0,0,0,0,0,5,1
33,Juan Ángel Albín,uy URU,"FW,MF",Espanyol,26,1986,7,2,225,2.5,1,0,1,0,0,2,1
34,José Ángel,es ESP,DF,Real Sociedad,22,1989,11,2,248,2.8,0,0,0,0,0,2,0
35,Miguel Ángel Moyá,es ESP,GK,Getafe,28,1984,32,32,"2,801",31.1,0,0,0,0,0,1,1
36,Brayan Angulo,co COL,"DF,MF",Granada,22,1989,15,4,582,6.5,1,0,1,0,0,1,0
37,Anthony Annan,gh GHA,MF,Osasuna,26,1986,6,5,382,4.2,0,0,0,0,0,1,0
38,Ion Ansotegi,es ESP,DF,Real Sociedad,30,1982,7,4,371,4.1,0,1,0,0,0,4,0
39,José Antonio Reyes,es ESP,MF,Sevilla,28,1983,26,20,"1,646",18.3,4,6,4,0,0,2,1
40,Vitorino Antunes,pt POR,DF,Málaga,25,1987,11,10,945,10.5,1,1,1,0,0,0,0
41,Dudu Aouate,il ISR,GK,Mallorca,34,1977,35,35,"3,121",34.7,0,0,0,0,0,2,0
42,Apoño,es ESP,MF,Zaragoza,28,1984,32,29,"2,553",28.4,9,3,2,7,7,10,0
43,Dani Aquino,es ESP,"FW,MF",Atlético Madrid,22,1990,1,0,3,0,0,0,0,0,0,0,0
44,Youssef El-Arabi,ma MAR,FW,Granada,25,1987,31,23,"1,982",22,8,1,7,1,1,4,0
45,Manuel Arana,es ESP,MF,Rayo Vallecano,27,1984,2,0,17,0.2,0,0,0,0,0,0,0
46,Carlos Aranda,es ESP,FW,Granada,32,1980,17,9,869,9.7,1,1,1,0,0,4,0
47,Carlos Aranda,es ESP,FW,Zaragoza,32,1980,11,2,422,4.7,0,0,0,0,0,0,0
48,Daniel Aranzubia,es ESP,GK,La Coruña,32,1979,35,35,"3,084",34.3,0,0,0,0,0,4,1
49,Álvaro Arbeloa,es ESP,DF,Real Madrid,29,1983,26,25,"2,070",23,0,2,0,0,0,7,0
50,Anaitz Arbilla,es ESP,DF,Rayo Vallecano,25,1987,11,8,788,8.8,0,0,0,0,0,1,0
51,Javier Arizmendi,es ESP,"FW,MF",Mallorca,28,1984,21,5,810,9,2,1,2,0,0,5,0
52,Emiliano Armenteros,ar ARG,MF,Osasuna,26,1986,30,30,"2,613",29,3,5,3,0,0,11,1
53,Alejandro Arribas,es ESP,DF,Osasuna,23,1989,34,32,"2,744",30.5,2,0,2,0,0,12,3
54,Aythami Artiles,es ESP,DF,La Coruña,26,1986,26,24,"2,172",24.1,0,1,0,0,0,10,0
55,Sergio Asenjo,es ESP,GK,Atlético Madrid,23,1989,1,1,90,1,0,0,0,0,0,0,0
56,Iago Aspas,es ESP,"FW,MF",Celta Vigo,24,1987,34,34,"2,789",31,12,7,9,3,3,5,1
57,Paulo Assunção,br BRA,MF,La Coruña,32,1980,9,7,619,6.9,0,0,0,0,0,2,1
58,Jon Aurtenetxe,es ESP,DF,Athletic Club,20,1992,27,24,"2,018",22.4,1,3,1,0,0,2,0
59,Stefan Babovi?,rs SRB,MF,Zaragoza,25,1987,9,3,316,3.5,0,0,0,0,0,2,1
60,Raúl Baena,es ESP,MF,Espanyol,23,1989,19,11,"1,006",11.2,1,1,1,0,0,6,0
61,Mikel Balenziaga,es ESP,DF,Valladolid,24,1988,32,32,"2,867",31.9,0,1,0,0,0,3,0
62,Sergio Ballesteros,es ESP,DF,Levante,36,1975,26,26,"2,280",25.3,0,1,0,0,0,10,0
63,Éver Banega,ar ARG,MF,Valencia,24,1988,29,22,"1,983",22,4,4,4,0,0,6,0
64,Lass Bangoura,gn GUI,"FW,MF",Rayo Vallecano,20,1992,32,20,"1,772",19.7,3,5,3,0,0,6,0
65,Júlio Baptista,br BRA,"FW,MF",Málaga,30,1981,14,11,910,10.1,4,0,4,0,0,3,0
66,Léo Baptistão,br BRA,"FW,MF",Rayo Vallecano,19,1992,28,26,"2,238",24.9,7,7,7,0,0,5,0
67,Javier Baraja,es ESP,"DF,MF",Valladolid,31,1980,12,3,344,3.8,1,0,1,0,0,1,0
68,José Barkero,es ESP,MF,Levante,33,1979,28,25,"2,171",24.1,5,1,3,2,4,5,0
69,Abdelaziz Barrada,ma MAR,MF,Getafe,23,1989,32,30,"2,566",28.5,4,6,4,0,0,4,1
70,Antonio Barragán,es ESP,"DF,MF",Valencia,25,1987,14,9,927,10.3,0,0,0,0,0,4,0
71,Marc Bartra,es ESP,DF,Barcelona,21,1991,8,3,400,4.4,0,0,0,0,0,1,0
72,Carlos Bellvís,es ESP,DF,Celta Vigo,27,1985,13,8,821,9.1,0,0,0,0,0,1,0
73,Emre Belözo?lu,tr TUR,MF,Atlético Madrid,31,1980,7,4,266,3,0,1,0,0,0,1,0
74,Dani Benítez,es ESP,MF,Granada,25,1987,9,9,716,8,1,2,1,0,0,3,0
75,Karim Benzema,fr FRA,FW,Real Madrid,24,1987,30,19,"1,770",19.7,11,12,11,0,0,0,0
76,Álex Bergantiños,es ESP,MF,La Coruña,27,1985,29,22,"2,060",22.9,1,0,1,0,0,4,0
77,Markel Bergara,es ESP,MF,Real Sociedad,26,1986,28,27,"2,357",26.2,0,0,0,0,0,8,1
78,Mario Bermejo,es ESP,FW,Celta Vigo,33,1978,33,16,"1,618",18,5,0,5,0,0,4,0
79,Juan Bernat,es ESP,"DF,FW",Valencia,19,1993,12,6,502,5.6,0,2,0,0,0,1,0
80,Marc Bertrán,es ESP,DF,Osasuna,30,1982,23,20,"1,860",20.7,0,1,0,0,0,8,0
81,Beto,pt POR,GK,Sevilla,30,1982,14,14,"1,260",14,0,0,0,0,0,0,0
82,Henri Bienvenu,cm CMR,FW,Zaragoza,24,1988,9,1,244,2.7,0,0,0,0,0,2,0
83,Pedro Bigas,es ESP,"DF,MF",Mallorca,21,1990,24,24,"2,056",22.8,1,1,1,0,0,7,0
84,Nicki Bille Nielsen,dk DEN,FW,Rayo Vallecano,24,1988,9,4,397,4.4,0,0,0,0,0,1,0
85,Rubén Blanco,es ESP,GK,Celta Vigo,17,1995,2,1,137,1.5,0,0,0,0,0,0,0
86,Rodolfo Bodipo,gq EQG,FW,La Coruña,34,1977,6,0,91,1,1,0,1,0,0,0,0
87,Alberto Botía,es ESP,DF,Sevilla,23,1989,18,14,"1,350",15,1,0,1,0,0,11,0
88,Yacine Brahimi,dz ALG,"FW,MF",Granada,22,1990,27,21,"1,838",20.4,0,1,0,0,0,7,1
89,Brandon,es ESP,"FW,MF",Mallorca,17,1995,1,0,19,0.2,0,0,0,0,0,1,0
90,Claudio Bravo,cl CHI,GK,Real Sociedad,29,1983,31,31,"2,790",31,0,0,0,0,0,0,0
91,Alberto Bueno,es ESP,"FW,MF",Valladolid,24,1988,33,14,"1,516",16.8,5,3,4,1,1,4,0
92,Diego Buonanotte,ar ARG,"FW,MF",Granada,24,1988,15,4,597,6.6,1,1,1,0,0,3,0
93,Diego Buonanotte,ar ARG,"FW,MF",Málaga,24,1988,9,2,253,2.8,1,3,1,0,0,1,0
94,Sergio Busquets,es ESP,MF,Barcelona,24,1988,31,25,"2,250",25,1,2,1,0,0,9,0
95,Cristian Bustos,es ESP,MF,Celta Vigo,29,1983,7,2,218,2.4,0,0,0,0,0,1,0
96,Willy Caballero,ar ARG,GK,Málaga,30,1981,36,36,"3,190",35.4,0,0,0,0,0,3,0
97,Gustavo Cabral,ar ARG,DF,Celta Vigo,26,1985,27,26,"2,238",24.9,2,1,2,0,0,11,2
98,Liassine Cadamuro,dz ALG,DF,Real Sociedad,24,1988,4,2,194,2.2,0,0,0,0,0,2,0
99,Cala,es ESP,DF,Sevilla,22,1989,10,8,723,8,0,0,0,0,0,4,0
100,Juan Calatayud,es ESP,GK,Mallorca,32,1979,3,3,270,3,0,0,0,0,0,0,0
101,José Callejón,es ESP,"FW,MF",Real Madrid,25,1987,30,15,"1,402",15.6,3,3,3,0,0,1,0
102,Ignacio Camacho,es ESP,MF,Málaga,22,1990,33,30,"2,711",30.1,2,0,2,0,0,14,1
103,José Campaña,es ESP,MF,Sevilla,19,1993,5,3,184,2,0,0,0,0,0,2,0
104,Joel Campbell,cr CRC,"FW,MF",Betis,20,1992,28,21,"1,582",17.6,2,3,2,0,0,8,1
105,Javier Camuñas,es ESP,"FW,MF",La Coruña,32,1980,23,4,673,7.5,1,0,1,0,0,5,0
106,Sergio Canales,es ESP,"FW,MF",Valencia,21,1991,13,7,570,6.3,2,2,2,0,0,1,0
107,José Cañas,es ESP,MF,Betis,25,1987,27,26,"2,259",25.1,0,1,0,0,0,10,0
108,Joan Capdevila,es ESP,DF,Espanyol,34,1978,26,25,"2,253",25,0,1,0,0,0,6,0
109,José Carlos,es ESP,"FW,MF",Rayo Vallecano,25,1987,32,21,"2,118",23.5,2,1,2,0,0,4,0
110,Juan Carlos Valerón,es ESP,MF,La Coruña,37,1975,33,28,"2,250",25,1,7,1,0,0,2,0
111,Adrià Carmona,es ESP,"FW,MF",Zaragoza,20,1992,3,0,57,0.6,0,0,0,0,0,1,0
112,Ricardo Carvalho,pt POR,DF,Real Madrid,34,1978,9,9,810,9,0,1,0,0,0,2,0
113,Víctor Casadesús,es ESP,FW,Mallorca,27,1985,33,31,"2,593",28.8,8,6,7,1,2,7,0
114,Casemiro,br BRA,MF,Real Madrid,20,1992,1,1,90,1,0,0,0,0,0,0,0
115,Kiko Casilla,es ESP,GK,Espanyol,25,1986,21,20,"1,823",20.3,0,0,0,0,0,4,0
116,Iker Casillas,es ESP,GK,Real Madrid,31,1981,19,18,"1,703",18.9,0,0,0,0,0,1,0
117,Xabier Castillo,hr CRO,DF,Athletic Club,26,1986,7,3,301,3.3,0,0,0,0,0,0,0
118,Casto,es ESP,GK,Betis,30,1982,5,5,371,4.1,0,0,0,0,0,2,1
119,Chory Castro,uy URU,"FW,MF",Real Sociedad,27,1984,31,13,"1,324",14.7,7,3,7,0,0,3,0
120,Diego Castro,es ESP,"FW,MF",Getafe,30,1982,34,30,"2,633",29.3,7,3,3,4,4,11,1
121,Jonny Castro,es ESP,"DF,MF",Celta Vigo,18,1994,19,19,"1,618",18,0,0,0,0,0,6,0
122,Rubén Castro,es ESP,"FW,MF",Betis,31,1981,34,32,"2,952",32.8,18,6,16,2,2,3,0
123,Zé Castro,pt POR,DF,La Coruña,29,1983,24,20,"1,791",19.9,0,0,0,0,0,4,0
124,Álvaro Cejudo,es ESP,MF,Osasuna,28,1984,32,25,"1,985",22.1,3,6,3,0,0,3,0
125,Chechu,es ESP,DF,Betis,30,1982,7,5,499,5.5,0,0,0,0,0,1,0
126,Javier Chica,es ESP,DF,Betis,27,1985,22,21,"1,898",21.1,0,1,0,0,0,4,0
127,Park Chu-young,kr KOR,"FW,MF",Celta Vigo,27,1985,21,8,744,8.3,3,1,3,0,0,3,0
128,Cicinho,br BRA,DF,Sevilla,25,1986,27,19,"1,727",19.2,1,1,1,0,0,4,0
129,Domingo Cisma,es ESP,DF,Atlético Madrid,30,1982,2,2,164,1.8,0,0,0,0,0,1,0
130,Aly Cissokho,fr FRA,DF,Valencia,24,1987,25,18,"1,691",18.8,2,2,2,0,0,6,1
131,David Cobeño,es ESP,GK,Rayo Vallecano,30,1982,8,8,695,7.7,0,0,0,0,0,1,0
132,Jordi Codina,es ESP,GK,Getafe,30,1982,7,6,619,6.9,0,0,0,0,0,1,0
133,Fábio Coentrão,pt POR,DF,Real Madrid,24,1988,16,16,"1,375",15.3,1,1,1,0,0,2,0
134,Coke,es ESP,DF,Sevilla,25,1987,21,19,"1,538",17.1,3,4,3,0,0,5,1
135,Diego Colotto,ar ARG,DF,Espanyol,31,1981,28,28,"2,456",27.3,2,1,2,0,0,8,1
136,Adrián Colunga,es ESP,"FW,MF",Getafe,27,1984,22,15,"1,266",14.1,6,6,6,0,0,4,0
137,Anderson Conceição,br BRA,DF,Mallorca,22,1989,16,14,"1,242",13.8,0,0,0,0,0,1,0
138,Diego Costa,es ESP,FW,Atlético Madrid,23,1988,31,24,"2,035",22.6,10,7,10,0,0,12,0
139,Ricardo Costa,pt POR,DF,Valencia,31,1981,26,25,"2,157",24,4,0,4,0,0,10,2
140,Tino Costa,ar ARG,MF,Valencia,27,1985,31,26,"2,271",25.2,1,5,1,0,0,7,1
141,Thibaut Courtois,be BEL,GK,Atlético Madrid,20,1992,37,37,"3,330",37,0,0,0,0,0,2,0
142,Julián Cuesta,es ESP,GK,Sevilla,21,1991,1,1,90,1,0,0,0,0,0,0,0
143,Manu del Moral,es ESP,FW,Sevilla,28,1984,22,7,794,8.8,1,1,1,0,0,2,0
144,Andrija Delibaši?,me MNE,FW,Rayo Vallecano,31,1981,32,11,"1,284",14.3,6,1,6,0,0,6,0
145,Martín Demichelis,ar ARG,"DF,MF",Málaga,31,1980,31,31,"2,725",30.3,3,0,3,0,0,10,2
146,Vadim Demidov,no NOR,"DF,MF",Celta Vigo,25,1986,12,12,"1,018",11.3,0,0,0,0,0,2,0
147,Gerard Deulofeu,es ESP,"FW,MF",Barcelona,18,1994,1,0,27,0.3,0,0,0,0,0,0,0
148,Ángel Di María,ar ARG,"FW,MF",Real Madrid,24,1988,32,22,"1,964",21.8,7,9,7,0,0,4,1
149,Pape Diakhaté,sn SEN,DF,Granada,28,1984,18,17,"1,491",16.6,0,0,0,0,0,6,0
150,Lassana Diarra,fr FRA,MF,Real Madrid,27,1985,2,2,117,1.3,0,0,0,0,0,0,0
151,Baba Diawara,sn SEN,FW,Sevilla,24,1988,19,5,636,7.1,0,0,0,0,0,1,0
152,Cata Díaz,ar ARG,DF,Atlético Madrid,33,1979,9,7,720,8,0,0,0,0,0,2,0
153,Ayoze Díaz Díaz,es ESP,"DF,MF",La Coruña,30,1982,14,11,"1,003",11.1,0,0,0,0,0,4,0
154,Papakouli Diop,sn SEN,MF,Levante,26,1986,32,32,"2,491",27.7,0,0,0,0,0,10,1
155,Chori Domínguez,ar ARG,"FW,MF",Rayo Vallecano,31,1981,33,32,"2,695",29.9,5,4,3,2,2,12,0
156,Juan Domínguez,es ESP,MF,La Coruña,22,1990,24,21,"1,864",20.7,1,0,1,0,0,4,0
157,Giovani dos Santos,mx MEX,"FW,MF",Mallorca,23,1989,29,27,"2,386",26.5,6,6,6,0,0,4,0
158,Jonathan dos Santos,mx MEX,MF,Barcelona,22,1990,3,0,63,0.7,0,0,0,0,0,0,0
159,Duda,pt POR,"DF,FW",Málaga,32,1980,17,3,545,6.1,0,1,0,0,0,6,0
160,Dariusz Dudka,pl POL,"DF,MF",Levante,28,1983,3,1,126,1.4,0,0,0,0,0,0,0
161,Patrick Ebert,de GER,"FW,MF",Valladolid,25,1987,23,22,"1,791",19.9,6,8,6,0,0,4,0
162,Ion Echaide,es ESP,DF,Osasuna,24,1988,1,1,58,0.6,0,0,0,0,0,0,0
163,Borja Ekiza,es ESP,DF,Athletic Club,24,1988,24,23,"2,060",22.9,0,0,0,0,0,3,0
164,Eliseu,pt POR,"DF,MF",Málaga,28,1983,28,25,"2,116",23.5,1,3,0,1,1,2,1
165,Gorka Elustondo,es ESP,"DF,MF",Real Sociedad,25,1987,8,5,443,4.9,1,1,1,0,0,2,0
166,Sergio Escudero,es ESP,"DF,MF",Getafe,22,1989,9,9,784,8.7,1,0,1,0,0,0,0
167,Michael Essien,gh GHA,"DF,MF",Real Madrid,29,1982,21,19,"1,691",18.8,2,0,2,0,0,4,0
168,Dani Estrada,es ESP,"DF,MF",Real Sociedad,25,1987,19,10,982,10.9,0,0,0,0,0,4,1
169,Beñat Etxebarria,es ESP,MF,Betis,25,1987,34,33,"2,843",31.6,4,9,4,0,0,16,0
170,Evaldo Fabiano,br BRA,DF,La Coruña,30,1982,15,14,"1,208",13.4,0,1,0,0,0,5,1
171,Fabinho,br BRA,"DF,MF",Real Madrid,18,1993,1,0,16,0.2,0,1,0,0,0,0,0
172,Cesc Fàbregas,es ESP,"FW,MF",Barcelona,25,1987,32,30,"2,296",25.5,11,12,11,0,0,7,0
173,Fabricio,es ESP,GK,Betis,24,1987,2,2,180,2,0,0,0,0,0,0,0
174,Radamel Falcao,co COL,FW,Atlético Madrid,26,1986,34,34,"2,895",32.2,28,0,20,8,8,7,0
175,Federico Fazio,ar ARG,DF,Sevilla,25,1987,26,25,"2,113",23.5,3,0,3,0,0,5,2
176,Sofiane Feghouli,dz ALG,"FW,MF",Valencia,22,1989,27,23,"2,102",23.4,3,6,3,0,0,8,1
177,Andrés Fernández,es ESP,GK,Osasuna,25,1986,37,37,"3,330",37,0,0,0,0,0,2,0
178,Augusto Fernández,ar ARG,MF,Celta Vigo,26,1986,36,36,"2,855",31.7,6,5,6,0,0,9,1
179,Borja Fernández,es ESP,MF,Getafe,31,1981,16,14,"1,086",12.1,1,1,1,0,0,9,1
180,Federico Fernández,ar ARG,DF,Getafe,23,1989,14,13,"1,175",13.1,1,1,1,0,0,5,1
181,Marc Fernández,es ESP,"FW,MF",Mallorca,22,1990,6,0,113,1.3,0,0,0,0,0,0,0
182,Raúl Fernández,es ESP,GK,Athletic Club,24,1988,3,3,270,3,0,0,0,0,0,0,0
183,Seba Fernández,uy URU,FW,Málaga,27,1985,17,5,498,5.5,0,0,0,0,0,2,0
184,Miguel Flaño,es ESP,DF,Osasuna,27,1984,22,22,"1,912",21.2,0,0,0,0,0,5,0
185,Antonio Floro Flores,it ITA,FW,Granada,29,1983,10,5,507,5.6,1,0,1,0,0,4,0
186,Andreu Fontàs,es ESP,DF,Mallorca,22,1989,9,5,371,4.1,0,0,0,0,0,2,1
187,Rui Fonte,pt POR,"FW,MF",Espanyol,22,1990,10,5,488,5.4,0,0,0,0,0,2,0
188,Juan Forlín,ar ARG,"DF,MF",Espanyol,24,1988,33,32,"2,761",30.7,0,1,0,0,0,17,1
189,Hugo Fraile,es ESP,"FW,MF",Getafe,25,1987,3,0,75,0.8,0,0,0,0,0,0,0
190,Leo Franco,ar ARG,GK,Zaragoza,35,1977,4,4,347,3.9,0,0,0,0,0,1,1
191,Javi Fuego,es ESP,MF,Rayo Vallecano,28,1984,36,36,"3,209",35.7,0,1,0,0,0,14,0
192,Gabi,es ESP,MF,Atlético Madrid,29,1983,35,34,"2,865",31.8,0,2,0,0,0,11,1
193,Fernando Gago,ar ARG,MF,Valencia,26,1986,13,11,898,10,0,0,0,0,0,2,0
194,Iñigo Ruiz de Galarreta,es ESP,MF,Athletic Club,18,1993,3,0,143,1.6,0,1,0,0,0,0,0
195,Álex Gálvez,es ESP,"DF,MF",Rayo Vallecano,23,1989,28,24,"2,246",25,0,0,0,0,0,12,1
196,Bruno Gama,pt POR,"FW,MF",La Coruña,24,1987,38,38,"3,127",34.7,6,6,6,0,0,4,0
197,Jesús Gámez,es ESP,DF,Málaga,27,1985,28,28,"2,419",26.9,0,2,0,0,0,8,0
198,Carlos García,es ESP,MF,Betis,18,1993,1,0,3,0,0,0,0,0,0,0,0
199,Raúl García,es ESP,"FW,MF",Atlético Madrid,26,1986,30,13,"1,305",14.5,5,3,5,0,0,4,0
200,Rubén García,es ESP,"FW,MF",Levante,19,1993,31,21,"1,848",20.5,4,2,4,0,0,4,0
201,Sergio García,es ESP,"FW,MF",Espanyol,29,1983,28,27,"2,418",26.9,7,6,7,0,0,4,1
202,Unai García,es ESP,DF,Osasuna,20,1992,1,1,90,1,0,0,0,0,0,1,0
203,Jaime Gavilán,es ESP,MF,Getafe,27,1985,22,10,896,10,0,2,0,0,0,4,0
204,Theofanis Gekas,gr GRE,FW,Levante,32,1980,4,2,235,2.6,0,1,0,0,0,0,0
205,Pedro Geromel,br BRA,DF,Mallorca,26,1985,30,29,"2,611",29,1,0,1,0,0,11,0
206,Álvaro Giménez,es ESP,"FW,MF",Mallorca,21,1991,1,0,12,0.1,0,0,0,0,0,0,0
207,Dani Giménez,es ESP,GK,Rayo Vallecano,29,1983,2,1,111,1.2,0,0,0,0,0,0,0
208,Diego Godín,uy URU,DF,Atlético Madrid,26,1986,35,35,"3,104",34.5,1,2,1,0,0,10,1
209,Cristian Gómez,es ESP,MF,Espanyol,23,1989,16,8,727,8.1,0,1,0,0,0,3,0
210,Ibai Gómez,es ESP,"FW,MF",Athletic Club,22,1989,35,17,"1,958",21.8,4,9,4,0,0,1,0
211,Isaac Gómez,es ESP,MF,Rayo Vallecano,16,1995,1,0,8,0.1,0,0,0,0,0,0,0
212,Borja Gómez Pérez,es ESP,DF,Granada,24,1988,12,12,"1,049",11.7,0,0,0,0,0,4,1
213,Raúl Goni,es ESP,DF,Zaragoza,23,1988,4,4,314,3.5,0,0,0,0,0,1,0
214,Adrián González,es ESP,MF,Rayo Vallecano,24,1988,21,8,806,9,0,1,0,0,0,5,0
215,Álvaro González,es ESP,DF,Zaragoza,22,1990,33,33,"2,942",32.7,1,0,1,0,0,12,2
216,Mikel González,es ESP,DF,Real Sociedad,26,1985,34,34,"3,060",34,2,1,2,0,0,10,0
217,Antoine Griezmann,fr FRA,"FW,MF",Real Sociedad,21,1991,34,32,"2,848",31.6,10,3,10,0,0,8,0
218,Vicente Guaita,es ESP,GK,Valencia,25,1987,14,14,"1,260",14,0,0,0,0,0,1,0
219,Andrés Guardado,mx MEX,"DF,FW",Valencia,25,1986,32,26,"2,365",26.3,1,3,1,0,0,6,0
220,Javi Guerra,es ESP,FW,Valladolid,30,1982,30,17,"1,612",17.9,8,0,8,0,0,4,0
221,Carlos Gurpegui,es ESP,"DF,MF",Athletic Club,31,1980,27,24,"2,047",22.7,1,0,1,0,0,14,0
222,Tomer Hemed,il ISR,FW,Mallorca,25,1987,37,28,"2,397",26.6,11,2,11,0,0,4,0
223,Dani Hernández,ve VEN,GK,Valladolid,26,1985,24,24,"2,160",24,0,0,0,0,0,1,0
224,Héctor Hernández,es ESP,DF,Zaragoza,21,1991,1,1,22,0.2,0,0,0,0,0,1,1
225,Ander Herrera,es ESP,MF,Athletic Club,22,1989,29,29,"2,417",26.9,1,2,1,0,0,11,2
226,Javier Hervás,es ESP,MF,Sevilla,23,1989,9,1,161,1.8,0,0,0,0,0,1,0
227,Gonzalo Higuaín,ar ARG,"FW,MF",Real Madrid,24,1987,28,19,"1,746",19.4,16,5,16,0,0,4,1
228,Moisés Hurtado,es ESP,MF,Granada,31,1981,1,1,45,0.5,0,0,0,0,0,1,0
229,Alan Hutton,sct SCO,DF,Mallorca,27,1984,17,17,"1,485",16.5,0,0,0,0,0,4,0
230,Vicente Iborra,es ESP,MF,Levante,24,1988,35,35,"3,055",33.9,4,1,4,0,0,13,1
231,Diego Ifrán,uy URU,FW,Real Sociedad,25,1987,26,9,920,10.2,2,3,2,0,0,2,0
232,Odion Ighalo,ng NGA,FW,Granada,23,1989,28,19,"1,780",19.8,5,2,5,0,0,4,0
233,Nosa Igiebor,ng NGA,MF,Betis,21,1990,16,7,578,6.4,1,1,1,0,0,2,0
234,Asier Illarramendi,es ESP,MF,Real Sociedad,22,1990,32,32,"2,683",29.8,0,5,0,0,0,11,0
235,Andrés Iniesta,es ESP,"FW,MF",Barcelona,28,1984,31,24,"2,091",23.2,3,15,3,0,0,4,0
236,Natxo Insa,my MAS,MF,Celta Vigo,26,1986,18,14,"1,136",12.6,2,0,2,0,0,6,0
237,Emiliano Insúa,ar ARG,DF,Atlético Madrid,23,1989,3,2,200,2.2,0,1,0,0,0,1,0
238,Pablo Insua,es ESP,DF,La Coruña,18,1993,3,2,192,2.1,0,0,0,0,0,0,0
239,Gorka Iraizoz,es ESP,GK,Athletic Club,31,1981,35,35,"3,150",35,0,0,0,0,0,4,0
240,Andoni Iraola,es ESP,"DF,MF",Athletic Club,30,1982,35,34,"3,062",34,0,4,0,0,0,6,0
241,Iriney,br BRA,MF,Granada,31,1981,25,21,"1,780",19.8,0,0,0,0,0,5,1
242,Isco,es ESP,"FW,MF",Málaga,20,1992,37,36,"3,052",33.9,9,2,7,2,2,4,0
243,Manuel Iturra,cl CHI,MF,Málaga,28,1984,25,15,"1,478",16.4,0,0,0,0,0,9,0
244,Ander Iturraspe,es ESP,MF,Athletic Club,23,1989,30,27,"2,234",24.8,0,2,0,0,0,13,1
