,,,,,,,,,Standard,,,,,,,,Performance,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,PK,PKatt
1,Aymen Abdennour,tn TUN,DF,Valencia,26,1989,9.8,0,2,0,0,0.2,0,0,,,0,0
2,Antonio Ad·n,es ESP,GK,Betis,29,1987,37,0,0,0,,0,0,,,,0,0
3,Aritz Aduriz,es ESP,FW,Athletic Club,35,1981,27.3,16,85,45,52.9,3.11,1.65,0.13,0.24,,5,5
4,Akram Afif,qa QAT,MF,Sporting GijÛn,19,1996,2.6,0,1,1,100,0.38,0.38,0,0,,0,0
5,Rachid AÔt-Atmane,dz ALG,MF,Sporting GijÛn,23,1993,5.5,0,5,0,0,0.91,0,0,,,0,0
6,Javi ¡Ålamo,es ESP,"FW,MF",Osasuna,27,1988,0.1,0,1,0,0,6.92,0,0,,,0,0
7,Jordi Alba,es ESP,DF,Barcelona,27,1989,21.9,1,6,1,16.7,0.27,0.05,0.17,1,,0,0
8,Ra˙l Albentosa,es ESP,DF,La CoruÒa,27,1988,25.9,1,10,4,40,0.39,0.15,0.1,0.25,,0,0
9,Paco Alc·cer,es ESP,FW,Barcelona,22,1993,9.5,6,25,15,60,2.62,1.57,0.24,0.4,,0,0
10,Paco Alc·cer,es ESP,FW,Valencia,22,1993,1,0,2,1,50,2,1,0,0,,0,0
11,¡Ålex AlegrÌa,es ESP,FW,Betis,23,1992,16,3,45,20,44.4,2.82,1.25,0.07,0.15,,0,0
12,Carles AleÒ·,es ESP,MF,Barcelona,18,1998,0.5,0,1,0,0,2.09,0,0,,,0,0
13,Alexander,ar ARG,MF,LeganÈs,27,1988,22.6,8,42,17,40.5,1.86,0.75,0.17,0.41,,1,2
14,Alexis,es ESP,DF,AlavÈs,30,1985,20.2,2,7,2,28.6,0.35,0.1,0.29,1,,0,0
15,Sergio ¡Ålvarez,es ESP,GK,Celta Vigo,29,1986,26,0,0,0,,0,0,,,,0,0
16,Sergio ¡Ålvarez,es ESP,MF,Sporting GijÛn,24,1992,33.4,2,16,5,31.3,0.48,0.15,0.13,0.4,,0,0
17,VÌctor ¡Ålvarez,es ESP,DF,Espanyol,23,1993,2.3,0,0,0,,0,0,,,,0,0
18,Yeray ¡Ålvarez,es ESP,DF,Athletic Club,21,1995,25.2,0,13,2,15.4,0.52,0.08,0,0,,0,0
19,Diego Alves,br BRA,GK,Valencia,31,1985,33,0,0,0,,0,0,,,,0,0
20,Fernando Amorebieta,ve VEN,DF,Sporting GijÛn,31,1985,24.6,0,10,2,20,0.41,0.08,0,0,,0,0
21,Jon Ander Serantes,es ESP,GK,LeganÈs,26,1989,12.3,0,1,1,100,0.08,0.08,0,0,,0,0
22,Florin Andone,ro ROU,FW,La CoruÒa,23,1993,32.1,12,100,42,42,3.11,1.31,0.12,0.29,,0,0
23,Victorien Angban,ci CIV,MF,Granada,19,1996,7.6,0,2,0,0,0.26,0,0,,,0,0
24,Miguel ¡Ångel Guerrero,es ESP,FW,LeganÈs,26,1990,23.8,5,43,17,39.5,1.81,0.72,0.09,0.24,,1,1
25,JosÈ ¡Ångel,es ESP,DF,Villarreal,26,1989,7,0,7,0,0,1,0,0,,,0,0
26,Miguel ¡Ångel Moy·,es ESP,GK,AtlÈtico Madrid,32,1984,8.6,0,0,0,,0,0,,,,0,0
27,JosÈ Antonio Reyes,es ESP,"MF,FW",Espanyol,32,1983,9.7,3,15,5,33.3,1.55,0.52,0.13,0.4,,1,1
28,Sergio Araujo,ar ARG,FW,Las Palmas,24,1992,5.9,2,17,7,41.2,2.87,1.18,0.12,0.29,,0,0
29,Anaitz Arbilla,es ESP,DF,Eibar,29,1987,17.5,0,9,3,33.3,0.51,0.17,0,0,,0,0
30,Markel Areitio,es ESP,GK,Eibar,19,1996,0.5,0,0,0,,0,0,,,,0,0
31,Alejandro Arribas,es ESP,DF,La CoruÒa,27,1989,21.2,0,14,3,21.4,0.66,0.14,0,0,,0,0
32,Kepa Arrizabalaga,es ESP,GK,Athletic Club,21,1994,22.4,0,0,0,,0,0,,,,0,0
33,Aythami Artiles,es ESP,DF,Las Palmas,30,1986,9.3,0,4,1,25,0.43,0.11,0,0,,0,0
34,Sergio Asenjo,es ESP,GK,Villarreal,27,1989,23.4,0,0,0,,0,0,,,,0,0
35,Marco Asensio,es ESP,"FW,MF",Real Madrid,20,1996,12,3,26,11,42.3,2.16,0.91,0.12,0.27,,0,0
36,Iago Aspas,es ESP,"FW,MF",Celta Vigo,28,1987,25.7,19,78,37,47.4,3.03,1.44,0.17,0.35,,6,6
37,Omer Atzili,il ISR,MF,Granada,23,1993,3.5,0,1,0,0,0.28,0,0,,,0,0
38,Ryan Babel,nl NED,"MF,FW",La CoruÒa,29,1986,6.2,4,13,7,53.8,2.08,1.12,0.31,0.57,,0,1
39,Jean-Sylvain Babin,mq MTQ,DF,Sporting GijÛn,29,1986,19,1,9,3,33.3,0.47,0.16,0.11,0.33,,0,0
40,CÈdric Bakambu,cd COD,FW,Villarreal,25,1991,17.4,11,48,25,52.1,2.76,1.44,0.23,0.44,,0,0
41,Zakaria Bakkali,be BEL,FW,Valencia,20,1996,3.2,1,6,2,33.3,1.87,0.62,0.17,0.5,,0,0
42,Gareth Bale,wls WAL,FW,Real Madrid,27,1989,15.8,7,64,24,37.5,4.06,1.52,0.11,0.29,,0,0
43,Mikel Balenziaga,es ESP,DF,Athletic Club,28,1988,31.6,1,10,1,10,0.32,0.03,0.1,1,,0,0
44,LÈo Baptist„o,br BRA,"FW,MF",Espanyol,23,1992,15.8,6,33,21,63.6,2.09,1.33,0.18,0.29,,0,0
45,Kike Barja,es ESP,MF,Osasuna,19,1997,0.2,0,0,0,,0,0,,,,0,0
