,,,,,,,,,Standard,,,,,,,,Performance,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,PK,PKatt
1,Dami‡ Abella,es ESP,"DF,MF",Osasuna,31,1982,31.3,0,,3,,,0.1,,0,,0,0
2,Javier AcuÒa,py PAR,FW,Osasuna,25,1988,6.1,3,,5,,,0.82,,0.6,,0,0
3,Antonio Ad·n,es ESP,GK,Betis,26,1987,16.9,0,,0,,,0,,,,0,0
4,Issam El Adoua,ma MAR,DF,Levante,26,1986,11.3,0,,3,,,0.27,,0,,0,0
5,Adriano,br BRA,"DF,MF",Barcelona,28,1984,23,3,,13,,,0.56,,0.23,,0,0
6,Aritz Aduriz,es ESP,FW,Athletic Club,32,1981,26.6,16,,39,,,1.47,,0.36,,2,3
7,Ibrahim Afellay,nl NED,"FW,MF",Barcelona,27,1986,0,0,,0,,,0,,,,0,0
8,Imanol Agirretxe,es ESP,FW,Real Sociedad,26,1987,21.6,8,,24,,,1.11,,0.33,,0,0
9,Jordi Alba,es ESP,"DF,MF",Barcelona,24,1989,13.8,0,,3,,,0.22,,0,,0,0
10,Edu Alb·car,es ESP,DF,Elche,33,1979,17.6,3,,9,,,0.51,,0,,3,3
11,Unai Albizua,es ESP,DF,Athletic Club,24,1989,0.6,0,,0,,,0,,,,0,0
12,Paco Alc·cer,es ESP,FW,Valencia,19,1993,17,6,,17,,,1,,0.35,,0,0
13,Toby Alderweireld,be BEL,DF,AtlÈtico Madrid,24,1989,10.1,1,,3,,,0.3,,0.33,,0,0
14,Alexis,es ESP,DF,Getafe,27,1985,27.7,0,,1,,,0.04,,0,,0,0
15,Xabi Alonso,es ESP,MF,Real Madrid,31,1981,22.5,0,,1,,,0.04,,0,,0,0
16,Sergio ¡Ålvarez,es ESP,GK,Celta Vigo,26,1986,3,0,,0,,,0,,,,0,0
17,VÌctor ¡Ålvarez,es ESP,"DF,MF",Espanyol,20,1993,3.3,0,,0,,,0,,,,0,0
18,Dani Alves,br BRA,"DF,MF",Barcelona,30,1983,26.5,2,,10,,,0.38,,0.2,,0,0
19,Diego Alves,br BRA,GK,Valencia,28,1985,25.3,0,,0,,,0,,,,0,0
20,Antonio Amaya,es ESP,DF,Betis,30,1983,22.5,1,,10,,,0.44,,0.1,,0,0
21,Nordin Amrabat,ma MAR,"FW,MF",M·laga,26,1987,14.5,2,,10,,,0.69,,0.1,,1,1
22,Stephan Andersen,dk DEN,GK,Betis,31,1981,6.5,0,,0,,,0,,,,0,0
23,Bobley Anderson,ci CIV,MF,M·laga,21,1992,2.8,0,,1,,,0.35,,0,,0,0
