,,,,,,,,,Standard,,,,,,,,Performance,
24,JosÈ ¡Ångel,es ESP,DF,Real Sociedad,23,1989,21.2,1,,2,,,0.09,,0.5,,0,0
25,Miguel ¡Ångel Moy·,es ESP,GK,Getafe,29,1984,25.6,0,,0,,,0,,,,0,0
26,Joan ¿ngel Rom·n,es ESP,"FW,MF",Villarreal,20,1993,1,0,,0,,,0,,,,0,0
27,Marcos Angeleri,ar ARG,DF,M·laga,30,1983,24.7,0,,3,,,0.12,,0,,0,0
28,Brayan Angulo,co COL,"DF,MF",Granada,23,1989,32.6,0,,1,,,0.03,,0,,0,0
29,Ion Ansotegi,es ESP,DF,Real Sociedad,31,1982,19.9,2,,2,,,0.1,,1,,0,0
30,JosÈ Antonio Caro,es ESP,DF,Betis,20,1993,1.9,0,,1,,,0.53,,0,,0,0
31,JosÈ Antonio Reyes,es ESP,MF,Sevilla,29,1983,13,0,,5,,,0.38,,0,,0,0
32,Vitorino Antunes,pt POR,DF,M·laga,26,1987,35.3,0,,8,,,0.23,,0,,0,0
33,Javier Aquino,mx MEX,"DF,MF",Villarreal,23,1990,20.5,1,,9,,,0.44,,0.11,,0,0
34,Youssef El-Arabi,ma MAR,FW,Granada,26,1987,30.8,12,,38,,,1.24,,0.29,,1,2
35,Daniel Aranzubia,es ESP,GK,AtlÈtico Madrid,33,1979,0.9,0,,0,,,0,,,,0,0
36,VinÌcius Ara˙jo,br BRA,FW,Valencia,20,1993,1.2,0,,0,,,0,,,,0,0
37,¡Ålvaro Arbeloa,es ESP,DF,Real Madrid,30,1983,14.6,0,,0,,,0,,,,0,0
38,Anaitz Arbilla,es ESP,DF,Rayo Vallecano,26,1987,26.5,1,,3,,,0.11,,0.33,,0,0
39,JosÈ Ariel N˙Òez,py PAR,"FW,MF",Osasuna,24,1988,2.8,0,,0,,,0,,,,0,0
40,Emiliano Armenteros,ar ARG,MF,Osasuna,27,1986,25.2,4,,15,,,0.6,,0.27,,0,0
41,Alejandro Arribas,es ESP,DF,Osasuna,24,1989,35.5,1,,8,,,0.23,,0.13,,0,0
42,¡Ålvaro Arroyo,es ESP,DF,Getafe,25,1988,16,1,,2,,,0.12,,0.5,,0,0
43,Sergio Asenjo,es ESP,GK,Villarreal,24,1989,35,0,,0,,,0,,,,0,0
44,Jon Aurtenetxe,es ESP,DF,Celta Vigo,21,1992,17.4,0,,0,,,0,,,,0,0
45,Ramon Azeez,ng NGA,MF,AlmerÌa,20,1992,22.8,2,,8,,,0.35,,0.25,,0,0
46,Carlos Bacca,co COL,FW,Sevilla,26,1986,25.5,14,,34,,,1.33,,0.38,,1,1
47,Ra˙l Baena,es ESP,MF,Rayo Vallecano,24,1989,13.6,0,,4,,,0.29,,0,,0,0
48,Gareth Bale,wls WAL,"FW,MF",Real Madrid,24,1989,22.9,15,,30,,,1.31,,0.5,,0,0
49,Mikel Balenziaga,es ESP,DF,Athletic Club,25,1988,29.5,0,,1,,,0.03,,0,,0,0
50,…ver Banega,ar ARG,MF,Valencia,25,1988,12.8,1,,7,,,0.55,,0,,1,2
51,Lass Bangoura,gn GUI,"FW,MF",Rayo Vallecano,21,1992,19.8,0,,6,,,0.3,,0,,0,0
52,LÈo Baptist„o,br BRA,"FW,MF",Betis,20,1992,11.1,1,,10,,,0.9,,0.1,,0,0
53,LÈo Baptist„o,br BRA,"FW,MF",AtlÈtico Madrid,20,1992,1.4,0,,1,,,0.72,,0,,0,0
54,Javier Baraja,es ESP,"DF,MF",Valladolid,32,1980,5.8,0,,0,,,0,,,,0,0
55,HÈlder Barbosa,pt POR,"FW,MF",AlmerÌa,26,1987,11,1,,6,,,0.55,,0.17,,0,0
56,Heinz Barmettler,do DOM,DF,Valladolid,26,1987,1,0,,0,,,0,,,,0,0
57,Antonio Barrag·n,es ESP,"DF,MF",Valencia,26,1987,16.6,0,,2,,,0.12,,0,,0,0
58,David Barral,es ESP,FW,Levante,30,1983,25,7,,24,,,0.96,,0.25,,1,2
59,Marc Bartra,es ESP,DF,Barcelona,22,1991,17.7,1,,3,,,0.17,,0.33,,0,0
60,Carlos BellvÌs,es ESP,DF,Celta Vigo,28,1985,0.2,0,,0,,,0,,,,0,0
61,Dani BenÌtez,es ESP,MF,Granada,26,1987,3.6,0,,1,,,0.28,,0,,0,0
62,Karim Benzema,fr FRA,FW,Real Madrid,25,1987,30.4,17,,46,,,1.51,,0.37,,0,0
63,Markel Bergara,es ESP,MF,Real Sociedad,27,1986,30.2,1,,3,,,0.1,,0.33,,0,0
64,Zakarya Bergdich,ma MAR,"DF,MF",Valladolid,24,1989,16.8,0,,4,,,0.24,,0,,0,0
65,Mario Bermejo,es ESP,FW,Celta Vigo,34,1978,3.8,0,,4,,,1.06,,0,,0,0
66,Juan Bernat,es ESP,"DF,FW",Valencia,20,1993,27.7,1,,4,,,0.14,,0.25,,0,0
67,Marc Bertr·n,es ESP,DF,Osasuna,31,1982,27.3,0,,3,,,0.11,,0,,0,0
68,Beto,pt POR,GK,Sevilla,31,1982,32.5,0,,0,,,0,,,,0,0
69,Thievy Bifouma,cg CGO,"FW,MF",Espanyol,21,1992,4.3,3,,6,,,1.38,,0.5,,0,0
70,Richmond Boakye,gh GHA,FW,Elche,20,1993,13.5,6,,12,,,0.89,,0.5,,0,0
71,Richard Boateng,gh GHA,MF,Granada,21,1992,0.2,0,,0,,,0,,,,0,0
72,Alberto BotÌa,es ESP,DF,Elche,24,1989,31.9,0,,4,,,0.13,,0,,0,0
73,Yacine Brahimi,dz ALG,"FW,MF",Granada,23,1990,30.8,3,,19,,,0.62,,0.11,,1,1
74,Christian Bravo,cl CHI,"FW,MF",Granada,19,1993,0.7,0,,0,,,0,,,,0,0
75,Claudio Bravo,cl CHI,GK,Real Sociedad,30,1983,37,0,,0,,,0,,,,0,0
76,Alberto Bueno,es ESP,"FW,MF",Rayo Vallecano,25,1988,27.5,11,,26,,,0.95,,0.42,,0,0
77,Diego Buonanotte,ar ARG,"FW,MF",Granada,25,1988,11.7,0,,5,,,0.43,,0,,0,0
78,Sergio Busquets,es ESP,MF,Barcelona,25,1988,29.4,1,,2,,,0.07,,0.5,,0,0
79,Willy Caballero,ar ARG,GK,M·laga,31,1981,38,0,,0,,,0,,,,0,0
80,Gustavo Cabral,ar ARG,DF,Celta Vigo,27,1985,21.7,1,,3,,,0.14,,0.33,,0,0
81,Liassine Cadamuro,dz ALG,DF,Real Sociedad,25,1988,4,0,,0,,,0,,,,0,0
82,Cala,es ESP,DF,Sevilla,23,1989,8.6,1,,1,,,0.12,,1,,0,0
83,Ignacio Camacho,es ESP,MF,M·laga,23,1990,26.5,5,,7,,,0.26,,0.71,,0,0
84,VÌctor Camarasa,es ESP,MF,Levante,19,1994,1.1,0,,0,,,0,,,,0,0
85,Sergio Canales,es ESP,"FW,MF",Real Sociedad,22,1991,11.5,2,,9,,,0.78,,0.22,,0,0
86,Sergio Canales,es ESP,"FW,MF",Valencia,22,1991,9.3,0,,7,,,0.75,,0,,0,0
87,Cani,es ESP,MF,Villarreal,31,1981,22.2,3,,10,,,0.45,,0.3,,0,0
88,Joan Capdevila,es ESP,DF,Espanyol,35,1978,2.6,0,,2,,,0.76,,0,,0,0
89,JosÈ Carlos,es ESP,"FW,MF",Rayo Vallecano,26,1987,1.4,0,,2,,,1.43,,0,,0,0
90,Juan Carlos,es ESP,GK,Villarreal,26,1987,3,0,,0,,,0,,,,0,0
91,Daniel CarriÁo,pt POR,"DF,MF",Sevilla,24,1988,21.5,2,,7,,,0.33,,0.29,,0,0
92,Federico Cartabia,ar ARG,"FW,MF",Valencia,20,1993,15.7,0,,8,,,0.51,,0,,0,0
93,Dani Carvajal,es ESP,DF,Real Madrid,21,1992,24.9,2,,2,,,0.08,,1,,0,0
94,VÌctor Casades˙s,es ESP,FW,Levante,28,1985,11.6,1,,4,,,0.35,,0.25,,0,0
95,Casemiro,br BRA,MF,Real Madrid,21,1992,3.2,0,,1,,,0.31,,0,,0,0
96,Kiko Casilla,es ESP,GK,Espanyol,26,1986,36.9,0,,0,,,0,,,,0,0
97,Iker Casillas,es ESP,GK,Real Madrid,32,1981,2,0,,0,,,0,,,,0,0
98,Nery Castillo,mx MEX,"DF,FW",Rayo Vallecano,29,1984,5.1,2,,3,,,0.59,,0.33,,1,1
99,Chory Castro,uy URU,"FW,MF",Real Sociedad,28,1984,11.4,2,,12,,,1.05,,0.17,,0,0
100,Diego Castro,es ESP,"FW,MF",Getafe,31,1982,25.2,1,,13,,,0.52,,0,,1,2
101,Jonny Castro,es ESP,"DF,MF",Celta Vigo,19,1994,24.1,0,,3,,,0.12,,0,,0,0
102,RubÈn Castro,es ESP,"FW,MF",Betis,32,1981,22.4,10,,35,,,1.56,,0.29,,0,2
103,ZÈ Castro,pt POR,DF,Rayo Vallecano,30,1983,18.9,0,,1,,,0.05,,0,,0,0
104,Dani Ceballos,es ESP,MF,Betis,16,1996,0.1,0,,0,,,0,,,,0,0
105,¡Ålvaro Cejudo,es ESP,MF,Osasuna,29,1984,22.4,2,,17,,,0.76,,0.12,,0,0
106,J˙lio CÈsar,br BRA,GK,Getafe,26,1986,5,0,,0,,,0,,,,0,0
107,Charles,br BRA,FW,Celta Vigo,29,1984,25.7,12,,35,,,1.36,,0.34,,0,1
108,Chechu,es ESP,DF,Villarreal,31,1982,16.9,0,,0,,,0,,,,0,0
109,Roberto Chen,pa PAN,"DF,MF",M·laga,19,1994,2,0,,0,,,0,,,,0,0
110,Denis Cheryshev,ru RUS,"FW,MF",Sevilla,22,1990,1,0,,0,,,0,,,,0,0
111,Javier Chica,es ESP,DF,Betis,28,1985,21.6,2,,8,,,0.37,,0.25,,0,0
112,Christian,es ESP,DF,AlmerÌa,27,1985,3.6,0,,0,,,0,,,,0,0
113,Chuli,es ESP,"FW,MF",Betis,22,1991,4.9,0,,8,,,1.62,,0,,0,0
114,Domingo Cisma,es ESP,DF,Elche,31,1982,17.9,0,,1,,,0.06,,0,,0,0
115,Carlos Clerc,es ESP,DF,Espanyol,21,1992,0.7,0,,0,,,0,,,,0,0
116,David CobeÒo,es ESP,GK,Rayo Vallecano,31,1982,4.7,0,,0,,,0,,,,0,0
117,Jordi Codina,es ESP,GK,Getafe,31,1982,7.4,0,,0,,,0,,,,0,0
118,Alexandre Coeff,fr FRA,"DF,MF",Granada,21,1992,8.7,0,,0,,,0,,,,0,0
119,F·bio Coentr„o,pt POR,DF,Real Madrid,25,1988,7.3,0,,2,,,0.28,,0,,0,0
120,Coke,es ESP,DF,Sevilla,26,1987,23.1,3,,5,,,0.22,,0.6,,0,0
121,Diego Colotto,ar ARG,DF,Espanyol,32,1981,30.4,4,,8,,,0.26,,0.5,,0,0
122,Adri·n Colunga,es ESP,"FW,MF",Getafe,28,1984,16.4,4,,12,,,0.73,,0.33,,0,0
123,Jhon CÛrdoba,co COL,FW,Espanyol,20,1993,15.1,4,,12,,,0.79,,0.33,,0,0
124,Ferran Corominas,es ESP,"FW,MF",Elche,30,1983,32.9,6,,18,,,0.55,,0.33,,0,1
125,Corona,es ESP,MF,AlmerÌa,32,1981,12.4,1,,4,,,0.32,,0.25,,0,0
126,Diego Costa,es ESP,FW,AtlÈtico Madrid,24,1988,32.8,27,,56,,,1.71,,0.39,,5,8
127,Jaume Costa,es ESP,DF,Villarreal,25,1988,27.4,1,,4,,,0.15,,0.25,,0,0
128,Ricardo Costa,pt POR,DF,Valencia,32,1981,19,3,,7,,,0.37,,0.43,,0,0
129,David Costas,es ESP,DF,Celta Vigo,18,1995,13.4,0,,0,,,0,,,,0,0
130,Antonio Cot·n,es ESP,MF,Sevilla,17,1995,2,0,,0,,,0,,,,0,0
131,Thibaut Courtois,be BEL,GK,AtlÈtico Madrid,21,1992,37,0,,0,,,0,,,,0,0
132,Sebasti·n CristÛforo,uy URU,MF,Sevilla,19,1993,5.9,0,,0,,,0,,,,0,0
133,Christian Cueva,pe PER,MF,Rayo Vallecano,21,1991,0.3,0,,0,,,0,,,,0,0
134,Sergi Darder,es ESP,MF,M·laga,19,1993,24.6,2,,11,,,0.45,,0.18,,0,0
135,Manu del Moral,es ESP,FW,Elche,29,1984,15.8,2,,8,,,0.51,,0.25,,0,0
136,MoisÈs Delgado,es ESP,DF,Sevilla,19,1994,1.1,0,,0,,,0,,,,0,0
137,¡Ångel Di MarÌa,ar ARG,"FW,MF",Real Madrid,25,1988,26.2,4,,36,,,1.37,,0.11,,0,0
138,Pape DiakhatÈ,sn SEN,DF,Granada,29,1984,12.4,0,,0,,,0,,,,0,0
139,Baba Diawara,sn SEN,FW,Levante,25,1988,10.5,3,,9,,,0.86,,0.33,,0,0
140,”scar DÌaz,es ESP,"FW,MF",AlmerÌa,29,1984,13.5,4,,13,,,0.97,,0.31,,0,0
141,Diego,br BRA,MF,AtlÈtico Madrid,28,1985,5.8,1,,6,,,1.04,,0.17,,0,0
142,Papakouli Diop,sn SEN,MF,Levante,27,1986,30.5,4,,19,,,0.62,,0.21,,0,1
143,Giovani dos Santos,mx MEX,"FW,MF",Villarreal,24,1989,24.4,11,,33,,,1.35,,0.3,,1,2
144,Jonathan dos Santos,mx MEX,MF,Barcelona,23,1990,0.2,0,,0,,,0,,,,0,0
145,Sebasti·n Dubarbier,ar ARG,"DF,FW",AlmerÌa,27,1986,25.5,1,,5,,,0.2,,0.2,,0,0
146,Duda,pt POR,"DF,FW",M·laga,33,1980,19.3,2,,17,,,0.88,,0.06,,1,1
147,Patrick Ebert,de GER,"FW,MF",Valladolid,26,1987,11,3,,13,,,1.18,,0.23,,0,1
148,Borja Ekiza,es ESP,DF,Athletic Club,25,1988,0.4,0,,0,,,0,,,,0,0
149,Eliseu,pt POR,"DF,MF",M·laga,29,1983,18.3,2,,10,,,0.55,,0.2,,0,0
150,Gorka Elustondo,es ESP,"DF,MF",Real Sociedad,26,1987,12,0,,5,,,0.42,,0,,0,0
151,Adri Embarba,es ESP,"FW,MF",Rayo Vallecano,21,1992,3.9,0,,1,,,0.26,,0,,0,0
152,Sergio Escudero,es ESP,"DF,MF",Getafe,23,1989,16.4,2,,7,,,0.43,,0.29,,0,0
153,Esteban,es ESP,GK,AlmerÌa,38,1975,38,0,,0,,,0,,,,0,0
154,Dani Estrada,es ESP,"DF,MF",Real Sociedad,26,1987,2.5,0,,0,,,0,,,,0,0
155,BeÒat Etxebarria,es ESP,MF,Athletic Club,26,1987,11.3,1,,3,,,0.27,,0.33,,0,1
156,Xabier Etxeita,es ESP,DF,Athletic Club,25,1987,2.1,0,,0,,,0,,,,0,0
157,Cesc F‡bregas,es ESP,"FW,MF",Barcelona,26,1987,27.3,8,,24,,,0.88,,0.25,,2,2
158,Iago Falque,es ESP,"FW,MF",Rayo Vallecano,23,1990,21.9,3,,15,,,0.68,,0.2,,0,0
159,Mohammed Fatau,gh GHA,MF,Granada,20,1992,5.5,0,,2,,,0.36,,0,,0,0
160,Federico Fazio,ar ARG,DF,Sevilla,26,1987,26.5,2,,5,,,0.19,,0.4,,0,0
161,Sofiane Feghouli,dz ALG,"FW,MF",Valencia,23,1989,23,4,,12,,,0.52,,0.33,,0,0
162,¡Ålex Fern·ndez,es ESP,"DF,MF",Espanyol,20,1992,7.1,0,,3,,,0.42,,0,,0,0
163,AndrÈs Fern·ndez,es ESP,GK,Osasuna,26,1986,36.7,0,,0,,,0,,,,0,0
164,Augusto Fern·ndez,ar ARG,MF,Celta Vigo,27,1986,25.7,2,,13,,,0.5,,0.15,,0,0
165,Borja Fern·ndez,es ESP,MF,Getafe,32,1981,21.7,0,,2,,,0.09,,0,,0,0
166,Carlos Fern·ndez,es ESP,FW,Sevilla,17,1996,2.3,0,,1,,,0.43,,0,,0,0
167,Seba Fern·ndez,uy URU,FW,Rayo Vallecano,28,1985,3.4,1,,4,,,1.19,,0.25,,0,0
168,Seba Fern·ndez,uy URU,FW,M·laga,28,1985,0.3,0,,1,,,3.46,,0,,0,0
169,Fl·vio Ferreira,pt POR,"DF,MF",M·laga,21,1991,14.8,0,,2,,,0.14,,0,,0,0
170,Fidel,es ESP,MF,Elche,23,1989,20.3,2,,4,,,0.2,,0.5,,0,0
171,Diogo Figueiras,pt POR,"DF,MF",Sevilla,22,1991,19.6,1,,6,,,0.31,,0.17,,0,0
172,Miguel FlaÒo,es ESP,DF,Osasuna,28,1984,10.7,0,,0,,,0,,,,0,0
173,Javi Flores,es ESP,MF,Elche,27,1986,0.8,0,,1,,,1.27,,0,,0,0
174,Andreu Font‡s,es ESP,DF,Celta Vigo,23,1989,34.3,0,,0,,,0,,,,0,0
175,Dimitri Foulquier,fr FRA,"DF,MF",Granada,20,1993,12.7,0,,2,,,0.16,,0,,0,0
176,Javi Fuego,es ESP,MF,Valencia,29,1984,24.7,2,,3,,,0.12,,0.67,,0,0
177,Gabi,es ESP,MF,AtlÈtico Madrid,30,1983,34.6,3,,12,,,0.35,,0.25,,0,0
178,Leonel Galeano,ar ARG,DF,Rayo Vallecano,21,1991,5.4,0,,0,,,0,,,,0,0
179,¡Ålex G·lvez,es ESP,"DF,MF",Rayo Vallecano,24,1989,24.5,2,,10,,,0.41,,0.2,,0,0
180,KÈvin Gameiro,fr FRA,FW,Sevilla,26,1987,21,15,,32,,,1.53,,0.41,,2,2
181,Jes˙s G·mez,es ESP,DF,M·laga,28,1985,27.1,0,,3,,,0.11,,0,,0,0
182,¡Ålvaro GarcÌa,es ESP,"FW,MF",Granada,20,1992,1.2,0,,0,,,0,,,,0,0
183,Gilberto GarcÌa,co COL,"DF,MF",Valladolid,26,1987,4.2,1,,1,,,0.24,,1,,0,0
184,JosÈ GarcÌa,es ESP,"FW,MF",Osasuna,16,1997,0.3,0,,1,,,3.46,,0,,0,0
185,Ra˙l GarcÌa,es ESP,DF,AlmerÌa,24,1989,2,0,,0,,,0,,,,0,0
186,Ra˙l GarcÌa,es ESP,"FW,MF",AtlÈtico Madrid,27,1986,18.9,9,,24,,,1.27,,0.38,,0,0
187,RubÈn GarcÌa,es ESP,"FW,MF",Levante,20,1993,26,2,,5,,,0.19,,0.4,,0,0
188,Samu GarcÌa,es ESP,"FW,MF",M·laga,23,1990,17.4,4,,12,,,0.69,,0.33,,0,0
189,Sergio GarcÌa,es ESP,"FW,MF",Espanyol,30,1983,36,12,,34,,,0.94,,0.21,,5,6
190,Mario Gaspar,es ESP,DF,Villarreal,22,1990,36,1,,8,,,0.22,,0.13,,0,0
191,Jaime Gavil·n,es ESP,MF,Getafe,28,1985,8.4,0,,3,,,0.36,,0,,0,0
192,Jon GaztaÒaga,es ESP,"DF,MF",Real Sociedad,22,1991,1.6,0,,0,,,0,,,,0,0
193,David Generelo,es ESP,MF,Elche,30,1982,0.7,0,,0,,,0,,,,0,0
194,Carles Gil,es ESP,"FW,MF",Elche,20,1992,28.2,1,,13,,,0.46,,0.08,,0,0
195,¡Ålvaro GimÈnez,es ESP,"FW,MF",Elche,22,1991,0.3,0,,0,,,0,,,,0,0
196,Diego GodÌn,uy URU,DF,AtlÈtico Madrid,27,1986,34,4,,10,,,0.29,,0.4,,0,0
197,David Goldar,es ESP,DF,Celta Vigo,18,1994,0.2,0,,0,,,0,,,,0,0
198,Ibai GÛmez,es ESP,"FW,MF",Athletic Club,23,1989,7.7,8,,19,,,2.46,,0.37,,1,1
199,Moi GÛmez,es ESP,"FW,MF",Villarreal,19,1994,13.8,2,,7,,,0.51,,0.29,,0,0
200,Abraham Gonz·lez,es ESP,MF,Espanyol,28,1985,11.1,0,,2,,,0.18,,0,,0,0
201,Adri·n Gonz·lez,es ESP,MF,Rayo Vallecano,25,1988,10.9,1,,7,,,0.64,,0.14,,0,0
202,Mikel Gonz·lez,es ESP,DF,Real Sociedad,27,1985,19.3,0,,1,,,0.05,,0,,0,0
203,Esteban Granero,es ESP,MF,Real Sociedad,26,1987,2.7,0,,1,,,0.37,,0,,0,0
204,Antoine Griezmann,fr FRA,"FW,MF",Real Sociedad,22,1991,29.5,16,,55,,,1.87,,0.29,,0,0
205,Vicente Guaita,es ESP,GK,Valencia,26,1987,12.7,0,,0,,,0,,,,0,0
206,AndrÈs Guardado,mx MEX,"DF,FW",Valencia,26,1986,11.6,0,,1,,,0.09,,0,,0,0
207,Javi Guerra,es ESP,FW,Valladolid,31,1982,34.8,15,,40,,,1.15,,0.35,,1,1
208,Josuha Guilavogui,fr FRA,"DF,MF",AtlÈtico Madrid,22,1990,0,0,,0,,,0,,,,0,0
209,Guillermo,es ESP,FW,Athletic Club,20,1993,3.6,1,,6,,,1.66,,0.17,,0,0
210,Carlos Gurpegui,es ESP,"DF,MF",Athletic Club,32,1980,26.5,2,,4,,,0.15,,0.5,,0,0
211,Mounir El Hamdaoui,ma MAR,FW,M·laga,29,1984,6,3,,8,,,1.33,,0.38,,0,0
212,Ander Herrera,es ESP,MF,Athletic Club,23,1989,28.3,5,,23,,,0.81,,0.22,,0,0
213,Cristian Herrera,es ESP,"FW,MF",Elche,22,1991,12,3,,7,,,0.58,,0.43,,0,0
214,Manu Herrera,es ESP,GK,Elche,31,1981,29.2,0,,0,,,0,,,,0,0
215,Iago HerrerÌn,es ESP,GK,Athletic Club,25,1988,5.5,0,,0,,,0,,,,0,0
216,Pablo HervÌas,es ESP,MF,Real Sociedad,20,1993,0.2,0,,0,,,0,,,,0,0
217,Charlie I'Anson,eng ENG,DF,Elche,20,1993,2,0,,0,,,0,,,,0,0
218,Vicente Iborra,es ESP,MF,Sevilla,25,1988,23.4,3,,9,,,0.38,,0.33,,0,0
219,Odion Ighalo,ng NGA,FW,Granada,24,1989,4.1,2,,4,,,0.98,,0.5,,0,0
220,Nosa Igiebor,ng NGA,MF,Betis,22,1990,7.4,1,,6,,,0.81,,0.17,,0,0
221,Asier Illarramendi,es ESP,MF,Real Madrid,23,1990,15.6,2,,4,,,0.26,,0.5,,0,0
222,Tiago Ilori,pt POR,DF,Granada,20,1993,9,0,,1,,,0.11,,0,,0,0
223,AndrÈs Iniesta,es ESP,"FW,MF",Barcelona,29,1984,27.6,3,,15,,,0.54,,0.13,,1,1
224,Pablo ÕÒiguez,es ESP,"DF,MF",Villarreal,19,1994,2.4,0,,0,,,0,,,,0,0
225,Emiliano Ins˙a,ar ARG,DF,AtlÈtico Madrid,24,1989,5,0,,1,,,0.2,,0,,0,0
226,Gorka Iraizoz,es ESP,GK,Athletic Club,32,1981,32.5,0,,0,,,0,,,,0,0
227,Andoni Iraola,es ESP,"DF,MF",Athletic Club,31,1982,29.2,1,,6,,,0.21,,0.17,,0,0
228,Isco,es ESP,"FW,MF",Real Madrid,21,1992,22,8,,17,,,0.77,,0.47,,0,0
229,Manuel Iturra,cl CHI,MF,Granada,29,1984,32.7,1,,3,,,0.09,,0.33,,0,0
230,Ander Iturraspe,es ESP,MF,Athletic Club,24,1989,30,0,,3,,,0.1,,0,,0,0
231,Andreas Ivanschitz,at AUT,MF,Levante,29,1983,18.8,3,,19,,,1.01,,0.16,,0,1
232,Ivi,es ESP,"FW,MF",Getafe,19,1994,0.2,0,,0,,,0,,,,0,0
233,Jaime,es ESP,GK,Valladolid,32,1980,10,0,,0,,,0,,,,0,0
234,Jason,es ESP,"FW,MF",Levante,19,1994,0,0,,0,,,0,,,,0,0
235,JesÈ,es ESP,"FW,MF",Real Madrid,20,1993,6.8,5,,10,,,1.47,,0.5,,0,0
236,Javi JimÈnez,es ESP,GK,Levante,26,1987,1.9,0,,0,,,0,,,,0,0
237,Bojan Joki?,si SVN,"DF,MF",Villarreal,27,1986,14.3,0,,0,,,0,,,,0,0
238,Jonas,br BRA,FW,Valencia,29,1984,23.3,10,,35,,,1.5,,0.26,,1,1
239,Jordi,es ESP,DF,Betis,26,1987,22.3,1,,2,,,0.09,,0.5,,0,0
240,Willian JosÈ,br BRA,FW,Real Madrid,21,1991,0.3,0,,0,,,0,,,,0,0
241,Juanfran,es ESP,DF,Levante,37,1976,34.5,0,,0,,,0,,,,0,0
242,Juanfran,es ESP,"DF,MF",AtlÈtico Madrid,28,1985,35,0,,3,,,0.09,,0,,0,0
243,Juanfran,es ESP,"DF,FW",Betis,24,1988,28.3,1,,7,,,0.25,,0.14,,0,0
244,Juankar,es ESP,"DF,FW",Betis,23,1990,15.5,0,,5,,,0.32,,0,,0,0
245,Juanma,es ESP,FW,Betis,20,1993,0.9,0,,0,,,0,,,,0,0
246,Juanmi,es ESP,"FW,MF",M·laga,20,1993,11.1,4,,9,,,0.81,,0.44,,0,0
247,Nikolaos Karabelas,gr GRE,DF,Levante,28,1984,14.6,0,,3,,,0.21,,0,,0,0
248,Orestis Karnezis,gr GRE,GK,Granada,28,1985,6,0,,0,,,0,,,,0,0
249,Seydou Keita,ml MLI,MF,Valencia,33,1980,8.4,1,,2,,,0.24,,0.5,,0,0
250,Hicham Khaloua,ma MAR,FW,AlmerÌa,18,1995,0,1,,1,,,22.5,,1,,0,0
251,Sami Khedira,de GER,MF,Real Madrid,26,1987,10.7,1,,4,,,0.37,,0.25,,0,0
252,Kiu,kr KOR,MF,AlmerÌa,18,1995,0.1,0,,0,,,0,,,,0,0
