,,,,,,,,,Standard,,,,,,,,Performance,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,PK,PKatt
1,Dami‡ Abella,es ESP,"DF,MF",Osasuna,29,1982,25.1,0,,4,,,0.16,,0,,0,0
2,…ric Abidal,fr FRA,DF,Barcelona,31,1979,19.6,0,,2,,,0.1,,0,,0,0
3,Lautaro Acosta,ar ARG,"FW,MF",Racing Sant,23,1988,14,2,,6,,,0.43,,0.33,,0,0
4,Antonio Ad·n,es ESP,GK,Real Madrid,24,1987,1,0,,0,,,0,,,,0,0
5,Adriano,br BRA,"DF,MF",Barcelona,26,1984,19.1,1,,10,,,0.52,,0.1,,0,0
6,Aritz Aduriz,es ESP,FW,Valencia,30,1981,14.5,7,,24,,,1.66,,0.29,,0,0
7,Ibrahim Afellay,nl NED,"FW,MF",Barcelona,25,1986,1.3,0,,1,,,0.78,,0,,0,0
8,Imanol Agirretxe,es ESP,FW,Real Sociedad,24,1987,24.3,10,,38,,,1.57,,0.26,,0,0
9,Jordi Alba,es ESP,"DF,MF",Valencia,22,1989,28.3,2,,6,,,0.21,,0.33,,0,0
10,David Albelda,es ESP,"DF,MF",Valencia,33,1977,17.6,0,,0,,,0,,,,0,0
11,Luis Alberto,es ESP,"FW,MF",Sevilla,18,1992,0.9,0,,1,,,1.06,,0,,0,0
12,Ra˙l Albiol,es ESP,DF,Real Madrid,25,1985,6.9,0,,2,,,0.29,,0,,0,0
13,Paco Alc·cer,es ESP,FW,Valencia,17,1993,0.4,0,,1,,,2.25,,0,,0,0
14,Thiago Alc·ntara,es ESP,MF,Barcelona,20,1991,20.3,2,,10,,,0.49,,0.2,,0,0
15,Alexis,es ESP,DF,Getafe,25,1985,11,1,,3,,,0.27,,0.33,,0,0
16,Alexis,es ESP,DF,Sevilla,25,1985,1,1,,1,,,1,,1,,0,0
17,Alejandro Alfaro,es ESP,"FW,MF",Mallorca,24,1986,13.9,2,,14,,,1.01,,0.14,,0,0
18,Christian Alfonso,es ESP,MF,Espanyol,22,1989,0.6,0,,0,,,0,,,,0,0
19,Henrique Almeida,br BRA,FW,Granada,20,1991,2.4,0,,0,,,0,,,,0,0
20,Xabi Alonso,es ESP,MF,Real Madrid,29,1981,34.9,1,,4,,,0.11,,0.25,,0,0
21,Hamit Alt?ntop,tr TUR,"DF,MF",Real Madrid,28,1982,1.8,1,,1,,,0.55,,1,,0,0
22,Cristian ¡Ålvarez,ar ARG,GK,Espanyol,25,1985,22.9,0,,0,,,0,,,,0,0
23,Pablo ¡Ålvarez,ar ARG,DF,Zaragoza,27,1984,14.2,0,,2,,,0.14,,0,,0,0
24,Sergio ¡Ålvarez,es ESP,MF,Sporting GijÛn,19,1992,3.6,0,,0,,,0,,,,0,0
25,Dani Alves,br BRA,"DF,MF",Barcelona,28,1983,29.7,2,,8,,,0.27,,0.25,,0,0
26,Diego Alves,br BRA,GK,Valencia,26,1985,12,0,,0,,,0,,,,0,0
27,Luis Amaranto Perea,co COL,DF,AtlÈtico Madrid,32,1979,12.3,0,,1,,,0.08,,0,,0,0
28,Jordi Amat,es ESP,DF,Espanyol,19,1992,7.1,0,,1,,,0.14,,0,,0,0
29,Antonio Amaya,es ESP,DF,Betis,28,1983,10.5,0,,0,,,0,,,,0,0
30,Fernando Amorebieta,ve VEN,DF,Athletic Club,26,1985,25.9,3,,4,,,0.15,,0.75,,0,0
31,Juan ¡Ångel AlbÌn,uy URU,"FW,MF",Espanyol,25,1986,1.8,1,,3,,,1.63,,0.33,,0,0
