,,,,,,,,,Standard,,,,,,,,Performance,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,PK,PKatt
1,Sabit Abdulai,gh GHA,MF,Getafe,21,1999,0.7,0,0,0,,0,0,,,,0,0
2,Marcos Acuña,ar ARG,DF,Sevilla,28,1991,25.9,1,18,3,16.7,0.7,0.12,0.06,0.33,20.7,0,0
3,Bobby Adekanye,nl NED,"FW,MF",Cádiz,21,1999,0.4,0,1,0,0,2.5,0,0,,17.5,0,0
4,Martin Agirregabiria,es ESP,"DF,MF",Alavés,24,1996,17.3,0,2,0,0,0.12,0,0,,14.3,0,0
5,Joseph Aidoo,gh GHA,DF,Celta Vigo,24,1995,14.3,0,9,0,0,0.63,0,0,,14.6,0,0
6,Carlos Akapo,gq EQG,DF,Cádiz,27,1993,9.6,1,2,1,50,0.21,0.1,0.5,1,23.8,0,0
7,Paul Akouokou,ci CIV,MF,Betis,22,1997,4.2,0,0,0,,0,0,,,,0,0
8,Jony Álamo,es ESP,MF,Elche,18,2001,0.8,0,1,0,0,1.23,0,0,,26,0,0
9,Jordi Alba,es ESP,DF,Barcelona,31,1989,33.6,3,27,11,40.7,0.8,0.33,0.11,0.27,19.6,0,0
10,Raúl Albiol,es ESP,DF,Villarreal,34,1985,34.6,0,8,1,12.5,0.23,0.03,0,0,13.9,0,0
11,Paco Alcácer,es ESP,FW,Villarreal,26,1993,17.2,6,36,18,50,2.1,1.05,0.14,0.28,13.7,1,2
12,Pedro Alcalá,es ESP,DF,Cádiz,31,1989,10.1,0,2,0,0,0.2,0,0,,12,0,0
13,Rubén Alcaraz,es ESP,MF,Valladolid,29,1991,24.1,1,27,3,11.1,1.12,0.12,0.04,0.33,24.2,0,0
14,Iván Alejo,es ESP,"MF,FW",Cádiz,25,1995,9.2,1,13,3,23.1,1.41,0.33,0.08,0.33,17.8,0,0
15,Carles Aleñá,es ESP,"MF,FW",Getafe,22,1998,15.2,2,30,8,26.7,1.98,0.53,0.07,0.25,21,0,0
16,Carles Aleñá,es ESP,MF,Barcelona,22,1998,0.5,0,1,0,0,1.87,0,0,,17.5,0,0
17,Alfon,es ESP,MF,Celta Vigo,21,1999,0.4,0,1,1,100,2.65,2.65,0,0,18.4,0,0
18,Sergio Álvarez,es ESP,"MF,DF",Eibar,28,1992,17.4,0,6,2,33.3,0.34,0.11,0,0,16.1,0,0
19,Yeray Álvarez,es ESP,DF,Athletic Club,25,1995,21.6,1,11,1,9.1,0.51,0.05,0.09,1,14.1,0,0
20,Emmanuel Amankwaa Akurugu,gh GHA,DF,Getafe,18,2001,0.5,0,0,0,,0,0,,,,0,0
