,,,,,,,,,Standard,,,,,,,,Performance,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,PK,PKatt
1,Sergio Abad Beyxer,es ESP,MF,Levante,21,1989,0.1,0,,0,,,0,,,,0,0
2,Dami‡ Abella,es ESP,"DF,MF",Osasuna,28,1982,21.5,0,,3,,,0.14,,0,,0,0
3,…ric Abidal,fr FRA,DF,Barcelona,30,1979,22.5,0,,4,,,0.18,,0,,0,0
4,Santiago Acasiete,pe PER,DF,AlmerÌa,32,1977,17.8,0,,1,,,0.06,,0,,0,0
5,Lautaro Acosta,ar ARG,"FW,MF",Sevilla,22,1988,3.1,0,,1,,,0.32,,0,,0,0
6,Antonio Ad·n,es ESP,GK,Real Madrid,23,1987,2.9,0,,0,,,0,,,,0,0
7,Emmanuel Adebayor,tg TOG,FW,Real Madrid,26,1984,8.3,5,,20,,,2.42,,0.25,,0,1
8,Adriano,br BRA,"DF,MF",Barcelona,25,1984,10.4,0,,3,,,0.29,,0,,0,0
9,Aritz Aduriz,es ESP,FW,Valencia,29,1981,20.5,10,,24,,,1.17,,0.42,,0,0
10,Ibrahim Afellay,nl NED,"FW,MF",Barcelona,24,1986,7.4,1,,7,,,0.94,,0.14,,0,0
11,Sendoa Agirre,es ESP,MF,HÈrcules,34,1975,8.8,3,,6,,,0.68,,0.5,,0,0
12,Imanol Agirretxe,es ESP,FW,Real Sociedad,23,1987,2.4,3,,4,,,1.68,,0.75,,0,0
13,Sergio Ag¸ero,ar ARG,FW,AtlÈtico Madrid,22,1988,29.6,20,,55,,,1.86,,0.35,,1,1
14,Abel Aguilar,co COL,MF,HÈrcules,25,1985,31.8,0,,7,,,0.22,,0,,0,0
15,Jordi Alba,es ESP,"DF,MF",Valencia,21,1989,15.9,2,,3,,,0.19,,0.67,,0,0
16,Unai Alba,es ESP,GK,HÈrcules,32,1978,1.1,0,,0,,,0,,,,0,0
17,David Albelda,es ESP,"DF,MF",Valencia,32,1977,11.6,0,,1,,,0.09,,0,,0,0
18,Luis Alberto,es ESP,"FW,MF",Sevilla,17,1992,0.3,0,,0,,,0,,,,0,0
19,Ra˙l Albiol,es ESP,DF,Real Madrid,24,1985,12.9,0,,0,,,0,,,,0,0
20,Thiago Alc·ntara,es ESP,MF,Barcelona,19,1991,7.4,2,,5,,,0.68,,0.4,,0,0
21,Alexis,es ESP,DF,Sevilla,24,1985,20.4,0,,3,,,0.15,,0,,0,0
22,Alejandro Alfaro,es ESP,"FW,MF",Sevilla,23,1986,8.1,2,,8,,,0.99,,0.25,,0,0
23,Iv·n Alonso,uy URU,FW,Espanyol,31,1979,9.2,2,,8,,,0.87,,0.25,,0,0
24,Xabi Alonso,es ESP,MF,Real Madrid,28,1981,29.6,0,,7,,,0.24,,0,,0,0
25,Jozy Altidore,us USA,FW,Villarreal,20,1989,0.4,0,,0,,,0,,,,0,0
26,Cristian ¡Ålvarez,ar ARG,GK,Espanyol,24,1985,5,0,,0,,,0,,,,0,0
27,Pablo ¡Ålvarez,es ESP,MF,La CoruÒa,30,1980,4.5,1,,3,,,0.67,,0.33,,0,0
28,Sergio ¡Ålvarez,es ESP,MF,Sporting GijÛn,18,1992,2.8,0,,2,,,0.71,,0,,0,0
29,VÌctor ¡Ålvarez,es ESP,"DF,MF",Espanyol,17,1993,0.1,0,,0,,,0,,,,0,0
30,Dani Alves,br BRA,"DF,MF",Barcelona,27,1983,32.3,2,,10,,,0.31,,0.2,,0,0
31,Diego Alves,br BRA,GK,AlmerÌa,25,1985,33,0,,0,,,0,,,,0,0
32,Luis Amaranto Perea,co COL,DF,AtlÈtico Madrid,31,1979,26.6,0,,0,,,0,,,,0,0
33,Jordi Amat,es ESP,DF,Espanyol,18,1992,23.9,0,,2,,,0.08,,0,,0,0
34,Fernando Amorebieta,ve VEN,DF,Athletic Club,25,1985,15.4,0,,1,,,0.06,,0,,0,0
35,Juan ¡Ångel AlbÌn,uy URU,"FW,MF",Getafe,24,1986,7.9,2,,6,,,0.76,,0.33,,0,0
36,JosÈ ¡Ångel,es ESP,DF,Sporting GijÛn,20,1989,23.8,0,,7,,,0.29,,0,,0,0
37,Miguel ¡Ångel Moy·,es ESP,GK,Valencia,26,1984,4,0,,0,,,0,,,,0,0
38,Miguel ¡Ångel Nieto,es ESP,MF,AlmerÌa,24,1986,0,0,,0,,,0,,,,0,0
39,Xavi Annunziata,es ESP,"FW,MF",Osasuna,22,1987,0.1,0,,0,,,0,,,,0,0
40,Ion Ansotegi,es ESP,DF,Real Sociedad,28,1982,31.2,1,,6,,,0.19,,0.17,,0,0
41,JosÈ Antonio Reyes,es ESP,MF,AtlÈtico Madrid,26,1983,32.3,6,,33,,,1.02,,0.18,,0,1
42,Dudu Aouate,il ISR,GK,Mallorca,32,1977,34.5,0,,0,,,0,,,,0,0
43,ApoÒo,es ESP,MF,M·laga,26,1984,24,2,,10,,,0.42,,0,,2,4
44,Manuel Arana,es ESP,MF,Racing Sant,25,1984,6.5,1,,8,,,1.23,,0.13,,0,0
45,Mikel Aranburu,es ESP,MF,Real Sociedad,31,1979,25.6,5,,11,,,0.43,,0.45,,0,0
46,Carlos Aranda,es ESP,FW,Osasuna,30,1980,13.3,4,,10,,,0.75,,0.4,,0,0
47,Daniel Aranzubia,es ESP,GK,La CoruÒa,30,1979,32,1,,1,,,0.03,,1,,0,0
48,¡Ålvaro Arbeloa,es ESP,DF,Real Madrid,27,1983,20.7,0,,1,,,0.05,,0,,0,0
49,RamÛn Arcas,es ESP,MF,Racing Sant,19,1991,0.9,0,,0,,,0,,,,0,0
