,,,,,,,,,Standard,,,,,,,,Performance,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,PK,PKatt
1,Dami‡ Abella,es ESP,"DF,MF",Osasuna,30,1982,27.5,0,,1,,,0.04,,0,,0,0
2,…ric Abidal,fr FRA,DF,Barcelona,32,1979,2.1,0,,0,,,0,,,,0,0
3,David Abraham,ar ARG,DF,Getafe,26,1986,8.5,0,,0,,,0,,,,0,0
4,Mohammed Abu,gh GHA,"FW,MF",Rayo Vallecano,20,1991,0.6,0,,0,,,0,,,,0,0
5,Robert Acquafresca,it ITA,FW,Levante,24,1987,10.4,3,,10,,,0.96,,0.3,,0,0
6,Antonio Ad·n,es ESP,GK,Real Madrid,25,1987,2.1,0,,0,,,0,,,,0,0
7,Adri·n,es ESP,GK,Betis,25,1987,31.9,0,,0,,,0,,,,0,0
8,Adriano,br BRA,"DF,MF",Barcelona,27,1984,15.9,5,,9,,,0.57,,0.56,,0,0
9,Aritz Aduriz,es ESP,FW,Athletic Club,31,1981,28.3,14,,34,,,1.2,,0.38,,1,2
10,Imanol Agirretxe,es ESP,FW,Real Sociedad,25,1987,22.9,13,,43,,,1.88,,0.3,,0,0
11,Salvador Agra,pt POR,"FW,MF",Betis,20,1991,5.6,1,,3,,,0.53,,0.33,,0,0
12,Tarsicio Aguado,es ESP,MF,Zaragoza,17,1994,0.7,0,,0,,,0,,,,0,0
13,Abel Aguilar,co COL,MF,La CoruÒa,27,1985,26.8,3,,11,,,0.41,,0.27,,0,0
14,Javi ¡Ålamo,es ESP,"FW,MF",Zaragoza,23,1988,0.9,0,,0,,,0,,,,0,0
15,Jordi Alba,es ESP,"DF,MF",Barcelona,23,1989,27.7,2,,3,,,0.11,,0.67,,0,0
16,David Albelda,es ESP,"DF,MF",Valencia,34,1977,13.2,0,,1,,,0.08,,0,,0,0
17,Ra˙l Albiol,es ESP,DF,Real Madrid,26,1985,15.3,1,,4,,,0.26,,0.25,,0,0
18,Paco Alc·cer,es ESP,FW,Getafe,18,1993,7.7,3,,11,,,1.43,,0.27,,0,0
19,Thiago Alc·ntara,es ESP,MF,Barcelona,21,1991,15.7,2,,7,,,0.45,,0.29,,0,0
20,Pablo Alcolea,es ESP,GK,Zaragoza,23,1989,1.1,0,,0,,,0,,,,0,0
21,Alexis,es ESP,DF,Getafe,26,1985,25,3,,8,,,0.32,,0.38,,0,0
22,Alejandro Alfaro,es ESP,"FW,MF",Mallorca,25,1986,14.5,6,,14,,,0.97,,0.43,,0,0
23,Christian Alfonso,es ESP,MF,Espanyol,23,1989,3.5,0,,0,,,0,,,,0,0
24,Xabi Alonso,es ESP,MF,Real Madrid,30,1981,23.9,0,,3,,,0.13,,0,,0,1
25,Cristian ¡Ålvarez,ar ARG,GK,Espanyol,26,1985,17.7,0,,0,,,0,,,,0,0
26,Sergio ¡Ålvarez,es ESP,GK,Celta Vigo,25,1986,2,0,,0,,,0,,,,0,0
27,VÌctor ¡Ålvarez,es ESP,"DF,MF",Espanyol,19,1993,12.7,0,,3,,,0.24,,0,,0,0
28,Dani Alves,br BRA,"DF,MF",Barcelona,29,1983,25.2,0,,8,,,0.32,,0,,0,0
29,Diego Alves,br BRA,GK,Valencia,27,1985,24,0,,0,,,0,,,,0,0
30,Jordi Amat,es ESP,DF,Rayo Vallecano,20,1992,24.4,1,,2,,,0.08,,0.5,,0,0
31,Antonio Amaya,es ESP,DF,Betis,29,1983,26.1,0,,3,,,0.11,,0,,0,0
32,Fernando Amorebieta,ve VEN,DF,Athletic Club,27,1985,9.8,0,,1,,,0.1,,0,,0,0
33,Juan ¡Ångel AlbÌn,uy URU,"FW,MF",Espanyol,26,1986,2.5,1,,5,,,2,,0.2,,0,0
34,JosÈ ¡Ångel,es ESP,DF,Real Sociedad,22,1989,2.8,0,,2,,,0.73,,0,,0,0
35,Miguel ¡Ångel Moy·,es ESP,GK,Getafe,28,1984,31.1,0,,0,,,0,,,,0,0
36,Brayan Angulo,co COL,"DF,MF",Granada,22,1989,6.5,1,,1,,,0.15,,1,,0,0
37,Anthony Annan,gh GHA,MF,Osasuna,26,1986,4.2,0,,1,,,0.24,,0,,0,0
38,Ion Ansotegi,es ESP,DF,Real Sociedad,30,1982,4.1,0,,1,,,0.24,,0,,0,0
39,JosÈ Antonio Reyes,es ESP,MF,Sevilla,28,1983,18.3,4,,18,,,0.98,,0.22,,0,0
40,Vitorino Antunes,pt POR,DF,M·laga,25,1987,10.5,1,,4,,,0.38,,0.25,,0,0
41,Dudu Aouate,il ISR,GK,Mallorca,34,1977,34.7,0,,0,,,0,,,,0,0
42,ApoÒo,es ESP,MF,Zaragoza,28,1984,28.4,9,,20,,,0.71,,0.1,,7,7
43,Dani Aquino,es ESP,"FW,MF",AtlÈtico Madrid,22,1990,0,0,,0,,,0,,,,0,0
44,Youssef El-Arabi,ma MAR,FW,Granada,25,1987,22,8,,24,,,1.09,,0.29,,1,1
45,Manuel Arana,es ESP,MF,Rayo Vallecano,27,1984,0.2,0,,0,,,0,,,,0,0
46,Carlos Aranda,es ESP,FW,Granada,32,1980,9.7,1,,5,,,0.52,,0.2,,0,0
47,Carlos Aranda,es ESP,FW,Zaragoza,32,1980,4.7,0,,5,,,1.07,,0,,0,0
48,Daniel Aranzubia,es ESP,GK,La CoruÒa,32,1979,34.3,0,,0,,,0,,,,0,0
49,¡Ålvaro Arbeloa,es ESP,DF,Real Madrid,29,1983,23,0,,2,,,0.09,,0,,0,0
50,Anaitz Arbilla,es ESP,DF,Rayo Vallecano,25,1987,8.8,0,,3,,,0.34,,0,,0,0
51,Javier Arizmendi,es ESP,"FW,MF",Mallorca,28,1984,9,2,,6,,,0.67,,0.33,,0,0
52,Emiliano Armenteros,ar ARG,MF,Osasuna,26,1986,29,3,,29,,,1,,0.1,,0,0
53,Alejandro Arribas,es ESP,DF,Osasuna,23,1989,30.5,2,,7,,,0.23,,0.29,,0,0
54,Aythami Artiles,es ESP,DF,La CoruÒa,26,1986,24.1,0,,4,,,0.17,,0,,0,0
55,Sergio Asenjo,es ESP,GK,AtlÈtico Madrid,23,1989,1,0,,0,,,0,,,,0,0
56,Iago Aspas,es ESP,"FW,MF",Celta Vigo,24,1987,31,12,,51,,,1.65,,0.18,,3,3
57,Paulo AssunÁ„o,br BRA,MF,La CoruÒa,32,1980,6.9,0,,0,,,0,,,,0,0
58,Jon Aurtenetxe,es ESP,DF,Athletic Club,20,1992,22.4,1,,3,,,0.13,,0.33,,0,0
59,Stefan Babovi?,rs SRB,MF,Zaragoza,25,1987,3.5,0,,1,,,0.28,,0,,0,0
60,Ra˙l Baena,es ESP,MF,Espanyol,23,1989,11.2,1,,4,,,0.36,,0.25,,0,0
61,Mikel Balenziaga,es ESP,DF,Valladolid,24,1988,31.9,0,,0,,,0,,,,0,0
62,Sergio Ballesteros,es ESP,DF,Levante,36,1975,25.3,0,,1,,,0.04,,0,,0,0
63,…ver Banega,ar ARG,MF,Valencia,24,1988,22,4,,12,,,0.54,,0.33,,0,0
64,Lass Bangoura,gn GUI,"FW,MF",Rayo Vallecano,20,1992,19.7,3,,21,,,1.07,,0.14,,0,0
65,J˙lio Baptista,br BRA,"FW,MF",M·laga,30,1981,10.1,4,,18,,,1.78,,0.22,,0,0
66,LÈo Baptist„o,br BRA,"FW,MF",Rayo Vallecano,19,1992,24.9,7,,21,,,0.84,,0.33,,0,0
67,Javier Baraja,es ESP,"DF,MF",Valladolid,31,1980,3.8,1,,2,,,0.52,,0.5,,0,0
68,JosÈ Barkero,es ESP,MF,Levante,33,1979,24.1,5,,23,,,0.95,,0.13,,2,4
69,Abdelaziz Barrada,ma MAR,MF,Getafe,23,1989,28.5,4,,14,,,0.49,,0.29,,0,0
70,Antonio Barrag·n,es ESP,"DF,MF",Valencia,25,1987,10.3,0,,1,,,0.1,,0,,0,0
71,Marc Bartra,es ESP,DF,Barcelona,21,1991,4.4,0,,0,,,0,,,,0,0
72,Carlos BellvÌs,es ESP,DF,Celta Vigo,27,1985,9.1,0,,1,,,0.11,,0,,0,0
73,Emre Belˆzo?lu,tr TUR,MF,AtlÈtico Madrid,31,1980,3,0,,1,,,0.34,,0,,0,0
74,Dani BenÌtez,es ESP,MF,Granada,25,1987,8,1,,9,,,1.13,,0.11,,0,0
75,Karim Benzema,fr FRA,FW,Real Madrid,24,1987,19.7,11,,37,,,1.88,,0.3,,0,0
76,¡Ålex BergantiÒos,es ESP,MF,La CoruÒa,27,1985,22.9,1,,11,,,0.48,,0.09,,0,0
77,Markel Bergara,es ESP,MF,Real Sociedad,26,1986,26.2,0,,4,,,0.15,,0,,0,0
78,Mario Bermejo,es ESP,FW,Celta Vigo,33,1978,18,5,,12,,,0.67,,0.42,,0,0
79,Juan Bernat,es ESP,"DF,FW",Valencia,19,1993,5.6,0,,2,,,0.36,,0,,0,0
80,Marc Bertr·n,es ESP,DF,Osasuna,30,1982,20.7,0,,2,,,0.1,,0,,0,0
81,Beto,pt POR,GK,Sevilla,30,1982,14,0,,0,,,0,,,,0,0
82,Henri Bienvenu,cm CMR,FW,Zaragoza,24,1988,2.7,0,,1,,,0.37,,0,,0,0
83,Pedro Bigas,es ESP,"DF,MF",Mallorca,21,1990,22.8,1,,5,,,0.22,,0.2,,0,0
84,Nicki Bille Nielsen,dk DEN,FW,Rayo Vallecano,24,1988,4.4,0,,6,,,1.36,,0,,0,0
85,RubÈn Blanco,es ESP,GK,Celta Vigo,17,1995,1.5,0,,0,,,0,,,,0,0
86,Rodolfo Bodipo,gq EQG,FW,La CoruÒa,34,1977,1,1,,3,,,2.97,,0.33,,0,0
87,Alberto BotÌa,es ESP,DF,Sevilla,23,1989,15,1,,2,,,0.13,,0.5,,0,0
88,Yacine Brahimi,dz ALG,"FW,MF",Granada,22,1990,20.4,0,,9,,,0.44,,0,,0,0
89,Brandon,es ESP,"FW,MF",Mallorca,17,1995,0.2,0,,0,,,0,,,,0,0
90,Claudio Bravo,cl CHI,GK,Real Sociedad,29,1983,31,0,,0,,,0,,,,0,0
91,Alberto Bueno,es ESP,"FW,MF",Valladolid,24,1988,16.8,5,,20,,,1.19,,0.2,,1,1
92,Diego Buonanotte,ar ARG,"FW,MF",Granada,24,1988,6.6,1,,2,,,0.3,,0.5,,0,0
93,Diego Buonanotte,ar ARG,"FW,MF",M·laga,24,1988,2.8,1,,6,,,2.13,,0.17,,0,0
94,Sergio Busquets,es ESP,MF,Barcelona,24,1988,25,1,,1,,,0.04,,1,,0,0
95,Cristian Bustos,es ESP,MF,Celta Vigo,29,1983,2.4,0,,0,,,0,,,,0,0
96,Willy Caballero,ar ARG,GK,M·laga,30,1981,35.4,0,,0,,,0,,,,0,0
97,Gustavo Cabral,ar ARG,DF,Celta Vigo,26,1985,24.9,2,,8,,,0.32,,0.25,,0,0
98,Liassine Cadamuro,dz ALG,DF,Real Sociedad,24,1988,2.2,0,,0,,,0,,,,0,0
99,Cala,es ESP,DF,Sevilla,22,1989,8,0,,1,,,0.12,,0,,0,0
100,Juan Calatayud,es ESP,GK,Mallorca,32,1979,3,0,,0,,,0,,,,0,0
101,JosÈ CallejÛn,es ESP,"FW,MF",Real Madrid,25,1987,15.6,3,,19,,,1.22,,0.16,,0,0
102,Ignacio Camacho,es ESP,MF,M·laga,22,1990,30.1,2,,7,,,0.23,,0.29,,0,0
103,JosÈ CampaÒa,es ESP,MF,Sevilla,19,1993,2,0,,1,,,0.49,,0,,0,0
104,Joel Campbell,cr CRC,"FW,MF",Betis,20,1992,17.6,2,,8,,,0.46,,0.25,,0,0
105,Javier CamuÒas,es ESP,"FW,MF",La CoruÒa,32,1980,7.5,1,,2,,,0.27,,0.5,,0,0
106,Sergio Canales,es ESP,"FW,MF",Valencia,21,1991,6.3,2,,5,,,0.79,,0.4,,0,0
107,JosÈ CaÒas,es ESP,MF,Betis,25,1987,25.1,0,,3,,,0.12,,0,,0,0
108,Joan Capdevila,es ESP,DF,Espanyol,34,1978,25,0,,3,,,0.12,,0,,0,0
109,JosÈ Carlos,es ESP,"FW,MF",Rayo Vallecano,25,1987,23.5,2,,18,,,0.76,,0.11,,0,0
110,Juan Carlos ValerÛn,es ESP,MF,La CoruÒa,37,1975,25,1,,4,,,0.16,,0.25,,0,0
111,Adri‡ Carmona,es ESP,"FW,MF",Zaragoza,20,1992,0.6,0,,0,,,0,,,,0,0
112,Ricardo Carvalho,pt POR,DF,Real Madrid,34,1978,9,0,,0,,,0,,,,0,0
113,VÌctor Casades˙s,es ESP,FW,Mallorca,27,1985,28.8,8,,30,,,1.04,,0.23,,1,2
114,Casemiro,br BRA,MF,Real Madrid,20,1992,1,0,,1,,,1,,0,,0,0
115,Kiko Casilla,es ESP,GK,Espanyol,25,1986,20.3,0,,0,,,0,,,,0,0
116,Iker Casillas,es ESP,GK,Real Madrid,31,1981,18.9,0,,0,,,0,,,,0,0
117,Xabier Castillo,hr CRO,DF,Athletic Club,26,1986,3.3,0,,2,,,0.6,,0,,0,0
118,Casto,es ESP,GK,Betis,30,1982,4.1,0,,0,,,0,,,,0,0
119,Chory Castro,uy URU,"FW,MF",Real Sociedad,27,1984,14.7,7,,18,,,1.22,,0.39,,0,0
120,Diego Castro,es ESP,"FW,MF",Getafe,30,1982,29.3,7,,19,,,0.65,,0.16,,4,4
121,Jonny Castro,es ESP,"DF,MF",Celta Vigo,18,1994,18,0,,0,,,0,,,,0,0
122,RubÈn Castro,es ESP,"FW,MF",Betis,31,1981,32.8,18,,42,,,1.28,,0.38,,2,2
123,ZÈ Castro,pt POR,DF,La CoruÒa,29,1983,19.9,0,,2,,,0.1,,0,,0,0
124,¡Ålvaro Cejudo,es ESP,MF,Osasuna,28,1984,22.1,3,,27,,,1.22,,0.11,,0,0
125,Chechu,es ESP,DF,Betis,30,1982,5.5,0,,0,,,0,,,,0,0
126,Javier Chica,es ESP,DF,Betis,27,1985,21.1,0,,3,,,0.14,,0,,0,0
127,Park Chu-young,kr KOR,"FW,MF",Celta Vigo,27,1985,8.3,3,,11,,,1.33,,0.27,,0,0
128,Cicinho,br BRA,DF,Sevilla,25,1986,19.2,1,,5,,,0.26,,0.2,,0,0
129,Domingo Cisma,es ESP,DF,AtlÈtico Madrid,30,1982,1.8,0,,0,,,0,,,,0,0
130,Aly Cissokho,fr FRA,DF,Valencia,24,1987,18.8,2,,5,,,0.27,,0.4,,0,0
131,David CobeÒo,es ESP,GK,Rayo Vallecano,30,1982,7.7,0,,0,,,0,,,,0,0
132,Jordi Codina,es ESP,GK,Getafe,30,1982,6.9,0,,0,,,0,,,,0,0
133,F·bio Coentr„o,pt POR,DF,Real Madrid,24,1988,15.3,1,,3,,,0.2,,0.33,,0,0
134,Coke,es ESP,DF,Sevilla,25,1987,17.1,3,,6,,,0.35,,0.5,,0,0
135,Diego Colotto,ar ARG,DF,Espanyol,31,1981,27.3,2,,5,,,0.18,,0.4,,0,0
136,Adri·n Colunga,es ESP,"FW,MF",Getafe,27,1984,14.1,6,,19,,,1.35,,0.32,,0,0
137,Anderson ConceiÁ„o,br BRA,DF,Mallorca,22,1989,13.8,0,,2,,,0.14,,0,,0,0
138,Diego Costa,es ESP,FW,AtlÈtico Madrid,23,1988,22.6,10,,27,,,1.19,,0.37,,0,0
139,Ricardo Costa,pt POR,DF,Valencia,31,1981,24,4,,7,,,0.29,,0.57,,0,0
140,Tino Costa,ar ARG,MF,Valencia,27,1985,25.2,1,,21,,,0.83,,0.05,,0,0
141,Thibaut Courtois,be BEL,GK,AtlÈtico Madrid,20,1992,37,0,,0,,,0,,,,0,0
142,Juli·n Cuesta,es ESP,GK,Sevilla,21,1991,1,0,,0,,,0,,,,0,0
143,Manu del Moral,es ESP,FW,Sevilla,28,1984,8.8,1,,8,,,0.91,,0.13,,0,0
144,Andrija Delibaöi?,me MNE,FW,Rayo Vallecano,31,1981,14.3,6,,13,,,0.91,,0.46,,0,0
145,MartÌn Demichelis,ar ARG,"DF,MF",M·laga,31,1980,30.3,3,,6,,,0.2,,0.5,,0,0
146,Vadim Demidov,no NOR,"DF,MF",Celta Vigo,25,1986,11.3,0,,0,,,0,,,,0,0
147,Gerard Deulofeu,es ESP,"FW,MF",Barcelona,18,1994,0.3,0,,0,,,0,,,,0,0
148,¡Ångel Di MarÌa,ar ARG,"FW,MF",Real Madrid,24,1988,21.8,7,,20,,,0.92,,0.35,,0,0
149,Pape DiakhatÈ,sn SEN,DF,Granada,28,1984,16.6,0,,1,,,0.06,,0,,0,0
150,Lassana Diarra,fr FRA,MF,Real Madrid,27,1985,1.3,0,,0,,,0,,,,0,0
151,Baba Diawara,sn SEN,FW,Sevilla,24,1988,7.1,0,,8,,,1.13,,0,,0,0
152,Cata DÌaz,ar ARG,DF,AtlÈtico Madrid,33,1979,8,0,,0,,,0,,,,0,0
153,Ayoze DÌaz DÌaz,es ESP,"DF,MF",La CoruÒa,30,1982,11.1,0,,4,,,0.36,,0,,0,0
154,Papakouli Diop,sn SEN,MF,Levante,26,1986,27.7,0,,6,,,0.22,,0,,0,0
155,Chori DomÌnguez,ar ARG,"FW,MF",Rayo Vallecano,31,1981,29.9,5,,24,,,0.8,,0.13,,2,2
156,Juan DomÌnguez,es ESP,MF,La CoruÒa,22,1990,20.7,1,,3,,,0.14,,0.33,,0,0
157,Giovani dos Santos,mx MEX,"FW,MF",Mallorca,23,1989,26.5,6,,33,,,1.24,,0.18,,0,0
158,Jonathan dos Santos,mx MEX,MF,Barcelona,22,1990,0.7,0,,0,,,0,,,,0,0
159,Duda,pt POR,"DF,FW",M·laga,32,1980,6.1,0,,2,,,0.33,,0,,0,0
160,Dariusz Dudka,pl POL,"DF,MF",Levante,28,1983,1.4,0,,0,,,0,,,,0,0
