,,,,,,,,,Standard,,,,,,,,Performance,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,PK,PKatt
1,Aymen Abdennour,tn TUN,DF,Valencia,25,1989,20.6,0,6,2,33.3,0.29,0.1,0,0,,0,0
2,Antonio Ad·n,es ESP,GK,Betis,28,1987,35.7,0,0,0,,0,0,,,,0,0
3,Adriano,br BRA,DF,Barcelona,30,1984,4.8,0,1,0,0,0.21,0,0,,,0,0
4,Aritz Aduriz,es ESP,FW,Athletic Club,34,1981,30.8,20,93,49,52.7,3.02,1.59,0.18,0.35,,3,5
5,Imanol Agirretxe,es ESP,FW,Real Sociedad,28,1987,13,13,46,22,47.8,3.54,1.69,0.28,0.59,,0,0
6,Rachid AÔt-Atmane,dz ALG,MF,Sporting GijÛn,22,1993,11.8,0,6,1,16.7,0.51,0.08,0,0,,0,0
7,Ager Aketxe,es ESP,MF,Athletic Club,21,1993,2.1,0,4,1,25,1.95,0.49,0,0,,0,0
8,Jordi Alba,es ESP,DF,Barcelona,26,1989,28.8,0,7,2,28.6,0.24,0.07,0,0,,0,0
9,Ra˙l Albentosa,es ESP,DF,M·laga,26,1988,28.4,2,17,7,41.2,0.6,0.25,0.12,0.29,,0,0
10,Luis Alberto,es ESP,"MF,FW",La CoruÒa,22,1992,23.3,6,80,27,33.8,3.43,1.16,0.08,0.22,,0,0
11,Paco Alc·cer,es ESP,FW,Valencia,21,1993,26.9,13,61,26,42.6,2.27,0.97,0.18,0.42,,2,3
12,AntolÌn Alcaraz,py PAR,DF,Las Palmas,33,1982,6,1,2,1,50,0.33,0.17,0.5,1,,0,0
13,Nauzet Alem·n,es ESP,MF,Las Palmas,30,1985,2.8,0,3,0,0,1.09,0,0,,,0,0
14,Diego Alende,es ESP,DF,Celta Vigo,17,1997,0.4,0,0,0,,0,0,,,,0,0
15,Alexis,es ESP,DF,Getafe,29,1985,15,1,2,1,50,0.13,0.07,0.5,1,,0,0
16,Sergio ¡Ålvarez,es ESP,GK,Celta Vigo,28,1986,30.3,0,0,0,,0,0,,,,0,0
17,Sergio ¡Ålvarez,es ESP,MF,Sporting GijÛn,23,1992,24.3,2,5,3,60,0.21,0.12,0.4,0.67,,0,0
18,VÌctor ¡Ålvarez,es ESP,"MF,DF",Espanyol,22,1993,21.8,1,13,4,30.8,0.6,0.18,0.08,0.25,,0,0
19,Dani Alves,br BRA,DF,Barcelona,32,1983,23.8,0,16,4,25,0.67,0.17,0,0,,0,0
20,Diego Alves,br BRA,GK,Valencia,30,1985,13,0,0,0,,0,0,,,,0,0
21,Antonio Amaya,es ESP,DF,Rayo Vallecano,32,1983,11.5,1,3,2,66.7,0.26,0.17,0.33,0.5,,0,0
22,Nordin Amrabat,ma MAR,"MF,FW",M·laga,28,1987,11.1,0,26,8,30.8,2.33,0.72,0,0,,0,1
23,Marco Andreolli,it ITA,DF,Sevilla,29,1986,6.1,0,3,0,0,0.49,0,0,,,0,0
24,JosÈ ¡Ångel Crespo,es ESP,DF,Rayo Vallecano,28,1987,7.9,0,1,1,100,0.13,0.13,0,0,,0,0
25,Miguel ¡Ångel Guerrero,es ESP,FW,Sporting GijÛn,25,1990,12.1,2,22,9,40.9,1.82,0.75,0.09,0.22,,0,0
26,Miguel ¡Ångel,es ESP,DF,Getafe,19,1996,2.2,0,0,0,,0,0,,,,0,0
27,Marcos Angeleri,ar ARG,DF,M·laga,32,1983,12.3,0,3,0,0,0.24,0,0,,,0,0
