,,,,,,,,,Standard,,,,,,,,Performance,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,PK,PKatt
1,Antonio Adán,es ESP,GK,Atlético Madrid,32,1987,0.3,0,0,0,,0,0,,,,0,0
2,Aritz Aduriz,es ESP,FW,Athletic Club,38,1981,2.3,1,6,3,50,2.6,1.3,0.17,0.33,13.9,0,1
3,Lumor Agbenyenu,gh GHA,DF,Mallorca,22,1996,20.1,1,14,2,14.3,0.7,0.1,0.07,0.5,29.9,0,0
4,Martin Agirregabiria,es ESP,DF,Alavés,23,1996,23.3,1,3,1,33.3,0.13,0.04,0.33,1,24.3,0,0
5,Joseph Aidoo,gh GHA,DF,Celta Vigo,23,1995,27.8,0,10,1,10,0.36,0.04,0,0,10.2,0,0
6,Jordi Alba,es ESP,DF,Barcelona,30,1989,24.3,2,7,3,42.9,0.29,0.12,0.29,0.67,16,0,0
7,Raúl Albiol,es ESP,DF,Villarreal,33,1985,36,1,14,4,28.6,0.39,0.11,0.07,0.25,10.5,0,0
8,Paco Alcácer,es ESP,FW,Villarreal,25,1993,10.3,4,25,8,32,2.44,0.78,0.16,0.5,16.3,0,0
9,Rubén Alcaraz,es ESP,MF,Valladolid,28,1991,21.4,2,33,8,24.2,1.54,0.37,0.06,0.25,25.7,0,0
10,Álex Alegría,es ESP,"FW,MF",Mallorca,26,1992,1.2,0,0,0,,0,0,,,,0,0
11,Carles Aleñá,es ESP,"MF,FW",Betis,21,1998,8.2,1,12,4,33.3,1.47,0.49,0.08,0.25,20.7,0,0
12,Carles Aleñá,es ESP,MF,Barcelona,21,1998,1.9,0,1,1,100,0.52,0.52,0,0,16.5,0,0
13,Sergio Álvarez,es ESP,GK,Celta Vigo,32,1986,2,0,0,0,,0,0,,,,0,0
14,Sergio Álvarez,es ESP,"MF,DF",Eibar,27,1992,12.7,0,4,0,0,0.31,0,0,,19.8,0,0
15,Yeray Álvarez,es ESP,DF,Athletic Club,24,1995,31.2,0,12,2,16.7,0.38,0.06,0,0,13.9,0,0
16,Ibrahim Amadou,fr FRA,MF,Leganés,26,1993,8.6,0,4,0,0,0.47,0,0,,14,0,0
17,Amath,sn SEN,MF,Getafe,23,1996,0.7,0,0,0,,0,0,,,,0,0
18,Miguel Ángel Guerrero,es ESP,FW,Leganés,29,1990,8.8,1,13,4,30.8,1.48,0.46,0.08,0.25,12.9,0,1
19,José Ángel,es ESP,DF,Eibar,29,1989,26.2,1,24,7,29.2,0.92,0.27,0.04,0.14,29.1,0,0
20,Miguel Ángel Moyá,es ESP,GK,Real Sociedad,35,1984,13,0,0,0,,0,0,,,,0,0
21,Antoñito,es ESP,"DF,MF",Valladolid,31,1987,11.4,0,1,0,0,0.09,0,0,,8,0,0
22,Vitorino Antunes,pt POR,MF,Getafe,32,1987,0.1,0,0,0,,0,0,,,,0,0
23,Anuar,ma MAR,"MF,FW",Valladolid,24,1995,2.1,0,1,0,0,0.48,0,0,,25.5,0,0
24,Mauro Arambarri,uy URU,MF,Getafe,23,1995,34.1,1,46,7,15.2,1.35,0.21,0.02,0.14,24.7,0,0
25,Néstor Araujo,mx MEX,DF,Celta Vigo,27,1991,32.1,1,12,3,25,0.37,0.09,0.08,0.33,13,0,0
26,Ronald Araújo,uy URU,DF,Barcelona,20,1999,2.6,0,1,0,0,0.38,0,0,,5.7,0,0
27,Anaitz Arbilla,es ESP,DF,Eibar,32,1987,22.3,1,14,2,14.3,0.63,0.09,0.07,0.5,24.7,0,0
28,Alphonse Areola,fr FRA,GK,Real Madrid,26,1993,4,0,0,0,,0,0,,,,0,0
29,Santiago Arias,co COL,DF,Atlético Madrid,27,1992,12,0,6,2,33.3,0.5,0.17,0,0,19.9,0,0
30,José Arnaiz,es ESP,"FW,MF",Osasuna,24,1995,8.8,2,21,6,28.6,2.39,0.68,0.1,0.33,16.3,0,0
31,José Arnaiz,es ESP,"MF,FW",Leganés,24,1995,3.7,0,11,5,45.5,2.94,1.34,0,0,20.3,0,0
32,Sergio Asenjo,es ESP,GK,Villarreal,30,1989,34,0,0,0,,0,0,,,,0,0
33,Marco Asensio,es ESP,FW,Real Madrid,23,1996,3.7,3,9,5,55.6,2.41,1.34,0.33,0.6,15.4,0,0
34,Iago Aspas,es ESP,FW,Celta Vigo,31,1987,36.2,14,78,31,39.7,2.15,0.86,0.12,0.29,16.8,5,7
35,Roger Assalé,ci CIV,"FW,MF",Leganés,25,1993,5.9,2,11,6,54.5,1.86,1.02,0.18,0.33,15.6,0,0
36,Miguel Atienza,es ESP,MF,Eibar,20,1999,0.3,0,1,0,0,3,0,0,,10.8,0,0
37,Ezequiel Ávila,ar ARG,FW,Osasuna,25,1994,17.7,9,68,27,39.7,3.85,1.53,0.13,0.33,18.1,0,0
38,Javier Avilés,es ESP,"MF,FW",Leganés,21,1997,2,1,5,2,40,2.45,0.98,0.2,0.5,17.9,0,0
39,Chidozie Awaziem,ng NGA,DF,Leganés,22,1997,22.2,0,10,0,0,0.45,0,0,,12.8,0,0
40,Ramon Azeez,ng NGA,MF,Granada,26,1992,15.1,2,19,3,15.8,1.26,0.2,0.11,0.67,21.1,0,0
41,Iddrisu Baba,gh GHA,MF,Mallorca,23,1996,32.3,0,15,2,13.3,0.47,0.06,0,0,23,0,0
42,Carlos Bacca,co COL,"FW,MF",Villarreal,32,1986,7.6,2,17,6,35.3,2.22,0.78,0.12,0.33,13.6,0,0
43,Alex Baena,es ESP,MF,Villarreal,18,2001,0.2,0,0,0,,0,0,,,,0,0
44,Gareth Bale,wls WAL,"FW,MF",Real Madrid,30,1989,12.1,2,34,13,38.2,2.81,1.07,0.06,0.15,17.4,0,0
45,Mikel Balenziaga,es ESP,DF,Athletic Club,31,1988,6.3,0,3,0,0,0.48,0,0,,28.8,0,0
46,Éver Banega,ar ARG,MF,Sevilla,31,1988,27.5,3,38,8,21.1,1.38,0.29,0.03,0.13,24.8,2,2
47,Federico Barba,it ITA,DF,Valladolid,25,1993,5,0,1,1,100,0.2,0.2,0,0,12,0,0
48,Enis Bardhi,mk MKD,MF,Levante,24,1995,23.5,7,56,18,32.1,2.38,0.77,0.13,0.39,21.2,0,0
49,Kike Barja,es ESP,"MF,FW",Osasuna,22,1997,3.5,0,6,3,50,1.73,0.86,0,0,18.6,0,0
50,Antonio Barragán,es ESP,DF,Betis,32,1987,7.1,0,2,0,0,0.28,0,0,,17.5,0,0
51,Ander Barrenetxea,es ESP,"FW,MF",Real Sociedad,17,2001,4.9,0,15,5,33.3,3.05,1.02,0,0,17.2,0,0
52,Marc Bartra,es ESP,"DF,MF",Betis,28,1991,28,3,21,5,23.8,0.75,0.18,0.14,0.6,16.6,0,0
53,Gil Bastião Dias,pt POR,"DF,FW",Granada,22,1996,4,0,6,2,33.3,1.52,0.51,0,0,16,0,0
54,Fran Beltrán,es ESP,MF,Celta Vigo,20,1999,20.3,1,14,4,28.6,0.69,0.2,0.07,0.25,18.9,0,0
55,Hatem Ben Arfa,fr FRA,"MF,FW",Valladolid,32,1987,1.8,0,2,0,0,1.13,0,0,,24.3,0,0
56,Karim Benzema,fr FRA,FW,Real Madrid,31,1987,34.9,21,118,54,45.8,3.38,1.55,0.14,0.3,14.6,5,5
57,Yuri Berchiche,es ESP,DF,Athletic Club,29,1990,31.7,2,35,9,25.7,1.11,0.28,0.06,0.22,23.7,0,0
58,Markel Bergara,es ESP,MF,Getafe,33,1986,0.8,0,1,0,0,1.25,0,0,,9.5,0,0
59,Sergio Bermejo,es ESP,FW,Celta Vigo,21,1997,0.1,0,0,0,,0,0,,,,0,0
60,Pedro Bigas,es ESP,DF,Eibar,28,1990,19.7,3,8,5,62.5,0.41,0.25,0.38,0.6,16.8,0,0
61,Rubén Blanco,es ESP,GK,Celta Vigo,24,1995,32.9,0,0,0,,0,0,,,,0,0
62,Pablo de Blasis,ar ARG,"DF,MF",Eibar,31,1988,17.8,2,13,4,30.8,0.73,0.22,0.08,0.25,18,1,1
63,Alejandro Blesa,es ESP,MF,Levante,17,2002,0,0,0,0,,0,0,,,,0,0
64,Yassine Bounou,ma MAR,GK,Sevilla,28,1991,5.5,0,0,0,,0,0,,,,0,0
65,Filip Bradari?,hr CRO,MF,Celta Vigo,27,1992,7.8,0,5,4,80,0.64,0.51,0,0,19.6,0,0
66,Martin Braithwaite,dk DEN,"FW,MF",Barcelona,28,1991,4.5,1,13,8,61.5,2.87,1.77,0.08,0.13,12.1,0,0
67,Martin Braithwaite,dk DEN,"FW,MF",Leganés,28,1991,21.5,6,40,16,40,1.86,0.74,0.15,0.38,14.4,0,1
68,Brandon,es ESP,FW,Osasuna,24,1995,4.5,0,9,2,22.2,2,0.44,0,0,14.9,0,0
