,,,,,,,,,Standard,,,,,,,,Performance,
31,Miguel Ángel Rubio,es ESP,DF,Getafe,19,1998,0.3,0,0,0,,0,0,,,,0,0
32,Vitorino Antunes,pt POR,DF,Getafe,30,1987,31.1,0,30,3,10,0.96,0.1,0,0,30.5,0,1
33,Alberto Aquilani,it ITA,MF,Las Palmas,33,1984,14.4,0,12,4,33.3,0.83,0.28,0,0,21.6,0,0
34,Mauro Arambarri,uy URU,MF,Getafe,21,1995,23.6,1,22,3,13.6,0.93,0.13,0.05,0.33,21.9,0,0
35,Guilherme Arana,br BRA,DF,Sevilla,20,1997,2.1,0,0,0,,0,0,,,,0,0
36,Sergio Araujo,ar ARG,MF,Las Palmas,25,1992,0.4,0,2,0,0,4.62,0,0,,19.6,0,0
37,Anaitz Arbilla,es ESP,DF,Eibar,30,1987,26.8,2,17,4,23.5,0.63,0.15,0.12,0.5,22.5,0,0
38,José Arnaiz,es ESP,MF,Barcelona,22,1995,0.1,0,0,0,,0,0,,,,0,0
39,Alejandro Arribas,es ESP,DF,La Coruña,28,1989,3,0,2,0,0,0.67,0,0,,9.5,0,0
40,Kepa Arrizabalaga,es ESP,GK,Athletic Club,22,1994,30,0,0,0,,0,0,,,,0,0
41,Aythami Artiles,es ESP,DF,Las Palmas,31,1986,2,0,0,0,,0,0,,,,0,0
42,Sergio Asenjo,es ESP,GK,Villarreal,28,1989,23,0,0,0,,0,0,,,,0,0
43,Marco Asensio,es ESP,"FW,MF",Real Madrid,21,1996,20.5,6,55,22,40,2.68,1.07,0.11,0.27,18.2,0,0
44,Iago Aspas,es ESP,FW,Celta Vigo,29,1987,32.6,22,89,40,44.9,2.73,1.23,0.22,0.5,15.5,2,3
45,Carlos Bacca,co COL,FW,Villarreal,30,1986,27.7,15,72,34,47.2,2.6,1.23,0.19,0.41,14.9,1,1
46,Cédric Bakambu,cd COD,FW,Villarreal,26,1991,14,9,31,15,48.4,2.21,1.07,0.26,0.53,14.5,1,1
47,Zakaria Bakkali,be BEL,"FW,MF",La Coruña,21,1996,10.1,0,25,6,24,2.48,0.59,0,0,19.8,0,0
48,Gareth Bale,wls WAL,"FW,MF",Real Madrid,28,1989,20,16,75,31,41.3,3.75,1.55,0.2,0.48,15.2,1,1
49,Mikel Balenziaga,es ESP,DF,Athletic Club,29,1988,17.2,0,3,0,0,0.17,0,0,,18.7,0,0
50,Éver Banega,ar ARG,MF,Sevilla,29,1988,26.7,3,37,10,27,1.39,0.38,0,0,26.8,3,3
51,Léo Baptistão,br BRA,"FW,MF",Espanyol,24,1992,29.7,8,79,26,32.9,2.66,0.87,0.1,0.31,15.3,0,0
52,Mariano Barbosa,ar ARG,GK,Villarreal,33,1984,12.5,0,0,0,,0,0,,,,0,0
53,Enis Bardhi,mk MKD,MF,Levante,22,1995,17.6,9,38,13,34.2,2.16,0.74,0.24,0.69,23.4,0,0
54,Antonio Barragán,es ESP,"DF,MF",Betis,30,1987,26.4,0,8,3,37.5,0.3,0.11,0,0,20.8,0,0
55,Barri,es ESP,"MF,FW",Getafe,21,1995,1.3,0,1,1,100,0.8,0.8,0,0,17.1,0,0
56,Marc Bartra,es ESP,DF,Betis,26,1991,15.8,1,10,4,40,0.63,0.25,0.1,0.25,18.8,0,0
57,Borja Bastón,es ESP,FW,Málaga,24,1992,10.9,2,23,8,34.8,2.1,0.73,0.04,0.13,15,1,2
58,Jon Bautista,es ESP,FW,Real Sociedad,22,1995,2,1,8,3,37.5,3.98,1.49,0.13,0.33,9.4,0,0
59,Paul Baysse,fr FRA,DF,Málaga,29,1988,13.8,1,11,2,18.2,0.8,0.15,0.09,0.5,12.2,0,0
60,Claudio Beauvue,gp GLP,FW,Leganés,29,1988,18.6,2,42,10,23.8,2.26,0.54,0.05,0.2,16.5,0,0
61,Bebé,cv CPV,"MF,FW",Eibar,27,1990,4.1,0,9,1,11.1,2.22,0.25,0,0,25.1,0,0
62,Wissam Ben Yedder,fr FRA,FW,Sevilla,26,1990,18.9,9,49,26,53.1,2.59,1.38,0.16,0.31,11.6,1,1
63,Karim Benzema,fr FRA,FW,Real Madrid,29,1987,23.9,5,56,15,26.8,2.34,0.63,0.05,0.2,12.9,2,2
64,Markel Bergara,es ESP,MF,Getafe,31,1986,16.3,4,18,9,50,1.11,0.55,0.22,0.44,10.5,0,0
65,Pedro Bigas,es ESP,DF,Las Palmas,26,1990,9.9,0,4,1,25,0.4,0.1,0,0,16.8,0,0
66,Rubén Blanco,es ESP,GK,Celta Vigo,22,1995,21.6,0,0,0,,0,0,,,,0,0
67,Emmanuel Boateng,gh GHA,FW,Levante,21,1996,14.2,6,40,14,35,2.82,0.99,0.15,0.43,12.8,0,0
68,Daniele Bonera,it ITA,DF,Villarreal,36,1981,13.2,0,2,0,0,0.15,0,0,,31.4,0,0
69,Celso Borges,cr CRC,MF,La Coruña,29,1988,25.6,3,32,7,21.9,1.25,0.27,0.09,0.43,13.5,0,0
70,Ryad Boudebouz,dz ALG,"MF,FW",Betis,27,1990,15.1,2,19,12,63.2,1.26,0.79,0.11,0.17,23.6,0,0
71,Yassine Bounou,ma MAR,GK,Girona,26,1991,29.5,0,0,0,,0,0,,,,0,0
72,Eneko Bóveda,es ESP,DF,La Coruña,28,1988,7.4,0,0,0,,0,0,,,,0,0
73,Eneko Bóveda,es ESP,DF,Athletic Club,28,1988,5.8,0,0,0,,0,0,,,,0,0
74,Lucas Boyé,ar ARG,"FW,MF",Celta Vigo,21,1996,3.1,0,8,1,12.5,2.61,0.33,0,0,13,0,0
75,Darko Brasanac,rs SRB,"MF,FW",Leganés,25,1992,13.4,2,10,4,40,0.75,0.3,0.2,0.5,14.2,0,0
76,Alberto Bueno,es ESP,"FW,MF",Málaga,29,1988,2.5,0,4,2,50,1.59,0.8,0,0,14,0,0
77,Burgui,es ESP,"MF,FW",Alavés,23,1993,11.5,1,14,4,28.6,1.22,0.35,0.07,0.25,21.1,0,0
78,Sergio Busquets,es ESP,MF,Barcelona,29,1988,28.8,1,6,3,50,0.21,0.1,0.17,0.33,10.5,0,0
79,Unai Bustinza,es ESP,DF,Leganés,25,1992,18.2,2,15,9,60,0.82,0.49,0.13,0.22,8,0,0
80,Erick Cabaco,uy URU,DF,Levante,22,1995,11.6,0,3,2,66.7,0.26,0.17,0,0,6.7,0,0
81,Gustavo Cabral,ar ARG,DF,Celta Vigo,31,1985,21,1,10,2,20,0.48,0.1,0.1,0.5,9.5,0,0
82,Leandro Cabrera,uy URU,DF,Getafe,26,1991,8,0,2,0,0,0.25,0,0,,4.8,0,0
83,Cala,es ESP,DF,Getafe,27,1989,20,2,18,5,27.8,0.9,0.25,0.11,0.4,8.8,0,0
84,Carlos Calderón,es ESP,FW,Getafe,22,1995,0,0,0,0,,0,0,,,,0,0
85,Jonathan Calleri,ar ARG,FW,Las Palmas,23,1993,34.5,9,99,25,25.3,2.87,0.72,0.04,0.16,14.5,5,5
86,Víctor Camarasa,es ESP,MF,Betis,23,1994,13.9,1,21,4,19,1.51,0.29,0.05,0.25,20.7,0,0
87,José Campaña,es ESP,MF,Levante,24,1993,30.4,1,22,8,36.4,0.72,0.26,0.05,0.13,22.1,0,0
88,Joel Campbell,cr CRC,"MF,FW",Betis,25,1992,2.4,2,7,4,57.1,2.94,1.68,0.29,0.5,19.1,0,0
89,Sergio Canales,es ESP,"MF,FW",Real Sociedad,26,1991,21.4,4,65,16,24.6,3.03,0.75,0.06,0.25,23.4,0,0
90,João Cancelo,pt POR,MF,Valencia,23,1994,1,0,4,2,50,4,2,0,0,12.1,0,0
91,Ander Capa,es ESP,DF,Eibar,25,1992,25,0,6,1,16.7,0.24,0.04,0,0,20.4,0,0
92,Lionel Carole,fr FRA,DF,Sevilla,26,1991,6,0,4,1,25,0.67,0.17,0,0,23.8,0,0
93,Yannick Carrasco,be BEL,"MF,FW",Atlético Madrid,23,1993,10,3,26,9,34.6,2.6,0.9,0.12,0.33,19.8,0,0
94,Daniel Carriço,pt POR,DF,Sevilla,28,1988,5.1,0,2,0,0,0.39,0,0,,9.5,0,0
95,Federico Cartabia,ar ARG,"FW,MF",La Coruña,24,1993,14.7,2,32,9,28.1,2.18,0.61,0.06,0.22,23.2,0,0
96,Dani Carvajal,es ESP,DF,Real Madrid,25,1992,24.7,0,15,7,46.7,0.61,0.28,0,0,18.2,0,0
97,Casemiro,br BRA,MF,Real Madrid,25,1992,28.8,5,31,12,38.7,1.08,0.42,0.16,0.42,23.2,0,0
98,Kiko Casilla,es ESP,GK,Real Madrid,30,1986,10,0,0,0,,0,0,,,,0,0
99,Dani Castellano,es ESP,DF,Las Palmas,29,1987,22.5,0,4,0,0,0.18,0,0,,22.8,0,0
100,Javi Castellano,es ESP,MF,Las Palmas,29,1987,17.4,0,4,2,50,0.23,0.11,0,0,28.4,0,0
101,Samu Castillejo,es ESP,"MF,FW",Villarreal,22,1995,23,6,55,18,32.7,2.39,0.78,0.11,0.33,20.3,0,0
102,Chory Castro,uy URU,"MF,FW",Málaga,32,1984,22.9,4,32,9,28.1,1.4,0.39,0.09,0.33,19.5,1,1
103,Jonny Castro,es ESP,DF,Celta Vigo,23,1994,35.6,2,15,4,26.7,0.42,0.11,0.13,0.5,19,0,0
104,Rubén Castro,es ESP,FW,Betis,36,1981,4,1,7,5,71.4,1.75,1.25,0,0,15.7,1,1
105,Dani Ceballos,es ESP,"MF,FW",Real Madrid,20,1996,4.5,2,7,4,57.1,1.57,0.9,0.29,0.5,20.1,0,0
106,Emanuel Cecchini,ar ARG,"MF,DF",Málaga,20,1996,0.3,0,1,0,0,3,0,0,,30.1,0,0
107,Nereo Champagne,ar ARG,GK,Leganés,32,1985,2,0,0,0,,0,0,,,,0,0
108,Charles,br BRA,FW,Eibar,33,1984,17.6,8,47,16,34,2.67,0.91,0.15,0.44,13.1,1,1
109,Chema,es ESP,DF,Levante,25,1992,22.4,1,7,3,42.9,0.31,0.13,0.14,0.33,12.9,0,0
110,Denis Cheryshev,ru RUS,"MF,FW",Villarreal,26,1990,10.3,2,29,9,31,2.82,0.87,0.07,0.22,17.4,0,0
111,Leandro Chichizola,ar ARG,GK,Las Palmas,27,1990,27,0,0,0,,0,0,,,,0,0
112,Chuca,es ESP,MF,Villarreal,20,1997,1,0,3,0,0,3.07,0,0,,26.3,0,0
113,Cifu,es ESP,DF,Málaga,26,1990,1.2,0,0,0,,0,0,,,,0,0
114,Jasper Cillessen,nl NED,GK,Barcelona,28,1989,1,0,0,0,,0,0,,,,0,0
115,Coke,es ESP,DF,Levante,30,1987,15.4,3,11,5,45.5,0.72,0.33,0.27,0.6,15.3,0,0
116,Emre Çolak,tr TUR,"MF,FW",La Coruña,26,1991,16.1,1,18,8,44.4,1.12,0.5,0.06,0.13,21.2,0,0
117,Francis Coquelin,fr FRA,"MF,DF",Valencia,26,1991,7.3,1,5,3,60,0.68,0.41,0.2,0.33,24,0,0
118,Sébastien Corchia,fr FRA,DF,Sevilla,26,1990,9.1,0,5,3,60,0.55,0.33,0,0,15.8,0,0
119,Iñigo Córdoba,es ESP,"FW,MF",Athletic Club,20,1997,16.2,1,18,4,22.2,1.11,0.25,0.06,0.25,18.3,0,0
120,Ángel Correa,ar ARG,"FW,MF",Atlético Madrid,22,1995,25,8,47,26,55.3,1.88,1.04,0.17,0.31,17.5,0,0
121,Joaquín Correa,ar ARG,"FW,MF",Sevilla,22,1994,13.3,1,22,5,22.7,1.66,0.38,0.05,0.2,13.7,0,0
122,Diego Costa,es ESP,FW,Atlético Madrid,28,1988,11.6,3,24,11,45.8,2.07,0.95,0.13,0.27,13.8,0,0
123,Jaume Costa,es ESP,DF,Villarreal,29,1988,28.2,0,12,3,25,0.43,0.11,0,0,21.7,0,0
124,Philippe Coutinho,br BRA,"FW,MF",Barcelona,25,1992,14.4,8,37,20,54.1,2.57,1.39,0.22,0.4,19.8,0,0
125,Juan Cruz,es ESP,FW,Málaga,17,2000,0.1,0,0,0,,0,0,,,,0,0
126,Iván Cuéllar,es ESP,GK,Leganés,33,1984,35,0,0,0,,0,0,,,,0,0
127,Sergi Darder,es ESP,MF,Espanyol,23,1993,30.9,1,29,9,31,0.94,0.29,0.03,0.11,23.9,0,0
128,Salem Al-Dawsari,sa KSA,MF,Villarreal,25,1991,0.4,0,0,0,,0,0,,,,0,0
129,Ousmane Dembélé,fr FRA,"FW,MF",Barcelona,20,1997,10.3,3,20,10,50,1.95,0.97,0.15,0.3,17.6,0,0
130,Ermedin Demirovi?,ba BIH,FW,Alavés,19,1998,2,1,4,3,75,1.98,1.48,0.25,0.33,9.4,0,0
131,Gerard Deulofeu,es ESP,"MF,FW",Barcelona,23,1994,5.6,1,8,4,50,1.43,0.72,0.13,0.25,12.9,0,0
132,Adrián Diéguez,es ESP,DF,Alavés,21,1996,4.8,0,3,0,0,0.62,0,0,,25,0,0
133,Lucas Digne,fr FRA,DF,Barcelona,24,1993,7.8,0,2,1,50,0.26,0.13,0,0,15.4,0,0
134,Papakouli Diop,sn SEN,MF,Espanyol,31,1986,2.9,0,1,0,0,0.34,0,0,,21.8,0,0
135,Papakouli Diop,sn SEN,MF,Eibar,31,1986,10.4,0,14,1,7.1,1.34,0.1,0,0,15.3,0,0
136,Djené,tg TOG,DF,Getafe,25,1991,36,1,12,2,16.7,0.33,0.06,0.08,0.5,14.2,0,0
137,Marko Dmitrovi?,rs SRB,GK,Eibar,25,1992,36,0,0,0,,0,0,,,,0,0
138,Jaume Doménech,es ESP,GK,Valencia,26,1990,5,0,0,0,,0,0,,,,0,0
139,Mauro dos Santos,ar ARG,DF,Leganés,28,1989,10.9,0,1,1,100,0.09,0.09,0,0,7.2,0,0
140,Cheick Doukouré,ci CIV,MF,Levante,24,1992,11.4,1,21,1,4.8,1.85,0.09,0.05,1,17.8,0,0
141,Óscar Duarte,cr CRC,DF,Espanyol,28,1989,11,0,6,1,16.7,0.55,0.09,0,0,12.1,0,0
142,Rubén Duarte,es ESP,DF,Alavés,21,1995,23.8,0,8,0,0,0.34,0,0,,23.4,0,0
143,Riza Durmisi,dk DEN,"DF,MF",Betis,23,1994,23.1,2,18,6,33.3,0.78,0.26,0.11,0.33,20.5,0,0
144,Hugo Duro,es ESP,FW,Getafe,17,1999,0.2,0,1,1,100,4.74,4.74,0,0,14.9,0,0
145,Aritz Elustondo,es ESP,DF,Real Sociedad,23,1994,17.7,3,12,6,50,0.68,0.34,0.25,0.5,16.7,0,0
146,Rodrigo Ely,br BRA,DF,Alavés,23,1993,29.9,1,20,5,25,0.67,0.17,0.05,0.2,14.2,0,0
147,Youssef En-Nesyri,ma MAR,FW,Málaga,20,1997,17.7,4,47,14,29.8,2.65,0.79,0.09,0.29,14.9,0,1
148,Sergi Enrich,es ESP,FW,Eibar,27,1990,14.8,3,34,11,32.4,2.3,0.74,0.09,0.27,14.7,0,0
149,Javier Eraso,es ESP,"MF,FW",Leganés,27,1990,28.1,4,31,13,41.9,1.1,0.46,0.13,0.31,16,0,0
150,Gonzalo Escalante,ar ARG,MF,Eibar,24,1993,17.4,1,24,5,20.8,1.38,0.29,0.04,0.2,17.6,0,0
151,Sergio Escudero,es ESP,DF,Sevilla,27,1989,25.9,0,19,4,21.1,0.73,0.15,0,0,21.8,0,0
152,Bernardo Espinosa,co COL,DF,Girona,28,1989,31.9,0,24,5,20.8,0.75,0.16,0,0,11,0,0
153,Oghenekaro Etebo,ng NGA,MF,Las Palmas,21,1995,13.5,0,19,3,15.8,1.41,0.22,0,0,29.9,0,0
154,Beñat Etxebarria,es ESP,MF,Athletic Club,30,1987,12.4,0,12,3,25,0.96,0.24,0,0,29,0,0
155,Xabier Etxeita,es ESP,DF,Athletic Club,29,1987,4.2,1,4,1,25,0.96,0.24,0.25,1,10.2,0,0
156,Edu Expósito,es ESP,MF,La Coruña,20,1996,1.1,0,0,0,,0,0,,,,0,0
157,Erik Expósito,es ESP,FW,Las Palmas,21,1996,5.2,1,10,2,20,1.93,0.39,0.1,0.5,13.3,0,0
158,Imoh Ezekiel,ng NGA,"FW,MF",Las Palmas,23,1993,5.2,0,7,3,42.9,1.34,0.58,0,0,12.9,0,0
159,Fayçal Fajr,ma MAR,"MF,FW",Getafe,28,1988,26.5,1,21,9,42.9,0.79,0.34,0.05,0.11,24.2,0,1
160,Zouhair Feddal,ma MAR,DF,Betis,28,1989,14,3,7,3,42.9,0.5,0.21,0.43,1,16.7,0,0
161,Andrés Fernández,es ESP,GK,Villarreal,30,1986,2.5,0,0,0,,0,0,,,,0,0
162,Augusto Fernández,ar ARG,"MF,FW",Atlético Madrid,31,1986,1.2,0,1,0,0,0.84,0,0,,29.3,0,0
163,Carlos Fernández,es ESP,FW,Sevilla,21,1996,1.5,1,6,2,33.3,3.94,1.31,0.17,0.5,13.3,0,0
165,Raúl Fernández,es ESP,GK,Levante,29,1988,11,0,0,0,,0,0,,,,0,0
166,Junior Firpo,es ESP,"DF,MF",Betis,20,1996,13.2,2,14,4,28.6,1.06,0.3,0.14,0.5,14.8,0,0
167,Mathieu Flamini,fr FRA,MF,Getafe,33,1984,5.3,0,1,1,100,0.19,0.19,0,0,19,0,0
168,Andreu Fontàs,es ESP,DF,Celta Vigo,27,1989,9.8,0,1,0,0,0.1,0,0,,7,0,0
169,Pablo Fornals,es ESP,"MF,FW",Villarreal,21,1996,29.1,3,53,16,30.2,1.82,0.55,0.06,0.19,19.9,0,0
170,Javi Fuego,es ESP,MF,Espanyol,33,1984,14.9,0,6,2,33.3,0.4,0.13,0,0,18.7,0,0
171,Javi Fuego,es ESP,MF,Villarreal,33,1984,6,0,1,0,0,0.17,0,0,,26,0,0
172,Gabi,es ESP,MF,Atlético Madrid,34,1983,26.1,0,10,1,10,0.38,0.04,0,0,24.5,0,0
173,Gabriel,br BRA,MF,Leganés,23,1993,26.4,5,44,14,31.8,1.67,0.53,0.09,0.29,18.4,1,1
174,Nicolás Gaitán,ar ARG,"MF,FW",Atlético Madrid,29,1988,2.4,0,6,3,50,2.47,1.23,0,0,19.4,0,0
175,Álex Gálvez,es ESP,DF,Eibar,28,1989,4,1,2,1,50,0.5,0.25,0.5,1,10.5,0,0
176,Álex Gálvez,es ESP,DF,Las Palmas,28,1989,18,0,16,4,25,0.89,0.22,0,0,23.5,0,0
177,Bruno Gama,pt POR,"FW,MF",La Coruña,29,1987,1.3,0,1,0,0,0.78,0,0,,20.5,0,0
178,Kévin Gameiro,fr FRA,FW,Atlético Madrid,30,1987,12.5,7,18,11,61.1,1.44,0.88,0.28,0.45,14.5,2,2
179,Ganso,br BRA,MF,Sevilla,27,1989,5.8,2,7,3,42.9,1.21,0.52,0.29,0.67,16,0,0
180,Ezequiel Garay,ar ARG,DF,Valencia,30,1986,22.5,0,6,1,16.7,0.27,0.04,0,0,13.1,0,0
181,Aleix García,es ESP,MF,Girona,20,1997,9.5,1,11,3,27.3,1.16,0.32,0.09,0.33,29.9,0,0
182,Borja García,es ESP,"MF,FW",Girona,26,1990,31.1,2,51,10,19.6,1.64,0.32,0.04,0.2,22.2,0,0
183,Dani García,es ESP,MF,Eibar,27,1990,30.8,0,21,3,14.3,0.68,0.1,0,0,25.9,0,0
184,David García,es ESP,DF,Las Palmas,35,1982,9.6,1,5,3,60,0.52,0.31,0.2,0.33,9.3,0,0
185,Javi García,es ESP,"MF,DF",Betis,30,1987,26.8,1,12,1,8.3,0.45,0.04,0.08,1,18.5,0,0
186,Manu García,es ESP,MF,Alavés,31,1986,27.1,3,26,8,30.8,0.96,0.3,0.12,0.38,19.1,0,2
187,Raúl García,es ESP,DF,Leganés,28,1989,15.5,0,7,1,14.3,0.45,0.06,0,0,26.9,0,0
188,Raúl García,es ESP,"MF,FW",Athletic Club,31,1986,29.2,10,79,30,38,2.71,1.03,0.09,0.23,14.4,3,3
189,Samu García,es ESP,"MF,FW",Levante,27,1990,2.1,0,1,0,0,0.47,0,0,,11.7,0,0
190,Samu García,es ESP,"MF,FW",Málaga,27,1990,2,0,2,0,0,1.02,0,0,,23.4,0,0
191,Sergio García,es ESP,"FW,MF",Espanyol,34,1983,18.2,2,40,17,42.5,2.19,0.93,0.05,0.12,17.3,0,0
192,Mario Gaspar,es ESP,DF,Villarreal,26,1990,31.2,2,31,10,32.3,0.99,0.32,0.06,0.2,21.3,0,0
193,Johannes Geis,de GER,"DF,MF",Sevilla,23,1993,7.5,0,6,2,33.3,0.8,0.27,0,0,31,0,0
194,Carles Gil,es ESP,"FW,MF",La Coruña,24,1992,5.3,0,10,2,20,1.89,0.38,0,0,21.9,0,0
195,Nacho Gil,es ESP,"FW,MF",Las Palmas,21,1995,8.1,0,9,2,22.2,1.11,0.25,0,0,20.8,0,0
196,Nacho Gil,es ESP,"MF,FW",Valencia,21,1995,2.5,0,2,1,50,0.79,0.39,0,0,17.9,0,0
197,Dani Giménez,es ESP,GK,Betis,34,1983,3.4,0,0,0,,0,0,,,,0,0
198,Diego Godín,uy URU,DF,Atlético Madrid,31,1986,28.4,0,15,5,33.3,0.53,0.18,0,0,9.9,0,0
199,André Gomes,pt POR,"MF,FW",Barcelona,24,1993,7.1,0,7,0,0,0.99,0,0,,16.9,0,0
200,Ibai Gómez,es ESP,"MF,FW",Alavés,27,1989,25.8,7,52,24,46.2,2.02,0.93,0.12,0.25,20.9,1,1
201,Maxi Gómez,uy URU,FW,Celta Vigo,20,1996,34.1,17,82,38,46.3,2.41,1.11,0.21,0.45,11.6,0,0
202,Sergi Gómez,es ESP,DF,Celta Vigo,25,1992,29.8,2,13,2,15.4,0.44,0.07,0.15,1,10,0,0
203,Vicente Gómez,es ESP,MF,Las Palmas,28,1988,16.9,0,15,0,0,0.89,0,0,,17.8,0,0
204,Adrián González,es ESP,MF,Málaga,29,1988,26,3,31,10,32.3,1.19,0.38,0.06,0.2,19.3,1,1
205,Álvaro González,es ESP,DF,Villarreal,27,1990,32.2,0,22,3,13.6,0.68,0.09,0,0,9.2,0,0
206,Bruno González,es ESP,DF,Getafe,27,1990,17.1,0,5,0,0,0.29,0,0,,10,0,0
207,Diego González,es ESP,DF,Málaga,22,1995,15.9,1,14,3,21.4,0.88,0.19,0.07,0.33,16,0,0
208,Fabio González,es ESP,MF,Las Palmas,20,1997,0.7,0,0,0,,0,0,,,,0,0
209,Mario González,es ESP,FW,Villarreal,21,1996,0.2,0,1,0,0,5,0,0,,8.2,0,0
210,Andoni Gorosabel,es ESP,DF,Real Sociedad,20,1996,0.8,0,0,0,,0,0,,,,0,0
211,Julio Gracia,es ESP,"MF,FW",Betis,19,1998,0.3,0,1,0,0,3.91,0,0,,21,0,0
212,Álex Granell,es ESP,MF,Girona,28,1988,31.6,1,40,7,17.5,1.26,0.22,0.03,0.14,28,0,1
213,Esteban Granero,es ESP,"MF,FW",Espanyol,30,1987,13.7,1,13,2,15.4,0.95,0.15,0.08,0.5,23.6,0,0
214,Antoine Griezmann,fr FRA,FW,Atlético Madrid,26,1991,28,19,73,39,53.4,2.61,1.39,0.23,0.44,16.6,2,2
215,Vicente Guaita,es ESP,GK,Getafe,30,1987,33,0,0,0,,0,0,,,,0,0
216,Andrés Guardado,mx MEX,MF,Betis,30,1986,25.2,2,32,8,25,1.27,0.32,0.03,0.13,25.8,1,1
217,Gonçalo Guedes,pt POR,"MF,FW",Valencia,20,1996,27.1,5,61,22,36.1,2.25,0.81,0.08,0.23,22.1,0,0
218,Ramiro Guerra,uy URU,MF,Villarreal,20,1997,0.8,0,0,0,,0,0,,,,0,0
219,Francis Guerrero,es ESP,"DF,MF",Betis,21,1996,11,1,4,1,25,0.36,0.09,0.25,1,19.1,0,0
220,John Guidetti,se SWE,"FW,MF",Celta Vigo,25,1992,1.3,0,5,3,60,3.91,2.35,0,0,15,0,0
221,John Guidetti,se SWE,FW,Alavés,25,1992,13.6,3,29,12,41.4,2.14,0.88,0.1,0.25,17.4,0,0
222,Guilherme,br BRA,MF,La Coruña,26,1991,29.3,0,42,2,4.8,1.43,0.07,0,0,23.5,0,0
