,,,,,,,,,Standard,,,,,,,,Performance,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,PK,PKatt
1,Aly Abeid,mr MTN,DF,Levante,19,1997,0.9,0,0,0,,0,0,,,,0,0
2,Antonio Adán,es ESP,GK,Betis,30,1987,30,0,0,0,,0,0,,,,0,0
3,Aday,es ESP,"DF,MF",Girona,29,1987,20.4,2,34,14,41.2,1.67,0.69,0.03,0.07,22.6,1,2
4,Aritz Aduriz,es ESP,FW,Athletic Club,36,1981,23.9,9,57,25,43.9,2.38,1.05,0.11,0.24,12.4,3,5
5,Martin Agirregabiria,es ESP,DF,Alavés,21,1996,20.3,0,4,1,25,0.2,0.05,0,0,35.9,0,0
6,Imanol Agirretxe,es ESP,"FW,MF",Real Sociedad,30,1987,2.6,0,5,2,40,1.94,0.78,0,0,10.3,0,0
7,Matías Aguirregaray,uy URU,DF,Las Palmas,28,1989,12.8,0,9,0,0,0.7,0,0,,20.9,0,0
8,Ager Aketxe,es ESP,MF,Athletic Club,23,1993,0.4,0,2,0,0,4.86,0,0,,25.1,0,0
9,David Alba,es ESP,DF,Getafe,18,1999,0.7,0,0,0,,0,0,,,,0,0
10,Jordi Alba,es ESP,DF,Barcelona,28,1989,30.5,2,15,5,33.3,0.49,0.16,0.13,0.4,14.7,0,0
11,Raúl Albentosa,es ESP,DF,La Coruña,28,1988,19.4,1,13,3,23.1,0.67,0.15,0.08,0.33,8,0,0
12,Paco Alcácer,es ESP,"MF,FW",Barcelona,23,1993,7.7,4,16,7,43.8,2.07,0.91,0.25,0.57,11.9,0,0
13,Pedro Alcalá,es ESP,DF,Girona,28,1989,7.7,1,7,2,28.6,0.91,0.26,0.14,0.5,16.8,0,0
14,Steve Aldo One,cm CMR,DF,La Coruña,22,1995,1,0,0,0,,0,0,,,,0,0
15,Álex Alegría,es ESP,FW,Levante,24,1992,7,0,15,2,13.3,2.15,0.29,0,0,16.9,0,0
16,Iván Alejo,es ESP,"MF,FW",Eibar,22,1995,12.2,1,12,3,25,0.98,0.25,0.08,0.33,21.3,0,0
17,Alexander,ar ARG,"MF,FW",Leganés,28,1988,11.8,2,19,5,26.3,1.61,0.42,0.05,0.2,17.6,1,1
18,Alexis,es ESP,DF,Alavés,31,1985,24.3,1,12,3,25,0.49,0.12,0.08,0.33,13,0,0
19,José Alonso Lara,es ESP,FW,Sevilla,17,2000,0.1,0,0,0,,0,0,,,,0,0
20,Sergio Álvarez,es ESP,GK,Celta Vigo,30,1986,16.4,0,0,0,,0,0,,,,0,0
21,Yeray Álvarez,es ESP,DF,Athletic Club,22,1995,7.5,0,1,0,0,0.13,0,0,,4.5,0,0
22,Eloi Amagat,es ESP,"FW,MF",Girona,32,1985,0.2,0,2,0,0,12,0,0,,9.2,0,0
23,Jordi Amat,es ESP,"DF,MF",Betis,25,1992,22.7,0,7,1,14.3,0.31,0.04,0,0,15,0,0
24,Amath,sn SEN,"MF,FW",Getafe,21,1996,31.8,3,43,14,32.6,1.35,0.44,0.07,0.21,16.5,0,0
25,Nordin Amrabat,ma MAR,"FW,MF",Leganés,30,1987,18,2,40,17,42.5,2.22,0.94,0.05,0.12,21.9,0,0
26,Jon Ander Serantes,es ESP,GK,Leganés,27,1989,1,0,0,0,,0,0,,,,0,0
27,Florin Andone,ro ROU,FW,La Coruña,24,1993,18.2,7,56,20,35.7,3.08,1.1,0.13,0.35,12,0,1
28,Miguel Ángel Guerrero,es ESP,FW,Leganés,27,1990,16,4,30,10,33.3,1.87,0.62,0.13,0.4,13.3,0,1
29,José Ángel,es ESP,DF,Eibar,27,1989,27,0,16,0,0,0.59,0,0,,27.3,0,0
30,Miguel Ángel Moyá,es ESP,GK,Real Sociedad,33,1984,8.5,0,0,0,,0,0,,,,0,0
