,,,,,,,,,Standard,,,,,,,,Performance,
35,Santiago Arzamendia,py PAR,"MF,DF",Cádiz,23,1998,5.2,1,6,1,16.7,1.15,0.19,0.17,1,35.6,0,0
36,Sergio Asenjo,es ESP,GK,Villarreal,32,1989,6,0,0,0,,0,0,,,,0,0
37,Alejandro Asensio,es ESP,FW,Rayo Vallecano,20,2000,0.1,0,1,0,0,7.5,0,0,,9.5,0,0
38,Marco Asensio,es ESP,"FW,MF",Real Madrid,25,1996,19.2,10,64,31,48.4,3.33,1.61,0.16,0.32,18.6,0,0
39,Iago Aspas,es ESP,FW,Celta Vigo,33,1987,34.3,18,84,37,44,2.45,1.08,0.18,0.41,16,3,5
40,Pierre-Emerick Aubameyang,ga GAB,FW,Barcelona,32,1989,12,11,38,20,52.6,3.16,1.66,0.29,0.55,11.3,0,0
41,Ludwig Augustinsson,se SWE,DF,Sevilla,27,1994,8.8,0,4,2,50,0.45,0.23,0,0,15.5,0,0
42,Serge Aurier,ci CIV,DF,Villarreal,28,1992,11.2,0,11,2,18.2,0.98,0.18,0,0,15.1,0,0
43,Ezequiel Ávila,ar ARG,"FW,MF",Osasuna,27,1994,20.8,6,60,15,25,2.89,0.72,0.08,0.33,24.5,1,1
44,Iddrisu Baba,gh GHA,MF,Mallorca,25,1996,21.5,2,22,8,36.4,1.02,0.37,0.09,0.25,24.3,0,0
45,Carlos Bacca,co COL,FW,Granada,34,1986,5.7,0,9,2,22.2,1.58,0.35,0,0,14.4,0,0
46,Édgar Badía,es ESP,GK,Elche,29,1992,24,0,0,0,,0,0,,,,0,0
47,Miguel Baeza,es ESP,DF,Celta Vigo,21,2000,0,0,0,0,,0,0,,,,0,0
48,Alejandro Balde,es ESP,"DF,FW",Barcelona,17,2003,2.1,0,1,0,0,0.48,0,0,,21.6,0,0
49,Gareth Bale,wls WAL,FW,Real Madrid,32,1989,3.1,1,15,6,40,4.82,1.93,0.07,0.17,20,0,0
50,Mikel Balenziaga,es ESP,DF,Athletic Club,33,1988,22.5,0,6,2,33.3,0.27,0.09,0,0,25.3,0,0
51,Iván Balliu,al ALB,DF,Rayo Vallecano,29,1992,35,1,15,3,20,0.43,0.09,0.07,0.33,20.3,0,0
52,Barbero,es ESP,"MF,FW",Osasuna,22,1998,0.2,0,0,0,,0,0,,,,0,0
53,Barcia,es ESP,DF,Granada,20,2000,0.8,0,0,0,,0,0,,,,0,0
54,Enis Bardhi,mk MKD,"MF,FW",Levante,26,1995,18.9,3,41,7,17.1,2.17,0.37,0.02,0.14,23.6,2,2
55,Keidi Bare,al ALB,MF,Espanyol,23,1997,16.5,1,5,1,20,0.3,0.06,0.2,1,12.7,0,0
56,Kike Barja,es ESP,"MF,FW",Osasuna,24,1997,9.6,2,17,6,35.3,1.77,0.62,0.12,0.33,17.8,0,0
57,Antonio Barragán,es ESP,DF,Elche,34,1987,11.3,0,1,0,0,0.09,0,0,,13.3,0,0
58,Ander Barrenetxea,es ESP,"FW,MF",Real Sociedad,19,2001,6.1,1,8,2,25,1.32,0.33,0.13,0.5,16.2,0,0
59,Marc Bartra,es ESP,DF,Betis,30,1991,22.1,1,15,3,20,0.68,0.14,0.07,0.33,15.1,0,0
60,Álvaro Bastida,es ESP,MF,Cádiz,17,2004,2.2,0,0,0,,0,0,,,,0,0
61,Rodrigo Battaglia,ar ARG,MF,Mallorca,30,1991,13.1,0,5,1,20,0.38,0.08,0,0,20.1,0,0
62,Jon Bautista,es ESP,"FW,MF",Real Sociedad,26,1995,0.5,0,1,0,0,2,0,0,,14,0,0
63,Bebé,cv CPV,"FW,MF",Rayo Vallecano,31,1990,9.6,1,49,7,14.3,5.09,0.73,0.02,0.14,26.4,0,0
64,Héctor Bellerín,es ESP,DF,Betis,26,1995,22,0,10,1,10,0.45,0.05,0,0,20.6,0,0
65,Fran Beltrán,es ESP,MF,Celta Vigo,22,1999,28.9,1,20,4,20,0.69,0.14,0.05,0.25,27.6,0,0
66,Darío Benedetto,ar ARG,FW,Elche,31,1990,6.6,2,18,6,33.3,2.75,0.92,0.11,0.33,20.6,0,0
67,Iker Benito,es ESP,"MF,FW",Osasuna,18,2002,1.3,0,3,1,33.3,2.29,0.76,0,0,25.9,0,0
68,Pedro Benito,es ESP,FW,Cádiz,21,2000,0.3,0,0,0,,0,0,,,,0,0
69,Karim Benzema,fr FRA,FW,Real Madrid,33,1987,28.8,27,118,47,39.8,4.1,1.63,0.17,0.43,15.5,7,11
70,Yuri Berchiche,es ESP,DF,Athletic Club,31,1990,11.3,1,8,3,37.5,0.71,0.27,0.13,0.33,20.4,0,0
71,Álex Berenguer,es ESP,"MF,FW",Athletic Club,26,1995,24.1,3,46,14,30.4,1.91,0.58,0.07,0.21,17.3,0,1
72,Pedro Bigas,es ESP,DF,Elche,30,1990,17.2,1,12,3,25,0.7,0.17,0.08,0.33,20.3,0,0
73,Blanco,es ESP,MF,Real Madrid,21,2000,0.3,0,0,0,,0,0,,,,0,0
74,Yassine Bounou,ma MAR,GK,Sevilla,30,1991,31,0,0,0,,0,0,,,,0,0
75,Lucas Boyé,ar ARG,FW,Elche,25,1996,19,7,49,15,30.6,2.57,0.79,0.14,0.47,15.5,0,0
76,Martin Braithwaite,dk DEN,FW,Barcelona,30,1991,2.6,2,7,3,42.9,2.68,1.15,0.29,0.67,12,0,0
77,Darko Brasanac,rs SRB,MF,Osasuna,29,1992,26.7,1,18,5,27.8,0.67,0.19,0.06,0.2,13.7,0,0
78,Claudio Bravo,cl CHI,GK,Betis,38,1983,16.2,0,0,0,,0,0,,,,0,0
79,Yan Brice Eteki,cm CMR,MF,Granada,23,1997,3.8,0,2,0,0,0.52,0,0,,15.1,0,0
80,Bryan,es ESP,"MF,FW",Valencia,20,2001,8.4,0,11,2,18.2,1.31,0.24,0,0,16.2,0,0
81,Ante Budimir,hr CRO,FW,Osasuna,30,1991,19.3,8,44,18,40.9,2.28,0.93,0.14,0.33,11.5,2,2
82,Sergio Busquets,es ESP,MF,Barcelona,33,1988,35.5,2,14,4,28.6,0.39,0.11,0.14,0.5,19.7,0,0
83,Adrián Butzke,es ESP,FW,Granada,22,1999,0,0,0,0,,0,0,,,,0,0
84,Erick Cabaco,uy URU,DF,Getafe,26,1995,4.5,0,2,0,0,0.45,0,0,,8.5,0,0
85,Leandro Cabrera,uy URU,DF,Espanyol,30,1991,37,2,17,6,35.3,0.46,0.16,0.12,0.33,10.2,0,0
86,Martín Cáceres,uy URU,DF,Levante,34,1987,7.4,0,0,0,,0,0,,,,0,0
87,Cala,es ESP,DF,Cádiz,31,1989,10.5,0,5,0,0,0.48,0,0,,9.3,0,0
88,Calderón,es ESP,DF,Betis,21,2000,0.7,0,0,0,,0,0,,,,0,0
89,Fernando Calero,es ESP,DF,Espanyol,25,1995,12.1,0,1,0,0,0.08,0,0,,16,0,0
90,Víctor Camarasa,es ESP,"MF,FW",Betis,27,1994,1.2,0,1,0,0,0.83,0,0,,34.1,0,0
91,Eduardo Camavinga,fr FRA,MF,Real Madrid,18,2002,13.7,2,12,5,41.7,0.87,0.36,0.17,0.4,23.6,0,0
92,José Campaña,es ESP,MF,Levante,28,1993,15.8,2,12,5,41.7,0.76,0.32,0.17,0.4,20.8,0,1
93,Sergio Canales,es ESP,"FW,MF",Betis,30,1991,31,5,55,23,41.8,1.77,0.74,0.09,0.22,20.1,0,0
94,Álex Cantero,es ESP,"FW,MF",Levante,21,2000,6.8,0,16,5,31.3,2.36,0.74,0,0,15.4,0,0
95,Ander Capa,es ESP,DF,Athletic Club,29,1992,0,0,1,0,0,22.5,0,0,,23,0,0
96,Étienne Capoue,fr FRA,MF,Villarreal,33,1988,25.4,1,14,5,35.7,0.55,0.2,0.07,0.2,19.1,0,0
97,Isaac Carcelen,es ESP,"DF,MF",Cádiz,28,1993,17.2,0,12,4,33.3,0.7,0.23,0,0,24.6,0,0
98,Cárdenas,es ESP,GK,Levante,24,1997,24,0,0,0,,0,0,,,,0,0
99,Carlo,es ESP,MF,Villarreal,20,2001,0.1,0,0,0,,0,0,,,,0,0
100,Diego Carlos,br BRA,DF,Sevilla,28,1993,32.9,3,29,10,34.5,0.88,0.3,0.1,0.3,13.6,0,0
101,Carmona,es ESP,DF,Sevilla,19,2002,0.3,0,0,0,,0,0,,,,0,0
102,Yannick Carrasco,be BEL,"DF,MF",Atlético Madrid,27,1993,28.7,6,49,10,20.4,1.71,0.35,0.08,0.4,18.3,2,2
103,Guido Carrillo,ar ARG,FW,Elche,30,1991,13,2,24,10,41.7,1.85,0.77,0.08,0.2,9.7,0,0
104,Dani Carvajal,es ESP,DF,Real Madrid,29,1992,17.2,1,10,2,20,0.58,0.12,0.1,0.5,19.7,0,0
105,William Carvalho,pt POR,MF,Betis,29,1992,20.1,2,33,10,30.3,1.65,0.5,0.06,0.2,15.8,0,0
106,Casemiro,br BRA,MF,Real Madrid,29,1992,28.5,1,41,9,22,1.44,0.32,0.02,0.11,24.5,0,0
107,Kiko Casilla,es ESP,GK,Elche,34,1986,14,0,0,0,,0,0,,,,0,0
108,Catena,es ESP,DF,Rayo Vallecano,26,1994,36,2,22,6,27.3,0.61,0.17,0.09,0.33,9.9,0,0
109,Dani Ceballos,es ESP,MF,Real Madrid,24,1996,3.1,0,10,3,30,3.26,0.98,0,0,19.8,0,0
110,Franco Cervi,ar ARG,MF,Celta Vigo,27,1994,20,4,23,8,34.8,1.15,0.4,0.17,0.5,15.3,0,0
111,Chapela,es ESP,"MF,FW",Cádiz,22,1999,4.4,0,3,0,0,0.68,0,0,,22.5,0,0
112,Chema,es ESP,MF,Getafe,29,1992,0.5,0,1,0,0,2,0,0,,26,0,0
113,Denis Cheryshev,ru RUS,MF,Valencia,30,1990,6.3,0,11,4,36.4,1.76,0.64,0,0,15.7,0,0
114,Samuel Chukwueze,ng NGA,"MF,FW",Villarreal,22,1999,14.8,3,34,7,20.6,2.3,0.47,0.09,0.43,16.2,0,0
115,Víctor Chust,es ESP,DF,Cádiz,21,2000,20.3,0,9,2,22.2,0.44,0.1,0,0,9.4,0,0
116,Jasper Cillessen,nl NED,GK,Valencia,32,1989,16.2,0,0,0,,0,0,,,,0,0
117,Pathé Ciss,sn SEN,MF,Rayo Vallecano,27,1994,12.2,2,20,5,25,1.64,0.41,0.1,0.4,24.7,0,0
118,Carlos Clerc,es ESP,DF,Levante,29,1992,16.8,0,2,0,0,0.12,0,0,,14.4,0,0
119,Coke,es ESP,DF,Levante,34,1987,1.3,1,1,1,100,0.76,0.76,1,1,2,0,0
120,Álex Collado,es ESP,"MF,FW",Granada,22,1999,11.3,2,17,8,47.1,1.5,0.71,0.12,0.25,23.8,0,0
121,Eray Cömert,ch SUI,DF,Valencia,23,1998,4.5,0,3,1,33.3,0.66,0.22,0,0,7.7,0,0
122,Santi Comesaña,es ESP,MF,Rayo Vallecano,24,1996,29.8,1,34,5,14.7,1.14,0.17,0.03,0.2,12.5,0,0
123,Diego Conde,es ESP,GK,Getafe,22,1998,0.1,0,0,0,,0,0,,,,0,0
124,Francis Coquelin,fr FRA,MF,Villarreal,30,1991,9.2,2,5,2,40,0.54,0.22,0.4,1,13.8,0,0
125,Jesús Corona,mx MEX,"FW,DF",Sevilla,28,1993,12.9,2,12,4,33.3,0.93,0.31,0.17,0.5,12,0,0
126,Ángel Correa,ar ARG,"FW,MF",Atlético Madrid,26,1995,20.6,12,50,22,44,2.42,1.07,0.24,0.55,17.3,0,0
127,Thierry Correia,pt POR,DF,Valencia,22,1999,15.7,0,3,1,33.3,0.19,0.06,0,0,19.4,0,0
128,Hélder Costa,ao ANG,"MF,FW",Valencia,27,1994,12.4,0,9,2,22.2,0.72,0.16,0,0,17.3,0,0
129,Jaume Costa,es ESP,DF,Mallorca,33,1988,20.3,0,10,2,20,0.49,0.1,0,0,18.3,0,0
130,Thibaut Courtois,be BEL,GK,Real Madrid,29,1992,36,0,0,0,,0,0,,,,0,0
131,Philippe Coutinho,br BRA,"MF,FW",Barcelona,29,1992,5.6,2,23,6,26.1,4.12,1.07,0.04,0.17,18,1,1
132,Cristo,es ESP,DF,Real Sociedad,21,2000,0.2,0,1,0,0,5.29,0,0,,35.3,0,0
133,Juan Cruz Armada,es ESP,DF,Osasuna,29,1992,21.5,0,3,0,0,0.14,0,0,,17.2,0,0
134,Marc Cucurella,es ESP,"FW,DF",Getafe,23,1998,0.3,0,1,0,0,3.91,0,0,,18,0,0
135,Jorge Cuenca,es ESP,DF,Getafe,21,1999,29.8,1,16,6,37.5,0.54,0.2,0.06,0.17,11,0,0
136,Matheus Cunha,br BRA,FW,Atlético Madrid,22,1999,11.8,6,36,14,38.9,3.05,1.19,0.17,0.43,15.1,0,0
137,Sergi Darder,es ESP,MF,Espanyol,27,1993,34.7,3,44,17,38.6,1.27,0.49,0.07,0.18,23.2,0,0
138,Rodrigo De Paul,ar ARG,MF,Atlético Madrid,27,1994,23.9,3,23,9,39.1,0.96,0.38,0.13,0.33,22.4,0,0
139,Thomas Delaney,dk DEN,MF,Sevilla,29,1991,17.2,2,17,5,29.4,0.99,0.29,0.12,0.4,11.8,0,0
140,Ousmane Dembélé,fr FRA,FW,Barcelona,24,1997,15.7,1,49,9,18.4,3.13,0.57,0.02,0.11,19.8,0,0
141,Yusuf Demir,at AUT,FW,Barcelona,18,2003,2.1,0,1,0,0,0.47,0,0,,12,0,0
142,Memphis Depay,nl NED,FW,Barcelona,27,1994,20.6,12,56,29,51.8,2.72,1.41,0.14,0.28,18.7,4,5
143,Sergiño Dest,us USA,"DF,FW",Barcelona,20,2000,16.8,0,12,3,25,0.71,0.18,0,0,15.6,0,0
144,Boulaye Dia,sn SEN,FW,Villarreal,24,1996,14.1,5,37,11,29.7,2.62,0.78,0.14,0.45,14.1,0,0
145,Mouctar Diakhaby,gn GUI,DF,Valencia,24,1996,21.6,0,8,1,12.5,0.37,0.05,0,0,10.1,0,0
146,Javier Díaz,es ESP,GK,Sevilla,24,1997,1,0,0,0,,0,0,,,,0,0
147,Víctor Díaz,es ESP,DF,Granada,33,1988,16.7,1,13,2,15.4,0.78,0.12,0.08,0.5,22,0,0
148,Landry Dimata,be BEL,"FW,MF",Espanyol,23,1997,6,0,8,0,0,1.33,0,0,,10.9,0,0
149,Stole Dimitrievski,mk MKD,GK,Rayo Vallecano,27,1993,30.8,0,0,0,,0,0,,,,0,0
150,Matías Dituro,ar ARG,GK,Celta Vigo,34,1987,38,0,1,1,100,0.03,0.03,0,0,19,0,0
151,Djené,tg TOG,DF,Getafe,29,1991,34.6,0,4,1,25,0.12,0.03,0,0,17.3,0,0
152,Naïs Djouahra,fr FRA,"FW,MF",Real Sociedad,21,1999,2.4,0,6,2,33.3,2.47,0.82,0,0,18.8,0,0
153,Marko Dmitrovi?,rs SRB,GK,Sevilla,29,1992,6,0,0,0,,0,0,,,,0,0
154,Jaume Doménech,es ESP,GK,Valencia,30,1990,3.8,0,0,0,,0,0,,,,0,0
155,Carlos Dominguez,es ESP,DF,Celta Vigo,20,2001,3.8,0,1,0,0,0.26,0,0,,6,0,0
156,Mario Dominguez,es ESP,FW,Valencia,17,2004,0.3,0,0,0,,0,0,,,,0,0
157,John Donald,es ESP,DF,Elche,20,2000,2,0,2,1,50,1,0.5,0,0,14.5,0,0
158,Domingos Duarte,pt POR,DF,Granada,26,1995,18.7,1,6,1,16.7,0.32,0.05,0.17,1,8.7,0,0
159,Óscar Duarte,cr CRC,DF,Levante,32,1989,19.7,2,20,5,25,1.02,0.25,0.1,0.4,11.3,0,0
160,Rubén Duarte,es ESP,DF,Alavés,25,1995,29.1,0,9,3,33.3,0.31,0.1,0,0,23.9,0,0
161,Unai Dufur,es ESP,DF,Osasuna,22,1999,1,0,1,0,0,1,0,0,,6.7,0,0
162,Hugo Duro,es ESP,"DF,MF",Getafe,21,1999,0.1,0,2,1,50,15,7.5,0,0,16,0,0
163,Hugo Duro,es ESP,"FW,MF",Valencia,21,1999,20.4,7,31,15,48.4,1.52,0.74,0.23,0.47,11.4,0,0
164,Aritz Elustondo,es ESP,DF,Real Sociedad,27,1994,23.4,4,16,7,43.8,0.68,0.3,0.25,0.57,12.8,0,0
165,Adri Embarba,es ESP,"FW,MF",Espanyol,29,1992,22.1,0,49,16,32.7,2.22,0.73,0,0,22.9,0,0
166,Emerson,br BRA,DF,Barcelona,22,1999,1,0,0,0,,0,0,,,,0,0
167,Youssef En-Nesyri,ma MAR,FW,Sevilla,24,1997,14.2,5,36,12,33.3,2.54,0.85,0.11,0.33,11.6,1,1
168,Gonzalo Escalante,ar ARG,MF,Alavés,28,1993,14.4,5,17,9,52.9,1.18,0.62,0.29,0.56,11.4,0,0
169,Aarón Escandell,es ESP,GK,Granada,25,1995,3.2,0,0,0,,0,0,,,,0,0
170,Sergio Escudero,es ESP,"DF,MF",Granada,31,1989,15.9,2,21,3,14.3,1.32,0.19,0.1,0.67,26.5,0,0
171,Alfonso Espino,uy URU,DF,Cádiz,29,1992,37,2,27,8,29.6,0.73,0.22,0.07,0.25,20.3,0,0
172,Estanis,es ESP,FW,Barcelona,17,2003,0.1,0,0,0,,0,0,,,,0,0
173,Pervis Estupiñán,ec ECU,DF,Villarreal,23,1998,17.5,0,14,4,28.6,0.8,0.23,0,0,19.4,0,0
174,Abdessamad Ezzalzouli,ma MAR,"FW,DF",Barcelona,19,2001,6.4,1,16,3,18.8,2.48,0.47,0.06,0.33,16.2,0,0
175,Radamel Falcao,co COL,FW,Rayo Vallecano,35,1986,9.3,6,33,15,45.5,3.54,1.61,0.18,0.4,12.7,0,0
176,Fali,es ESP,"DF,MF",Cádiz,27,1993,20,0,15,0,0,0.75,0,0,,16,0,0
177,Omar Faraj,se SWE,FW,Levante,19,2002,0,0,0,0,,0,0,,,,0,0
178,Ansu Fati,es ESP,FW,Barcelona,18,2002,3.7,4,18,8,44.4,4.82,2.14,0.22,0.5,16.8,0,0
179,Aleix Febas,es ESP,MF,Mallorca,25,1996,1.3,0,0,0,,0,0,,,,0,0
180,Nabil Fekir,fr FRA,MF,Betis,28,1993,31,6,84,31,36.9,2.71,1,0.07,0.19,21.2,0,0
181,Felipe,br BRA,DF,Atlético Madrid,32,1989,16.7,2,11,4,36.4,0.66,0.24,0.18,0.5,8.8,0,0
182,João Félix,pt POR,"FW,MF",Atlético Madrid,21,1999,14,8,39,15,38.5,2.78,1.07,0.21,0.53,14.5,0,0
183,Aitor Fernández,es ESP,GK,Levante,30,1991,13,0,0,0,,0,0,,,,0,0
184,Álex Fernández,es ESP,MF,Cádiz,28,1992,22.8,3,19,6,31.6,0.83,0.26,0.11,0.33,19.6,1,2
185,Fernando,br BRA,"MF,DF",Sevilla,34,1987,20.6,1,7,1,14.3,0.34,0.05,0.14,1,15.6,0,0
186,Fidel,es ESP,"MF,FW",Elche,31,1989,25.1,5,16,7,43.8,0.64,0.28,0.25,0.57,15.4,1,1
187,José Fontán,es ESP,DF,Celta Vigo,21,2000,3.1,0,1,0,0,0.33,0,0,,13,0,0
188,Dimitri Foulquier,fr FRA,DF,Granada,28,1993,2,0,0,0,,0,0,,,,0,0
189,Dimitri Foulquier,fr FRA,DF,Valencia,28,1993,26,0,16,5,31.3,0.61,0.19,0,0,21.4,0,0
190,Juan Foyth,ar ARG,DF,Villarreal,23,1998,21.4,1,6,2,33.3,0.28,0.09,0.17,0.5,11.3,0,0
191,Enric Franquesa,es ESP,DF,Levante,24,1997,6.9,0,1,0,0,0.14,0,0,,11.7,0,0
192,Jorge de Frutos,es ESP,"MF,FW",Levante,24,1997,19.6,4,46,20,43.5,2.35,1.02,0.09,0.2,15.3,0,0
193,Javi Galán,es ESP,DF,Celta Vigo,26,1994,36.6,0,19,5,26.3,0.52,0.14,0,0,27.3,0,0
194,Iñigo Ruiz de Galarreta,es ESP,MF,Mallorca,27,1993,15.3,0,8,3,37.5,0.52,0.2,0,0,21.8,0,0
195,Thiago Galhardo,br BRA,"FW,MF",Celta Vigo,32,1989,12.8,2,31,15,48.4,2.43,1.18,0.06,0.13,12.7,0,0
196,Álvaro García,es ESP,FW,Rayo Vallecano,28,1992,33.3,7,67,24,35.8,2.01,0.72,0.1,0.29,16.4,0,0
197,Dani García,es ESP,MF,Athletic Club,31,1990,24.2,0,12,2,16.7,0.5,0.08,0,0,19,0,0
198,David García,es ESP,DF,Osasuna,27,1994,34.5,4,31,4,12.9,0.9,0.12,0.13,1,11.5,0,0
199,Eric García,es ESP,DF,Barcelona,20,2001,22.7,0,6,4,66.7,0.26,0.18,0,0,23.7,0,0
200,Francisco Garcia,es ESP,DF,Rayo Vallecano,21,1999,33.6,1,25,8,32,0.74,0.24,0.04,0.13,23.5,0,0
201,Joan García,es ESP,GK,Espanyol,20,2001,1.2,0,0,0,,0,0,,,,0,0
202,Manu García,es ESP,MF,Alavés,23,1998,12,0,8,1,12.5,0.67,0.08,0,0,21.8,0,0
203,Raúl García,es ESP,FW,Athletic Club,35,1986,20,6,44,12,27.3,2.2,0.6,0.14,0.5,16.2,0,1
204,Rubén García,es ESP,"FW,MF",Osasuna,28,1993,26.4,1,30,9,30,1.14,0.34,0.03,0.11,23.1,0,2
205,Saúl García,es ESP,FW,Alavés,26,1994,0,0,0,0,,0,0,,,,0,0
206,Unai García,es ESP,DF,Osasuna,29,1992,15.6,0,8,0,0,0.51,0,0,,16.8,0,0
207,Mario Gaspar,es ESP,DF,Villarreal,30,1990,6.9,0,4,1,25,0.58,0.14,0,0,17,0,0
208,Gavi,es ESP,"MF,FW",Barcelona,16,2004,25.7,2,31,8,25.8,1.2,0.31,0.06,0.25,14.5,0,0
209,Óscar Gil,es ESP,DF,Espanyol,23,1998,18.8,0,6,1,16.7,0.32,0.05,0,0,23.7,0,0
210,Mario Gila,es ESP,DF,Real Madrid,20,2000,0.3,0,0,0,,0,0,,,,0,0
211,Dani Gómez,es ESP,FW,Levante,23,1998,11.8,4,31,14,45.2,2.62,1.19,0.13,0.29,14.9,0,0
212,Maxi Gómez,uy URU,FW,Valencia,24,1996,21.7,5,42,12,28.6,1.93,0.55,0.12,0.42,17,0,0
213,Moi Gómez,es ESP,"MF,FW",Villarreal,27,1994,14.3,2,13,5,38.5,0.91,0.35,0.15,0.4,13,0,0
214,Papu Gómez,ar ARG,"MF,FW",Sevilla,33,1988,19.8,5,34,12,35.3,1.72,0.61,0.15,0.42,21.3,0,0
215,Sergi Gómez,es ESP,DF,Espanyol,29,1992,30.2,1,7,3,42.9,0.23,0.1,0.14,0.33,11.9,0,0
216,Maxime Gonalons,fr FRA,MF,Granada,32,1989,17.2,0,11,2,18.2,0.64,0.12,0,0,24.2,0,0
217,Diego González,es ESP,DF,Elche,26,1995,19.9,0,4,1,25,0.2,0.05,0,0,12.2,0,0
218,Édgar González,es ESP,DF,Betis,24,1997,16.3,1,5,2,40,0.31,0.12,0.2,0.5,6.4,0,0
219,Giovanni González,uy URU,DF,Mallorca,26,1994,4.1,1,3,1,33.3,0.74,0.25,0.33,1,13.8,0,0
220,Nicolás González,es ESP,MF,Barcelona,19,2002,12.4,2,17,3,17.6,1.37,0.24,0.12,0.67,20.2,0,0
221,Peter González,do DOM,"MF,DF",Real Madrid,19,2002,0.3,0,2,1,50,6.67,3.33,0,0,23.1,0,0
222,Roberto González,es ESP,"FW,MF",Betis,20,2001,1.5,0,2,0,0,1.33,0,0,,16.8,0,0
