,,,,,,,,,Standard,,,,,,,,Performance,
91,Cani,es ESP,MF,Villarreal,32,1981,5,0,,0,,,0,,,,0,0
92,Cani,es ESP,MF,AtlÈtico Madrid,32,1981,0.8,0,,0,,,0,,,,0,0
93,Ander Capa,es ESP,"DF,MF",Eibar,22,1992,26.7,3,,10,,,0.37,,0.3,,0,0
94,Eneko Capilla,es ESP,MF,Real Sociedad,19,1995,0.1,0,,0,,,0,,,,0,0
95,JosÈ Carlos,es ESP,"FW,MF",CÛrdoba,27,1987,0.2,0,,0,,,0,,,,0,0
96,Juan Carlos,es ESP,"FW,MF",La CoruÒa,23,1991,0.8,0,,1,,,1.27,,0,,0,0
97,Juan Carlos,es ESP,GK,CÛrdoba,26,1988,32,0,,0,,,0,,,,0,0
98,Juan Carlos,es ESP,GK,Villarreal,27,1987,4.1,0,,0,,,0,,,,0,0
99,Daniel CarriÁo,pt POR,"DF,MF",Sevilla,25,1988,28,1,,4,,,0.14,,0.25,,0,0
100,Federico Cartabia,ar ARG,"FW,MF",CÛrdoba,21,1993,24,4,,21,,,0.88,,0.19,,0,1
101,Dani Carvajal,es ESP,DF,Real Madrid,22,1992,25.2,0,,1,,,0.04,,0,,0,0
102,VÌctor Casades˙s,es ESP,FW,Levante,29,1985,27.1,8,,18,,,0.67,,0.44,,0,0
103,Kiko Casilla,es ESP,GK,Espanyol,27,1986,36.4,0,,0,,,0,,,,0,0
104,Iker Casillas,es ESP,GK,Real Madrid,33,1981,32,0,,0,,,0,,,,0,0
105,Samu Castillejo,es ESP,"FW,MF",M·laga,19,1995,26,1,,9,,,0.35,,0.11,,0,0
106,Chory Castro,uy URU,"FW,MF",Real Sociedad,29,1984,20.1,4,,18,,,0.9,,0.22,,0,0
107,Diego Castro,es ESP,"FW,MF",Getafe,32,1982,25,3,,15,,,0.6,,0.2,,0,1
108,Jonny Castro,es ESP,"DF,MF",Celta Vigo,20,1994,33,0,,1,,,0.03,,0,,0,0
109,ZÈ Castro,pt POR,DF,Rayo Vallecano,31,1983,26.8,0,,2,,,0.07,,0,,0,0
110,Ivan Cavaleiro,pt POR,"FW,MF",La CoruÒa,20,1993,26.5,3,,16,,,0.6,,0.19,,0,1
111,Alessio Cerci,it ITA,"FW,MF",AtlÈtico Madrid,27,1987,1.4,0,,3,,,2.16,,0,,0,0
112,Charles,br BRA,FW,Celta Vigo,30,1984,12.4,3,,10,,,0.81,,0.3,,0,0
113,Chechu,es ESP,DF,Villarreal,32,1982,12.8,0,,0,,,0,,,,0,0
114,Denis Cheryshev,ru RUS,"FW,MF",Villarreal,23,1990,18.7,4,,26,,,1.39,,0.15,,0,0
115,Domingo Cisma,es ESP,DF,Elche,32,1982,24,0,,1,,,0.04,,0,,0,0
116,Pablo ClaverÌa,es ESP,MF,Rayo Vallecano,18,1996,0.1,0,,0,,,0,,,,0,0
117,David CobeÒo,es ESP,GK,Rayo Vallecano,32,1982,2.7,0,,0,,,0,,,,0,0
118,Jordi Codina,es ESP,GK,Getafe,32,1982,5,0,,0,,,0,,,,0,0
119,F·bio Coentr„o,pt POR,DF,Real Madrid,26,1988,4.6,0,,1,,,0.22,,0,,0,0
120,Coke,es ESP,DF,Sevilla,27,1987,20.1,2,,7,,,0.35,,0.29,,0,0
121,Diego Colotto,ar ARG,DF,Espanyol,33,1981,21.9,1,,7,,,0.32,,0.14,,0,0
122,Adri·n Colunga,es ESP,"FW,MF",Granada,29,1984,2.4,0,,1,,,0.41,,0,,0,0
123,Jhon CÛrdoba,co COL,FW,Granada,21,1993,15.7,4,,12,,,0.77,,0.33,,0,0
124,Ferran Corominas,es ESP,"FW,MF",Elche,31,1983,13.5,0,,3,,,0.22,,0,,0,0
125,Corona,es ESP,MF,AlmerÌa,33,1981,22.5,0,,4,,,0.18,,0,,0,0
126,HÈlder Costa,ao ANG,"FW,MF",La CoruÒa,20,1994,1.7,0,,2,,,1.2,,0,,0,0
127,Jaume Costa,es ESP,DF,Villarreal,26,1988,27,1,,3,,,0.11,,0.33,,0,0
128,David Costas,es ESP,DF,Celta Vigo,19,1995,1,0,,0,,,0,,,,0,0
129,Isaac Cuenca,es ESP,"FW,MF",La CoruÒa,23,1991,16.2,2,,9,,,0.56,,0.11,,1,1
130,Juli·n Cuesta,es ESP,GK,AlmerÌa,23,1991,15,0,,0,,,0,,,,0,0
131,Teerasil Dangda,th THA,FW,AlmerÌa,26,1988,1.6,0,,1,,,0.62,,0,,0,0
132,Sergi Darder,es ESP,MF,M·laga,20,1993,30.5,4,,17,,,0.56,,0.24,,0,0
133,Rodrigo De Paul,ar ARG,"FW,MF",Valencia,20,1994,8.3,1,,7,,,0.85,,0.14,,0,0
134,Deivid,es ESP,"DF,MF",CÛrdoba,25,1989,20,0,,0,,,0,,,,0,0
135,Manu del Moral,es ESP,FW,Eibar,30,1984,18.6,3,,17,,,0.91,,0.18,,0,0
136,Gerard Deulofeu,es ESP,"FW,MF",Sevilla,20,1994,8.7,1,,6,,,0.69,,0.17,,0,0
137,Modibo DiakitÈ,fr FRA,DF,La CoruÒa,27,1987,2,0,,0,,,0,,,,0,0
138,Baba Diawara,sn SEN,FW,Getafe,26,1988,6.5,1,,6,,,0.92,,0.17,,0,0
139,Stole Dimitrievski,mk MKD,GK,Granada,20,1993,1,0,,0,,,0,,,,0,0
140,Papakouli Diop,sn SEN,MF,Levante,28,1986,17.1,0,,2,,,0.12,,0,,0,0
141,Juan DomÌnguez,es ESP,MF,La CoruÒa,24,1990,14,1,,6,,,0.43,,0.17,,0,0
142,Giovani dos Santos,mx MEX,"FW,MF",Villarreal,25,1989,15.4,1,,9,,,0.58,,0.11,,0,0
143,Jonathan dos Santos,mx MEX,MF,Villarreal,24,1990,18.2,2,,8,,,0.44,,0.25,,0,0
144,Mauro dos Santos,ar ARG,DF,AlmerÌa,25,1989,25.5,1,,6,,,0.24,,0.17,,0,0
145,Douglas,br BRA,DF,Barcelona,23,1990,1.1,0,,0,,,0,,,,0,0
146,RubÈn Duarte,es ESP,DF,Espanyol,18,1995,11,0,,0,,,0,,,,0,0
147,Sebasti·n Dubarbier,ar ARG,"DF,FW",AlmerÌa,28,1986,30.7,0,,3,,,0.1,,0,,0,0
148,Duda,pt POR,"DF,FW",M·laga,34,1980,9.8,1,,9,,,0.92,,0.11,,0,1
149,Patrick Ekeng,cm CMR,MF,CÛrdoba,24,1990,8.4,1,,3,,,0.36,,0.33,,0,0
150,Borja Ekiza,es ESP,DF,Eibar,26,1988,10.3,0,,1,,,0.1,,0,,0,0
151,Aritz Elustondo,es ESP,DF,Real Sociedad,20,1994,3.5,1,,1,,,0.28,,1,,0,0
152,Gorka Elustondo,es ESP,"DF,MF",Real Sociedad,27,1987,12.9,1,,2,,,0.15,,0.5,,0,0
153,Adri Embarba,es ESP,"FW,MF",Rayo Vallecano,22,1992,9.3,3,,11,,,1.18,,0.27,,0,0
154,Jon Errasti,es ESP,MF,Eibar,26,1988,19.2,0,,1,,,0.05,,0,,0,0
155,Sergio Escudero,es ESP,"DF,MF",Getafe,24,1989,24.5,2,,9,,,0.37,,0.22,,0,0
156,Javier Espinosa,es ESP,MF,Villarreal,21,1992,3.2,1,,2,,,0.62,,0.5,,0,0
157,Javier Espinosa,es ESP,MF,AlmerÌa,21,1992,8,1,,5,,,0.63,,0.2,,0,0
158,BeÒat Etxebarria,es ESP,MF,Athletic Club,27,1987,19,2,,9,,,0.47,,0.22,,0,0
159,Xabier Etxeita,es ESP,DF,Athletic Club,26,1987,21.9,2,,4,,,0.18,,0.5,,0,0
160,Fabricio,es ESP,GK,La CoruÒa,26,1987,31,0,,0,,,0,,,,0,0
161,FayÁal Fajr,ma MAR,MF,Elche,25,1988,28.5,1,,18,,,0.63,,0.06,,0,1
162,Luis FariÒa,ar ARG,"FW,MF",La CoruÒa,23,1991,13.2,1,,5,,,0.38,,0.2,,0,0
163,Mohammed Fatau,gh GHA,MF,Rayo Vallecano,21,1992,7.8,0,,0,,,0,,,,0,0
164,Sofiane Feghouli,dz ALG,"FW,MF",Valencia,24,1989,21.4,6,,12,,,0.56,,0.5,,0,0
165,Alex Felip,es ESP,MF,Getafe,22,1992,1.1,0,,0,,,0,,,,0,0
166,¡Ålex Fern·ndez,es ESP,"DF,MF",Espanyol,21,1992,1.9,0,,1,,,0.54,,0,,0,0
167,Augusto Fern·ndez,ar ARG,MF,Celta Vigo,28,1986,23.5,1,,10,,,0.43,,0.1,,0,0
168,Borja Fern·ndez,es ESP,MF,Celta Vigo,18,1995,2.2,0,,0,,,0,,,,0,0
169,Borja Fern·ndez,es ESP,MF,Eibar,33,1981,12.5,1,,5,,,0.4,,0.2,,0,0
170,Carlos Fern·ndez,es ESP,FW,Sevilla,18,1996,0.1,0,,0,,,0,,,,0,0
171,Fidel,es ESP,MF,CÛrdoba,24,1989,15.8,1,,4,,,0.25,,0.25,,0,0
172,Diogo Figueiras,pt POR,"DF,MF",Sevilla,23,1991,20.4,1,,7,,,0.34,,0.14,,0,0
173,Alfre Finnbogason,is ISL,FW,Real Sociedad,25,1989,9.1,2,,4,,,0.44,,0.5,,0,0
174,Andreu Font‡s,es ESP,DF,Celta Vigo,24,1989,33.2,0,,4,,,0.12,,0,,0,0
175,Dimitri Foulquier,fr FRA,"DF,MF",Granada,21,1993,18.9,0,,1,,,0.05,,0,,0,0
176,Edimar Fraga,br BRA,"DF,MF",CÛrdoba,28,1986,16.6,0,,3,,,0.18,,0,,0,0
177,Franco Fragapane,ar ARG,"FW,MF",Elche,21,1993,0.3,0,,0,,,0,,,,0,0
178,Javi Fuego,es ESP,MF,Valencia,30,1984,33.3,3,,5,,,0.15,,0.6,,0,0
179,Gabi,es ESP,MF,AtlÈtico Madrid,31,1983,28.8,0,,3,,,0.1,,0,,0,0
180,Rafa G·lvez,es ESP,"DF,MF",Elche,21,1993,1.4,0,,0,,,0,,,,0,0
181,KÈvin Gameiro,fr FRA,FW,Sevilla,27,1987,10.7,8,,19,,,1.78,,0.32,,2,2
182,Jes˙s G·mez,es ESP,DF,AtlÈtico Madrid,29,1985,12,0,,1,,,0.08,,0,,0,0
183,Borja GarcÌa,es ESP,"FW,MF",CÛrdoba,23,1990,21.9,1,,11,,,0.5,,0.09,,0,0
184,Dani GarcÌa,es ESP,MF,Eibar,24,1990,32.8,1,,2,,,0.06,,0.5,,0,0
185,Ra˙l GarcÌa,es ESP,"FW,MF",AtlÈtico Madrid,28,1986,19,5,,22,,,1.16,,0.14,,2,2
186,RubÈn GarcÌa,es ESP,"FW,MF",Levante,21,1993,15.2,1,,7,,,0.46,,0.14,,0,1
187,Samu GarcÌa,es ESP,"FW,MF",M·laga,24,1990,24.8,5,,18,,,0.73,,0.28,,0,0
188,Sergio GarcÌa,es ESP,"FW,MF",Espanyol,31,1983,33.5,14,,38,,,1.13,,0.32,,2,2
189,Mario Gaspar,es ESP,DF,Villarreal,23,1990,31.6,3,,10,,,0.32,,0.3,,0,0
190,Jaime Gavil·n,es ESP,MF,Levante,29,1985,0.8,0,,0,,,0,,,,0,0
191,Jon GaztaÒaga,es ESP,"DF,MF",Real Sociedad,23,1991,1.7,0,,0,,,0,,,,0,0
192,Nabil Ghilas,dz ALG,"FW,MF",CÛrdoba,24,1990,23.3,7,,17,,,0.73,,0.29,,2,2
193,Carles Gil,es ESP,"FW,MF",Valencia,21,1992,3.1,1,,1,,,0.33,,1,,0,0
194,¡Ålvaro GimÈnez,es ESP,"FW,MF",Elche,23,1991,4.3,0,,1,,,0.23,,0,,0,0
195,Diego GodÌn,uy URU,DF,AtlÈtico Madrid,28,1986,34,3,,8,,,0.24,,0.38,,0,0
196,AndrÈ Gomes,pt POR,MF,Valencia,21,1993,28.2,4,,11,,,0.39,,0.36,,0,0
197,Ibai GÛmez,es ESP,"FW,MF",Athletic Club,24,1989,11.2,1,,11,,,0.98,,0.09,,0,0
198,Moi GÛmez,es ESP,"FW,MF",Villarreal,20,1994,18,4,,11,,,0.61,,0.36,,0,0
199,Abel GÛmez Moreno,es ESP,MF,CÛrdoba,32,1982,13.9,0,,8,,,0.57,,0,,0,0
200,Sergi GÛmez,es ESP,DF,Celta Vigo,22,1992,14.3,0,,2,,,0.14,,0,,0,0
201,Abraham Gonz·lez,es ESP,MF,Espanyol,29,1985,14,1,,3,,,0.21,,0.33,,0,0
202,Adri·n Gonz·lez,es ESP,MF,Elche,26,1988,21.2,0,,8,,,0.38,,0,,0,0
203,¡Ålvaro Gonz·lez,es ESP,DF,Espanyol,24,1990,34.9,1,,2,,,0.06,,0.5,,0,0
204,Mikel Gonz·lez,es ESP,DF,Real Sociedad,28,1985,13.8,0,,0,,,0,,,,0,0
205,Esteban Granero,es ESP,MF,Real Sociedad,27,1987,27.7,0,,5,,,0.18,,0,,0,0
206,Antoine Griezmann,fr FRA,"FW,MF",AtlÈtico Madrid,23,1991,27.2,22,,41,,,1.51,,0.54,,0,0
207,Vicente Guaita,es ESP,GK,Getafe,27,1987,29,0,,0,,,0,,,,0,0
208,Javi Guerra,es ESP,FW,M·laga,32,1982,7.7,5,,17,,,2.22,,0.29,,0,0
209,Guillermo,es ESP,FW,Athletic Club,21,1993,6.3,0,,7,,,1.11,,0,,0,0
210,Adri·n Gunino,uy URU,DF,CÛrdoba,25,1989,21.6,0,,0,,,0,,,,0,0
211,Carlos Gurpegui,es ESP,"DF,MF",Athletic Club,33,1980,16.1,1,,2,,,0.12,,0.5,,0,0
212,Munir El Haddadi,ma MAR,"FW,MF",Barcelona,18,1995,5.1,1,,5,,,0.98,,0.2,,0,0
213,Mike Havenaar,jp JPN,FW,CÛrdoba,27,1987,3.2,0,,0,,,0,,,,0,0
214,HÈctor,es ESP,"DF,FW",AtlÈtico Madrid,18,1995,0.2,0,,0,,,0,,,,0,0
215,Tomer Hemed,il ISR,FW,AlmerÌa,27,1987,25.8,8,,30,,,1.16,,0.2,,2,2
216,Uche Henry Agbo,ng NGA,MF,Granada,18,1995,0.1,0,,0,,,0,,,,0,0
217,Iker Hern·ndez,es ESP,FW,Real Sociedad,20,1994,0.1,0,,0,,,0,,,,0,0
218,Javier Hern·ndez,mx MEX,FW,Real Madrid,26,1988,9.7,7,,20,,,2.06,,0.35,,0,0
219,Lucas Hern·ndez,fr FRA,DF,AtlÈtico Madrid,18,1996,0,0,,0,,,0,,,,0,0
220,Pablo Hern·ndez,cl CHI,"FW,MF",Celta Vigo,27,1986,15,2,,4,,,0.27,,0.5,,0,0
221,Cristian Herrera,es ESP,"FW,MF",Elche,23,1991,9.8,1,,5,,,0.51,,0.2,,0,0
222,Manu Herrera,es ESP,GK,Elche,32,1981,6.2,0,,0,,,0,,,,0,0
223,Iago HerrerÌn,es ESP,GK,Athletic Club,26,1988,4,0,,0,,,0,,,,0,0
224,Pablo HervÌas,es ESP,MF,Real Sociedad,21,1993,4.3,1,,3,,,0.7,,0.33,,0,0
225,Fredy Hinestroza,co COL,MF,Getafe,24,1990,20.8,2,,14,,,0.67,,0.14,,0,0
226,Ricardo Horta,pt POR,"FW,MF",M·laga,19,1994,16.9,1,,17,,,1.01,,0.06,,0,0
227,Robert Ib·Òez,es ESP,"FW,MF",Valencia,21,1993,0.5,0,,0,,,0,,,,0,0
228,Robert Ib·Òez,es ESP,"FW,MF",Granada,21,1993,11.8,5,,9,,,0.76,,0.56,,0,0
229,Vicente Iborra,es ESP,MF,Sevilla,26,1988,22.4,7,,15,,,0.67,,0.47,,0,0
230,Borja Iglesias,es ESP,FW,Celta Vigo,21,1993,0.1,0,,0,,,0,,,,0,0
231,Asier Illarramendi,es ESP,MF,Real Madrid,24,1990,13.9,0,,1,,,0.07,,0,,0,0
232,AndrÈs Iniesta,es ESP,"FW,MF",Barcelona,30,1984,17.5,0,,7,,,0.4,,0,,0,0
233,Emanuel Ins˙a,ar ARG,DF,Granada,23,1991,11.3,0,,3,,,0.26,,0,,0,0
234,Emiliano Ins˙a,ar ARG,DF,Rayo Vallecano,25,1989,20,1,,3,,,0.15,,0.33,,0,0
235,Pablo Insua,es ESP,DF,La CoruÒa,20,1993,13.6,0,,1,,,0.07,,0,,0,0
236,Gorka Iraizoz,es ESP,GK,Athletic Club,33,1981,34,0,,0,,,0,,,,0,0
237,Andoni Iraola,es ESP,"DF,MF",Athletic Club,32,1982,17,1,,4,,,0.24,,0.25,,0,0
238,Xabi Irureta,es ESP,GK,Eibar,28,1986,33,0,,0,,,0,,,,0,0
239,Isco,es ESP,"FW,MF",Real Madrid,22,1992,25.9,4,,20,,,0.77,,0.2,,0,0
240,Manuel Iturra,cl CHI,MF,Granada,30,1984,26.2,0,,3,,,0.11,,0,,0,0
241,Ander Iturraspe,es ESP,MF,Athletic Club,25,1989,20.2,2,,5,,,0.25,,0.4,,0,0
242,Andreas Ivanschitz,at AUT,MF,Levante,30,1983,14.7,1,,9,,,0.61,,0,,1,1
243,Ivi,es ESP,"FW,MF",Getafe,20,1994,1.6,0,,1,,,0.64,,0,,0,0
244,Jaime,es ESP,GK,Eibar,33,1980,5,0,,0,,,0,,,,0,0
245,Jason,es ESP,"FW,MF",Levante,20,1994,0.6,0,,0,,,0,,,,0,0
246,JesÈ,es ESP,"FW,MF",Real Madrid,21,1993,6.2,3,,6,,,0.97,,0.5,,0,0
247,Jes˙s,es ESP,GK,Levante,26,1988,6,0,,0,,,0,,,,0,0
248,Ra˙l JimÈnez,mx MEX,FW,AtlÈtico Madrid,23,1991,6.6,1,,11,,,1.66,,0.09,,0,0
249,Bojan Joki?,si SVN,"DF,MF",Villarreal,28,1986,6.1,0,,1,,,0.16,,0,,0,0
250,Jonathas,br BRA,FW,Elche,25,1989,33.5,14,,37,,,1.1,,0.38,,0,1
