,,,,,,,,,Standard,,,,,,,,Performance,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,PK,PKatt
1,Issam El Adoua,ma MAR,DF,Levante,27,1986,3.2,0,,0,,,0,,,,0,0
2,Adriano,br BRA,"DF,MF",Barcelona,29,1984,10.7,0,,3,,,0.28,,0,,0,0
3,Aritz Aduriz,es ESP,FW,Athletic Club,33,1981,28.7,18,,48,,,1.68,,0.27,,5,5
4,Imanol Agirretxe,es ESP,FW,Real Sociedad,27,1987,21.6,7,,28,,,1.29,,0.25,,0,0
5,Ager Aketxe,es ESP,MF,Athletic Club,20,1993,3.3,1,,2,,,0.6,,0.5,,0,0
6,Jordi Alba,es ESP,"DF,MF",Barcelona,25,1989,25.9,1,,9,,,0.35,,0.11,,0,0
7,Edu Alb·car,es ESP,DF,Elche,34,1979,16,3,,6,,,0.38,,0.33,,1,1
8,Ra˙l Albentosa,es ESP,DF,Eibar,25,1988,17,2,,4,,,0.24,,0.5,,0,0
9,Luis Alberto,es ESP,"FW,MF",M·laga,21,1992,6.5,2,,8,,,1.24,,0.25,,0,1
10,Paco Alc·cer,es ESP,FW,Valencia,20,1993,23.9,11,,27,,,1.13,,0.41,,0,0
11,Alexis,es ESP,DF,Getafe,28,1985,27.9,1,,4,,,0.14,,0.25,,0,0
12,Cristian ¡Ålvarez,ar ARG,GK,Rayo Vallecano,28,1985,16,0,,0,,,0,,,,0,0
13,Sergio ¡Ålvarez,es ESP,GK,Celta Vigo,27,1986,37.2,0,,0,,,0,,,,0,0
14,VÌctor ¡Ålvarez,es ESP,"DF,MF",Espanyol,21,1993,13.6,0,,2,,,0.15,,0,,0,0
15,Dani Alves,br BRA,"DF,MF",Barcelona,31,1983,28,0,,4,,,0.14,,0,,0,0
16,Diego Alves,br BRA,GK,Valencia,29,1985,36.8,0,,0,,,0,,,,0,0
17,Antonio Amaya,es ESP,DF,Rayo Vallecano,31,1983,17.6,1,,3,,,0.17,,0.33,,0,0
18,Nordin Amrabat,ma MAR,"FW,MF",M·laga,27,1987,22.8,6,,20,,,0.88,,0.15,,3,4
19,Florin Andone,ro ROU,FW,CÛrdoba,21,1993,16.9,5,,17,,,1.01,,0.29,,0,0
20,JosÈ ¡Ångel Alonso,es ESP,DF,Elche,25,1989,7.4,0,,0,,,0,,,,0,0
21,JosÈ ¡Ångel Crespo,es ESP,DF,CÛrdoba,27,1987,24,0,,3,,,0.12,,0,,0,0
22,Miguel ¡Ångel Moy·,es ESP,GK,AtlÈtico Madrid,30,1984,27,0,,0,,,0,,,,0,0
23,Marcos Angeleri,ar ARG,DF,M·laga,31,1983,20.9,0,,0,,,0,,,,0,0
24,Txema AÒibarro,es ESP,"DF,MF",Eibar,35,1979,12.7,0,,1,,,0.08,,0,,0,0
25,Cristian Ansaldi,ar ARG,"DF,MF",AtlÈtico Madrid,27,1986,6.4,0,,1,,,0.16,,0,,0,0
26,Ion Ansotegi,es ESP,DF,Real Sociedad,32,1982,19,0,,0,,,0,,,,0,0
27,JosÈ Antonio Reyes,es ESP,MF,Sevilla,30,1983,13.5,3,,10,,,0.74,,0.3,,0,0
28,Vitorino Antunes,pt POR,DF,M·laga,27,1987,14.7,0,,6,,,0.41,,0,,0,0
29,Javier Aquino,mx MEX,"DF,MF",Rayo Vallecano,24,1990,14.1,0,,6,,,0.43,,0,,0,0
30,Youssef El-Arabi,ma MAR,FW,Granada,27,1987,22,8,,27,,,1.23,,0.15,,4,4
31,¡Ålvaro Arbeloa,es ESP,DF,Real Madrid,31,1983,12.5,1,,2,,,0.16,,0.5,,0,0
32,Anaitz Arbilla,es ESP,DF,Espanyol,27,1987,24.8,1,,6,,,0.24,,0.17,,0,0
33,Mario ArquÈs,es ESP,MF,Elche,22,1992,0.1,0,,0,,,0,,,,0,0
34,Alejandro Arribas,es ESP,DF,Sevilla,25,1989,9.6,0,,3,,,0.31,,0,,0,0
35,¡Ålvaro Arroyo,es ESP,DF,Getafe,26,1988,9.9,0,,1,,,0.1,,0,,0,0
36,Mikel Arruabarrena,es ESP,FW,Eibar,31,1983,28.2,9,,18,,,0.64,,0.39,,2,2
37,Sergio Asenjo,es ESP,GK,Villarreal,25,1989,33.9,0,,0,,,0,,,,0,0
38,Iago Aspas,es ESP,"FW,MF",Sevilla,26,1987,5.1,2,,7,,,1.37,,0.29,,0,0
39,Filipe Augusto,br BRA,MF,Valencia,20,1993,1.7,0,,2,,,1.21,,0,,0,0
40,Jon Aurtenetxe,es ESP,DF,Athletic Club,22,1992,3.2,0,,0,,,0,,,,0,0
41,Ramon Azeez,ng NGA,MF,AlmerÌa,21,1992,9.4,0,,1,,,0.11,,0,,0,0
42,Abdoulaye Ba,sn SEN,DF,Rayo Vallecano,23,1991,17.9,0,,1,,,0.06,,0,,0,0
43,Jean-Sylvain Babin,mq MTQ,DF,Granada,27,1986,33.7,1,,4,,,0.12,,0.25,,0,0
44,Carlos Bacca,co COL,FW,Sevilla,27,1986,28.2,20,,42,,,1.49,,0.33,,6,8
45,Ra˙l Baena,es ESP,MF,Rayo Vallecano,25,1989,25.9,2,,5,,,0.19,,0.4,,0,0
46,Eric Bailly,ci CIV,DF,Espanyol,20,1994,3.9,0,,0,,,0,,,,0,0
47,Eric Bailly,ci CIV,DF,Villarreal,20,1994,9.1,0,,0,,,0,,,,0,0
48,Gareth Bale,wls WAL,"FW,MF",Real Madrid,25,1989,28.6,13,,40,,,1.4,,0.3,,1,1
49,Mikel Balenziaga,es ESP,DF,Athletic Club,26,1988,32.4,0,,2,,,0.06,,0,,0,0
50,…ver Banega,ar ARG,MF,Sevilla,26,1988,24.4,3,,12,,,0.49,,0.25,,0,0
51,Lass Bangoura,gn GUI,"FW,MF",Granada,22,1992,10.2,0,,1,,,0.1,,0,,0,0
52,Lass Bangoura,gn GUI,"FW,MF",Rayo Vallecano,22,1992,0.2,0,,0,,,0,,,,0,0
53,LÈo Baptist„o,br BRA,"FW,MF",Rayo Vallecano,21,1992,19.7,7,,17,,,0.86,,0.41,,0,0
54,Mariano Barbosa,ar ARG,GK,Sevilla,30,1984,1.8,0,,0,,,0,,,,0,0
55,Antonio Barrag·n,es ESP,"DF,MF",Valencia,27,1987,31.6,1,,1,,,0.03,,1,,0,0
56,David Barral,es ESP,FW,Levante,31,1983,29.2,11,,23,,,0.79,,0.39,,2,2
57,Marc Bartra,es ESP,DF,Barcelona,23,1991,11.5,1,,4,,,0.35,,0.25,,0,0
58,BebÈ,cv CPV,"FW,MF",CÛrdoba,24,1990,16.2,0,,16,,,0.99,,0,,0,0
59,Karim Benzema,fr FRA,FW,Real Madrid,26,1987,25.3,15,,36,,,1.42,,0.42,,0,0
60,Yuri Berchiche,es ESP,DF,Real Sociedad,24,1990,16.3,0,,1,,,0.06,,0,,0,0
61,¡Ålex BergantiÒos,es ESP,MF,La CoruÒa,29,1985,29.4,0,,1,,,0.03,,0,,0,0
62,Markel Bergara,es ESP,MF,Real Sociedad,28,1986,23.6,1,,4,,,0.17,,0.25,,0,0
63,Sa˙l BerjÛn,es ESP,"FW,MF",Eibar,28,1986,26.5,3,,18,,,0.68,,0.17,,0,0
64,Beto,pt POR,GK,Sevilla,32,1982,16,0,,0,,,0,,,,0,0
65,Thievy Bifouma,cg CGO,"FW,MF",AlmerÌa,22,1992,19.7,4,,16,,,0.81,,0.25,,0,0
66,RubÈn Blanco,es ESP,GK,Celta Vigo,19,1995,0.8,0,,0,,,0,,,,0,0
67,Derek Boateng,gh GHA,MF,Eibar,31,1983,8.1,0,,1,,,0.12,,0,,0,0
68,Arthur Boka,ci CIV,DF,M·laga,31,1983,19,0,,8,,,0.42,,0,,0,0
69,Theo Bongonda,cd COD,"FW,MF",Celta Vigo,18,1995,1.6,1,,1,,,0.64,,1,,0,0
70,Celso Borges,cr CRC,"FW,MF",La CoruÒa,26,1988,16.3,3,,7,,,0.43,,0.29,,1,1
71,Iago BouzÛn,es ESP,DF,CÛrdoba,31,1983,2.5,0,,0,,,0,,,,0,0
72,Eneko BÛveda,es ESP,DF,Eibar,25,1988,34.8,1,,7,,,0.2,,0.14,,0,0
73,Claudio Bravo,cl CHI,GK,Barcelona,31,1983,37,0,,0,,,0,,,,0,0
74,Emi BuendÌa,ar ARG,"FW,MF",Getafe,17,1996,1.5,0,,2,,,1.33,,0,,0,0
75,Alberto Bueno,es ESP,"FW,MF",Rayo Vallecano,26,1988,31.8,17,,43,,,1.35,,0.35,,2,3
76,Sergio Busquets,es ESP,MF,Barcelona,26,1988,27.5,0,,2,,,0.07,,0,,0,0
77,Unai Bustinza,es ESP,DF,Athletic Club,22,1992,1.1,0,,0,,,0,,,,0,0
79,Carlos Caballero,es ESP,MF,CÛrdoba,29,1984,0.1,0,,0,,,0,,,,0,0
80,Gustavo Cabral,ar ARG,DF,Celta Vigo,28,1985,34.2,1,,4,,,0.12,,0.25,,0,0
81,Felipe Caicedo,ec ECU,"FW,MF",Espanyol,25,1988,21,9,,21,,,1,,0.43,,0,0
82,Cala,es ESP,DF,Granada,24,1989,5.7,0,,0,,,0,,,,0,0
83,Ignacio Camacho,es ESP,MF,M·laga,24,1990,24.5,2,,8,,,0.33,,0.25,,0,0
84,VÌctor Camarasa,es ESP,MF,Levante,20,1994,20.1,2,,6,,,0.3,,0.33,,0,0
85,Joel Campbell,cr CRC,"FW,MF",Villarreal,22,1992,13.3,1,,11,,,0.83,,0.09,,0,0
86,Sergio Canales,es ESP,"FW,MF",Real Sociedad,23,1991,28.1,4,,23,,,0.82,,0.17,,0,0
87,JosÈ CaÒas,es ESP,MF,Espanyol,27,1987,24.6,0,,1,,,0.04,,0,,0,0
88,Jo„o Cancelo,pt POR,"DF,MF",Valencia,20,1994,5.8,0,,0,,,0,,,,0,0
89,Daniel Candeias,pt POR,"FW,MF",Granada,26,1988,5.9,0,,3,,,0.51,,0,,0,0
90,Roberto Canella,es ESP,DF,La CoruÒa,26,1988,5,0,,0,,,0,,,,0,0
