Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee
1,Fri,8/13/2021,21:00 (19:00),Valencia,1@0,Getafe,"9,868",Estadio de Mestalla,Jesús Gil
1,Sat,8/14/2021,19:30 (17:30),Mallorca,1@1,Betis,"6,279",Iberostar Estadi,Antonio Matéu Lahoz
1,Sat,8/14/2021,19:30 (17:30),Cádiz,1@1,Levante,"6,941",Estadio Nuevo Mirandilla,Santiago Jaime
1,Sat,8/14/2021,22:00 (20:00),Alavés,1@4,Real Madrid,"3,968",Estadio de Mendizorroza,César Soto
1,Sat,8/14/2021,22:00 (20:00),Osasuna,0@0,Espanyol,"6,715",Estadio El Sadar,Miguel Ángel Ortiz Arias
1,Sun,8/15/2021,17:30 (15:30),Celta Vigo,1@2,Atlético Madrid,"5,401",Estadio de Balaídos,José Luis Munuera
1,Sun,8/15/2021,20:00 (18:00),Barcelona,4@2,Real Sociedad,"20,384",Camp Nou,Alejandro Hernández
1,Sun,8/15/2021,22:15 (20:15),Sevilla,3@0,Rayo Vallecano,"13,962",Estadio Ramón Sánchez Pizjuán,Isidro Díaz de Mera
1,Mon,8/16/2021,20:00 (18:00),Villarreal,0@0,Granada,"7,837",Estadio de la Cerámica,Pablo González
1,Mon,8/16/2021,22:00 (20:00),Elche,0@0,Athletic Club,"9,145",Estadio Manuel Martínez Valero,Adrián Cordero
2,Fri,8/20/2021,21:00 (19:00),Betis,1@1,Cádiz,"23,745",Estadio Benito Villamarín,Valentín Pizarro
2,Sat,8/21/2021,17:00 (15:00),Alavés,0@1,Mallorca,"2,896",Estadio de Mendizorroza,Alejandro Muñíz
2,Sat,8/21/2021,19:30 (17:30),Espanyol,0@0,Villarreal,"11,095",RCDE Stadium,Jorge Figueroa
2,Sat,8/21/2021,19:30 (17:30),Granada,1@1,Valencia,"6,267",Estadio Nuevo Los Cármenes,Carlos del Cerro
2,Sat,8/21/2021,22:00 (20:00),Athletic Club,1@1,Barcelona,"9,394",San Mamés,Juan Martínez
2,Sun,8/22/2021,17:00 (15:00),Real Sociedad,1@0,Rayo Vallecano,"7,652",Estadio Municipal de Anoeta,Santiago Jaime
2,Sun,8/22/2021,19:30 (17:30),Atlético Madrid,1@0,Elche,"24,926",Estadio Wanda Metropolitano,Ricardo de Burgos
2,Sun,8/22/2021,22:00 (20:00),Levante,3@3,Real Madrid,"9,838",Estadio Ciudad de Valencia,Guillermo Cuadra
2,Mon,8/23/2021,20:00 (18:00),Getafe,0@1,Sevilla,"4,810",Coliseum Alfonso Pérez,José Sánchez
2,Mon,8/23/2021,22:00 (20:00),Osasuna,0@0,Celta Vigo,"7,189",Estadio El Sadar,Alberola Rojas
3,Fri,8/27/2021,20:00 (18:00),Mallorca,1@0,Espanyol,"7,529",Iberostar Estadi,Isidro Díaz de Mera
3,Fri,8/27/2021,22:15 (20:15),Valencia,3@0,Alavés,"10,627",Estadio de Mestalla,Miguel Ángel Ortiz Arias
3,Sat,8/28/2021,17:00 (15:00),Celta Vigo,0@1,Athletic Club,"5,492",Estadio de Balaídos,Antonio Matéu Lahoz
3,Sat,8/28/2021,19:30 (17:30),Real Sociedad,1@0,Levante,"7,758",Estadio Municipal de Anoeta,José Luis Munuera
3,Sat,8/28/2021,19:30 (17:30),Elche,1@1,Sevilla,"10,385",Estadio Manuel Martínez Valero,Valentín Pizarro
3,Sat,8/28/2021,22:00 (20:00),Betis,0@1,Real Madrid,"22,590",Estadio Benito Villamarín,Alejandro Hernández
3,Sun,8/29/2021,17:00 (15:00),Barcelona,2@1,Getafe,"26,543",Camp Nou,Pablo González
3,Sun,8/29/2021,19:30 (17:30),Rayo Vallecano,4@0,Granada,583,Estadio del Rayo Vallecano,Jesús Gil
3,Sun,8/29/2021,19:30 (17:30),Cádiz,2@3,Osasuna,"7,452",Estadio Nuevo Mirandilla,Adrián Cordero
3,Sun,8/29/2021,22:00 (20:00),Atlético Madrid,2@2,Villarreal,"26,840",Estadio Wanda Metropolitano,César Soto
4,Sat,9/11/2021,18:30 (16:30),Levante,1@1,Rayo Vallecano,"12,974",Estadio Ciudad de Valencia,Alberola Rojas
4,Sat,9/11/2021,21:00 (19:00),Athletic Club,2@0,Mallorca,"14,566",San Mamés,Jorge Figueroa
4,Sun,9/12/2021,14:00 (12:00),Espanyol,1@2,Atlético Madrid,"15,321",RCDE Stadium,Juan Martínez
4,Sun,9/12/2021,16:15 (14:15),Osasuna,1@4,Valencia,"13,940",Estadio El Sadar,Ricardo de Burgos
4,Sun,9/12/2021,18:30 (16:30),Cádiz,0@2,Real Sociedad,"11,826",Estadio Nuevo Mirandilla,Alejandro Muñíz
4,Sun,9/12/2021,21:00 (19:00),Real Madrid,5@2,Celta Vigo,"19,874",Estadio Santiago Bernabéu,José Sánchez
4,Mon,9/13/2021,20:00 (18:00),Getafe,0@1,Elche,"6,853",Coliseum Alfonso Pérez,Mario Melero
4,Mon,9/13/2021,22:00 (20:00),Granada,1@2,Betis,"10,201",Estadio Nuevo Los Cármenes,Guillermo Cuadra
5,Fri,9/17/2021,21:00 (19:00),Celta Vigo,1@2,Cádiz,"6,754",Estadio de Balaídos,Isidro Díaz de Mera
5,Sat,9/18/2021,14:00 (12:00),Rayo Vallecano,3@0,Getafe,"3,280",Estadio del Rayo Vallecano,Adrián Cordero
5,Sat,9/18/2021,16:15 (14:15),Atlético Madrid,0@0,Athletic Club,"38,798",Estadio Wanda Metropolitano,Jesús Gil
