Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee
1,Sat,8/17/2013,,Valencia,1@0,M·laga,,Mestalla,¡Ålvarez Izquierdo
1,Sat,8/17/2013,,Real Sociedad,2@0,Getafe,,Anoeta,MartÌnez Munuera
1,Sat,8/17/2013,,Valladolid,1@2,Athletic Club,,JosÈ Zorrilla,Ayza G·mez
1,Sun,8/18/2013,,Sevilla,1@3,AtlÈtico Madrid,,RamÛn S·nchez Pizju·n,Clos GÛmez
1,Sun,8/18/2013,,Osasuna,1@2,Granada,,Reyno de Navarra,Gonz·lez Gonz·lez
1,Sun,8/18/2013,,Barcelona,7@0,Levante,,Camp Nou,Del Cerro Grande
1,Sun,8/18/2013,,Real Madrid,2@1,Betis,,Santiago BernabÈu,Gil Manzano
1,Mon,8/19/2013,,Rayo Vallecano,3@0,Elche,,Estadio de Vallecas Teresa Rivero,Fern·ndez Borbal·n
1,Mon,8/19/2013,,AlmerÌa,2@3,Villarreal,,Estadio Mediterr·neo,Undiano Mallenco
1,Mon,8/19/2013,,Celta Vigo,2@2,Espanyol,,BalaÌdos,Teixeira Vitienes
2,Fri,8/23/2013,,Getafe,2@2,AlmerÌa,,Coliseum Alfonso PÈrez,Hern·ndez Hern·ndez
2,Fri,8/23/2013,,Athletic Club,2@0,Osasuna,,Anoeta,MuÒiz Fern·ndez
2,Sat,8/24/2013,,Espanyol,3@1,Valencia,,Cornell· - El Prat,Velasco Carballo
2,Sat,8/24/2013,,Elche,1@1,Real Sociedad,,MartÌnez Valero,PÈrez Montero
2,Sat,8/24/2013,,Villarreal,2@1,Valladolid,,El Madrigal,Gil Manzano
2,Sun,8/25/2013,,M·laga,0@1,Barcelona,,La Rosaleda,Mateu Lahoz
2,Sun,8/25/2013,,AtlÈtico Madrid,5@0,Rayo Vallecano,,Vicente CalderÛn,Iglesias Villanueva
2,Sun,8/25/2013,,Levante,0@0,Sevilla,,Ciutat de Valencia,Teixeira Vitienes
2,Sun,8/25/2013,,Betis,1@2,Celta Vigo,,Benito VillamarÌn,Prieto Iglesias
2,Mon,8/26/2013,,Granada,0@1,Real Madrid,,Nuevo Los C·rmenes,Estrada Fern·ndez
3,Fri,8/30/2013,,Rayo Vallecano,1@2,Levante,,Estadio de Vallecas Teresa Rivero,PÈrez Montero
3,Fri,8/30/2013,,AlmerÌa,2@2,Elche,,Estadio Mediterr·neo,¡Ålvarez Izquierdo
3,Sat,8/31/2013,,Celta Vigo,1@1,Granada,,BalaÌdos,MartÌnez Munuera
3,Sat,8/31/2013,,Osasuna,0@3,Villarreal,,Reyno de Navarra,Fern·ndez Borbal·n
3,Sat,8/31/2013,,Valladolid,1@0,Getafe,,JosÈ Zorrilla,Undiano Mallenco
