Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee
1,Fri,8/17/2018,20:15 (18:15),Girona,0@0,Valladolid,"10,368",Estadi Municipal de Montilivi,Guillermo Cuadra
1,Fri,8/17/2018,22:15 (20:15),Betis,0@3,Levante,"46,225",Estadio Benito Villamarín,Ignacio Iglesias
1,Sat,8/18/2018,18:15 (16:15),Celta Vigo,1@1,Espanyol,"16,215",Estadio de Balaídos,Santiago Jaime
1,Sat,8/18/2018,20:15 (18:15),Villarreal,1@2,Real Sociedad,"16,250",Estadio de la Cerámica,Mario Melero
1,Sat,8/18/2018,22:15 (20:15),Barcelona,3@0,Alavés,"52,356",Camp Nou,José Sánchez
1,Sun,8/19/2018,18:15 (16:15),Eibar,1@2,Huesca,"4,234",Estadio Municipal de Ipurúa,Eduardo Prieto
1,Sun,8/19/2018,20:15 (18:15),Rayo Vallecano,1@4,Sevilla,"11,626",Estadio del Rayo Vallecano,Antonio Matéu Lahoz
1,Sun,8/19/2018,22:15 (20:15),Real Madrid,2@0,Getafe,"48,446",Estadio Santiago Bernabéu,Javier Estrada
1,Mon,8/20/2018,20:00 (18:00),Valencia,1@1,Atlético Madrid,"46,174",Estadio de Mestalla,Jesús Gil
1,Mon,8/20/2018,22:00 (20:00),Athletic Club,2@1,Leganés,"38,327",Estadio San Mamés,Adrián Cordero
2,Fri,8/24/2018,20:15 (18:15),Getafe,2@0,Eibar,"7,851",Coliseum Alfonso Pérez,David Medié
2,Fri,8/24/2018,22:15 (20:15),Leganés,2@2,Real Sociedad,"9,375",Estadio Municipal de Butarque,José Luis Munuera
2,Sat,8/25/2018,18:15 (16:15),Alavés,0@0,Betis,"18,221",Estadio de Mendizorroza,Pablo González
2,Sat,8/25/2018,20:15 (18:15),Atlético Madrid,1@0,Rayo Vallecano,"52,693",Estadio Wanda Metropolitano,José González
2,Sat,8/25/2018,22:15 (20:15),Valladolid,0@1,Barcelona,"22,651",Estadio Municipal José Zorrilla,Ricardo de Burgos
2,Sun,8/26/2018,18:15 (16:15),Espanyol,2@0,Valencia,"18,714",RCDE Stadium,Carlos del Cerro
2,Sun,8/26/2018,22:15 (20:15),Girona,1@4,Real Madrid,"13,889",Estadi Municipal de Montilivi,Juan Martínez
2,Sun,8/26/2018,22:15 (20:15),Sevilla,0@0,Villarreal,"35,831",Estadio Ramón Sánchez Pizjuán,Alberto Undiano
2,Mon,8/27/2018,20:15 (18:15),Levante,1@2,Celta Vigo,"21,122",Estadio Ciudad de Valencia,Alejandro Hernández
2,Mon,8/27/2018,22:00 (20:00),Athletic Club,2@2,Huesca,"36,818",San Mamés,Alberola Rojas
3,Fri,8/31/2018,20:00 (18:00),Getafe,0@0,Valladolid,"9,817",Coliseum Alfonso Pérez,Adrián Cordero
3,Fri,8/31/2018,22:00 (20:00),Villarreal,0@1,Girona,"15,740",Estadio de la Cerámica,Eduardo Prieto
3,Fri,8/31/2018,22:00 (20:00),Eibar,2@1,Real Sociedad,"6,144",Estadio Municipal de Ipurúa,José Sánchez
3,Sat,9/1/2018,18:30 (16:30),Celta Vigo,2@0,Atlético Madrid,"19,013",Estadio de Balaídos,Antonio Matéu Lahoz
3,Sat,9/1/2018,20:45 (18:45),Real Madrid,4@1,Leganés,"59,255",Estadio Santiago Bernabéu,Santiago Jaime
3,Sun,9/2/2018,12:00 (10:00),Levante,2@2,Valencia,"24,073",Estadio Ciudad de Valencia,Javier Estrada
3,Sun,9/2/2018,16:15 (14:15),Alavés,2@1,Espanyol,"18,052",Estadio de Mendizorroza,Ignacio Iglesias
3,Sun,9/2/2018,18:30 (16:30),Barcelona,8@2,Huesca,"72,892",Camp Nou,Mario Melero
3,Sun,9/2/2018,20:45 (18:45),Betis,1@0,Sevilla,"53,451",Estadio Benito Villamarín,Jesús Gil
4,Fri,9/14/2018,21:00 (19:00),Huesca,0@1,Rayo Vallecano,"6,498",Estadio El Alcoraz,David Medié
4,Sat,9/15/2018,13:00 (11:00),Atlético Madrid,1@1,Eibar,"55,674",Estadio Wanda Metropolitano,Juan Martínez
4,Sat,9/15/2018,16:15 (14:15),Real Sociedad,1@2,Barcelona,"26,756",Estadio Municipal de Anoeta,Carlos del Cerro
4,Sat,9/15/2018,18:30 (16:30),Valencia,0@0,Betis,"40,050",Estadio de Mestalla,Alejandro Hernández
4,Sat,9/15/2018,20:45 (18:45),Athletic Club,1@1,Real Madrid,"46,413",Estadio San Mamés,José González
4,Sun,9/16/2018,12:00 (10:00),Leganés,0@1,Villarreal,"10,432",Estadio Municipal de Butarque,Pablo González
4,Sun,9/16/2018,16:15 (14:15),Espanyol,1@0,Levante,"18,627",RCDE Stadium,Alberto Undiano
4,Sun,9/16/2018,18:30 (16:30),Valladolid,0@1,Alavés,"18,873",Estadio Municipal José Zorrilla,José Luis Munuera
4,Sun,9/16/2018,20:45 (18:45),Sevilla,0@2,Getafe,"36,943",Estadio Ramón Sánchez Pizjuán,Ricardo de Burgos
4,Mon,9/17/2018,21:00 (19:00),Girona,3@2,Celta Vigo,"9,849",Estadi Municipal de Montilivi,Alberola Rojas
5,Fri,9/21/2018,21:00 (19:00),Huesca,0@1,Real Sociedad,"6,948",Estadio El Alcoraz,Ignacio Iglesias
5,Sat,9/22/2018,13:00 (11:00),Rayo Vallecano,1@5,Alavés,"12,011",Estadio del Rayo Vallecano,Adrián Cordero
5,Sat,9/22/2018,16:15 (14:15),Celta Vigo,3@3,Valladolid,"16,552",Estadio de Balaídos,Eduardo Prieto
5,Sat,9/22/2018,16:15 (14:15),Eibar,1@0,Leganés,"4,456",Estadio Municipal de Ipurúa,Mario Melero
5,Sat,9/22/2018,18:30 (16:30),Getafe,0@2,Atlético Madrid,"12,756",Coliseum Alfonso Pérez,José Sánchez
5,Sat,9/22/2018,20:45 (18:45),Real Madrid,1@0,Espanyol,"67,658",Estadio Santiago Bernabéu,Antonio Matéu Lahoz
5,Sun,9/23/2018,12:00 (10:00),Levante,2@6,Sevilla,"21,520",Estadio Ciudad de Valencia,Guillermo Cuadra
5,Sun,9/23/2018,16:15 (14:15),Villarreal,0@0,Valencia,"18,373",Estadio de la Cerámica,Santiago Jaime
5,Sun,9/23/2018,20:00 (18:00),Betis,2@2,Athletic Club,"51,093",Estadio Benito Villamarín,Javier Estrada
5,Sun,9/23/2018,20:45 (18:45),Barcelona,2@2,Girona,"76,055",Camp Nou,Jesús Gil
6,Tue,9/25/2018,20:00 (18:00),Espanyol,1@0,Eibar,"13,547",RCDE Stadium,José Luis Munuera
6,Tue,9/25/2018,21:00 (19:00),Real Sociedad,2@2,Rayo Vallecano,"21,510",Estadio Municipal de Anoeta,Juan Martínez
6,Tue,9/25/2018,22:00 (20:00),Atlético Madrid,3@0,Huesca,"47,023",Estadio Wanda Metropolitano,Pablo González
6,Wed,9/26/2018,20:00 (18:00),Athletic Club,0@3,Villarreal,"39,672",Estadio San Mamés,Carlos del Cerro
