Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee
1,Sat,8/23/2014,19:00 (17:00),M·laga,1@0,Athletic Club,"24,500",Estadio La Rosaleda,Antonio MatÈu Lahoz
1,Sat,8/23/2014,21:00 (19:00),Sevilla,1@1,Valencia,"29,352",Estadio RamÛn S·nchez Pizju·n,Carlos del Cerro
1,Sat,8/23/2014,21:00 (19:00),Granada,2@1,La CoruÒa,"14,800",Estadio Nuevo Los C·rmenes,IÒaki Bikandi
1,Sat,8/23/2014,23:00 (21:00),AlmerÌa,1@1,Espanyol,"12,000",Estadio de los Juegos Mediterr·neos,Alejandro Hern·ndez
1,Sun,8/24/2014,19:00 (17:00),Eibar,1@0,Real Sociedad,"5,173",Estadio Municipal de Ipur˙a,Alfonso ¡Ålvarez
1,Sun,8/24/2014,21:00 (19:00),Barcelona,3@0,Elche,"68,105",Camp Nou,Fernando Teixeira
1,Sun,8/24/2014,21:00 (19:00),Celta Vigo,3@1,Getafe,"20,416",Estadio de BalaÌdos,Mario Melero
1,Sun,8/24/2014,23:00 (21:00),Levante,0@2,Villarreal,"19,000",Estadio Ciudad de Valencia,David Fern·ndez
1,Mon,8/25/2014,20:00 (18:00),Real Madrid,2@0,CÛrdoba,"70,356",Estadio Santiago BernabÈu,Jes˙s Gil
1,Mon,8/25/2014,22:00 (20:00),Rayo Vallecano,0@0,AtlÈtico Madrid,"11,070",Estadio del Rayo Vallecano,Carlos Clos GÛmez
2,Fri,8/29/2014,20:00 (18:00),Getafe,1@0,AlmerÌa,"6,000",Coliseum Alfonso PÈrez,Santiago Jaime
2,Fri,8/29/2014,22:00 (20:00),Valencia,3@0,M·laga,"41,550",Estadio de Mestalla,Javier Estrada
2,Sat,8/30/2014,19:00 (17:00),Athletic Club,3@0,Levante,"48,300",San MamÈs,Pedro PÈrez
2,Sat,8/30/2014,19:00 (17:00),CÛrdoba,1@1,Celta Vigo,"15,982",Estadio Nuevo Arc·ngel,JosÈ Teixeira
2,Sat,8/30/2014,21:00 (19:00),AtlÈtico Madrid,2@1,Eibar,"48,000",Estadio Vicente CalderÛn,Eduardo Prieto
2,Sat,8/30/2014,23:00 (21:00),Espanyol,1@2,Sevilla,"16,490",RCDE Stadium,Alberto Undiano
2,Sun,8/31/2014,19:00 (17:00),Villarreal,0@1,Barcelona,"21,200",Estadio de la Cer·mica,Carlos Velasco
2,Sun,8/31/2014,21:00 (19:00),La CoruÒa,2@2,Rayo Vallecano,"18,054",Estadio Municipal de Riazor,JosÈ Gonz·lez
2,Sun,8/31/2014,21:00 (19:00),Real Sociedad,4@2,Real Madrid,"27,879",Estadio Municipal de Anoeta,Juan MartÌnez
2,Sun,8/31/2014,23:00 (21:00),Elche,1@1,Granada,"20,025",Estadio Manuel MartÌnez Valero,Ignacio Iglesias
3,Fri,9/12/2014,21:00 (19:00),AlmerÌa,1@1,CÛrdoba,"10,682",Estadio de los Juegos Mediterr·neos,Fernando Teixeira
3,Sat,9/13/2014,16:00 (14:00),Barcelona,2@0,Athletic Club,"80,181",Camp Nou,David Fern·ndez
