Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee
1,Sat,8/18/2012,,Celta Vigo,0@1,M·laga,,BalaÌdos,Del Cerro Grande
1,Sat,8/18/2012,,Sevilla,2@1,Getafe,,RamÛn S·nchez Pizju·n,¡Ålvarez Izquierdo
1,Sat,8/18/2012,,Mallorca,2@1,Espanyol,,Son Moix,Undiano Mallenco
1,Sun,8/19/2012,,Barcelona,5@1,Real Sociedad,,Camp Nou,Gonz·lez Gonz·lez
1,Sun,8/19/2012,,Levante,1@1,AtlÈtico Madrid,,Ciutat de Valencia,Clos GÛmez
1,Sun,8/19/2012,,Athletic Club,3@5,Betis,,San MamÈs,Teixeira Vitienes
1,Sun,8/19/2012,,Real Madrid,1@1,Valencia,,Santiago BernabÈu,Delgado Ferreiro
1,Mon,8/20/2012,,La CoruÒa,2@0,Osasuna,,Riazor,Fern·ndez Borbal·n
1,Mon,8/20/2012,,Rayo Vallecano,1@0,Granada,,Estadio de Vallecas Teresa Rivero,Mateu Lahoz
1,Mon,8/20/2012,,Zaragoza,0@1,Valladolid,,La Romareda,Hern·ndez Hern·ndez
2,Sat,8/25/2012,,Espanyol,1@2,Zaragoza,,Cornell· - El Prat,Paradas Romero
2,Sat,8/25/2012,,Real Sociedad,2@1,Celta Vigo,,Anoeta,PÈrez Montero
2,Sat,8/25/2012,,Betis,1@2,Rayo Vallecano,,Benito VillamarÌn,Ayza G·mez
2,Sat,8/25/2012,,M·laga,1@1,Mallorca,,La Rosaleda,Gil Manzano
2,Sun,8/26/2012,,Osasuna,1@2,Barcelona,,Reyno de Navarra,MuÒiz Fern·ndez
2,Sun,8/26/2012,,Getafe,2@1,Real Madrid,,Coliseum Alfonso PÈrez,PÈrez Lasa
2,Sun,8/26/2012,,Valencia,3@3,La CoruÒa,,Mestalla,Velasco Carballo
2,Sun,8/26/2012,,Granada,1@1,Sevilla,,Nuevo Los C·rmenes,Estrada Fern·ndez
2,Mon,8/27/2012,,AtlÈtico Madrid,4@0,Athletic Club,,Vicente CalderÛn,Teixeira Vitienes
2,Mon,8/27/2012,,Valladolid,2@0,Levante,,JosÈ Zorrilla,Iglesias Villanueva
3,Sat,9/1/2012,,Mallorca,1@0,Real Sociedad,,Son Moix,Fern·ndez Borbal·n
3,Sat,9/1/2012,,Zaragoza,0@1,M·laga,,La Romareda,Undiano Mallenco
3,Sat,9/1/2012,,Celta Vigo,2@0,Osasuna,,BalaÌdos,Hern·ndez Hern·ndez
3,Sat,9/1/2012,,La CoruÒa,1@1,Getafe,,Riazor,Mateu Lahoz
3,Sun,9/2/2012,,Real Madrid,3@0,Granada,,Santiago BernabÈu,Gonz·lez Gonz·lez
