Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
25,Tue,2/28/2017,21:30 (20:30),Valencia,1@0,Leganés,"26,711",Estadio de Mestalla,Iñaki Bikandi,Match Report,
25,Tue,2/28/2017,21:30 (20:30),Málaga,1@2,Betis,"24,285",Estadio La Rosaleda,Alejandro Hernández,Match Report,
25,Wed,3/1/2017,19:30 (18:30),Barcelona,6@1,Sporting Gijón,"56,605",Camp Nou,José Sánchez,Match Report,
25,Wed,3/1/2017,19:30 (18:30),Osasuna,1@4,Villarreal,"13,409",Estadio El Sadar,José González,Match Report,
25,Wed,3/1/2017,21:30 (20:30),Granada,2@1,Alavés,"14,038",Estadio Nuevo Los Cármenes,Ignacio Iglesias,Match Report,
25,Wed,3/1/2017,21:30 (20:30),Real Madrid,3@3,Las Palmas,"63,789",Estadio Santiago Bernabéu,David Fernández,Match Report,
25,Wed,3/1/2017,21:30 (20:30),Celta Vigo,2@2,Espanyol,"11,526",Estadio de Balaídos,Santiago Jaime,Match Report,
25,Thu,3/2/2017,20:45 (19:45),La Coruña,1@1,Atlético Madrid,"19,992",Estadio Municipal de Riazor,Carlos Clos,Match Report,
25,Thu,3/2/2017,21:30 (20:30),Sevilla,1@0,Athletic Club,"34,012",Estadio Ramón Sánchez Pizjuán,Daniel Ocón,Match Report,
26,Fri,3/3/2017,20:45 (19:45),Betis,2@3,Real Sociedad,"29,612",Estadio Benito Villamarín,Ignacio Iglesias,Match Report,
26,Sat,3/4/2017,13:00 (12:00),Leganés,1@0,Granada,"9,472",Estadio Municipal de Butarque,Juan Martínez,Match Report,
26,Sat,3/4/2017,16:15 (15:15),Eibar,1@4,Real Madrid,"6,740",Estadio Municipal de Ipurúa,José González,Match Report,
26,Sat,3/4/2017,18:30 (17:30),Villarreal,2@0,Espanyol,"17,315",Estadio de la Cerámica,Ricardo de Burgos,Match Report,
26,Sat,3/4/2017,20:45 (19:45),Barcelona,5@0,Celta Vigo,"77,117",Camp Nou,Jesús Gil,Match Report,
26,Sun,3/5/2017,12:00 (11:00),Sporting Gijón,0@1,La Coruña,"24,307",Estadio Municipal El Molinón,Antonio Matéu Lahoz,Match Report,
26,Sun,3/5/2017,16:15 (15:15),Atlético Madrid,3@0,Valencia,"46,473",Estadio Vicente Calderón,Javier Estrada,Match Report,
26,Sun,3/5/2017,17:30,Las Palmas,5@2,Osasuna,"19,911",Estadio de Gran Canaria,Carlos del Cerro,Match Report,
26,Sun,3/5/2017,20:45 (19:45),Athletic Club,1@0,Málaga,"33,438",San Mamés,Alfonso Ãlvarez,Match Report,
26,Mon,3/6/2017,20:45 (19:45),Alavés,1@1,Sevilla,"18,479",Estadio de Mendizorroza,Daniel Trujillo,Match Report,
21,Wed,3/8/2017,18:45 (17:45),La Coruña,1@1,Betis,"21,450",Estadio Municipal de Riazor,Alfonso Ãlvarez,Match Report,
27,Fri,3/10/2017,20:45 (19:45),Espanyol,4@3,Las Palmas,"17,669",RCDE Stadium,José Luis Munuera,Match Report,
27,Sat,3/11/2017,13:00 (12:00),Valencia,1@1,Sporting Gijón,"28,785",Estadio de Mestalla,Alfonso Ãlvarez,Match Report,
27,Sat,3/11/2017,16:15 (15:15),Sevilla,1@1,Leganés,"31,738",Estadio Ramón Sánchez Pizjuán,José González,Match Report,
27,Sat,3/11/2017,18:30 (17:30),Málaga,1@2,Alavés,"23,716",Estadio La Rosaleda,Alberto Undiano,Match Report,
27,Sat,3/11/2017,20:45 (19:45),Granada,0@1,Atlético Madrid,"18,887",Estadio Nuevo Los Cármenes,Alejandro Hernández,Match Report,
27,Sun,3/12/2017,12:00 (11:00),Real Sociedad,0@2,Athletic Club,"25,652",Estadio Municipal de Anoeta,José Sánchez,Match Report,
27,Sun,3/12/2017,16:15 (15:15),La Coruña,2@1,Barcelona,"28,474",Estadio Municipal de Riazor,David Fernández,Match Report,
27,Sun,3/12/2017,18:30 (17:30),Celta Vigo,0@1,Villarreal,"16,651",Estadio de Balaídos,Mario Melero,Match Report,
27,Sun,3/12/2017,20:45 (19:45),Real Madrid,2@1,Betis,"73,103",Estadio Santiago Bernabéu,Antonio Matéu Lahoz,Match Report,
27,Mon,3/13/2017,20:45 (19:45),Osasuna,1@1,Eibar,"11,262",Estadio El Sadar,Santiago Jaime,Match Report,
28,Fri,3/17/2017,19:45,Las Palmas,1@0,Villarreal,"18,717",Estadio de Gran Canaria,Iñaki Bikandi,Match Report,
28,Sat,3/18/2017,13:00 (12:00),Eibar,1@1,Espanyol,"5,340",Estadio Municipal de Ipurúa,David Fernández,Match Report,
28,Sat,3/18/2017,16:15 (15:15),Athletic Club,1@2,Real Madrid,"49,095",San Mamés,Santiago Jaime,Match Report,
28,Sat,3/18/2017,18:30 (17:30),Alavés,1@0,Real Sociedad,"19,840",Estadio de Mendizorroza,Carlos del Cerro,Match Report,
28,Sat,3/18/2017,20:45 (19:45),Betis,2@0,Osasuna,"32,375",Estadio Benito Villamarín,Alfonso Ãlvarez,Match Report,
28,Sun,3/19/2017,12:00 (11:00),Leganés,0@0,Málaga,"10,127",Estadio Municipal de Butarque,Antonio Matéu Lahoz,Match Report,
28,Sun,3/19/2017,16:15 (15:15),Atlético Madrid,3@1,Sevilla,"49,831",Estadio Vicente Calderón,Jesús Gil,Match Report,
28,Sun,3/19/2017,18:30 (17:30),Sporting Gijón,3@1,Granada,"25,070",Estadio Municipal El Molinón,Javier Estrada,Match Report,
28,Sun,3/19/2017,18:30 (17:30),La Coruña,0@1,Celta Vigo,"30,760",Estadio Municipal de Riazor,Juan Martínez,Match Report,
28,Sun,3/19/2017,20:45 (19:45),Barcelona,4@2,Valencia,"78,675",Camp Nou,Alejandro Hernández,Match Report,
29,Fri,3/31/2017,20:45 (18:45),Espanyol,2@1,Betis,"21,138",RCDE Stadium,José González,Match Report,
29,Sat,4/1/2017,13:00 (11:00),Villarreal,2@3,Eibar,"15,832",Estadio de la Cerámica,Daniel Ocón,Match Report,
29,Sat,4/1/2017,16:15 (14:15),Osasuna,1@2,Athletic Club,"15,694",Estadio El Sadar,José Munuera,Match Report,
29,Sat,4/1/2017,18:30 (16:30),Real Sociedad,1@1,Leganés,"18,891",Estadio Municipal de Anoeta,Mario Melero,Match Report,
29,Sat,4/1/2017,20:45 (18:45),Málaga,0@2,Atlético Madrid,"26,912",Estadio La Rosaleda,Daniel Trujillo,Match Report,
29,Sun,4/2/2017,12:00 (10:00),Sevilla,0@0,Sporting Gijón,"31,315",Estadio Ramón Sánchez Pizjuán,Iñaki Bikandi,Match Report,
29,Sun,4/2/2017,16:15 (14:15),Real Madrid,3@0,Alavés,"76,875",Estadio Santiago Bernabéu,José Sánchez,Match Report,
29,Sun,4/2/2017,18:30 (16:30),Valencia,3@0,La Coruña,"34,638",Estadio de Mestalla,Ricardo de Burgos,Match Report,
29,Sun,4/2/2017,20:45 (18:45),Granada,1@4,Barcelona,"18,676",Estadio Nuevo Los Cármenes,Santiago Jaime,Match Report,
29,Mon,4/3/2017,20:45 (18:45),Celta Vigo,3@1,Las Palmas,"14,212",Estadio de Balaídos,Carlos Clos,Match Report,
30,Tue,4/4/2017,19:30 (17:30),Athletic Club,2@0,Espanyol,"38,262",San Mamés,Juan Martínez,Match Report,
30,Tue,4/4/2017,21:30 (19:30),Betis,0@1,Villarreal,"25,477",Estadio Benito Villamarín,Jesús Gil,Match Report,
30,Tue,4/4/2017,21:30 (19:30),Atlético Madrid,1@0,Real Sociedad,"43,132",Estadio Vicente Calderón,Alberto Undiano,Match Report,
30,Wed,4/5/2017,19:30 (17:30),Barcelona,3@0,Sevilla,"85,511",Camp Nou,Carlos Clos,Match Report,
30,Wed,4/5/2017,20:30 (18:30),Alavés,0@1,Osasuna,"18,344",Estadio de Mendizorroza,Javier Estrada,Match Report,
30,Wed,4/5/2017,20:30 (18:30),La Coruña,0@0,Granada,"19,143",Estadio Municipal de Riazor,Carlos del Cerro,Match Report,
30,Wed,4/5/2017,20:30 (18:30),Sporting Gijón,0@1,Málaga,"24,503",Estadio Municipal El Molinón,José Sánchez,Match Report,
30,Wed,4/5/2017,21:30 (19:30),Leganés,2@4,Real Madrid,"10,922",Estadio Municipal de Butarque,Alfonso Ãlvarez,Match Report,
30,Thu,4/6/2017,19:30 (17:30),Eibar,3@1,Las Palmas,"5,201",Estadio Municipal de Ipurúa,Ignacio Iglesias,Match Report,
30,Thu,4/6/2017,21:30 (19:30),Valencia,3@2,Celta Vigo,"29,212",Estadio de Mestalla,David Fernández,Match Report,
31,Fri,4/7/2017,20:45 (18:45),Villarreal,3@1,Athletic Club,"18,403",Estadio de la Cerámica,Daniel Trujillo,Match Report,
31,Sat,4/8/2017,13:00 (11:00),Espanyol,1@0,Alavés,"17,521",RCDE Stadium,Mario Melero,Match Report,
31,Sat,4/8/2017,16:15 (14:15),Real Madrid,1@1,Atlético Madrid,"80,000",Estadio Santiago Bernabéu,Ricardo de Burgos,Match Report,
31,Sat,4/8/2017,18:30 (16:30),Sevilla,4@2,La Coruña,"33,022",Estadio Ramón Sánchez Pizjuán,Santiago Jaime,Match Report,
31,Sat,4/8/2017,20:45 (18:45),Málaga,2@0,Barcelona,"28,314",Estadio La Rosaleda,Jesús Gil,Match Report,
31,Sun,4/9/2017,12:00 (10:00),Granada,1@3,Valencia,"15,087",Estadio Nuevo Los Cármenes,Iñaki Bikandi,Match Report,
31,Sun,4/9/2017,16:15 (14:15),Celta Vigo,0@2,Eibar,"15,741",Estadio de Balaídos,José Munuera,Match Report,
31,Sun,4/9/2017,18:30 (16:30),Osasuna,2@1,Leganés,"14,421",Estadio El Sadar,Daniel Ocón,Match Report,
31,Sun,4/9/2017,19:45 (18:45),Las Palmas,4@1,Betis,"19,769",Estadio de Gran Canaria,José Sánchez,Match Report,
31,Mon,4/10/2017,20:45 (18:45),Real Sociedad,3@1,Sporting Gijón,"18,894",Estadio Municipal de Anoeta,José González,Match Report,
32,Fri,4/14/2017,20:45 (18:45),Athletic Club,5@1,Las Palmas,"36,293",San Mamés,Javier Estrada,Match Report,
32,Sat,4/15/2017,13:00 (11:00),La Coruña,2@0,Málaga,"20,300",Estadio Municipal de Riazor,Alberto Undiano,Match Report,
32,Sat,4/15/2017,16:15 (14:15),Sporting Gijón,2@3,Real Madrid,"23,745",Estadio Municipal El Molinón,David Fernández,Match Report,
32,Sat,4/15/2017,18:30 (16:30),Atlético Madrid,3@0,Osasuna,"44,113",Estadio Vicente Calderón,Mario Melero,Match Report,
32,Sat,4/15/2017,20:45 (18:45),Barcelona,3@2,Real Sociedad,"81,704",Camp Nou,Juan Martínez,Match Report,
32,Sun,4/16/2017,12:00 (10:00),Leganés,0@1,Espanyol,"9,127",Estadio Municipal de Butarque,Carlos Clos,Match Report,
32,Sun,4/16/2017,16:15 (14:15),Valencia,0@0,Sevilla,"36,748",Estadio de Mestalla,José González,Match Report,
32,Sun,4/16/2017,18:30 (16:30),Betis,2@0,Eibar,"30,331",Estadio Benito Villamarín,Antonio Matéu Lahoz,Match Report,
32,Sun,4/16/2017,20:45 (18:45),Granada,0@3,Celta Vigo,"13,442",Estadio Nuevo Los Cármenes,José Sánchez,Match Report,
32,Mon,4/17/2017,20:45 (18:45),Alavés,2@1,Villarreal,"17,831",Estadio de Mendizorroza,Alfonso Ãlvarez,Match Report,
33,Fri,4/21/2017,21:00 (19:00),Sevilla,2@0,Granada,"31,074",Estadio Ramón Sánchez Pizjuán,Daniel Trujillo,Match Report,
33,Sat,4/22/2017,13:00 (11:00),Málaga,2@0,Valencia,"23,089",Estadio La Rosaleda,Ignacio Iglesias,Match Report,
33,Sat,4/22/2017,16:15 (14:15),Villarreal,2@1,Leganés,"16,829",Estadio de la Cerámica,Santiago Jaime,Match Report,
33,Sat,4/22/2017,18:30 (16:30),Osasuna,2@2,Sporting Gijón,"14,964",Estadio El Sadar,Jesús Gil,Match Report,
33,Sat,4/22/2017,20:45 (18:45),Espanyol,0@1,Atlético Madrid,"27,777",RCDE Stadium,Iñaki Bikandi,Match Report,
33,Sun,4/23/2017,12:00 (10:00),Real Sociedad,1@0,La Coruña,"19,925",Estadio Municipal de Anoeta,Daniel Ocón,Match Report,
33,Sun,4/23/2017,16:15 (14:15),Celta Vigo,0@1,Betis,"15,851",Estadio de Balaídos,Ricardo de Burgos,Match Report,
33,Sun,4/23/2017,17:30 (16:30),Las Palmas,1@1,Alavés,"16,007",Estadio de Gran Canaria,José Munuera,Match Report,
33,Sun,4/23/2017,20:45 (18:45),Real Madrid,2@3,Barcelona,"81,044",Estadio Santiago Bernabéu,Alejandro Hernández,Match Report,
33,Mon,4/24/2017,20:45 (18:45),Eibar,0@1,Athletic Club,"6,597",Estadio Municipal de Ipurúa,Carlos del Cerro,Match Report,
34,Tue,4/25/2017,19:30 (17:30),Sporting Gijón,1@1,Espanyol,"20,956",Estadio Municipal El Molinón,Mario Melero,Match Report,
34,Tue,4/25/2017,20:30 (18:30),Granada,0@2,Málaga,"11,894",Estadio Nuevo Los Cármenes,Carlos Clos,Match Report,
34,Tue,4/25/2017,21:30 (19:30),Atlético Madrid,0@1,Villarreal,"44,432",Estadio Vicente Calderón,Ignacio Iglesias,Match Report,
34,Wed,4/26/2017,19:30 (17:30),Barcelona,7@1,Osasuna,"63,989",Camp Nou,José Munuera,Match Report,
34,Wed,4/26/2017,20:30 (18:30),Valencia,2@3,Real Sociedad,"26,101",Estadio de Mestalla,Carlos del Cerro,Match Report,
34,Wed,4/26/2017,20:30 (18:30),Leganés,3@0,Las Palmas,"9,756",Estadio Municipal de Butarque,Iñaki Bikandi,Match Report,
34,Wed,4/26/2017,21:30 (19:30),La Coruña,2@6,Real Madrid,"26,735",Estadio Municipal de Riazor,José Sánchez,Match Report,
34,Thu,4/27/2017,19:30 (17:30),Alavés,0@0,Eibar,"13,519",Estadio de Mendizorroza,Daniel Trujillo,Match Report,
34,Thu,4/27/2017,20:30 (18:30),Sevilla,2@1,Celta Vigo,"26,100",Estadio Ramón Sánchez Pizjuán,Jesús Gil,Match Report,
34,Thu,4/27/2017,21:30 (19:30),Athletic Club,2@1,Betis,"34,074",San Mamés,José González,Match Report,
35,Fri,4/28/2017,20:45 (18:45),Villarreal,3@1,Sporting Gijón,"15,120",Estadio de la Cerámica,Javier Estrada,Match Report,
35,Sat,4/29/2017,13:00 (11:00),Real Sociedad,2@1,Granada,"18,003",Estadio Municipal de Anoeta,Antonio Matéu Lahoz,Match Report,
35,Sat,4/29/2017,16:15 (14:15),Real Madrid,2@1,Valencia,"75,180",Estadio Santiago Bernabéu,Jesús Gil,Match Report,
35,Sat,4/29/2017,17:30 (16:30),Las Palmas,0@5,Atlético Madrid,"23,570",Estadio de Gran Canaria,Ricardo de Burgos,Match Report,
35,Sat,4/29/2017,20:45 (18:45),Espanyol,0@3,Barcelona,"31,708",RCDE Stadium,Alberto Undiano,Match Report,
35,Sun,4/30/2017,12:00 (10:00),Osasuna,2@2,La Coruña,"12,294",Estadio El Sadar,Alejandro Hernández,Match Report,
35,Sun,4/30/2017,16:15 (14:15),Betis,1@4,Alavés,"22,271",Estadio Benito Villamarín,Daniel Ocón,Match Report,
35,Sun,4/30/2017,18:30 (16:30),Eibar,2@0,Leganés,"5,256",Estadio Municipal de Ipurúa,Alfonso Ãlvarez,Match Report,
35,Sun,4/30/2017,20:45 (18:45),Celta Vigo,0@3,Athletic Club,"17,320",Estadio de Balaídos,David Fernández,Match Report,
35,Mon,5/1/2017,21:00 (19:00),Málaga,4@2,Sevilla,"22,971",Estadio La Rosaleda,Juan Martínez,Match Report,
36,Fri,5/5/2017,21:00 (19:00),Sevilla,1@1,Real Sociedad,"28,607",Estadio Ramón Sánchez Pizjuán,José González,Match Report,
36,Sat,5/6/2017,13:00 (11:00),Sporting Gijón,1@0,Las Palmas,"21,758",Estadio Municipal El Molinón,Santiago Jaime,Match Report,
36,Sat,5/6/2017,16:15 (14:15),Atlético Madrid,1@0,Eibar,"46,748",Estadio Vicente Calderón,David Fernández,Match Report,
36,Sat,5/6/2017,18:30 (16:30),Barcelona,4@1,Villarreal,"90,463",Camp Nou,José Sánchez,Match Report,
36,Sat,5/6/2017,20:45 (18:45),Granada,0@4,Real Madrid,"19,094",Estadio Nuevo Los Cármenes,Ignacio Iglesias,Match Report,
36,Sun,5/7/2017,12:00 (10:00),Alavés,1@0,Athletic Club,"19,127",Estadio de Mendizorroza,Juan Martínez,Match Report,
36,Sun,5/7/2017,16:15 (14:15),Valencia,4@1,Osasuna,"24,752",Estadio de Mestalla,Carlos Clos,Match Report,
36,Sun,5/7/2017,18:30 (16:30),La Coruña,1@2,Espanyol,"22,803",Estadio Municipal de Riazor,Antonio Matéu Lahoz,Match Report,
36,Sun,5/7/2017,20:45 (18:45),Málaga,3@0,Celta Vigo,"20,552",Estadio La Rosaleda,Carlos del Cerro,Match Report,
36,Mon,5/8/2017,20:45 (18:45),Leganés,4@0,Betis,"11,922",Estadio Municipal de Butarque,Daniel Trujillo,Match Report,
37,Sat,5/13/2017,16:00 (14:00),Espanyol,0@1,Valencia,"20,111",RCDE Stadium,Daniel Ocón,Match Report,
37,Sat,5/13/2017,18:30 (16:30),Osasuna,2@1,Granada,"13,301",Estadio El Sadar,Iñaki Bikandi,Match Report,
37,Sun,5/14/2017,16:00 (14:00),Alavés,3@1,Celta Vigo,"17,624",Estadio de Mendizorroza,José Munuera,Match Report,
37,Sun,5/14/2017,19:00 (18:00),Las Palmas,1@4,Barcelona,"22,268",Estadio de Gran Canaria,José González,Match Report,
37,Sun,5/14/2017,20:00 (18:00),Real Sociedad,2@2,Málaga,"24,959",Estadio Municipal de Anoeta,Santiago Jaime,Match Report,
37,Sun,5/14/2017,20:00 (18:00),Villarreal,0@0,La Coruña,"16,437",Estadio de la Cerámica,Jesús Gil,Match Report,
37,Sun,5/14/2017,20:00 (18:00),Athletic Club,1@1,Leganés,"42,049",San Mamés,David Fernández,Match Report,
37,Sun,5/14/2017,20:00 (18:00),Eibar,0@1,Sporting Gijón,"5,577",Estadio Municipal de Ipurúa,Juan Martínez,Match Report,
37,Sun,5/14/2017,20:00 (18:00),Real Madrid,4@1,Sevilla,"79,356",Estadio Santiago Bernabéu,Alberto Undiano,Match Report,
37,Sun,5/14/2017,20:00 (18:00),Betis,1@1,Atlético Madrid,"27,159",Estadio Benito Villamarín,Alfonso Ãlvarez,Match Report,
21,Wed,5/17/2017,21:00 (19:00),Celta Vigo,1@4,Real Madrid,"22,838",Estadio de Balaídos,Juan Martínez,Match Report,
38,Fri,5/19/2017,20:45 (18:45),Granada,1@2,Espanyol,"10,503",Estadio Nuevo Los Cármenes,Carlos Clos,Match Report,
38,Sat,5/20/2017,17:00 (15:00),Sporting Gijón,2@2,Betis,"16,201",Estadio Municipal El Molinón,Ignacio Iglesias,Match Report,
38,Sat,5/20/2017,19:00 (17:00),La Coruña,3@0,Las Palmas,"21,663",Estadio Municipal de Riazor,Mario Melero,Match Report,
38,Sat,5/20/2017,19:00 (17:00),Leganés,1@1,Alavés,"10,922",Estadio Municipal de Butarque,José González,Match Report,
38,Sat,5/20/2017,21:00 (19:00),Sevilla,5@0,Osasuna,"26,396",Estadio Ramón Sánchez Pizjuán,Carlos del Cerro,Match Report,
38,Sun,5/21/2017,16:45 (14:45),Valencia,1@3,Villarreal,"33,587",Estadio de Mestalla,David Fernández,Match Report,
38,Sun,5/21/2017,16:45 (14:45),Atlético Madrid,3@1,Athletic Club,"52,314",Estadio Vicente Calderón,Javier Estrada,Match Report,
38,Sun,5/21/2017,16:45 (14:45),Celta Vigo,2@2,Real Sociedad,"14,188",Estadio de Balaídos,José Sánchez,Match Report,
38,Sun,5/21/2017,20:00 (18:00),Barcelona,4@2,Eibar,"74,932",Camp Nou,Alejandro Hernández,Match Report,
38,Sun,5/21/2017,20:00 (18:00),Málaga,0@2,Real Madrid,"27,855",Estadio La Rosaleda,Ricardo de Burgos,Match Report,
