Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee
1,Fri,8/21/2015,20:30 (18:30),M·laga,0@0,Sevilla,"30,372",Estadio La Rosaleda,Alfonso ¡Ålvarez
1,Sat,8/22/2015,18:30 (16:30),Espanyol,1@0,Getafe,"16,248",RCDE Stadium,Jes˙s Gil
1,Sat,8/22/2015,18:30 (16:30),La CoruÒa,0@0,Real Sociedad,"23,306",Estadio Municipal de Riazor,Antonio MatÈu Lahoz
1,Sat,8/22/2015,20:30 (18:30),AtlÈtico Madrid,1@0,Las Palmas,"45,107",Estadio Vicente CalderÛn,Eduardo Prieto
1,Sat,8/22/2015,22:30 (20:30),Rayo Vallecano,0@0,Valencia,"9,608",Estadio del Rayo Vallecano,Alberto Undiano
1,Sun,8/23/2015,18:30 (16:30),Athletic Club,0@1,Barcelona,"44,737",San MamÈs,Carlos del Cerro
1,Sun,8/23/2015,20:30 (18:30),Sporting GijÛn,0@0,Real Madrid,"28,105",Estadio Municipal El MolinÛn,Javier Estrada
1,Sun,8/23/2015,22:00 (20:00),Levante,1@2,Celta Vigo,"11,701",Estadio Ciudad de Valencia,Ricardo de Burgos
1,Sun,8/23/2015,22:30 (20:30),Betis,1@1,Villarreal,"38,572",Estadio Benito VillamarÌn,IÒaki Bikandi
1,Mon,8/24/2015,20:30 (18:30),Granada,1@3,Eibar,"14,795",Estadio Nuevo Los C·rmenes,Ignacio Iglesias
2,Fri,8/28/2015,20:30 (18:30),Villarreal,3@1,Espanyol,"17,650",Estadio de la Cer·mica,Carlos Velasco
2,Sat,8/29/2015,18:30 (16:30),Real Sociedad,0@0,Sporting GijÛn,"22,478",Estadio Municipal de Anoeta,JosÈ S·nchez
2,Sat,8/29/2015,20:30 (18:30),Barcelona,1@0,M·laga,"80,812",Camp Nou,Santiago Jaime
2,Sat,8/29/2015,22:00 (20:00),Celta Vigo,3@0,Rayo Vallecano,"17,606",Estadio de BalaÌdos,Juan MartÌnez
2,Sat,8/29/2015,22:30 (20:30),Real Madrid,5@0,Betis,"70,876",Estadio Santiago BernabÈu,Alejandro Hern·ndez
2,Sun,8/30/2015,18:30 (16:30),Eibar,2@0,Athletic Club,"5,509",Estadio Municipal de Ipur˙a,David Fern·ndez
2,Sun,8/30/2015,20:30 (18:30),Valencia,1@1,La CoruÒa,"42,000",Estadio de Mestalla,JosÈ Gonz·lez
2,Sun,8/30/2015,20:30 (18:30),Sevilla,0@3,AtlÈtico Madrid,"38,976",Estadio RamÛn S·nchez Pizju·n,Carlos Clos GÛmez
2,Sun,8/30/2015,21:30 (20:30),Las Palmas,0@0,Levante,"19,057",Estadio de Gran Canaria,Pedro PÈrez
2,Sun,8/30/2015,22:30 (20:30),Getafe,1@2,Granada,"6,000",Coliseum Alfonso PÈrez,Eduardo Prieto
3,Fri,9/11/2015,20:30 (18:30),Levante,1@1,Sevilla,"16,568",Estadio Ciudad de Valencia,Ignacio Iglesias
3,Sat,9/12/2015,16:00 (14:00),Espanyol,0@6,Real Madrid,"32,155",RCDE Stadium,IÒaki Bikandi
3,Sat,9/12/2015,18:15 (16:15),Sporting GijÛn,0@1,Valencia,"23,206",Estadio Municipal El MolinÛn,Carlos del Cerro
3,Sat,9/12/2015,20:30 (18:30),AtlÈtico Madrid,1@2,Barcelona,"53,491",Estadio Vicente CalderÛn,Antonio MatÈu Lahoz
3,Sat,9/12/2015,22:00 (20:00),Betis,1@0,Real Sociedad,"38,768",Estadio Benito VillamarÌn,Alfonso ¡Ålvarez
3,Sun,9/13/2015,12:00 (10:00),Granada,1@3,Villarreal,"13,954",Estadio Nuevo Los C·rmenes,Jes˙s Gil
3,Sun,9/13/2015,16:00 (14:00),Athletic Club,3@1,Getafe,"39,003",San MamÈs,Pedro PÈrez
3,Sun,9/13/2015,18:15 (16:15),Celta Vigo,3@3,Las Palmas,"19,048",Estadio de BalaÌdos,Javier Estrada
3,Sun,9/13/2015,20:30 (18:30),M·laga,0@0,Eibar,"19,836",Estadio La Rosaleda,Alberto Undiano
3,Mon,9/14/2015,20:30 (18:30),Rayo Vallecano,1@3,La CoruÒa,"12,005",Estadio del Rayo Vallecano,Ricardo de Burgos
4,Fri,9/18/2015,20:30 (18:30),Getafe,1@0,M·laga,"5,808",Coliseum Alfonso PÈrez,JosÈ S·nchez
4,Sat,9/19/2015,16:00 (14:00),Real Madrid,1@0,Granada,"71,786",Estadio Santiago BernabÈu,Juan MartÌnez
4,Sat,9/19/2015,18:15 (16:15),Valencia,0@0,Betis,"40,560",Estadio de Mestalla,Carlos Velasco
4,Sat,9/19/2015,20:30 (18:30),Eibar,0@2,AtlÈtico Madrid,"5,126",Estadio Municipal de Ipur˙a,Alejandro Hern·ndez
