Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee
7,Sat,9/30/2017,18:30 (16:30),Levante,0@2,Alavés,"18,528",Estadio Ciudad de Valencia,David Fernández
7,Sat,9/30/2017,20:45 (18:45),Leganés,0@0,Atlético Madrid,"11,454",Estadio Municipal de Butarque,Jesús Gil
7,Sun,10/1/2017,12:00 (10:00),Real Sociedad,4@4,Betis,"19,669",Estadio Municipal de Anoeta,Alfonso Ãlvarez
7,Sun,10/1/2017,16:15 (14:15),Barcelona,3@0,Las Palmas,,Camp Nou,José Munuera
7,Sun,10/1/2017,18:30 (16:30),Valencia,3@2,Athletic Club,"42,070",Estadio de Mestalla,Alejandro Hernández
7,Sun,10/1/2017,18:30 (16:30),Villarreal,3@0,Eibar,"17,090",Estadio de la Cerámica,Mario Melero
7,Sun,10/1/2017,20:45 (18:45),Real Madrid,2@0,Espanyol,"71,205",Estadio Santiago Bernabéu,José González
8,Fri,10/13/2017,21:00 (19:00),Espanyol,0@0,Levante,"19,365",RCDE Stadium,Alberto Undiano
8,Sat,10/14/2017,13:00 (11:00),Athletic Club,1@0,Sevilla,"40,197",San Mamés,Ignacio Iglesias
8,Sat,10/14/2017,16:15 (14:15),Getafe,1@2,Real Madrid,"15,350",Coliseum Alfonso Pérez,Juan Martínez
8,Sat,10/14/2017,18:30 (16:30),Alavés,0@2,Real Sociedad,"19,840",Estadio de Mendizorroza,Alberola Rojas
8,Sat,10/14/2017,20:45 (18:45),Atlético Madrid,1@1,Barcelona,"64,393",Estadio Wanda Metropolitano,Antonio Matéu Lahoz
8,Sun,10/15/2017,12:00 (10:00),Eibar,0@0,La Coruña,"5,125",Estadio Municipal de Ipurúa,Santiago Jaime
8,Sun,10/15/2017,16:15 (14:15),Girona,1@2,Villarreal,"9,935",Estadi Municipal de Montilivi,Carlos del Cerro
8,Sun,10/15/2017,18:30 (16:30),Málaga,0@2,Leganés,"23,951",Estadio La Rosaleda,José González
8,Sun,10/15/2017,20:45 (18:45),Betis,3@6,Valencia,"48,792",Estadio Benito Villamarín,José Sánchez
8,Mon,10/16/2017,20:00 (19:00),Las Palmas,2@5,Celta Vigo,"15,799",Estadio de Gran Canaria,David Medié
9,Sat,10/21/2017,13:00 (11:00),Levante,1@1,Getafe,"18,064",Estadio Ciudad de Valencia,Ricardo de Burgos
9,Sat,10/21/2017,16:15 (14:15),Betis,2@0,Alavés,"49,243",Estadio Benito Villamarín,Daniel Trujillo
9,Sat,10/21/2017,18:30 (16:30),Valencia,4@0,Sevilla,"44,307",Estadio de Mestalla,Javier Estrada
9,Sat,10/21/2017,20:45 (18:45),Barcelona,2@0,Málaga,"74,397",Camp Nou,Pablo González
9,Sun,10/22/2017,12:00 (10:00),Villarreal,4@0,Las Palmas,"16,606",Estadio de la Cerámica,David Fernández
9,Sun,10/22/2017,16:15 (14:15),Celta Vigo,0@1,Atlético Madrid,"12,978",Estadio de Balaídos,José Munuera
9,Sun,10/22/2017,18:30 (16:30),Leganés,1@0,Athletic Club,"11,454",Estadio Municipal de Butarque,Antonio Matéu Lahoz
9,Sun,10/22/2017,20:45 (18:45),Real Madrid,3@0,Eibar,"66,781",Estadio Santiago Bernabéu,Alfonso Ãlvarez
9,Mon,10/23/2017,20:00 (18:00),Real Sociedad,1@1,Espanyol,"18,515",Estadio Municipal de Anoeta,Mario Melero
9,Mon,10/23/2017,21:00 (19:00),La Coruña,1@2,Girona,"17,463",Estadio Municipal de Riazor,Jesús Gil
10,Sat,10/28/2017,13:00 (11:00),Alavés,1@2,Valencia,"18,638",Estadio de Mendizorroza,José González
10,Sat,10/28/2017,18:30 (16:30),Atlético Madrid,1@1,Villarreal,"61,421",Estadio Wanda Metropolitano,Alberto Undiano
10,Sat,10/28/2017,20:45 (18:45),Athletic Club,0@2,Barcelona,"43,570",San Mamés,Juan Martínez
10,Sat,10/28/2017,22:30 (20:30),Sevilla,2@1,Leganés,"32,097",Estadio Ramón Sánchez Pizjuán,David Medié
10,Sun,10/29/2017,12:00 (11:00),Getafe,2@1,Real Sociedad,"11,010",Coliseum Alfonso Pérez,José Sánchez
10,Sun,10/29/2017,16:15 (15:15),Girona,2@1,Real Madrid,"13,382",Estadi Municipal de Montilivi,Alejandro Hernández
10,Sun,10/29/2017,18:30 (17:30),Eibar,2@2,Levante,"5,131",Estadio Municipal de Ipurúa,Alberola Rojas
10,Sun,10/29/2017,20:45 (19:45),Málaga,2@1,Celta Vigo,"19,541",Estadio La Rosaleda,Santiago Jaime
10,Mon,10/30/2017,20:00,Las Palmas,1@3,La Coruña,"14,805",Estadio de Gran Canaria,Carlos del Cerro
10,Mon,10/30/2017,21:00 (20:00),Espanyol,1@0,Betis,"17,856",RCDE Stadium,Ignacio Iglesias
11,Fri,11/3/2017,21:00 (20:00),Betis,2@2,Getafe,"42,323",Estadio Benito Villamarín,Antonio Matéu Lahoz
11,Sat,11/4/2017,13:00 (12:00),Valencia,3@0,Leganés,"39,694",Estadio de Mestalla,Ricardo de Burgos
11,Sat,11/4/2017,16:15 (15:15),La Coruña,0@1,Atlético Madrid,"22,733",Estadio Municipal de Riazor,Alfonso Ãlvarez
11,Sat,11/4/2017,18:30 (17:30),Alavés,1@0,Espanyol,"19,368",Estadio de Mendizorroza,Pablo González
11,Sat,11/4/2017,20:45 (19:45),Barcelona,2@1,Sevilla,"70,723",Camp Nou,José González
11,Sun,11/5/2017,12:00 (11:00),Levante,1@2,Girona,"18,324",Estadio Ciudad de Valencia,José Munuera
11,Sun,11/5/2017,16:15 (15:15),Celta Vigo,3@1,Athletic Club,"19,779",Estadio de Balaídos,Jesús Gil
11,Sun,11/5/2017,18:30 (17:30),Real Sociedad,3@1,Eibar,"20,387",Estadio Municipal de Anoeta,Daniel Trujillo
11,Sun,11/5/2017,18:30 (17:30),Villarreal,2@0,Málaga,"17,755",Estadio de la Cerámica,Javier Estrada
11,Sun,11/5/2017,20:45 (19:45),Real Madrid,3@0,Las Palmas,"67,120",Estadio Santiago Bernabéu,José Sánchez
12,Fri,11/17/2017,21:00 (20:00),Girona,1@1,Real Sociedad,"10,136",Estadi Municipal de Montilivi,Ignacio Iglesias
12,Sat,11/18/2017,13:00 (12:00),Getafe,4@1,Alavés,"10,014",Coliseum Alfonso Pérez,Santiago Jaime
12,Sat,11/18/2017,16:15 (15:15),Leganés,0@3,Barcelona,"11,454",Estadio Municipal de Butarque,Alberto Undiano
12,Sat,11/18/2017,18:30 (17:30),Sevilla,2@1,Celta Vigo,"35,030",Estadio Ramón Sánchez Pizjuán,Carlos del Cerro
12,Sat,11/18/2017,20:45 (19:45),Atlético Madrid,0@0,Real Madrid,"66,496",Estadio Wanda Metropolitano,David Fernández
12,Sun,11/19/2017,12:00 (11:00),Málaga,3@2,La Coruña,"24,563",Estadio La Rosaleda,Juan Martínez
12,Sun,11/19/2017,16:15 (15:15),Espanyol,0@2,Valencia,"25,529",RCDE Stadium,Alejandro Hernández
12,Sun,11/19/2017,17:30,Las Palmas,0@2,Levante,"26,212",Estadio de Gran Canaria,Mario Melero
12,Sun,11/19/2017,20:45 (19:45),Athletic Club,1@1,Villarreal,"36,666",San Mamés,David Medié
12,Mon,11/20/2017,21:00 (20:00),Eibar,5@0,Betis,"4,638",Estadio Municipal de Ipurúa,José González
13,Fri,11/24/2017,21:00 (20:00),Celta Vigo,1@0,Leganés,"10,611",Estadio de Balaídos,Alejandro Hernández
13,Sat,11/25/2017,13:00 (12:00),Alavés,1@2,Eibar,"19,272",Estadio de Mendizorroza,José Munuera
13,Sat,11/25/2017,16:15 (15:15),Real Madrid,3@2,Málaga,"75,671",Estadio Santiago Bernabéu,Jesús Gil
13,Sat,11/25/2017,18:30 (17:30),Betis,2@2,Girona,"45,681",Estadio Benito Villamarín,Carlos del Cerro
13,Sat,11/25/2017,20:45 (19:45),Levante,0@5,Atlético Madrid,"21,549",Estadio Ciudad de Valencia,Daniel Trujillo
13,Sun,11/26/2017,12:00 (11:00),La Coruña,2@2,Athletic Club,"20,879",Estadio Municipal de Riazor,José González
13,Sun,11/26/2017,16:15 (15:15),Real Sociedad,2@2,Las Palmas,"19,780",Estadio Municipal de Anoeta,Pablo González
13,Sun,11/26/2017,18:30 (17:30),Villarreal,2@3,Sevilla,"18,698",Estadio de la Cerámica,Alberola Rojas
13,Sun,11/26/2017,20:45 (19:45),Valencia,1@1,Barcelona,"47,775",Estadio de Mestalla,Ignacio Iglesias
13,Mon,11/27/2017,21:00 (20:00),Espanyol,1@0,Getafe,"11,756",RCDE Stadium,Juan Martínez
14,Fri,12/1/2017,21:00 (20:00),Málaga,0@0,Levante,"17,886",Estadio La Rosaleda,Ricardo de Burgos
14,Sat,12/2/2017,13:00 (12:00),Barcelona,2@2,Celta Vigo,"63,208",Camp Nou,Mario Melero
14,Sat,12/2/2017,16:15 (15:15),Atlético Madrid,2@1,Real Sociedad,"57,394",Estadio Wanda Metropolitano,Santiago Jaime
14,Sat,12/2/2017,18:30 (17:30),Sevilla,2@0,La Coruña,"32,017",Estadio Ramón Sánchez Pizjuán,José Sánchez
14,Sat,12/2/2017,20:45 (19:45),Athletic Club,0@0,Real Madrid,"44,884",San Mamés,Antonio Matéu Lahoz
14,Sun,12/3/2017,12:00 (11:00),Leganés,3@1,Villarreal,"10,017",Estadio Municipal de Butarque,David Fernández
14,Sun,12/3/2017,16:15 (15:15),Getafe,1@0,Valencia,"12,480",Coliseum Alfonso Pérez,David Medié
14,Sun,12/3/2017,18:30 (17:30),Eibar,3@1,Espanyol,"4,693",Estadio Municipal de Ipurúa,Alberto Undiano
14,Sun,12/3/2017,19:45,Las Palmas,1@0,Betis,"16,313",Estadio de Gran Canaria,Javier Estrada
14,Mon,12/4/2017,21:00 (20:00),Girona,2@3,Alavés,"7,316",Estadi Municipal de Montilivi,Alberola Rojas
15,Fri,12/8/2017,21:00 (20:00),Alavés,2@0,Las Palmas,"18,567",Estadio de Mendizorroza,David Medié
15,Sat,12/9/2017,13:00 (12:00),Getafe,0@0,Eibar,"9,317",Coliseum Alfonso Pérez,Alberola Rojas
15,Sat,12/9/2017,16:15 (15:15),Real Madrid,5@0,Sevilla,"76,924",Estadio Santiago Bernabéu,Juan Martínez
15,Sat,12/9/2017,18:30 (17:30),La Coruña,1@0,Leganés,"18,366",Estadio Municipal de Riazor,Mario Melero
15,Sat,12/9/2017,20:45 (19:45),Valencia,2@1,Celta Vigo,"35,633",Estadio de Mestalla,José Munuera
15,Sun,12/10/2017,12:00 (11:00),Real Sociedad,0@2,Málaga,"16,834",Estadio Municipal de Anoeta,Carlos del Cerro
15,Sun,12/10/2017,16:15 (15:15),Betis,0@1,Atlético Madrid,"45,517",Estadio Benito Villamarín,Alejandro Hernández
15,Sun,12/10/2017,18:30 (17:30),Levante,1@2,Athletic Club,"18,005",Estadio Ciudad de Valencia,Javier Estrada
15,Sun,12/10/2017,20:45 (19:45),Villarreal,0@2,Barcelona,"21,087",Estadio de la Cerámica,Ricardo de Burgos
15,Mon,12/11/2017,21:00 (20:00),Espanyol,0@1,Girona,"13,846",RCDE Stadium,José González
16,Fri,12/15/2017,21:00 (20:00),Sevilla,0@0,Levante,"25,934",Estadio Ramón Sánchez Pizjuán,Ignacio Iglesias
16,Sat,12/16/2017,16:15 (15:15),Athletic Club,0@0,Real Sociedad,"45,504",San Mamés,David Fernández
16,Sat,12/16/2017,18:30 (17:30),Eibar,2@1,Valencia,"5,219",Estadio Municipal de Ipurúa,Pablo González
16,Sat,12/16/2017,20:45 (19:45),Atlético Madrid,1@0,Alavés,"49,937",Estadio Wanda Metropolitano,Jesús Gil
16,Sun,12/17/2017,12:00 (11:00),Girona,1@0,Getafe,"10,095",Estadi Municipal de Montilivi,Alberto Undiano
16,Sun,12/17/2017,16:15 (15:15),Celta Vigo,0@1,Villarreal,"18,215",Estadio de Balaídos,Javier Estrada
16,Sun,12/17/2017,17:30,Las Palmas,2@2,Espanyol,"14,020",Estadio de Gran Canaria,José Sánchez
16,Sun,12/17/2017,20:45 (19:45),Barcelona,4@0,La Coruña,"53,607",Camp Nou,Antonio Matéu Lahoz
16,Mon,12/18/2017,21:00 (20:00),Málaga,0@2,Betis,"22,488",Estadio La Rosaleda,Alberola Rojas
17,Tue,12/19/2017,21:30 (20:30),Levante,0@0,Leganés,"14,639",Estadio Ciudad de Valencia,Santiago Jaime
17,Wed,12/20/2017,19:30 (18:30),Getafe,2@0,Las Palmas,"9,231",Coliseum Alfonso Pérez,Ricardo de Burgos
17,Wed,12/20/2017,21:30 (20:30),Real Sociedad,3@1,Sevilla,"17,205",Estadio Municipal de Anoeta,Alejandro Hernández
17,Thu,12/21/2017,19:30 (18:30),Eibar,4@1,Girona,"4,867",Estadio Municipal de Ipurúa,Ignacio Iglesias
17,Thu,12/21/2017,21:30 (20:30),Alavés,1@0,Málaga,"18,733",Estadio de Mendizorroza,Alfonso Ãlvarez
17,Fri,12/22/2017,19:30 (18:30),Betis,0@2,Athletic Club,"42,713",Estadio Benito Villamarín,Juan Martínez
17,Fri,12/22/2017,21:30 (20:30),Espanyol,1@0,Atlético Madrid,"19,327",RCDE Stadium,Mario Melero
17,Sat,12/23/2017,13:00 (12:00),Real Madrid,0@3,Barcelona,"80,264",Estadio Santiago Bernabéu,José Sánchez
17,Sat,12/23/2017,16:15 (15:15),Valencia,0@1,Villarreal,"39,181",Estadio de Mestalla,Daniel Trujillo
17,Sat,12/23/2017,18:30 (17:30),La Coruña,1@3,Celta Vigo,"27,877",Estadio Municipal de Riazor,Alberto Undiano
18,Sat,1/6/2018,13:00 (12:00),Atlético Madrid,2@0,Getafe,"47,023",Estadio Wanda Metropolitano,José Munuera
18,Sat,1/6/2018,16:15 (15:15),Valencia,2@1,Girona,"27,749",Estadio de Mestalla,David Fernández
18,Sat,1/6/2018,17:30,Las Palmas,1@2,Eibar,"12,059",Estadio de Gran Canaria,José González
18,Sat,1/6/2018,20:45 (19:45),Sevilla,3@5,Betis,"40,282",Estadio Ramón Sánchez Pizjuán,Jesús Gil
18,Sun,1/7/2018,12:00 (11:00),Leganés,1@0,Real Sociedad,"7,523",Estadio Municipal de Butarque,Javier Estrada
18,Sun,1/7/2018,16:15 (15:15),Barcelona,3@0,Levante,"56,380",Camp Nou,Carlos del Cerro
18,Sun,1/7/2018,18:30 (17:30),Villarreal,1@1,La Coruña,"15,442",Estadio de la Cerámica,David Medié
18,Sun,1/7/2018,18:30 (17:30),Athletic Club,2@0,Alavés,"41,000",San Mamés,Pablo González
18,Sun,1/7/2018,20:45 (19:45),Celta Vigo,2@2,Real Madrid,"20,872",Estadio de Balaídos,Santiago Jaime
18,Mon,1/8/2018,21:00 (20:00),Málaga,0@1,Espanyol,"12,149",Estadio La Rosaleda,Antonio Matéu Lahoz
19,Fri,1/12/2018,21:00 (20:00),Getafe,1@0,Málaga,"9,513",Coliseum Alfonso Pérez,Juan Martínez
19,Sat,1/13/2018,13:00 (12:00),Girona,6@0,Las Palmas,"10,037",Estadi Municipal de Montilivi,Mario Melero
19,Sat,1/13/2018,16:15 (15:15),Real Madrid,0@1,Villarreal,"63,403",Estadio Santiago Bernabéu,Alberto Undiano
19,Sat,1/13/2018,18:30 (17:30),Eibar,0@1,Atlético Madrid,"6,186",Estadio Municipal de Ipurúa,Antonio Matéu Lahoz
19,Sat,1/13/2018,20:45 (19:45),La Coruña,1@2,Valencia,"19,031",Estadio Municipal de Riazor,Alberola Rojas
19,Sun,1/14/2018,12:00 (11:00),Levante,0@1,Celta Vigo,"17,007",Estadio Ciudad de Valencia,Alfonso Ãlvarez
19,Sun,1/14/2018,16:15 (15:15),Alavés,1@0,Sevilla,"19,413",Estadio de Mendizorroza,José Sánchez
19,Sun,1/14/2018,18:30 (17:30),Espanyol,1@1,Athletic Club,"20,228",RCDE Stadium,Daniel Trujillo
19,Sun,1/14/2018,20:45 (19:45),Real Sociedad,2@4,Barcelona,"23,277",Estadio Municipal de Anoeta,José González
19,Mon,1/15/2018,21:00 (20:00),Betis,3@2,Leganés,"41,777",Estadio Benito Villamarín,Ignacio Iglesias
20,Fri,1/19/2018,21:00 (20:00),Getafe,2@2,Athletic Club,"11,457",Coliseum Alfonso Pérez,Jesús Gil
20,Sat,1/20/2018,13:00 (12:00),Espanyol,0@3,Sevilla,"19,607",RCDE Stadium,Alberto Undiano
20,Sat,1/20/2018,16:15 (15:15),Atlético Madrid,1@1,Girona,"55,076",Estadio Wanda Metropolitano,Ricardo de Burgos
20,Sat,1/20/2018,18:30 (17:30),Villarreal,2@1,Levante,"16,773",Estadio de la Cerámica,José González
20,Sat,1/20/2018,19:45,Las Palmas,2@1,Valencia,"20,242",Estadio de Gran Canaria,José Munuera
20,Sun,1/21/2018,12:00 (11:00),Alavés,2@2,Leganés,"19,637",Estadio de Mendizorroza,Daniel Trujillo
20,Sun,1/21/2018,16:15 (15:15),Real Madrid,7@1,La Coruña,"63,504",Estadio Santiago Bernabéu,David Fernández
20,Sun,1/21/2018,18:30 (17:30),Real Sociedad,1@2,Celta Vigo,"19,081",Estadio Municipal de Anoeta,Antonio Matéu Lahoz
20,Sun,1/21/2018,20:45 (19:45),Betis,0@5,Barcelona,"53,426",Estadio Benito Villamarín,Santiago Jaime
20,Mon,1/22/2018,21:00 (20:00),Eibar,1@1,Málaga,"4,520",Estadio Municipal de Ipurúa,David Medié
21,Fri,1/26/2018,21:00 (20:00),Athletic Club,1@1,Eibar,"39,331",San Mamés,Mario Melero
21,Sat,1/27/2018,13:00 (12:00),La Coruña,2@2,Levante,"19,973",Estadio Municipal de Riazor,Pablo González
21,Sat,1/27/2018,16:15 (15:15),Valencia,1@4,Real Madrid,"47,034",Estadio de Mestalla,Javier Estrada
21,Sat,1/27/2018,18:30 (17:30),Málaga,0@0,Girona,"22,125",Estadio La Rosaleda,Alberto Undiano
21,Sat,1/27/2018,20:45 (19:45),Villarreal,4@2,Real Sociedad,"15,052",Estadio de la Cerámica,Carlos del Cerro
21,Sun,1/28/2018,12:00 (11:00),Leganés,3@2,Espanyol,"10,132",Estadio Municipal de Butarque,Juan Martínez
21,Sun,1/28/2018,16:15 (15:15),Atlético Madrid,3@0,Las Palmas,"55,363",Estadio Wanda Metropolitano,Alfonso Ãlvarez
21,Sun,1/28/2018,18:30 (17:30),Sevilla,1@1,Getafe,"34,011",Estadio Ramón Sánchez Pizjuán,Alberola Rojas
21,Sun,1/28/2018,20:45 (19:45),Barcelona,2@1,Alavés,"62,369",Camp Nou,Ignacio Iglesias
21,Mon,1/29/2018,21:00 (20:00),Celta Vigo,3@2,Betis,"14,667",Estadio de Balaídos,José Sánchez
22,Fri,2/2/2018,21:00 (20:00),Real Sociedad,5@0,La Coruña,"15,626",Estadio Municipal de Anoeta,Alberto Undiano
