Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee
1,Fri,8/16/2019,21:00 (19:00),Athletic Club,1@0,Barcelona,"47,693",San Mamés,Carlos del Cerro
1,Sat,8/17/2019,17:00 (15:00),Celta Vigo,1@3,Real Madrid,"23,566",Estadio de Balaídos,Javier Estrada
1,Sat,8/17/2019,19:00 (17:00),Valencia,1@1,Real Sociedad,"41,846",Estadio de Mestalla,Jesús Gil
1,Sat,8/17/2019,20:00 (18:00),Mallorca,2@1,Eibar,"15,127",Iberostar Estadi,Mario Melero
1,Sat,8/17/2019,21:00 (19:00),Villarreal,4@4,Granada,"14,753",Estadio de la Cerámica,Adrián Cordero
1,Sat,8/17/2019,21:00 (19:00),Leganés,0@1,Osasuna,"10,020",Estadio Municipal de Butarque,Alberola Rojas
1,Sun,8/18/2019,17:00 (15:00),Alavés,1@0,Levante,"12,029",Estadio de Mendizorroza,César Soto
1,Sun,8/18/2019,19:00 (17:00),Espanyol,0@2,Sevilla,"19,832",RCDE Stadium,Juan Martínez
1,Sun,8/18/2019,21:00 (19:00),Betis,1@2,Valladolid,"51,497",Estadio Benito Villamarín,Santiago Jaime
1,Sun,8/18/2019,22:00 (20:00),Atlético Madrid,1@0,Getafe,"55,099",Estadio Wanda Metropolitano,Guillermo Cuadra
2,Fri,8/23/2019,20:00 (18:00),Granada,0@1,Sevilla,"15,849",Estadio Nuevo Los Cármenes,José Sánchez
2,Fri,8/23/2019,22:00 (20:00),Levante,2@1,Villarreal,"20,240",Estadio Ciudad de Valencia,José Luis Munuera
2,Sat,8/24/2019,17:00 (15:00),Osasuna,0@0,Eibar,"13,978",Estadio El Sadar,David Medié
2,Sat,8/24/2019,19:00 (17:00),Real Madrid,1@1,Valladolid,"63,037",Estadio Santiago Bernabéu,Pablo González
2,Sat,8/24/2019,21:00 (19:00),Celta Vigo,1@0,Valencia,"20,034",Estadio de Balaídos,Alejandro Hernández
2,Sat,8/24/2019,21:00 (19:00),Getafe,1@1,Athletic Club,"10,103",Coliseum Alfonso Pérez,Antonio Matéu Lahoz
2,Sun,8/25/2019,17:00 (15:00),Alavés,0@0,Espanyol,"14,567",Estadio de Mendizorroza,Eduardo Prieto
2,Sun,8/25/2019,17:00 (15:00),Mallorca,0@1,Real Sociedad,"18,028",Iberostar Estadi,Valentín Pizarro
2,Sun,8/25/2019,19:00 (17:00),Leganés,0@1,Atlético Madrid,"11,742",Estadio Municipal de Butarque,Ricardo de Burgos
2,Sun,8/25/2019,21:00 (19:00),Barcelona,5@2,Betis,"79,159",Camp Nou,José González
