Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee
1,Sat,9/12/2020,16:00 (14:00),Eibar,0@0,Celta Vigo,,Estadio Municipal de Ipurúa,Valentín Pizarro
1,Sat,9/12/2020,18:30 (16:30),Granada,2@0,Athletic Club,,Estadio Nuevo Los Cármenes,Antonio Matéu Lahoz
1,Sat,9/12/2020,21:00 (19:00),Cádiz,0@2,Osasuna,,Estadio Nuevo Mirandilla,Isidro Díaz de Mera
1,Sun,9/13/2020,14:00 (12:00),Alavés,0@1,Betis,,Estadio de Mendizorroza,Pablo González
1,Sun,9/13/2020,16:00 (14:00),Valladolid,1@1,Real Sociedad,,Estadio Municipal José Zorrilla,Mario Melero
1,Sun,9/13/2020,18:30 (16:30),Villarreal,1@1,Huesca,,Estadio de la Cerámica,Javier Estrada
1,Sun,9/13/2020,21:00 (19:00),Valencia,4@2,Levante,,Estadio de Mestalla,José Sánchez
2,Sat,9/19/2020,16:00 (14:00),Villarreal,2@1,Eibar,,Estadio de la Cerámica,Jorge Figueroa
2,Sat,9/19/2020,18:30 (16:30),Getafe,1@0,Osasuna,,Coliseum Alfonso Pérez,Alejandro Hernández
2,Sat,9/19/2020,21:00 (19:00),Celta Vigo,2@1,Valencia,,Estadio de Balaídos,Jesús Gil
2,Sun,9/20/2020,16:00 (14:00),Huesca,0@2,Cádiz,,Estadio El Alcoraz,César Soto
2,Sun,9/20/2020,18:30 (16:30),Betis,2@0,Valladolid,,Estadio Benito Villamarín,Santiago Jaime
2,Sun,9/20/2020,18:30 (16:30),Granada,2@1,Alavés,,Estadio Nuevo Los Cármenes,Carlos del Cerro
2,Sun,9/20/2020,21:00 (19:00),Real Sociedad,0@0,Real Madrid,,Estadio Municipal de Anoeta,Juan Martínez
3,Sat,9/26/2020,13:00 (11:00),Alavés,0@0,Getafe,,Estadio de Mendizorroza,Alberola Rojas
3,Sat,9/26/2020,16:00 (14:00),Valencia,1@1,Huesca,,Estadio de Mestalla,José Luis Munuera
3,Sat,9/26/2020,18:30 (16:30),Elche,0@3,Real Sociedad,,Estadio Manuel Martínez Valero,Isidro Díaz de Mera
3,Sat,9/26/2020,21:00 (19:00),Betis,2@3,Real Madrid,,Estadio Benito Villamarín,Ricardo de Burgos
3,Sun,9/27/2020,12:00 (10:00),Osasuna,1@3,Levante,,Estadio El Sadar,Mario Melero
3,Sun,9/27/2020,14:00 (12:00),Eibar,1@2,Athletic Club,,Estadio Municipal de Ipurúa,Adrián Cordero
3,Sun,9/27/2020,16:00 (14:00),Atlético Madrid,6@1,Granada,,Estadio Wanda Metropolitano,Javier Estrada
3,Sun,9/27/2020,18:30 (16:30),Valladolid,1@1,Celta Vigo,,Estadio Municipal José Zorrilla,José Sánchez
3,Sun,9/27/2020,18:30 (16:30),Cádiz,1@3,Sevilla,,Estadio Nuevo Mirandilla,David Medié
3,Sun,9/27/2020,21:00 (19:00),Barcelona,4@0,Villarreal,,Camp Nou,Guillermo Cuadra
4,Tue,9/29/2020,19:00 (17:00),Real Sociedad,0@1,Valencia,,Estadio Municipal de Anoeta,Jorge Figueroa
4,Tue,9/29/2020,21:30 (19:30),Getafe,3@0,Betis,,Coliseum Alfonso Pérez,Juan Martínez
4,Wed,9/30/2020,19:00 (17:00),Huesca,0@0,Atlético Madrid,,Estadio El Alcoraz,Adrián Cordero
4,Wed,9/30/2020,19:00 (17:00),Villarreal,3@1,Alavés,,Estadio de la Cerámica,David Medié
4,Wed,9/30/2020,21:30 (19:30),Eibar,0@1,Elche,,Estadio Municipal de Ipurúa,Santiago Jaime
4,Wed,9/30/2020,21:30 (19:30),Real Madrid,1@0,Valladolid,,Estadio Alfredo Di Stéfano,César Soto
4,Thu,10/1/2020,19:00 (17:00),Athletic Club,0@1,Cádiz,,San Mamés,Pablo González
4,Thu,10/1/2020,19:00 (17:00),Sevilla,1@0,Levante,,Estadio Ramón Sánchez Pizjuán,Javier Estrada
4,Thu,10/1/2020,21:30 (19:30),Celta Vigo,0@3,Barcelona,,Estadio de Balaídos,Carlos del Cerro
5,Sat,10/3/2020,13:00 (11:00),Valladolid,1@2,Eibar,,Estadio Municipal José Zorrilla,Isidro Díaz de Mera
5,Sat,10/3/2020,16:00 (14:00),Atlético Madrid,0@0,Villarreal,,Estadio Wanda Metropolitano,Alejandro Hernández
5,Sat,10/3/2020,18:30 (16:30),Real Sociedad,3@0,Getafe,,Estadio Municipal de Anoeta,Antonio Matéu Lahoz
5,Sat,10/3/2020,18:30 (16:30),Elche,0@0,Huesca,,Estadio Manuel Martínez Valero,Mario Melero
5,Sat,10/3/2020,21:00 (19:00),Valencia,0@2,Betis,,Estadio de Mestalla,Guillermo Cuadra
5,Sun,10/4/2020,12:00 (10:00),Osasuna,2@0,Celta Vigo,,Estadio El Sadar,Ricardo de Burgos
5,Sun,10/4/2020,14:00 (12:00),Alavés,1@0,Athletic Club,,Estadio de Mendizorroza,José Sánchez
5,Sun,10/4/2020,16:00 (14:00),Levante,0@2,Real Madrid,,Estadio Ciudad de Valencia,José Luis Munuera
5,Sun,10/4/2020,18:30 (16:30),Cádiz,1@1,Granada,,Estadio Nuevo Mirandilla,Alberola Rojas
5,Sun,10/4/2020,21:00 (19:00),Barcelona,1@1,Sevilla,,Camp Nou,Jesús Gil
6,Sat,10/17/2020,13:00 (11:00),Granada,1@0,Sevilla,,Estadio Nuevo Los Cármenes,Pablo González
6,Sat,10/17/2020,16:00 (14:00),Celta Vigo,0@2,Atlético Madrid,,Estadio de Balaídos,Juan Martínez
6,Sat,10/17/2020,18:30 (16:30),Real Madrid,0@1,Cádiz,,Estadio Alfredo Di Stéfano,Santiago Jaime
6,Sat,10/17/2020,21:00 (19:00),Getafe,1@0,Barcelona,,Coliseum Alfonso Pérez,César Soto
6,Sun,10/18/2020,12:00 (10:00),Eibar,0@0,Osasuna,,Estadio Municipal de Ipurúa,David Medié
6,Sun,10/18/2020,14:00 (12:00),Athletic Club,2@0,Levante,,San Mamés,Alberola Rojas
6,Sun,10/18/2020,16:00 (14:00),Villarreal,2@1,Valencia,,Estadio de la Cerámica,Carlos del Cerro
6,Sun,10/18/2020,18:30 (16:30),Huesca,2@2,Valladolid,,Estadio El Alcoraz,Jorge Figueroa
6,Sun,10/18/2020,18:30 (16:30),Alavés,0@2,Elche,,Estadio de Mendizorroza,Adrián Cordero
6,Sun,10/18/2020,21:00 (19:00),Betis,0@3,Real Sociedad,,Estadio Benito Villamarín,Javier Estrada
7,Fri,10/23/2020,21:00 (19:00),Elche,2@1,Valencia,,Estadio Manuel Martínez Valero,César Soto
7,Sat,10/24/2020,16:00 (14:00),Barcelona,1@3,Real Madrid,,Camp Nou,Juan Martínez
7,Sat,10/24/2020,18:30 (16:30),Sevilla,0@1,Eibar,,Estadio Ramón Sánchez Pizjuán,Alejandro Hernández
7,Sat,10/24/2020,18:30 (16:30),Osasuna,1@0,Athletic Club,,Estadio El Sadar,Guillermo Cuadra
7,Sat,10/24/2020,21:00 (19:00),Atlético Madrid,2@0,Betis,,Estadio Wanda Metropolitano,Antonio Matéu Lahoz
7,Sun,10/25/2020,14:00 (13:00),Valladolid,0@2,Alavés,,Estadio Municipal José Zorrilla,José Luis Munuera
7,Sun,10/25/2020,16:00 (15:00),Cádiz,0@0,Villarreal,,Estadio Nuevo Mirandilla,Ricardo de Burgos
7,Sun,10/25/2020,18:30 (17:30),Getafe,0@1,Granada,,Coliseum Alfonso Pérez,Jesús Gil
7,Sun,10/25/2020,21:00 (20:00),Real Sociedad,4@1,Huesca,,Estadio Municipal de Anoeta,Isidro Díaz de Mera
7,Mon,10/26/2020,21:00 (20:00),Levante,1@1,Celta Vigo,,Estadio Ciudad de Valencia,Mario Melero
8,Fri,10/30/2020,21:00 (20:00),Eibar,0@2,Cádiz,,Estadio Municipal de Ipurúa,Antonio Matéu Lahoz
8,Sat,10/31/2020,14:00 (13:00),Real Madrid,4@1,Huesca,,Estadio Alfredo Di Stéfano,Pablo González
8,Sat,10/31/2020,16:15 (15:15),Athletic Club,2@1,Sevilla,,San Mamés,Carlos del Cerro
