,,,Total,,,,Short,,,Medium,,,Long,,
Squad,# Pl,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%
Alavés,30,10216,14388,71,196775,86618,4463,5484,81.4,4016,5139,78.1,1482,2923,50.7
Athletic Club,27,13578,17842,76.1,251138,91455,5873,6901,85.1,5483,6607,83,1792,3120,57.4
Atlético Madrid,25,16757,20680,81,276506,95006,8278,9219,89.8,5931,6995,84.8,1653,2869,57.6
Barcelona,25,25192,28488,88.4,384110,119162,13304,14257,93.3,9056,9893,91.5,1599,2287,69.9
Betis,25,15814,19679,80.4,273397,94323,7403,8309,89.1,6096,7037,86.6,1672,3002,55.7
Cádiz,34,7949,12067,65.9,158876,72261,3244,4091,79.3,3064,4071,75.3,1319,2992,44.1
Celta Vigo,30,15176,19318,78.6,263064,91362,6912,7946,87,6117,7188,85.1,1552,2914,53.3
Eibar,30,11810,16890,69.9,234607,92610,4840,5844,82.8,4584,5965,76.8,2002,4026,49.7
Elche,30,13481,17054,79,244074,94223,6028,6753,89.3,5307,6190,85.7,1652,3000,55.1
Getafe,31,8977,13863,64.8,170990,76314,4043,5155,78.4,3111,4340,71.7,1417,3219,44
Granada,34,9083,13336,68.1,173761,74261,3915,4776,82,3574,4629,77.2,1288,2951,43.6
Huesca,27,13507,17480,77.3,250921,87988,5692,6487,87.7,5785,6817,84.9,1679,3200,52.5
Levante,29,14190,18116,78.3,257005,95987,6356,7202,88.3,5760,6804,84.7,1694,3076,55.1
Osasuna,28,10233,15031,68.1,201353,91554,4401,5541,79.4,3869,5149,75.1,1649,3329,49.5
Real Madrid,30,20652,24119,85.6,352965,111433,9790,10620,92.2,7728,8593,89.9,2214,3224,68.7
Real Sociedad,30,14915,18995,78.5,264692,91978,6592,7589,86.9,6282,7368,85.3,1582,2840,55.7
Sevilla,26,19248,22873,84.2,342985,106477,8654,9471,91.4,7775,8720,89.2,2190,3442,63.6
Valencia,30,12755,16480,77.4,241622,89224,5332,6142,86.8,5304,6236,85.1,1735,3073,56.5
Valladolid,32,11145,15385,72.4,206106,80273,4972,5863,84.8,4299,5283,81.4,1489,3187,46.7
Villarreal,29,17508,21129,82.9,305401,104839,8074,8963,90.1,7097,8015,88.5,1788,2857,62.6
