,,,Total,,,,Short,,,Medium,,,Long,,
Squad,# Pl,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%
Alavés,30,9696,13876,69.9,183001,81738,4360,5314,82,3564,4667,76.4,1462,3022,48.4
Athletic Club,26,13195,17614,74.9,263112,100472,5336,6360,83.9,5379,6582,81.7,2185,3745,58.3
Atlético Madrid,26,14484,18580,78,247036,94145,7240,8251,87.7,5003,6032,82.9,1640,3052,53.7
Barcelona,25,22147,25740,86,363858,121356,11075,12080,91.7,8023,8966,89.5,2132,3013,70.8
Betis,29,17953,21622,83,317892,104640,8266,9140,90.4,7380,8393,87.9,1914,3161,60.6
Celta Vigo,23,16981,21071,80.6,315102,108758,7248,8226,88.1,7245,8294,87.4,2110,3577,59
Eibar,27,12725,17961,70.8,260469,98607,5088,6219,81.8,4938,6299,78.4,2360,4474,52.7
Espanyol,25,12753,17192,74.2,233640,90375,5919,6877,86.1,4810,5905,81.5,1687,3420,49.3
Getafe,32,8531,13193,64.7,168980,76722,3726,4705,79.2,2960,4155,71.2,1522,3394,44.8
Girona,25,11843,16037,73.8,235816,90641,5017,5865,85.5,4565,5639,81,1992,3751,53.1
La Coruña,32,12784,16975,75.3,238482,93142,5792,6770,85.6,4835,5966,81,1822,3322,54.8
Las Palmas,36,15824,19788,80,270274,100095,7765,8727,89,5854,6917,84.6,1657,2998,55.3
Leganés,28,10383,14887,69.7,193942,83790,4971,5989,83,3631,4767,76.2,1500,3243,46.3
Levante,33,10715,14768,72.6,200058,84430,4844,5740,84.4,4091,5116,80,1493,3025,49.4
Málaga,37,11424,15769,72.4,215599,89939,5144,6089,84.5,4252,5405,78.7,1693,3361,50.4
Real Madrid,24,20954,24496,85.5,358580,120193,10538,11420,92.3,7559,8541,88.5,2276,3309,68.8
Real Sociedad,27,16973,20838,81.5,305625,106575,7580,8448,89.7,6886,7927,86.9,2025,3358,60.3
Sevilla,31,16366,20571,79.6,280400,106964,8011,9021,88.8,6228,7404,84.1,1648,2973,55.4
Valencia,25,14289,18004,79.4,262220,98479,6215,7101,87.5,6045,7114,85,1688,2915,57.9
Villarreal,32,14995,18797,79.8,271848,102272,6901,7805,88.4,5966,7033,84.8,1827,3099,59
