,,,Tackles,,,,,Vs Dribbles,,,,Blocks,,,,,,
Squad,# Pl,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Alavés,26,38,646,389,352,228,66,254,595,42.7,341,419,117,302,390,1036,1066,13
Athletic Club,27,38,643,384,311,245,87,245,646,37.9,401,414,93,321,453,1096,815,7
Atlético Madrid,29,38,784,487,402,298,84,319,700,45.6,381,374,94,280,463,1247,837,12
Barcelona,30,38,537,346,218,232,87,226,492,45.9,266,360,101,259,391,928,565,16
Betis,25,38,615,378,309,227,79,219,544,40.3,325,382,80,302,361,976,702,21
Celta Vigo,28,38,634,377,364,213,57,258,562,45.9,304,380,105,275,382,1016,889,19
Eibar,25,38,637,424,238,289,110,240,563,42.6,323,357,53,304,368,1005,683,10
Espanyol,25,38,655,394,324,244,87,263,684,38.5,421,402,134,268,408,1063,950,14
Getafe,26,38,604,358,246,281,77,255,617,41.3,362,422,81,341,453,1057,888,15
Girona,26,38,613,367,309,247,57,264,636,41.5,372,401,124,277,432,1045,928,14
Huesca,30,38,712,452,363,290,59,303,694,43.7,391,414,107,307,440,1152,953,12
Leganés,29,38,609,382,325,221,63,227,581,39.1,354,329,84,245,432,1041,907,10
Levante,26,38,572,372,308,196,68,264,722,36.6,458,455,151,304,422,994,842,12
Rayo Vallecano,29,38,651,422,369,223,59,257,592,43.4,335,388,77,311,433,1084,931,16
Real Madrid,27,38,626,395,267,253,106,245,629,39,384,374,78,296,373,999,602,11
Real Sociedad,30,38,579,344,299,219,61,248,584,42.5,336,444,109,335,425,1004,842,19
Sevilla,27,38,598,408,288,237,73,203,513,39.6,310,370,114,256,365,963,817,15
Valencia,25,38,598,384,299,228,71,238,588,40.5,350,447,120,327,418,1016,860,12
Valladolid,28,38,714,441,369,265,80,280,678,41.3,398,413,113,300,387,1101,874,16
Villarreal,26,38,667,413,333,255,79,273,659,41.4,386,406,142,264,390,1057,877,12
