,,,Tackles,,,,,Vs Dribbles,,,,Blocks,,,,,,
Squad,# Pl,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Alavés,32,38,579,346,261,265,53,255,619,41.2,364,385,114,271,392,971,766,7
Athletic Club,26,38,533,324,262,204,67,217,613,35.4,396,339,92,247,373,906,755,7
Atlético Madrid,30,38,658,406,293,272,93,283,640,44.2,357,380,108,272,412,1070,729,18
Barcelona,28,38,536,323,216,223,97,211,501,42.1,290,313,87,226,342,878,529,16
Betis,27,38,501,299,276,173,52,221,511,43.2,290,336,119,217,302,803,682,8
Celta Vigo,30,38,589,357,344,193,52,251,615,40.8,364,345,89,256,396,985,807,12
Eibar,26,38,567,338,240,228,99,264,607,43.5,343,332,81,251,430,997,692,8
Espanyol,31,38,628,364,303,253,72,257,701,36.7,444,380,96,284,360,988,731,17
Getafe,30,38,580,341,235,263,82,235,573,41,338,374,60,314,367,947,625,12
Granada,27,38,584,348,257,257,70,238,570,41.8,332,375,118,257,385,969,750,10
Leganés,29,38,603,357,317,215,71,254,610,41.6,356,320,73,247,418,1021,687,7
Levante,29,38,507,288,281,173,53,204,532,38.3,328,317,107,210,331,838,763,14
Mallorca,32,38,545,338,280,213,52,227,602,37.7,375,360,117,243,376,921,672,9
Osasuna,31,38,613,361,275,267,71,267,617,43.3,350,385,98,287,417,1030,738,19
Real Madrid,26,38,586,355,252,253,81,226,595,38,369,367,77,290,381,967,590,13
Real Sociedad,27,38,551,321,254,224,73,252,573,44,321,346,79,267,320,871,694,12
Sevilla,26,38,587,344,274,246,67,261,661,39.5,400,331,94,237,346,933,704,10
Valencia,28,38,500,311,270,173,57,232,589,39.4,357,334,130,204,360,860,748,12
Valladolid,30,38,568,327,316,204,48,239,672,35.6,433,391,112,279,390,958,749,13
Villarreal,25,38,553,323,250,239,64,218,602,36.2,384,362,116,246,339,892,814,12
