,,,Standard,,,,,,,,,,,
Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt
Almería,28,,43,,150,,,3.95,,0.23,,,8,8
Athletic Club,24,,65,,203,,,5.34,,0.3,,,4,7
Atlético Madrid,25,,74,,212,,,5.58,,0.32,,,6,10
Barcelona,25,,96,,290,,,7.63,,0.29,,,11,13
Betis,33,,35,,185,,,4.87,,0.18,,,1,4
Celta Vigo,26,,47,,187,,,4.92,,0.24,,,2,3
Elche,28,,30,,137,,,3.61,,0.19,,,4,6
Espanyol,24,,40,,140,,,3.68,,0.25,,,5,6
Getafe,28,,34,,144,,,3.79,,0.22,,,2,3
Granada,26,,31,,140,,,3.68,,0.2,,,3,6
Levante,28,,33,,125,,,3.29,,0.23,,,4,8
Málaga,28,,39,,164,,,4.32,,0.23,,,2,3
Osasuna,25,,31,,147,,,3.87,,0.21,,,0,0
Rayo Vallecano,30,,45,,186,,,4.89,,0.2,,,7,9
Real Madrid,25,,103,,315,,,8.29,,0.31,,,6,6
Real Sociedad,27,,59,,205,,,5.39,,0.28,,,2,2
Sevilla,31,,68,,183,,,4.82,,0.33,,,7,10
Valencia,31,,51,,185,,,4.87,,0.26,,,2,3
Valladolid,25,,37,,135,,,3.55,,0.27,,,1,2
Villarreal,25,,58,,174,,,4.58,,0.3,,,5,6
