,,,Standard,,,,,,,,,,,
Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt
Alavés,33,38,29,380,110,28.9,10,2.89,0.06,0.21,17.7,13,6,7
Athletic Club,26,38,40,463,149,32.2,12.18,3.92,0.08,0.25,16.1,10,3,7
Atlético Madrid,26,38,63,459,150,32.7,12.08,3.95,0.13,0.39,17.3,9,4,5
Barcelona,38,38,68,520,178,34.2,13.68,4.68,0.12,0.35,16.4,15,6,7
Betis,31,38,61,513,181,35.3,13.5,4.76,0.11,0.3,17.7,20,6,6
Cádiz,33,38,35,409,120,29.3,10.76,3.16,0.08,0.27,17.3,13,3,6
Celta Vigo,25,38,43,407,135,33.2,10.71,3.55,0.1,0.3,17.7,14,3,6
Elche,28,38,39,336,106,31.5,8.84,2.79,0.11,0.36,17.4,9,1,1
Espanyol,34,38,39,402,129,32.1,10.58,3.39,0.08,0.26,18.9,24,5,5
Getafe,31,38,32,404,111,27.5,10.63,2.92,0.07,0.26,19.9,29,3,5
Granada,32,38,43,425,131,30.8,11.18,3.45,0.09,0.31,18.6,12,3,5
Levante,31,38,51,431,144,33.4,11.34,3.79,0.1,0.3,17.3,14,8,13
Mallorca,33,38,33,441,129,29.3,11.61,3.39,0.06,0.21,18.9,23,6,7
Osasuna,29,38,37,425,114,26.8,11.18,3,0.07,0.27,18.9,10,6,8
Rayo Vallecano,28,38,38,501,134,26.7,13.18,3.53,0.07,0.25,17.9,27,4,4
Real Madrid,31,38,80,652,240,36.8,17.16,6.32,0.11,0.3,18.3,20,8,12
Real Sociedad,32,38,40,437,142,32.5,11.5,3.74,0.07,0.22,16.6,18,9,11
Sevilla,33,38,51,433,141,32.6,11.39,3.71,0.11,0.35,16.3,9,2,3
Valencia,34,38,45,394,127,32.2,10.37,3.34,0.09,0.29,18.4,18,8,9
Villarreal,29,38,62,455,164,36,11.97,4.32,0.13,0.35,14.8,8,5,6
