,,,Standard,,,,,,,,,,,
Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt
Athletic Club,25,38,57,456,163,35.7,12,4.29,0.12,0.33,,,3,5
Atlético Madrid,25,38,62,478,166,34.7,12.58,4.37,0.13,0.37,,,1,2
Barcelona,25,38,109,605,266,44,15.92,7,0.16,0.37,,,11,19
Betis,29,38,34,397,126,31.7,10.45,3.32,0.08,0.25,,,3,4
Celta Vigo,27,38,50,443,155,35,11.66,4.08,0.1,0.3,,,4,5
Eibar,28,38,47,420,155,36.9,11.05,4.08,0.1,0.26,,,6,8
Espanyol,26,38,38,392,148,37.8,10.32,3.89,0.09,0.25,,,1,3
Getafe,27,38,36,441,149,33.8,11.61,3.92,0.08,0.23,,,1,2
Granada,28,38,45,431,131,30.4,11.34,3.45,0.09,0.29,,,7,7
La Coruña,25,38,41,455,157,34.5,11.97,4.13,0.09,0.25,,,1,1
Las Palmas,27,38,42,420,163,38.8,11.05,4.29,0.09,0.23,,,4,5
Levante,27,38,36,432,142,32.9,11.37,3.74,0.08,0.24,,,2,2
Málaga,30,38,37,452,167,36.9,11.89,4.39,0.08,0.21,,,2,4
Rayo Vallecano,29,38,52,504,179,35.5,13.26,4.71,0.1,0.28,,,2,3
Real Madrid,24,38,108,712,289,40.6,18.74,7.61,0.14,0.35,,,6,9
Real Sociedad,27,38,44,455,157,34.5,11.97,4.13,0.09,0.27,,,1,1
Sevilla,33,38,50,460,182,39.6,12.11,4.79,0.1,0.24,,,6,7
Sporting Gijón,28,38,39,374,122,32.6,9.84,3.21,0.1,0.31,,,1,2
Valencia,30,38,42,405,140,34.6,10.66,3.68,0.09,0.27,,,4,5
Villarreal,26,38,42,340,133,39.1,8.95,3.5,0.11,0.29,,,3,3
