,,,,,,,Total,,,,Short,,,Medium,,,Long,,
Rk,Player,Nation,Pos,Squad,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%
556,Vitolo,es ESP,"FW,MF",Atlético Madrid,13.6,431,535,80.6,4952,1383,259,300,86.3,88,108,81.5,14,17,82.4
557,Šime Vrsaljko,hr CRO,DF,Atlético Madrid,4,110,170,64.7,1677,750,58,79,73.4,40,64,62.5,7,19,36.8
558,Nikola Vukcevic,me MNE,MF,Levante,17.4,574,655,87.6,10155,2743,240,267,89.9,253,273,92.7,60,81,74.1
559,Moussa Wagué,sn SEN,DF,Barcelona,1,67,84,79.8,1046,271,33,35,94.3,26,33,78.8,5,8,62.5
560,Wakaso,gh GHA,MF,Alavés,14.3,347,492,70.5,7262,2046,131,160,81.9,135,173,78,71,131,54.2
561,Daniel Wass,dk DEN,"DF,MF",Valencia,30.4,1271,1621,78.4,19093,6450,677,757,89.4,477,580,82.2,61,165,37
562,Iñaki Williams,gh GHA,FW,Athletic Club,32.7,498,709,70.2,6993,1180,284,354,80.2,148,199,74.4,28,48,58.3
563,Yoel,es ESP,GK,Eibar,3,44,92,47.8,2195,1916,2,2,100,7,9,77.8,35,80,43.8
564,Okay Yokuslu,tr TUR,MF,Celta Vigo,21.9,862,1066,80.9,12558,3525,482,562,85.8,280,331,84.6,50,77,64.9
565,Joseba Zaldúa,es ESP,DF,Real Sociedad,28.3,1216,1598,76.1,19262,7259,631,712,88.6,487,619,78.7,70,165,42.4
566,Andre-Frank Zambo Anguissa,cm CMR,MF,Villarreal,28.7,1291,1483,87.1,20096,5235,659,733,89.9,499,556,89.7,82,107,76.6
567,Igor Zubeldia,es ESP,"MF,DF",Real Sociedad,29.3,1479,1705,86.7,28238,8605,487,542,89.9,828,893,92.7,147,227,64.8
568,Martín Zubimendi,es ESP,MF,Real Sociedad,5.8,361,420,86,6319,1699,161,182,88.5,160,177,90.4,32,46,69.6
569,David Zurutuza,es ESP,MF,Real Sociedad,1.7,58,81,71.6,980,222,23,31,74.2,23,32,71.9,8,11,72.7
570,Martin Ødegaard,no NOR,MF,Real Sociedad,28.1,1311,1632,80.3,20234,6170,714,793,90,419,498,84.1,115,214,53.7
