,,,,,,,Total,,,,Short,,,Medium,,,Long,,
Rk,Player,Nation,Pos,Squad,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%
1,Antonio Adán,es ESP,GK,Atlético Madrid,1,13,24,54.2,389,295,3,3,100,3,3,100,7,18,38.9
2,Aday,es ESP,"DF,MF",Girona,7.2,227,320,70.9,4254,1386,105,117,89.7,86,123,69.9,30,63,47.6
3,Aritz Aduriz,es ESP,FW,Athletic Club,10.5,146,238,61.3,1751,325,90,139,64.7,38,66,57.6,3,7,42.9
4,Luis Advíncula,pe PER,DF,Rayo Vallecano,26.5,957,1197,79.9,15766,5283,506,557,90.8,343,422,81.3,76,144,52.8
5,Martin Agirregabiria,es ESP,DF,Alavés,22.6,653,964,67.7,10341,4920,340,413,82.3,246,343,71.7,47,137,34.3
6,Juan Aguilera,es ESP,MF,Huesca,3.8,166,189,87.8,2706,846,90,93,96.8,58,68,85.3,14,19,73.7
7,Carlos Akapo,gq EQG,DF,Huesca,11.4,332,443,74.9,4988,1943,189,217,87.1,100,141,70.9,26,47,55.3
8,Sergio Akieme,es ESP,DF,Rayo Vallecano,2,64,84,76.2,950,312,36,39,92.3,22,26,84.6,4,12,33.3
9,Jordi Alba,es ESP,DF,Barcelona,33.2,2279,2695,84.6,33032,10768,1392,1511,92.1,716,852,84,110,188,58.5
10,Pedro Alcalá,es ESP,DF,Girona,20.8,686,869,78.9,14910,5012,168,200,84,408,462,88.3,106,190,55.8
11,Rubén Alcaraz,es ESP,MF,Valladolid,33.1,1438,1757,81.8,29343,7859,556,603,92.2,604,681,88.7,254,402,63.2
12,Álex Alegría,es ESP,"FW,MF",Rayo Vallecano,1.6,22,32,68.8,293,51,13,18,72.2,6,8,75,1,1,100
13,Iván Alejo,es ESP,MF,Getafe,1.6,18,43,41.9,341,87,7,15,46.7,7,16,43.8,3,6,50
14,Carles Aleñá,es ESP,MF,Barcelona,7.1,536,587,91.3,8645,1908,272,288,94.4,208,218,95.4,43,55,78.2
15,Alexander,ar ARG,FW,Leganés,0.1,4,8,50,40,30,4,5,80,0,2,0,0,1,0
16,Júnior Alonso,py PAR,"DF,MF",Celta Vigo,6,233,319,73,3830,1525,123,137,89.8,84,113,74.3,19,48,39.6
17,Sergio Álvarez,es ESP,"DF,MF",Eibar,11.9,395,500,79,7730,1937,122,144,84.7,212,252,84.1,49,79,62
18,Sergio Álvarez,es ESP,GK,Celta Vigo,13,302,463,65.2,9673,7638,38,38,100,139,141,98.6,124,277,44.8
19,Yeray Álvarez,es ESP,DF,Athletic Club,29,1031,1294,79.7,20322,8052,348,390,89.2,542,625,86.7,126,241,52.3
20,Ibrahim Amadou,fr FRA,"MF,DF",Sevilla,8.5,302,361,83.7,5164,1309,138,151,91.4,128,149,85.9,26,36,72.2
21,Jordi Amat,es ESP,DF,Rayo Vallecano,30.7,1064,1295,82.2,20994,7883,397,457,86.9,516,574,89.9,140,221,63.3
22,Amath,sn SEN,MF,Getafe,11.1,142,210,67.6,2264,798,77,99,77.8,47,64,73.4,13,22,59.1
23,José Ángel,es ESP,DF,Eibar,33.6,1386,2173,63.8,29556,13592,488,569,85.8,582,822,70.8,289,663,43.6
24,Miguel Ángel Moyá,es ESP,GK,Real Sociedad,11,292,363,80.4,8746,6055,35,35,100,133,134,99.3,124,192,64.6
25,Antoñito,es ESP,"DF,MF",Valladolid,20.7,644,896,71.9,9991,4264,357,400,89.3,213,296,72,50,132,37.9
26,Vitorino Antunes,pt POR,"DF,MF",Getafe,24.2,701,1198,58.5,13980,7479,278,344,80.8,291,456,63.8,118,319,37
27,Anuar,ma MAR,"MF,FW",Valladolid,12,296,400,74,4913,1106,127,169,75.1,134,162,82.7,20,35,57.1
28,Emmanuel Apeh,ng NGA,"FW,MF",Celta Vigo,0.2,3,4,75,49,0,1,1,100,2,2,100,0,0,
29,Mauro Arambarri,uy URU,MF,Getafe,29.7,519,776,66.9,11338,3285,178,239,74.5,194,280,69.3,127,203,62.6
30,Guilherme Arana,br BRA,DF,Sevilla,7,231,289,79.9,3514,904,140,157,89.2,77,93,82.8,13,22,59.1
31,Néstor Araujo,mx MEX,DF,Celta Vigo,29.8,1291,1502,86,25226,8148,387,439,88.2,769,841,91.4,117,184,63.6
32,Anaitz Arbilla,es ESP,DF,Eibar,21.7,863,1152,74.9,20574,7115,222,266,83.5,408,478,85.4,228,380,60
33,Santiago Arias,co COL,DF,Atlético Madrid,19.7,787,1015,77.5,11137,4647,460,515,89.3,258,352,73.3,32,74,43.2
34,José Arnaiz,es ESP,"MF,FW",Leganés,1.3,25,32,78.1,342,31,14,19,73.7,11,12,91.7,0,0,
35,Sergio Asenjo,es ESP,GK,Villarreal,32,544,826,65.9,19230,14913,41,41,100,230,236,97.5,272,541,50.3
36,Marco Asensio,es ESP,FW,Real Madrid,19.8,839,1024,81.9,12382,2878,513,566,90.6,249,306,81.4,52,81,64.2
37,Iago Aspas,es ESP,"FW,MF",Celta Vigo,25,731,919,79.5,11112,2271,393,462,85.1,217,263,82.5,67,84,79.8
38,Ezequiel Ávila,ar ARG,"FW,MF",Huesca,22.2,296,583,50.8,5882,2026,140,226,61.9,88,173,50.9,56,115,48.7
39,Abdoulaye Ba,sn SEN,DF,Rayo Vallecano,23.4,867,1054,82.3,17985,6935,267,285,93.7,447,498,89.8,143,245,58.4
40,Carlos Bacca,co COL,FW,Villarreal,14.1,185,277,66.8,2610,623,117,164,71.3,43,66,65.2,13,20,65
41,Gareth Bale,wls WAL,FW,Real Madrid,19.8,567,791,71.7,9102,1919,339,393,86.3,154,237,65,57,97,58.8
42,Mikel Balenziaga,es ESP,DF,Athletic Club,5.8,169,227,74.4,2440,913,97,111,87.4,59,81,72.8,5,20,25
43,Éver Banega,ar ARG,MF,Sevilla,29.6,1823,2241,81.3,37173,13708,689,764,90.2,781,903,86.5,321,486,66
44,Léo Baptistão,br BRA,"FW,MF",Espanyol,13.7,278,388,71.6,4103,953,156,191,81.7,101,126,80.2,13,24,54.2
45,Enis Bardhi,mk MKD,MF,Levante,31.5,864,1188,72.7,13783,4115,432,528,81.8,291,364,79.9,83,171,48.5
46,Antonio Barragán,es ESP,"DF,FW",Betis,10.4,527,637,82.7,7971,2800,310,343,90.4,157,190,82.6,37,62,59.7
47,Ander Barrenetxea,es ESP,"FW,MF",Real Sociedad,4.4,82,111,73.9,1071,226,55,66,83.3,22,31,71,2,5,40
48,Marc Bartra,es ESP,DF,Betis,32.5,1991,2278,87.4,37979,13814,707,752,94,1059,1131,93.6,203,345,58.8
49,Borja Bastón,es ESP,FW,Alavés,16,197,320,61.6,2358,429,136,189,72,42,74,56.8,5,9,55.6
50,Michy Batshuayi,be BEL,FW,Valencia,5.9,101,135,74.8,1583,255,60,72,83.3,24,35,68.6,13,13,100
51,Jon Bautista,es ESP,FW,Real Sociedad,6.6,84,137,61.3,1059,173,55,84,65.5,20,32,62.5,2,4,50
52,Bebé,cv CPV,"FW,MF",Rayo Vallecano,14.5,304,515,59,5175,1195,161,206,78.2,88,148,59.5,39,99,39.4
53,Bebé,cv CPV,MF,Eibar,0.7,22,34,64.7,347,63,13,13,100,7,15,46.7,1,4,25
54,Fran Beltrán,es ESP,MF,Celta Vigo,16.9,783,865,90.5,13504,2928,346,371,93.3,335,364,92,78,86,90.7
55,Wissam Ben Yedder,fr FRA,FW,Sevilla,31.2,570,795,71.7,7544,1660,372,466,79.8,134,185,72.4,26,56,46.4
56,Karim Benzema,fr FRA,FW,Real Madrid,32.8,985,1213,81.2,13841,2432,630,733,85.9,243,291,83.5,66,83,79.5
57,Yuri Berchiche,es ESP,"DF,FW",Athletic Club,34.7,1384,1753,79,21246,7938,768,873,88,504,619,81.4,71,153,46.4
