,,,,,,,,,Total,,,,Short,,,Medium,,,Long,,,,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,3-Jan,PPA,CrsPA,Prog,Matches
557,Tachi,es ESP,DF,Alavés,23,1997,2.7,59,94,62.8,1548,780,15,20,75,29,40,72.5,15,33,45.5,0,0.1,0,-0.1,1,10,1,1,4,Matches
558,Renato Tapia,pe PER,MF,Celta Vigo,26,1995,15.7,683,862,79.2,13136,3803,244,275,88.7,312,366,85.2,102,157,65,0,0.2,0.4,-0.2,4,68,6,1,49,Matches
559,Cristian Tello,es ESP,FW,Betis,29,1991,9.1,273,362,75.4,4097,903,153,187,81.8,96,123,78,15,26,57.7,2,2.1,1.5,-0.1,16,15,10,3,21,Matches
560,Nahuel Tenaglia,ar ARG,DF,Alavés,25,1996,11.9,305,485,62.9,5242,2711,146,188,77.7,124,179,69.3,31,90,34.4,0,0.2,0.4,-0.2,3,34,9,3,34,Matches
561,Marc Tenas,es ESP,"FW,MF",Alavés,20,2001,0.6,14,21,66.7,175,36,10,12,83.3,4,7,57.1,0,0,,0,0.2,0,-0.2,1,0,0,0,0,Matches
562,Marc-André ter Stegen,de GER,GK,Barcelona,29,1992,35,1113,1281,86.9,27465,18914,242,245,98.8,564,577,97.7,300,447,67.1,0,0.1,0,-0.1,1,10,0,0,2,Matches
563,David Timor,es ESP,MF,Getafe,31,1989,3.8,143,182,78.6,2838,941,62,71,87.3,56,71,78.9,23,35,65.7,0,0,0.1,0,1,12,1,0,13,Matches
564,Raúl de Tomás,es ESP,FW,Espanyol,26,1994,32.4,611,749,81.6,10477,1766,324,365,88.8,175,208,84.1,82,113,72.6,3,1.9,1.8,1.1,25,44,20,4,55,Matches
565,Raúl Torrente,es ESP,DF,Granada,19,2001,14.2,435,605,71.9,8781,3312,128,152,84.2,240,279,86,60,150,40,0,0.6,0.2,-0.6,4,29,0,0,26,Matches
566,Ferrán Torres,es ESP,FW,Barcelona,21,2000,15.7,489,587,83.3,6854,1284,291,326,89.3,133,160,83.1,33,41,80.5,4,2.8,2.6,1.2,12,30,12,0,35,Matches
567,Óliver Torres,es ESP,"MF,FW",Sevilla,26,1994,11.2,523,656,79.7,9467,2637,259,291,89,168,202,83.2,81,128,63.3,3,1.8,1.7,1.2,12,67,11,4,36,Matches
568,Pau Torres,es ESP,DF,Villarreal,24,1997,31.7,1700,1991,85.4,34245,11934,554,609,91,908,986,92.1,218,348,62.6,1,1.4,1.5,-0.4,9,159,6,0,130,Matches
569,Roberto Torres,es ESP,"MF,FW",Osasuna,32,1989,9,268,437,61.3,5208,1783,114,148,77,102,154,66.2,44,101,43.6,2,2.5,2.1,-0.5,24,29,15,8,28,Matches
570,Lucas Torró,es ESP,MF,Osasuna,27,1994,30.3,989,1281,77.2,15897,5120,511,614,83.2,373,475,78.5,69,114,60.5,0,0.8,1.1,-0.8,9,107,13,0,118,Matches
571,Adama Traoré,es ESP,FW,Barcelona,25,1996,4.2,121,169,71.6,1760,406,79,91,86.8,31,49,63.3,6,14,42.9,2,1,1,1,7,10,11,7,8,Matches
572,Óscar Trejo,ar ARG,MF,Rayo Vallecano,33,1988,22.3,795,1049,75.8,12207,3897,447,511,87.5,238,303,78.5,72,148,48.6,9,6.2,4.5,2.8,60,88,23,4,87,Matches
573,Manu Trigueros,es ESP,"MF,FW",Villarreal,29,1991,24.2,965,1224,78.8,15500,4948,481,543,88.6,364,437,83.3,79,144,54.9,4,3.3,3.3,0.7,23,128,32,2,121,Matches
574,Kieran Trippier,eng ENG,"DF,FW",Atlético Madrid,30,1990,10.8,607,780,77.8,10394,4042,295,325,90.8,216,279,77.4,74,129,57.4,0,0.4,0.9,-0.4,7,39,24,2,77,Matches
575,Beñat Turrientes,es ESP,MF,Real Sociedad,19,2002,2.3,81,93,87.1,1371,306,42,45,93.3,28,34,82.4,10,10,100,0,0.2,0.3,-0.2,3,8,0,0,7,Matches
576,Samuel Umtiti,fr FRA,DF,Barcelona,27,1993,1,42,50,84,832,310,17,19,89.5,19,22,86.4,6,7,85.7,0,0,0,0,0,5,0,0,5,Matches
577,Enes Ünal,tr TUR,FW,Getafe,24,1997,31.1,394,653,60.3,5058,1096,254,369,68.8,93,168,55.4,18,27,66.7,1,2.2,1.5,-1.2,29,39,11,2,30,Matches
