,,,,,,,,,Total,,,,Short,,,Medium,,,Long,,,,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,3-Jan,PPA,CrsPA,Prog,Matches
15,Paco Alcácer,es ESP,FW,Villarreal,27,1993,8.7,123,175,70.3,1468,202,70,96,72.9,28,36,77.8,5,8,62.5,3,2,1.2,1,7,4,5,0,8,Matches
16,Rubén Alcaraz,es ESP,MF,Cádiz,30,1991,12.3,556,667,83.4,10541,3267,247,267,92.5,201,226,88.9,91,138,65.9,0,1.1,1.2,-1.1,14,85,12,3,63,Matches
17,Omar Alderete,py PAR,DF,Valencia,24,1996,26.7,580,961,60.4,13798,6806,153,200,76.5,276,378,73,141,350,40.3,0,0.3,0.5,-0.3,4,78,7,0,72,Matches
18,Iván Alejo,es ESP,"MF,FW",Cádiz,26,1995,11.8,193,329,58.7,3129,1194,103,129,79.8,54,85,63.5,23,76,30.3,2,2.3,2.1,-0.3,20,19,23,23,18,Matches
19,Carles Aleñá,es ESP,MF,Getafe,23,1998,25.8,683,869,78.6,11661,2452,328,380,86.3,268,312,85.9,62,106,58.5,2,1.5,1.4,0.5,20,66,14,5,55,Matches
20,Mircea Alexandru Tirlea,ro ROU,DF,Alavés,21,2000,0.2,12,15,80,201,118,6,7,85.7,4,4,100,1,2,50,0,0,0,0,0,0,0,0,0,Matches
21,Hugo Álvarez,es ESP,FW,Celta Vigo,18,2003,0.1,1,3,33.3,12,0,1,3,33.3,0,0,,0,0,,0,0,0,0,0,0,0,0,0,Matches
22,Yeray Álvarez,es ESP,DF,Athletic Club,26,1995,20.7,832,1019,81.6,16426,6655,290,322,90.1,436,484,90.1,98,180,54.4,0,0.2,0.3,-0.2,4,49,2,0,45,Matches
23,Dani Alves,br BRA,DF,Barcelona,38,1983,12.2,915,1089,84,13852,4400,545,580,94,264,313,84.3,75,141,53.2,3,2.3,3.1,0.7,22,85,27,15,49,Matches
24,Emmanuel Amankwaa Akurugu,gh GHA,DF,Getafe,19,2001,0.9,26,39,66.7,425,161,11,15,73.3,12,18,66.7,2,4,50,1,0.1,0,0.9,1,1,0,0,2,Matches
25,Amath,sn SEN,"FW,MF",Mallorca,25,1996,9.8,159,202,78.7,2044,508,89,107,83.2,44,54,81.5,7,8,87.5,1,0.8,0.5,0.2,6,11,5,1,10,Matches
26,Florin Andone,ro ROU,FW,Cádiz,28,1993,2,25,38,65.8,283,21,14,19,73.7,7,11,63.6,0,1,0,0,0.2,0,-0.2,3,2,0,0,0,Matches
27,José Ángel,es ESP,DF,Osasuna,31,1989,12,590,785,75.2,12280,5279,242,278,87.1,228,298,76.5,117,191,61.3,1,1.4,1.8,-0.4,8,72,23,13,70,Matches
28,Josep Antoni Gayá,es ESP,DF,Mallorca,21,2000,0.6,23,28,82.1,347,131,8,11,72.7,9,10,90,2,2,100,0,0,0,0,0,0,0,0,0,Matches
29,Mauro Arambarri,uy URU,MF,Getafe,25,1995,29.6,933,1266,73.7,19629,5435,346,416,83.2,356,445,80,211,340,62.1,5,2.8,2.7,2.2,45,87,8,5,52,Matches
30,Néstor Araujo,mx MEX,DF,Celta Vigo,29,1991,29.1,1326,1555,85.3,26401,6871,399,443,90.1,752,814,92.4,156,253,61.7,0,0.2,0.4,-0.2,2,57,3,1,52,Matches
31,Ronald Araújo,uy URU,DF,Barcelona,22,1999,25.2,1491,1662,89.7,28250,8839,511,544,93.9,828,876,94.5,133,209,63.6,0,1.2,0.8,-1.2,8,74,4,3,66,Matches
32,Jesús Areso,es ESP,DF,Osasuna,22,1999,2.1,49,73,67.1,904,504,21,24,87.5,23,34,67.6,5,15,33.3,0,0,0,0,1,4,0,0,4,Matches
33,Matias Arezo,uy URU,"FW,MF",Granada,18,2002,1.8,18,38,47.4,187,69,13,20,65,4,11,36.4,0,1,0,0,0.4,0.1,-0.4,6,3,1,0,2,Matches
34,Santiago Arias,co COL,DF,Granada,29,1992,4.9,153,218,70.2,2480,1038,75,92,81.5,64,91,70.3,12,23,52.2,0,0.5,0.2,-0.5,5,10,3,3,9,Matches
35,Santiago Arzamendia,py PAR,MF,Cádiz,23,1998,5.2,105,170,61.8,1588,457,59,71,83.1,32,43,74.4,8,38,21.1,0,0.1,0.2,-0.1,1,4,4,3,3,Matches
36,Sergio Asenjo,es ESP,GK,Villarreal,32,1989,6,185,228,81.1,4206,2778,43,43,100,103,104,99,37,76,48.7,0,0,0,0,0,1,0,0,0,Matches
37,Alejandro Asensio,es ESP,FW,Rayo Vallecano,20,2000,0.1,7,8,87.5,156,37,5,6,83.3,0,0,,2,2,100,0,0,0,0,1,1,1,1,0,Matches
38,Marco Asensio,es ESP,"FW,MF",Real Madrid,25,1996,19.2,731,894,81.8,10841,2086,415,452,91.8,221,261,84.7,55,102,53.9,0,3,3,-3,31,59,19,2,47,Matches
39,Iago Aspas,es ESP,FW,Celta Vigo,33,1987,34.3,968,1371,70.6,13844,2606,542,664,81.6,266,378,70.4,75,148,50.7,5,6.7,5.8,-1.7,57,60,42,7,81,Matches
40,Pierre-Emerick Aubameyang,ga GAB,FW,Barcelona,32,1989,12,176,238,73.9,2279,294,106,135,78.5,47,61,77,7,10,70,1,1,0.6,0,8,8,9,0,14,Matches
41,Ludwig Augustinsson,se SWE,"DF,FW",Sevilla,27,1994,8.8,437,551,79.3,6682,2082,247,269,91.8,148,175,84.6,29,79,36.7,1,0.9,0.6,0.1,9,16,8,6,11,Matches
42,Serge Aurier,ci CIV,DF,Villarreal,28,1992,11.2,623,742,84,10307,3447,296,333,88.9,277,317,87.4,35,51,68.6,1,1.1,1,-0.1,6,35,11,4,37,Matches
43,Ezequiel Ávila,ar ARG,"FW,MF",Osasuna,27,1994,20.8,307,556,55.2,5848,1807,132,199,66.3,111,184,60.3,51,111,45.9,1,1.8,2,-0.8,18,24,27,18,41,Matches
44,Iddrisu Baba,gh GHA,MF,Mallorca,25,1996,21.5,617,779,79.2,11335,3758,239,291,82.1,285,331,86.1,75,111,67.6,0,0.9,0.9,-0.9,10,58,7,1,56,Matches
45,Carlos Bacca,co COL,FW,Granada,34,1986,5.7,62,99,62.6,913,280,34,51,66.7,23,37,62.2,3,5,60,1,1.2,0.4,-0.2,7,6,4,0,7,Matches
46,Édgar Badía,es ESP,GK,Elche,29,1992,24,565,830,68.1,18595,14474,77,78,98.7,229,233,98.3,257,514,50,0,0,0,0,0,11,0,0,0,Matches
47,Miguel Baeza,es ESP,DF,Celta Vigo,21,2000,0,4,5,80,56,7,2,2,100,2,2,100,0,1,0,0,0,0,0,0,0,0,0,0,Matches
48,Alejandro Balde,es ESP,"DF,FW",Barcelona,17,2003,2.1,138,150,92,1779,312,93,96,96.9,37,41,90.2,3,6,50,0,0.1,0.2,-0.1,1,6,3,2,6,Matches
49,Gareth Bale,wls WAL,FW,Real Madrid,32,1989,3.1,45,65,69.2,668,177,25,31,80.6,16,21,76.2,3,5,60,0,0.1,0.1,-0.1,2,3,3,2,4,Matches
50,Mikel Balenziaga,es ESP,DF,Athletic Club,33,1988,22.5,765,1013,75.5,11605,4473,430,484,88.8,256,349,73.4,48,112,42.9,0,0.6,0.7,-0.6,8,49,13,7,52,Matches
51,Iván Balliu,al ALB,DF,Rayo Vallecano,29,1992,35,1350,1796,75.2,22969,10202,663,741,89.5,521,672,77.5,135,269,50.2,2,3.9,4.8,-1.9,44,97,36,27,100,Matches
52,Barbero,es ESP,"FW,MF",Osasuna,22,1998,0.2,7,11,63.6,59,7,5,8,62.5,1,2,50,0,0,,0,0,0,0,0,1,0,0,0,Matches
53,Barcia,es ESP,DF,Granada,20,2000,0.8,8,22,36.4,167,11,2,4,50,5,10,50,1,8,12.5,0,0,0,0,0,0,0,0,0,Matches
54,Enis Bardhi,mk MKD,"MF,FW",Levante,26,1995,18.9,529,749,70.6,8708,2774,278,330,84.2,153,220,69.5,66,130,50.8,3,4.4,3,-1.4,42,54,17,1,60,Matches
55,Keidi Bare,al ALB,MF,Espanyol,23,1997,16.5,761,886,85.9,12983,3403,351,387,90.7,308,343,89.8,72,94,76.6,1,0.9,0.5,0.1,8,81,6,1,59,Matches
56,Kike Barja,es ESP,"MF,FW",Osasuna,24,1997,9.6,249,374,66.6,3893,923,142,172,82.6,78,121,64.5,20,42,47.6,0,0.5,0.6,-0.5,5,23,8,0,25,Matches
57,Antonio Barragán,es ESP,DF,Elche,34,1987,11.3,423,542,78,7372,3246,182,206,88.3,182,223,81.6,42,87,48.3,0,0.1,0.2,-0.1,2,27,4,2,31,Matches
58,Ander Barrenetxea,es ESP,"FW,MF",Real Sociedad,19,2001,6.1,129,184,70.1,1869,529,74,90,82.2,43,61,70.5,5,12,41.7,1,0.9,1.1,0.1,6,6,10,0,16,Matches
59,Marc Bartra,es ESP,DF,Betis,30,1991,22.1,926,1131,81.9,18444,7345,302,328,92.1,521,573,90.9,96,208,46.2,0,0.1,0.3,-0.1,4,63,2,0,44,Matches
60,Álvaro Bastida,es ESP,MF,Cádiz,17,2004,2.2,41,53,77.4,681,108,21,24,87.5,14,16,87.5,5,8,62.5,0,0,0,0,0,2,0,0,4,Matches
61,Rodrigo Battaglia,ar ARG,MF,Mallorca,30,1991,13.1,427,515,82.9,6418,2202,241,265,90.9,137,163,84,29,47,61.7,0,0.1,0.3,-0.1,3,34,1,0,33,Matches
62,Jon Bautista,es ESP,MF,Real Sociedad,26,1995,0.5,6,7,85.7,60,14,6,7,85.7,0,0,,0,0,,0,0,0,0,0,0,1,0,1,Matches
63,Bebé,cv CPV,FW,Rayo Vallecano,31,1990,9.6,208,332,62.7,3687,939,105,125,84,63,102,61.8,31,75,41.3,2,1.9,2.4,0.1,15,14,11,8,10,Matches
64,Héctor Bellerín,es ESP,DF,Betis,26,1995,22,804,1048,76.7,12134,4764,433,509,85.1,300,383,78.3,44,89,49.4,2,2.9,3,-0.9,26,49,20,7,63,Matches
65,Fran Beltrán,es ESP,MF,Celta Vigo,22,1999,28.9,1716,1893,90.6,31485,7076,661,720,91.8,798,840,95,196,231,84.8,0,0.4,0.8,-0.4,11,122,8,4,81,Matches
66,Darío Benedetto,ar ARG,"FW,MF",Elche,31,1990,6.6,72,112,64.3,1311,310,37,48,77.1,23,35,65.7,12,17,70.6,1,0.7,0.3,0.3,4,10,4,0,10,Matches
67,Iker Benito,es ESP,"FW,MF",Osasuna,18,2002,1.3,19,29,65.5,240,91,12,14,85.7,6,9,66.7,0,0,,0,0.1,0.1,-0.1,1,1,1,1,2,Matches
68,Pedro Benito,es ESP,FW,Cádiz,21,2000,0.3,3,5,60,47,7,2,4,50,1,1,100,0,0,,0,0,0,0,0,1,0,0,0,Matches
69,Karim Benzema,fr FRA,FW,Real Madrid,33,1987,28.8,1043,1245,83.8,13822,3030,670,739,90.7,249,290,85.9,56,76,73.7,12,9.3,7.4,2.7,62,76,82,1,115,Matches
70,Yuri Berchiche,es ESP,DF,Athletic Club,31,1990,11.3,487,634,76.8,7612,3366,265,299,88.6,178,230,77.4,27,57,47.4,2,1.2,0.9,0.8,7,44,8,4,49,Matches
71,Álex Berenguer,es ESP,MF,Athletic Club,26,1995,24.1,548,877,62.5,8138,2773,311,393,79.1,152,239,63.6,47,139,33.8,6,5.7,5.4,0.3,43,33,25,12,52,Matches
72,Pedro Bigas,es ESP,DF,Elche,30,1990,17.2,806,933,86.4,15307,5939,302,321,94.1,408,446,91.5,86,142,60.6,0,0.3,0.4,-0.3,5,44,3,1,37,Matches
73,Blanco,es ESP,MF,Real Madrid,21,2000,0.3,18,20,90,278,93,7,8,87.5,7,7,100,2,2,100,0,0,0,0,0,2,0,0,1,Matches
74,Yassine Bounou,ma MAR,GK,Sevilla,30,1991,31,819,1072,76.4,23163,13698,114,114,100,437,444,98.4,267,510,52.4,2,0.8,0,1.2,2,10,0,0,0,Matches
75,Lucas Boyé,ar ARG,FW,Elche,25,1996,19,306,426,71.8,4319,733,176,219,80.4,81,113,71.7,25,38,65.8,3,2.5,0.7,0.5,22,18,8,0,25,Matches
76,Martin Braithwaite,dk DEN,FW,Barcelona,30,1991,2.6,44,56,78.6,549,80,29,35,82.9,10,14,71.4,1,1,100,1,1.1,0.6,-0.1,2,1,1,0,3,Matches
77,Darko Brasanac,rs SRB,MF,Osasuna,29,1992,26.7,676,910,74.3,9449,2146,374,463,80.8,224,286,78.3,28,51,54.9,2,2,1.7,0,29,63,17,3,57,Matches
78,Claudio Bravo,cl CHI,GK,Betis,38,1983,16.2,332,507,65.5,10758,8164,55,55,100,128,132,97,147,315,46.7,0,0.1,0,-0.1,1,9,1,0,0,Matches
79,Yan Brice Eteki,cm CMR,MF,Granada,23,1997,3.8,95,127,74.8,1589,466,39,50,78,47,57,82.5,4,10,40,0,0,0,0,1,9,0,0,11,Matches
80,Bryan,es ESP,"MF,FW",Valencia,20,2001,8.4,156,244,63.9,2193,794,92,105,87.6,38,79,48.1,13,37,35.1,1,1.5,1.2,-0.5,10,13,12,3,18,Matches
81,Ante Budimir,hr CRO,FW,Osasuna,30,1991,19.3,204,358,57,2566,416,130,205,63.4,48,76,63.2,7,13,53.8,2,0.9,0.6,1.1,10,18,6,1,10,Matches
82,Sergio Busquets,es ESP,MF,Barcelona,33,1988,35.5,2430,2793,87,42404,12097,1078,1187,90.8,984,1090,90.3,272,355,76.6,0,2.4,2.7,-2.4,33,274,25,1,212,Matches
83,Adrián Butzke,es ESP,FW,Granada,22,1999,0,0,1,0,0,0,0,1,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,Matches
