,,,,,,,Total,,,,Short,,,Medium,,,Long,,
Rk,Player,Nation,Pos,Squad,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%
1,Aly Abeid,mr MTN,DF,Levante,0.9,29,38,76.3,474,167,17,19,89.5,10,12,83.3,2,5,40
2,Antonio Adán,es ESP,GK,Betis,30,868,1256,69.1,24352,18208,125,125,100,444,462,96.1,298,664,44.9
3,Aday,es ESP,DF,Girona,20.4,738,1047,70.5,12574,3756,386,450,85.8,261,350,74.6,77,188,41
4,Aritz Aduriz,es ESP,FW,Athletic Club,23.9,337,518,65.1,4422,934,218,296,73.6,86,143,60.1,12,30,40
5,Martin Agirregabiria,es ESP,DF,Alavés,20.3,634,884,71.7,9706,4749,366,436,83.9,207,288,71.9,47,104,45.2
6,Imanol Agirretxe,es ESP,FW,Real Sociedad,2.6,38,60,63.3,488,81,24,32,75,9,16,56.3,1,3,33.3
7,Matías Aguirregaray,uy URU,DF,Las Palmas,12.8,519,698,74.4,8233,3471,272,304,89.5,188,260,72.3,40,94,42.6
8,Ager Aketxe,es ESP,MF,Athletic Club,0.4,32,42,76.2,478,96,18,21,85.7,9,11,81.8,3,7,42.9
9,David Alba,es ESP,DF,Getafe,0.7,7,9,77.8,178,102,2,3,66.7,3,4,75,2,2,100
10,Jordi Alba,es ESP,DF,Barcelona,30.5,2074,2418,85.8,28727,8911,1320,1416,93.2,597,716,83.4,91,138,65.9
11,Raúl Albentosa,es ESP,DF,La Coruña,19.4,607,775,78.3,14038,5511,136,162,84,334,386,86.5,135,214,63.1
12,Paco Alcácer,es ESP,"MF,FW",Barcelona,7.7,188,234,80.3,2272,421,116,134,86.6,46,56,82.1,5,11,45.5
13,Pedro Alcalá,es ESP,DF,Girona,7.7,208,295,70.5,4905,1524,50,59,84.7,111,134,82.8,46,93,49.5
14,Steve Aldo One,cm CMR,DF,La Coruña,1,18,22,81.8,354,169,5,6,83.3,10,12,83.3,3,4,75
15,Álex Alegría,es ESP,FW,Levante,7,111,164,67.7,1333,166,73,99,73.7,33,44,75,0,3,0
16,Iván Alejo,es ESP,"MF,FW",Eibar,12.2,182,340,53.5,2848,887,111,151,73.5,54,99,54.5,15,52,28.8
17,Alexander,ar ARG,"MF,FW",Leganés,11.8,219,320,68.4,2917,931,141,172,82,47,80,58.8,14,29,48.3
