,,,,,,Total,,,,,Short,,,Medium,,,Long,,
Rk,Player,Nation,Pos,Squad,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%
364,Martín Montoya,es ESP,DF,Betis,2.7,126,164,76.8,1977,582,72,81,88.9,42,58,72.4,10,16,62.5
365,Emre Mor,tr TUR,"FW,MF",Celta Vigo,5.6,85,116,73.3,1128,221,47,60,78.3,22,27,81.5,6,10,60
366,Jon Morcillo,es ESP,"MF,FW",Athletic Club,15.1,316,526,60.1,5415,1944,164,206,79.6,102,168,60.7,37,103,35.9
367,Alberto Moreno,es ESP,DF,Villarreal,2.1,85,101,84.2,1328,360,40,43,93,32,35,91.4,7,11,63.6
368,Álex Moreno,es ESP,DF,Betis,19.8,897,1163,77.1,13461,4579,508,572,88.8,302,374,80.7,51,132,38.6
369,Gerard Moreno,es ESP,FW,Villarreal,29.7,757,1112,68.1,12864,3271,380,486,78.2,250,337,74.2,93,151,61.6
370,Tete Morente,es ESP,"MF,FW",Elche,22.4,539,734,73.4,8133,1919,330,373,88.5,134,178,75.3,46,97,47.4
371,Ilaix Moriba,gn GUI,MF,Barcelona,6,339,373,90.9,4286,766,207,220,94.1,96,102,94.1,9,12,75
372,Loren Morón,es ESP,FW,Betis,11,117,187,62.6,1785,578,70,96,72.9,28,49,57.1,10,18,55.6
373,Pedro Mosquera,es ESP,MF,Huesca,22.8,1033,1215,85,19068,5626,448,498,90,422,473,89.2,137,195,70.3
374,Javi Moyano,es ESP,DF,Valladolid,1.1,28,41,68.3,517,204,13,18,72.2,12,14,85.7,2,7,28.6
375,Iker Muniain,es ESP,"MF,FW",Athletic Club,21.6,850,1042,81.6,13062,3810,455,498,91.4,277,331,83.7,67,119,56.3
376,Aihen Muñoz,es ESP,DF,Real Sociedad,13.4,505,747,67.6,8945,3737,222,257,86.4,213,296,72,58,142,40.8
377,Joaquín Muñoz,es ESP,FW,Huesca,0.5,10,17,58.8,87,24,7,9,77.8,1,1,100,0,1,0
378,Jeison Murillo,co COL,DF,Celta Vigo,30,1438,1633,88.1,29808,9216,394,435,90.6,843,907,92.9,186,264,70.5
379,Yunus Musah,us USA,MF,Valencia,17,314,431,72.9,4424,684,191,231,82.7,89,136,65.4,15,27,55.6
380,Yoshinori Mut?,jp JPN,"FW,MF",Eibar,12.5,151,230,65.7,1782,444,100,124,80.6,29,59,49.2,6,13,46.2
381,Nacho,es ESP,DF,Valladolid,20.1,736,1050,70.1,12799,5631,342,393,87,302,389,77.6,73,200,36.5
382,Nacho,es ESP,DF,Real Madrid,22.2,1124,1259,89.3,19368,7068,502,537,93.5,488,522,93.5,102,147,69.4
