,,,,,,Total,,,,,Short,,,Medium,,,Long,,
Rk,Player,Nation,Pos,Squad,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%
485,Aitor Ruibal,es ESP,"FW,MF",Betis,17.7,411,556,73.9,5304,1786,271,305,88.9,91,131,69.5,21,38,55.3
486,Isma Ruiz,es ESP,MF,Granada,0.7,14,20,70,262,36,6,8,75,6,8,75,1,1,100
487,Víctor Ruiz,es ESP,DF,Betis,24,1121,1301,86.2,21084,8706,404,447,90.4,594,642,92.5,106,178,59.6
488,Gerónimo Rulli,ar ARG,GK,Villarreal,2,79,97,81.4,1888,1134,18,18,100,42,43,97.7,19,35,54.3
489,Modibo Sagnan,fr FRA,DF,Real Sociedad,6.9,339,387,87.6,7187,1786,89,100,89,191,208,91.8,55,68,80.9
490,Borja Sainz,es ESP,"MF,FW",Alavés,5,81,105,77.1,1256,259,47,54,87,25,32,78.1,8,11,72.7
491,Salvi,es ESP,"MF,FW",Cádiz,21.5,323,594,54.4,4685,1935,175,234,74.8,94,171,55,26,98,26.5
492,Fede San Emeterio,es ESP,MF,Valladolid,16.2,426,544,78.3,6696,1864,217,259,83.8,147,173,85,37,69,53.6
493,Antonio Sanabria,py PAR,FW,Betis,10.4,159,224,71,1934,335,108,135,80,31,47,66,5,10,50
494,Oihan Sancet,es ESP,"FW,MF",Athletic Club,11.5,254,350,72.6,3617,740,147,195,75.4,80,104,76.9,14,18,77.8
495,Germán Sánchez,es ESP,DF,Granada,29.3,717,977,73.4,14908,5745,210,249,84.3,396,468,84.6,100,232,43.1
496,Javi Sánchez,es ESP,DF,Valladolid,10.2,294,370,79.5,6520,2195,75,91,82.4,172,189,91,45,86,52.3
497,Manuel Sánchez,es ESP,DF,Osasuna,10.8,394,543,72.6,5794,2532,223,259,86.1,137,188,72.9,21,59,35.6
498,Manuel Sánchez,es ESP,DF,Atlético Madrid,0.5,24,31,77.4,343,96,14,15,93.3,8,10,80,1,2,50
499,Juan Sánchez Miño,ar ARG,"DF,MF",Elche,5.5,240,289,83,3533,846,133,148,89.9,76,92,82.6,19,30,63.3
500,Oier Sanjurjo,es ESP,MF,Osasuna,23.2,569,859,66.2,9048,3443,281,370,75.9,219,305,71.8,41,105,39
501,Ivan Šaponjic,rs SRB,FW,Cádiz,4.3,59,82,72,778,96,38,50,76,16,23,69.6,2,2,100
502,Stefan Savi?,me MNE,DF,Atlético Madrid,32.8,1487,1752,84.9,27597,8582,573,631,90.8,724,795,91.1,155,256,60.5
503,Jaime Seoane,es ESP,MF,Huesca,22.9,663,877,75.6,11828,2706,292,342,85.4,243,288,84.4,90,153,58.8
504,Edgar Sevikyan,ru RUS,MF,Levante,0.1,3,5,60,29,0,3,4,75,0,0,,0,1,0
505,Sidnei,br BRA,DF,Betis,7.7,472,522,90.4,8717,2818,169,176,96,239,257,93,49,67,73.1
506,David Silva,es ESP,MF,Real Sociedad,15.5,720,866,83.1,11406,2961,385,433,88.9,234,276,84.8,72,87,82.8
507,Gastón Silva,uy URU,DF,Huesca,6.7,290,347,83.6,5574,2235,101,111,91,151,173,87.3,29,49,59.2
508,Rui Silva,pt POR,GK,Granada,32,596,1079,55.2,22063,18543,78,79,98.7,201,206,97.6,313,781,40.1
509,Unai Simón,es ESP,GK,Athletic Club,37,743,1062,70,23605,18692,114,115,99.1,326,333,97.9,303,614,49.3
510,Dimitris Siovas,gr GRE,DF,Huesca,34.1,1508,1873,80.5,30207,10105,459,533,86.1,868,966,89.9,162,330,49.1
511,Antonio Sivera,es ESP,GK,Alavés,0.8,11,22,50,352,300,3,3,100,3,3,100,5,16,31.3
512,Rafa Soares,pt POR,DF,Eibar,12.6,487,706,69,9141,4296,213,247,86.2,190,265,71.7,75,149,50.3
513,Rubén Sobrino,es ESP,"MF,FW",Valencia,0.5,14,21,66.7,191,33,11,13,84.6,1,3,33.3,2,2,100
514,Rubén Sobrino,es ESP,"FW,MF",Cádiz,12.4,185,257,72,2573,622,117,149,78.5,46,69,66.7,12,16,75
515,Augusto Solari,ar ARG,MF,Celta Vigo,5.4,148,201,73.6,2269,732,83,105,79,42,57,73.7,14,23,60.9
516,Roberto Soldado,es ESP,FW,Granada,16,206,349,59,2798,429,119,169,70.4,53,92,57.6,14,22,63.6
517,Carlos Soler,es ESP,MF,Valencia,30.4,1272,1579,80.6,22712,6828,555,594,93.4,495,565,87.6,165,309,53.4
518,Son,es ESP,"DF,MF",Levante,12.3,480,641,74.9,8206,2893,250,295,84.7,173,211,82,47,91,51.6
519,David Soria,es ESP,GK,Getafe,28,399,860,46.4,18729,17093,17,17,100,71,75,94.7,311,762,40.8
520,Alberto Soro,es ESP,"FW,MF",Granada,4.4,92,129,71.3,1290,346,57,66,86.4,24,33,72.7,6,15,40
521,Hugo Sotelo,es ESP,MF,Celta Vigo,0,0,0,,0,0,0,0,,0,0,,0,0,
522,Damián Suárez,uy URU,DF,Getafe,27,863,1343,64.3,15823,8962,392,493,79.5,333,487,68.4,113,268,42.2
523,Denis Suárez,es ESP,MF,Celta Vigo,31.7,1650,2037,81,25777,7577,848,952,89.1,575,680,84.6,135,239,56.5
524,Luis Suárez,uy URU,FW,Atlético Madrid,27.9,418,588,71.1,5622,896,234,308,76,90,130,69.2,35,47,74.5
525,Suso,es ESP,FW,Sevilla,24.6,977,1209,80.8,15931,3789,516,556,92.8,315,391,80.6,99,164,60.4
526,Tachi,es ESP,DF,Alavés,9.4,269,368,73.1,6114,2856,72,87,82.8,139,158,88,55,112,49.1
527,Renato Tapia,pe PER,MF,Celta Vigo,30,1292,1598,80.9,23638,6606,519,598,86.8,566,639,88.6,159,258,61.6
528,Tomás Tavares,pt POR,"MF,DF",Alavés,0.7,17,21,81,216,78,12,13,92.3,3,5,60,1,1,100
529,Álvaro Tejero,es ESP,DF,Eibar,1.2,76,99,76.8,1315,550,39,42,92.9,27,36,75,10,17,58.8
530,Cristian Tello,es ESP,"FW,MF",Betis,14.3,388,504,77,5929,1501,222,255,87.1,125,158,79.1,24,43,55.8
531,Marc-André ter Stegen,de GER,GK,Barcelona,31,925,1043,88.7,22407,15663,182,183,99.5,514,522,98.5,228,336,67.9
532,David Timor,es ESP,"MF,DF",Getafe,15.5,393,633,62.1,8840,3497,149,196,76,135,209,64.6,92,193,47.7
533,Toño,es ESP,"DF,FW",Levante,8.1,324,406,79.8,4622,1726,201,223,90.1,95,118,80.5,14,32,43.8
534,Lucas Torreira,uy URU,MF,Atlético Madrid,5.8,272,312,87.2,4093,1193,153,167,91.6,84,95,88.4,19,25,76
535,Óliver Torres,es ESP,"MF,FW",Sevilla,15.6,860,1026,83.8,16344,3871,413,448,92.2,257,304,84.5,154,210,73.3
536,Pau Torres,es ESP,DF,Villarreal,33,1812,2069,87.6,35447,12293,643,695,92.5,913,978,93.4,230,342,67.3
537,Roberto Torres,es ESP,"MF,FW",Osasuna,21,519,781,66.5,9509,3102,245,303,80.9,166,234,70.9,80,166,48.2
538,Lucas Torró,es ESP,MF,Osasuna,17.2,504,669,75.3,7987,2500,266,344,77.3,174,212,82.1,40,68,58.8
539,Manu Trigueros,es ESP,MF,Villarreal,28.1,1380,1615,85.4,21607,6603,731,795,91.9,493,561,87.9,97,146,66.4
540,Francisco Trincão,pt POR,"FW,MF",Barcelona,7.8,327,391,83.6,3963,742,203,221,91.9,79,90,87.8,7,15,46.7
541,Kieran Trippier,eng ENG,DF,Atlético Madrid,27.5,1406,1821,77.2,22500,9024,743,824,90.2,481,618,77.8,121,244,49.6
542,Samuel Umtiti,fr FRA,DF,Barcelona,7.2,579,617,93.8,9647,3080,242,253,95.7,288,302,95.4,33,43,76.7
543,Enes Ünal,tr TUR,FW,Getafe,14.6,204,348,58.6,2508,633,131,197,66.5,40,77,51.9,9,13,69.2
544,Tomáš Vaclík,cz CZE,GK,Sevilla,5,121,145,83.4,3008,1786,19,19,100,70,70,100,31,55,56.4
545,Eugeni Valderrama,es ESP,"MF,FW",Huesca,1.3,67,81,82.7,1130,341,33,34,97.1,27,32,84.4,7,12,58.3
546,Jesús Vallejo,es ESP,DF,Granada,15,375,521,72,8519,3780,101,127,79.5,193,217,88.9,76,151,50.3
547,Manu Vallejo,es ESP,"FW,MF",Valencia,10.6,192,256,75,2532,550,112,135,83,49,59,83.1,10,15,66.7
548,Federico Valverde,uy URU,MF,Real Madrid,14.8,673,777,86.6,10927,2743,347,375,92.5,211,244,86.5,70,87,80.5
549,Raphaël Varane,fr FRA,DF,Real Madrid,30.2,1591,1778,89.5,32290,10299,464,504,92.1,906,959,94.5,200,272,73.5
550,Denis Vavro,sk SVK,DF,Huesca,6.8,244,324,75.3,4980,1796,87,95,91.6,117,140,83.6,35,76,46.1
551,Franco Vázquez,ar ARG,"FW,MF",Sevilla,1.8,94,107,87.9,1466,338,47,51,92.2,29,32,90.6,9,12,75
552,Kevin Vázquez,es ESP,DF,Celta Vigo,6.2,260,347,74.9,3667,1628,163,189,86.2,73,92,79.3,13,32,40.6
553,Lucas Vázquez,es ESP,"DF,FW",Real Madrid,20.5,1215,1448,83.9,19178,5377,686,747,91.8,370,434,85.3,107,161,66.5
554,Koke Vegas,es ESP,GK,Levante,1,19,29,65.5,466,358,7,7,100,7,7,100,4,14,28.6
555,Gabriel Veiga,es ESP,"MF,DF",Celta Vigo,1.3,24,32,75,291,55,11,14,78.6,6,8,75,2,3,66.7
556,Unai Vencedor Paris,es ESP,MF,Athletic Club,18.9,729,925,78.8,14644,4411,261,305,85.6,340,397,85.6,116,179,64.8
557,Gonzalo Verdú,es ESP,DF,Elche,32.7,1335,1592,83.9,28046,11435,420,447,94,701,764,91.8,204,355,57.5
558,Mikel Vesga,es ESP,MF,Athletic Club,19.1,703,909,77.3,12561,3588,325,393,82.7,269,324,83,84,123,68.3
559,Rúben Vezo,pt POR,DF,Levante,25.7,1131,1358,83.3,23866,9184,353,394,89.6,594,670,88.7,179,269,66.5
560,Iñigo Vicente,es ESP,"FW,MF",Athletic Club,0.6,43,60,71.7,745,197,21,25,84,18,23,78.3,4,9,44.4
561,Fede Vico,es ESP,"MF,FW",Granada,8.5,213,323,65.9,3093,916,128,159,80.5,54,82,65.9,18,59,30.5
562,Aleix Vidal,es ESP,DF,Sevilla,6.6,423,505,83.8,6807,2102,228,249,91.6,141,166,84.9,39,56,69.6
563,Nacho Vidal,es ESP,DF,Osasuna,26.1,709,1030,68.8,11857,5697,339,415,81.7,296,416,71.2,56,134,41.8
564,Toni Villa,es ESP,"MF,FW",Valladolid,10.8,272,380,71.6,4222,1486,144,173,83.2,88,117,75.2,25,45,55.6
565,Asier Villalibre,es ESP,FW,Athletic Club,17.7,181,298,60.7,2357,380,115,172,66.9,46,74,62.2,8,14,57.1
566,Iván Villar,es ESP,GK,Celta Vigo,19.8,411,681,60.4,12070,9079,81,81,100,187,191,97.9,143,403,35.5
567,Vitolo,es ESP,"MF,FW",Atlético Madrid,3.3,129,154,83.8,1458,377,91,104,87.5,20,23,87,4,9,44.4
568,Šime Vrsaljko,hr CRO,"FW,DF",Atlético Madrid,5.8,212,323,65.6,3216,1221,119,137,86.9,80,127,63,9,36,25
569,Nikola Vukcevic,me MNE,MF,Levante,9,272,320,85,4583,1068,139,150,92.7,102,115,88.7,23,40,57.5
570,Daniel Wass,dk DEN,"MF,DF",Valencia,33.1,1237,1626,76.1,20144,7401,628,714,88,463,581,79.7,103,215,47.9
571,Shon Weissman,il ISR,FW,Valladolid,23.7,246,340,72.4,2857,428,164,199,82.4,50,68,73.5,6,7,85.7
572,Iñaki Williams,gh GHA,FW,Athletic Club,26.5,375,575,65.2,5236,956,220,289,76.1,100,147,68,22,36,61.1
573,Nico Williams,es ESP,MF,Athletic Club,0.6,9,19,47.4,143,35,4,6,66.7,3,4,75,1,2,50
574,Jawad El Yamiq,ma MAR,DF,Valladolid,15.3,494,636,77.7,9915,3813,162,184,88,246,286,86,73,137,53.3
575,Rubén Yáñez,es ESP,GK,Getafe,10,164,273,60.1,6493,5481,10,10,100,50,50,100,104,211,49.3
576,Yoel,es ESP,GK,Eibar,3.3,75,119,63,2843,2283,7,8,87.5,23,25,92,45,86,52.3
577,Okay Yokuslu,tr TUR,MF,Celta Vigo,5.1,237,276,85.9,3778,1093,124,134,92.5,79,91,86.8,24,34,70.6
578,Joseba Zaldúa,es ESP,DF,Real Sociedad,7.1,307,395,77.7,4922,1994,162,182,89,115,154,74.7,23,41,56.1
579,Oier Zarraga,es ESP,MF,Athletic Club,1.1,33,43,76.7,583,142,14,19,73.7,15,17,88.2,3,3,100
580,Igor Zubeldia,es ESP,DF,Real Sociedad,21.8,1060,1223,86.7,21163,6191,311,354,87.9,618,661,93.5,121,181,66.9
581,Martín Zubimendi,es ESP,MF,Real Sociedad,20.9,983,1118,87.9,17148,4971,447,488,91.6,429,472,90.9,88,116,75.9
582,Martin Ødegaard,no NOR,MF,Real Madrid,2.6,145,171,84.8,2219,484,74,78,94.9,53,62,85.5,10,16,62.5
