,,Performance,,,,,,,,,,,,,Aerial Duels,,
Squad,# Pl,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Alavés,30,105,4,4,603,522,108,558,498,464,3,10,2,1975,608,602,50.2
Athletic Club,26,93,0,0,528,487,104,816,465,486,7,6,3,2174,715,609,54
Atlético Madrid,26,93,5,3,538,481,107,524,513,614,4,4,1,2214,554,539,50.7
Barcelona,25,67,2,0,383,520,134,409,424,413,4,2,0,2095,343,286,54.5
Betis,29,90,3,1,465,486,62,534,427,424,1,4,4,1953,447,453,49.7
Celta Vigo,23,85,1,0,430,540,92,583,497,420,2,5,1,2148,545,524,51
Eibar,27,84,3,2,492,435,84,1055,554,436,3,4,3,2287,752,718,51.2
Espanyol,25,87,1,1,521,530,76,720,515,500,3,6,2,2009,597,633,48.5
Getafe,32,130,5,4,673,495,108,585,487,491,11,4,0,2022,541,730,42.6
Girona,25,102,0,0,615,497,80,828,490,403,6,5,3,1981,643,597,51.9
La Coruña,32,99,2,1,507,436,94,747,484,500,5,5,3,2074,558,584,48.9
Las Palmas,36,88,3,1,484,665,81,581,508,433,5,5,1,1998,474,540,46.7
Leganés,28,102,5,3,592,503,97,690,583,483,2,7,0,2140,653,627,51
Levante,33,108,6,3,554,446,70,726,477,414,5,6,3,1967,468,559,45.6
Málaga,37,99,8,5,613,442,89,742,497,509,3,7,0,2086,602,739,44.9
Real Madrid,24,65,4,2,436,517,115,904,424,470,9,4,2,2087,406,369,52.4
Real Sociedad,27,60,5,4,419,538,91,782,446,374,5,8,1,2038,498,467,51.6
Sevilla,31,97,3,2,562,493,137,657,409,535,3,8,1,2129,582,504,53.6
Valencia,25,103,5,4,518,548,83,605,459,492,7,5,0,2023,534,460,53.7
Villarreal,32,113,6,4,598,458,111,517,427,466,5,8,0,2021,553,533,50.9
