,,Performance,,,,,,,,,,,,,Aerial Duels,,
Squad,# Pl,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Alavés,33,93,4,3,529,455,72,758,376,324,6,9,0,1910,869,674,56.3
Athletic Club,26,90,4,3,487,483,89,798,339,292,5,3,1,2098,585,572,50.6
Atlético Madrid,26,111,7,3,473,503,85,703,365,346,4,8,3,2002,559,539,50.9
Barcelona,38,97,5,3,499,489,99,798,325,331,6,3,0,2066,454,410,52.5
Betis,31,87,6,1,485,470,71,547,361,392,4,3,2,1908,505,511,49.7
Cádiz,33,105,3,3,488,449,69,865,413,380,5,13,0,2077,601,693,46.4
Celta Vigo,25,87,3,1,507,463,83,768,376,409,3,8,2,2144,603,696,46.4
Elche,28,104,6,1,518,471,74,720,305,325,1,10,0,1982,527,515,50.6
Espanyol,34,99,7,3,440,516,70,627,326,338,3,5,2,1736,447,574,43.8
Getafe,31,121,8,1,559,481,53,621,401,360,1,4,1,1924,721,717,50.1
Granada,32,105,4,1,477,466,62,691,326,343,2,9,2,1867,602,743,44.8
Levante,31,109,6,2,550,403,77,624,377,305,6,6,0,2054,441,492,47.3
Mallorca,33,114,7,4,554,535,67,597,344,332,6,8,4,2007,651,703,48.1
Osasuna,29,84,2,1,498,391,66,864,368,331,3,7,2,2118,808,743,52.1
Rayo Vallecano,28,101,3,1,537,511,83,862,365,359,4,9,1,2110,652,655,49.9
Real Madrid,31,76,0,0,394,474,106,611,334,345,10,5,0,1941,397,319,55.4
Real Sociedad,32,77,4,1,491,465,76,638,348,339,8,6,0,2012,678,597,53.2
Sevilla,33,97,4,2,462,462,80,787,270,302,3,4,0,2064,595,561,51.5
Valencia,34,134,8,6,641,586,52,765,339,364,8,8,3,2079,564,599,48.5
Villarreal,29,81,1,1,472,459,91,574,329,312,3,5,1,1946,491,437,52.9
