,,,,Playing Time,,,,Performance,,,,,,
Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR
Alavés,26,26.7,42.7,38,418,"3,420",38,39,27,37,2,3,101,1
Athletic Club,27,27.6,50.1,38,418,"3,420",38,38,26,33,5,7,118,4
Atlético Madrid,29,26.4,49.4,38,418,"3,420",38,52,36,49,3,4,100,5
Barcelona,30,27.7,64.2,38,418,"3,420",38,88,61,80,8,9,76,2
Betis,25,26.7,61.7,38,418,"3,420",38,43,30,38,5,7,89,1
Celta Vigo,28,25.5,51.7,38,418,"3,420",38,52,37,45,7,7,79,6
Eibar,25,28.5,54.1,38,418,"3,420",38,46,26,39,7,8,81,2
Espanyol,25,27.7,49.5,38,418,"3,420",38,44,26,40,4,4,90,2
Getafe,26,27.5,40.8,38,418,"3,420",38,47,34,41,6,6,107,7
Girona,26,26.6,48,38,418,"3,420",38,37,23,31,6,6,81,4
Huesca,30,26.7,44.7,38,418,"3,420",38,43,28,37,6,7,113,3
Leganés,29,26.6,42.8,38,418,"3,420",38,36,25,33,3,5,104,4
Levante,26,26.3,45.6,38,418,"3,420",38,56,39,51,5,7,107,7
Rayo Vallecano,29,26.6,48.7,38,418,"3,420",38,40,24,35,5,5,101,8
Real Madrid,27,27.1,60,38,418,"3,420",38,61,39,52,9,9,79,6
Real Sociedad,30,24.9,51.6,38,418,"3,420",38,44,27,36,8,10,80,4
Sevilla,27,27.9,52.2,38,418,"3,420",38,61,47,56,5,6,114,6
Valencia,25,26.4,47.1,38,418,"3,420",38,50,38,45,5,7,88,3
Valladolid,28,27.4,47,38,418,"3,420",38,31,19,27,4,7,92,0
Villarreal,26,27.1,48.3,38,418,"3,420",38,47,34,44,3,6,115,3
