,,,,Playing Time,,,,Performance,,,,,,
Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR
Athletic Club,25,27.7,49.9,38,418,"3,420",38,57,42,54,3,5,86,6
Atlético Madrid,25,25.9,48.5,38,418,"3,420",38,62,47,61,1,2,94,3
Barcelona,25,28,67.1,38,418,"3,420",38,109,74,98,11,19,67,1
Betis,29,27.4,46.7,38,418,"3,420",38,34,25,31,3,4,114,5
Celta Vigo,27,26.1,56.4,38,418,"3,420",38,50,41,46,4,5,115,8
Eibar,28,25.6,45.2,38,419,"3,420",38,47,31,41,6,8,108,4
Espanyol,26,24.9,46.2,38,418,"3,420",38,38,29,37,1,3,132,5
Getafe,27,26.7,46.1,38,418,"3,420",38,36,31,35,1,2,129,6
Granada,28,25.9,44.6,38,418,"3,420",38,45,26,38,7,7,141,7
La Coruña,25,28.2,47.1,38,418,"3,420",38,41,31,40,1,1,86,4
Las Palmas,27,27.6,54.6,38,418,"3,420",38,42,31,38,4,5,100,4
Levante,27,27.2,45.9,38,418,"3,420",38,36,23,34,2,2,134,7
Málaga,30,28,48.8,38,418,"3,420",38,37,27,35,2,4,110,5
Rayo Vallecano,29,28.5,55.6,38,418,"3,420",38,52,38,50,2,3,115,10
Real Madrid,24,26.5,57.3,38,418,"3,420",38,108,86,102,6,9,75,5
Real Sociedad,27,25.3,51.8,38,418,"3,420",38,44,31,43,1,1,109,5
Sevilla,33,26.9,50,38,418,"3,420",38,50,35,44,6,7,106,8
Sporting Gijón,28,24.5,43.1,38,418,"3,420",38,39,29,38,1,2,107,6
Valencia,30,24.7,50.1,38,419,"3,420",38,42,27,38,4,5,110,7
Villarreal,26,25.3,45.9,38,418,"3,420",38,42,32,39,3,3,103,4
