,,,,Playing Time,,,,Performance,,,,,,
Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR
Alavés,33,27.9,41.8,38,418,"3,420",38,29,20,23,6,7,93,4
Athletic Club,26,26.9,48.1,38,418,"3,420",38,40,34,37,3,7,90,4
Atlético Madrid,26,28.1,50.6,38,418,"3,420",38,63,45,59,4,5,111,7
Barcelona,38,26.2,64.8,38,418,"3,420",38,68,52,62,6,7,97,5
Betis,31,28.9,54.1,38,418,"3,420",38,61,45,55,6,6,87,6
Cádiz,33,28.5,40.9,38,418,"3,420",38,35,21,32,3,6,105,3
Celta Vigo,25,28.4,55.6,38,418,"3,420",38,43,29,40,3,6,87,3
Elche,28,29.1,48.4,38,418,"3,420",38,39,29,38,1,1,104,6
Espanyol,34,27.6,47.1,38,418,"3,420",38,39,25,34,5,5,99,7
Getafe,31,26.6,41.2,38,418,"3,420",38,32,26,29,3,5,121,8
Granada,32,28.1,44.6,38,418,"3,420",38,43,28,40,3,5,105,4
Levante,31,28,46.9,38,418,"3,420",38,51,34,43,8,13,109,6
Mallorca,33,27.9,45.1,38,418,"3,420",38,33,23,27,6,7,114,7
Osasuna,29,27.7,46.7,38,418,"3,420",38,37,23,31,6,8,84,2
Rayo Vallecano,28,27.5,49.9,38,418,"3,420",38,38,28,34,4,4,101,3
Real Madrid,31,27.7,60.3,38,418,"3,420",38,80,59,72,8,12,76,0
Real Sociedad,32,25.7,54.7,38,418,"3,420",38,40,22,31,9,11,77,4
Sevilla,33,28.6,59.8,38,418,"3,420",38,51,40,49,2,3,97,4
Valencia,34,24.8,43.6,38,418,"3,420",38,45,30,37,8,9,134,8
Villarreal,29,28,57,38,418,"3,420",38,62,51,57,5,6,81,1
