,,,,Playing Time,,,,Performance,,,,,,
Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR
Athletic Club,22,24.4,,38,418,,,49,33,48,1,2,104,8
Atlético Madrid,24,25.1,,38,418,,,51,32,46,5,6,127,4
Barcelona,29,26.6,,38,418,,,112,69,102,10,11,74,4
Betis,31,27.4,,38,418,,,47,25,44,3,3,101,7
Espanyol,29,24.2,,38,418,,,45,32,44,1,1,130,6
Getafe,29,27.6,,38,418,,,38,20,35,3,3,127,8
Granada,25,26.5,,38,418,,,35,18,31,4,4,107,10
Levante,27,30.4,,38,418,,,54,30,46,8,8,117,4
Málaga,26,27.3,,38,418,,,51,26,50,1,2,73,7
Mallorca,28,26.4,,38,418,,,38,25,33,5,5,118,6
Osasuna,28,27.8,,38,418,,,43,30,42,1,2,98,8
Racing Sant,32,25.6,,38,418,,,27,21,23,4,4,115,8
Rayo Vallecano,32,26.8,,38,418,,,51,26,46,5,6,125,3
Real Madrid,25,26.1,,38,418,,,120,85,108,12,13,90,5
Real Sociedad,24,25,,38,418,,,45,27,45,0,1,78,8
Sevilla,28,26.9,,38,418,,,47,32,46,1,4,109,8
Sporting Gijón,30,26.4,,38,418,,,41,21,38,3,3,117,5
Valencia,26,25.9,,38,418,,,55,34,52,3,4,128,7
Villarreal,28,26.6,,38,418,,,38,22,32,6,10,97,5
Zaragoza,28,27.1,,38,418,,,35,20,31,4,6,119,9
