,,,,Playing Time,,,,Performance,,,,,,
Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR
Almería,26,25.7,,38,418,,,36,27,36,0,1,100,4
Athletic Club,29,25.4,,38,418,,,57,34,50,7,11,102,7
Atlético Madrid,24,26,,38,418,,,61,44,59,2,5,105,5
Barcelona,28,26.5,,38,418,,,94,73,89,5,5,72,2
Espanyol,31,24.9,,38,418,,,44,28,38,6,6,109,5
Getafe,23,26.2,,38,418,,,47,30,42,5,5,109,7
Hércules,26,28.6,,38,418,,,36,17,33,3,4,92,8
La Coruña,30,27.2,,38,418,,,30,21,25,5,5,86,5
Levante,28,28.8,,38,418,,,41,29,39,2,2,126,3
Málaga,34,26.3,,38,418,,,53,36,50,3,6,102,7
Mallorca,24,26.5,,38,418,,,41,31,37,4,7,88,4
Osasuna,26,29.5,,38,418,,,44,27,39,5,5,106,7
Racing Sant,29,27.5,,38,418,,,38,21,37,1,6,87,7
Real Madrid,32,25.5,,38,418,,,100,67,89,11,12,93,8
Real Sociedad,23,26.2,,38,418,,,45,32,41,4,4,80,0
Sevilla,32,26.5,,38,418,,,62,41,52,10,12,100,7
Sporting Gijón,31,26.7,,38,418,,,33,21,26,7,7,109,6
Valencia,27,27,,38,418,,,63,47,61,2,2,111,8
Villarreal,28,26.4,,38,418,,,54,39,50,4,4,89,5
Zaragoza,24,27.5,,38,418,,,40,22,34,6,6,120,9
