,,,,Playing Time,,,,Performance,,,,,,
Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR
Alavés,32,27.6,41.1,38,418,"3,420",38,34,20,28,6,6,111,7
Athletic Club,26,26.7,48.7,38,418,"3,420",38,40,23,32,8,10,90,2
Atlético Madrid,30,26.1,48.5,38,418,"3,420",38,50,35,44,6,8,93,3
Barcelona,28,27.8,66.9,38,418,"3,420",38,84,62,78,6,6,92,6
Betis,27,27.5,57.1,38,418,"3,420",38,48,35,42,6,8,108,9
Celta Vigo,30,25.8,51.9,38,418,"3,420",38,37,26,31,6,9,104,6
Eibar,26,29.3,46.3,38,418,"3,420",38,38,24,31,7,10,92,3
Espanyol,31,27.7,47.3,38,418,"3,420",38,25,17,21,4,4,107,9
Getafe,30,27.5,44.6,38,418,"3,420",38,42,31,36,6,7,135,5
Granada,27,26.8,43.7,38,418,"3,420",38,50,34,45,5,5,109,1
Leganés,29,26.9,43.8,38,418,"3,420",38,30,19,27,3,5,127,4
Levante,29,27.7,48.4,38,418,"3,420",38,45,28,40,5,5,79,5
Mallorca,32,26.8,44.6,38,418,"3,420",38,39,21,31,8,10,93,5
Osasuna,31,27.7,47.5,38,418,"3,420",38,46,26,38,8,8,110,6
Real Madrid,26,27.6,59.1,38,418,"3,420",38,70,52,59,11,11,82,4
Real Sociedad,27,24.8,56.6,38,418,"3,420",38,53,38,49,4,5,79,2
Sevilla,26,27.7,58.4,38,418,"3,420",38,53,35,46,7,7,97,1
Valencia,28,27,48.9,38,418,"3,420",38,44,34,39,5,8,80,8
Valladolid,30,27.1,44.3,38,418,"3,420",38,31,19,28,3,6,84,0
Villarreal,25,27.6,53.2,38,418,"3,420",38,62,40,52,10,11,78,1
