,,,,Playing Time,,,,Performance,,,,,,
Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR
Alavés,25,25.4,44.4,38,418,"3,420",38,41,27,37,4,4,117,5
Athletic Club,25,26.8,51.1,38,418,"3,420",38,53,31,45,8,8,88,2
Atlético Madrid,22,26.9,48.4,38,418,"3,420",38,70,54,68,2,7,82,3
Barcelona,25,26.9,66.1,38,418,"3,420",38,113,71,105,8,9,74,1
Betis,27,26.1,47.9,38,418,"3,420",38,41,27,39,2,2,103,5
Celta Vigo,27,26.1,53.2,38,418,"3,420",38,52,33,45,7,7,105,8
Eibar,24,26.9,47.8,38,418,"3,420",38,53,34,47,6,8,94,7
Espanyol,27,27.2,44,38,418,"3,420",38,48,36,46,2,4,80,2
Granada,35,24.7,45.1,38,418,"3,420",38,30,19,30,0,1,112,6
La Coruña,28,27.7,47,38,418,"3,420",38,42,29,39,3,7,95,4
Las Palmas,29,27.3,59,38,418,"3,420",38,52,34,46,6,6,102,6
Leganés,31,26.3,44.7,38,418,"3,420",38,36,24,33,3,4,106,3
Málaga,29,26,48.4,38,418,"3,420",38,48,33,45,3,5,111,7
Osasuna,35,26.3,39,38,418,"3,420",38,37,24,33,4,6,99,3
Real Madrid,24,27,56.2,38,419,"3,420",38,106,83,100,6,8,76,2
Real Sociedad,27,26,56.7,38,418,"3,420",38,56,39,49,7,8,84,6
Sevilla,28,26.8,59.2,38,418,"3,420",38,67,48,64,3,5,107,4
Sporting Gijón,29,26.4,44.4,38,418,"3,420",38,42,26,38,4,7,114,4
Valencia,31,25.9,48.8,38,418,"3,420",38,53,38,49,4,6,111,6
Villarreal,27,26.7,49.3,38,418,"3,420",38,55,36,49,6,8,90,4
