,,,,Playing Time,,,,Performance,,,,,,
Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR
Alavés,30,28.7,42.7,38,418,"3,420",38,35,21,30,5,8,96,8
Athletic Club,27,26.6,49.8,38,418,"3,420",38,43,31,39,4,5,82,3
Atlético Madrid,25,27.3,52.4,38,418,"3,420",38,65,54,60,5,7,100,0
Barcelona,25,26.4,65.8,38,418,"3,420",38,80,51,76,4,8,72,2
Betis,25,27.9,53.9,38,418,"3,420",38,50,35,42,8,11,93,8
Cádiz,34,28.8,34.3,38,418,"3,420",38,33,16,29,4,4,81,3
Celta Vigo,30,26.6,53.7,38,418,"3,420",38,55,39,48,7,7,109,5
Eibar,30,28.2,49.6,38,418,"3,420",38,29,20,25,4,9,71,3
Elche,30,28.1,47.6,38,418,"3,420",38,33,25,31,2,3,99,3
Getafe,31,26.7,42.8,38,418,"3,420",38,27,14,24,3,5,120,7
Granada,34,27.4,41,38,418,"3,420",38,46,30,43,3,5,97,6
Huesca,27,28,48.3,38,418,"3,420",38,32,23,29,3,4,69,2
Levante,29,28,52.4,38,418,"3,420",38,45,35,42,3,6,68,1
Osasuna,28,27.9,43.1,38,418,"3,420",38,36,25,31,5,6,80,5
Real Madrid,30,27.9,59.7,38,418,"3,420",38,64,53,61,3,3,59,2
Real Sociedad,30,25,55.1,38,418,"3,420",38,58,39,49,9,12,81,1
Sevilla,26,28.1,61.2,38,418,"3,420",38,52,36,46,6,7,79,2
Valencia,30,25.2,46.9,38,418,"3,420",38,48,35,40,8,10,82,5
Valladolid,32,28.1,45.1,38,418,"3,420",38,34,21,27,7,8,93,4
Villarreal,29,28,55.6,38,418,"3,420",38,57,33,45,12,13,67,5
