,,,,Playing Time,,,,Performance,,,,,,
Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR
Almería,27,26.1,46.4,38,418,"3,420",38,33,22,28,5,6,0,0
Athletic Club,26,26.8,53.2,38,418,"3,420",38,41,26,36,5,5,0,0
Atlético Madrid,25,27.5,48.6,38,418,"3,420",38,65,48,60,5,6,0,0
Barcelona,24,27.7,65.7,38,418,"3,420",38,107,79,101,6,7,0,0
Celta Vigo,23,26.3,55.9,38,418,"3,420",38,47,33,43,4,6,0,0
Córdoba,33,25.7,45.9,38,418,"3,420",38,21,12,19,2,3,0,0
Eibar,23,27.6,43.8,38,418,"3,420",38,33,25,31,2,2,0,0
Elche,24,26.3,47.9,38,418,"3,420",38,35,25,31,4,7,0,0
Espanyol,27,26.9,46,38,418,"3,420",38,47,29,43,4,4,0,0
Getafe,27,26.9,46.9,38,418,"3,420",38,32,25,31,1,2,0,0
Granada,34,26.6,47.4,38,418,"3,420",38,29,17,23,6,6,0,0
La Coruña,27,26.9,48.4,38,418,"3,420",38,33,17,29,4,7,0,0
Levante,29,28,44.5,38,418,"3,420",38,34,22,31,3,4,0,0
Málaga,23,26.6,49.5,38,418,"3,420",38,40,27,36,4,7,0,0
Rayo Vallecano,28,27.2,54.8,38,418,"3,420",38,46,33,44,2,3,0,0
Real Madrid,24,26.4,56.2,38,418,"3,420",38,116,91,105,11,13,0,0
Real Sociedad,25,26.5,49.8,38,418,"3,420",38,41,35,38,3,3,0,0
Sevilla,26,26.2,50.3,38,418,"3,420",38,68,45,60,8,10,0,0
Valencia,24,24.8,50,38,418,"3,420",38,66,48,61,5,7,0,0
Villarreal,28,25,48.6,38,418,"3,420",38,48,34,46,2,2,0,0
