,,,,Playing Time,,,,Performance,,,,,,
Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR
Almería,28,27.5,,38,418,,,43,28,35,8,8,0,0
Athletic Club,24,26.4,,38,418,,,65,46,61,4,7,0,0
Atlético Madrid,25,26.9,,38,418,,,74,55,68,6,10,0,0
Barcelona,25,27.4,,38,418,,,96,71,85,11,13,0,0
Betis,33,26.6,,38,418,,,35,21,34,1,4,0,0
Celta Vigo,26,25,,38,418,,,47,32,45,2,3,0,0
Elche,28,27.2,,38,418,,,30,22,26,4,6,0,0
Espanyol,24,26.7,,38,418,,,40,30,35,5,6,0,0
Getafe,28,27.7,,38,418,,,34,30,32,2,3,0,0
Granada,26,26.3,,38,418,,,31,22,28,3,6,0,0
Levante,28,28.9,,38,418,,,33,19,29,4,8,0,0
Málaga,28,27,,38,418,,,39,30,37,2,3,0,0
Osasuna,25,28,,38,418,,,31,15,31,0,0,0,0
Rayo Vallecano,30,25.8,,38,418,,,45,30,38,7,9,0,0
Real Madrid,25,26.4,,38,418,,,103,78,97,6,6,0,0
Real Sociedad,27,25.8,,38,418,,,59,44,57,2,2,0,0
Sevilla,31,25.9,,38,418,,,68,47,61,7,10,0,0
Valencia,31,26.1,,38,418,,,51,35,49,2,3,0,0
Valladolid,25,27.7,,38,418,,,37,28,36,1,2,0,0
Villarreal,25,25.2,,38,418,,,58,42,53,5,6,0,0
