,,,,Playing Time,,,,Performance,,,,,,
Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR
Alavés,30,25.5,39.8,38,418,"3,420",38,40,31,39,1,3,105,4
Athletic Club,26,26.7,49.7,38,418,"3,420",38,39,25,33,6,8,93,0
Atlético Madrid,26,26.6,47.3,38,418,"3,420",38,57,41,53,4,5,93,5
Barcelona,25,27.7,63.1,38,418,"3,420",38,96,74,93,3,5,67,2
Betis,29,27.1,57.7,38,418,"3,420",38,56,43,54,2,3,90,3
Celta Vigo,23,25.7,56.1,38,418,"3,420",38,57,45,55,2,3,85,1
Eibar,27,27.4,52.4,38,418,"3,420",38,43,31,41,2,3,84,3
Espanyol,25,26.8,46.8,38,418,"3,420",38,34,24,32,2,3,87,1
Getafe,32,28.2,39.4,38,418,"3,420",38,41,27,36,5,12,130,5
Girona,25,26.3,46.8,38,418,"3,420",38,50,31,44,6,8,102,0
La Coruña,32,28.2,46.6,38,418,"3,420",38,38,30,35,3,5,99,2
Las Palmas,36,27,55.1,38,418,"3,420",38,24,15,18,6,8,88,3
Leganés,28,27.8,42.5,38,418,"3,420",38,32,23,30,2,3,102,5
Levante,33,25.7,42.5,38,418,"3,420",38,43,28,38,5,5,108,6
Málaga,37,27.2,44,38,418,"3,420",38,24,15,20,4,6,99,8
Real Madrid,24,27.1,60.5,38,418,"3,420",38,91,65,83,8,10,65,4
Real Sociedad,27,25.9,56.8,38,418,"3,420",38,64,47,60,4,5,60,5
Sevilla,31,27.1,54.5,38,418,"3,420",38,48,35,44,4,5,97,3
Valencia,25,24.8,48.9,38,418,"3,420",38,63,45,55,8,8,103,5
Villarreal,32,26.6,50.5,38,418,"3,420",38,56,45,52,4,5,113,6
