,,,,,,Tackles,,,,,Vs Dribbles,,,,Blocks,,,,,,
16,Carles Aleñá,es ESP,"MF,FW",Getafe,15.2,15,10,3,9,3,7,25,28,18,14,1,13,2,17,2,0
17,Alfon,es ESP,MF,Celta Vigo,0.4,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
18,Sergio Álvarez,es ESP,"MF,DF",Eibar,17.4,42,25,13,26,3,8,22,36.4,14,22,5,17,22,64,24,2
19,Yeray Álvarez,es ESP,DF,Athletic Club,21.6,19,12,11,8,0,9,21,42.9,12,12,5,7,53,72,73,0
20,Emmanuel Amankwaa Akurugu,gh GHA,DF,Getafe,0.5,0,0,0,0,0,0,1,0,1,1,0,1,2,2,1,0
21,Jon Ander Garrido,es ESP,MF,Cádiz,8.9,18,10,8,7,3,10,26,38.5,16,12,4,8,14,32,13,0
22,Ángel,es ESP,GK,Granada,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
23,José Ángel,es ESP,DF,Eibar,10,15,8,9,4,2,8,12,66.7,4,7,0,7,13,28,17,1
24,Miguel Ángel Rubio,es ESP,DF,Valladolid,1.5,0,0,0,0,0,0,0,,0,2,2,0,3,3,11,0
25,José Antonio Miranda,gq EQG,"MF,DF",Getafe,0.3,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0
26,Aritz Arambarri,es ESP,DF,Real Sociedad,0.3,1,1,0,1,0,1,2,50,1,0,0,0,0,1,0,0
27,Mauro Arambarri,uy URU,MF,Getafe,33.1,64,39,22,35,7,23,80,28.8,57,40,5,35,42,106,28,0
28,Néstor Araujo,mx MEX,DF,Celta Vigo,27,24,16,14,9,1,7,15,46.7,8,23,18,5,43,67,89,2
29,Ronald Araújo,uy URU,DF,Barcelona,16.8,22,11,12,8,2,9,9,100,0,24,15,9,20,42,47,1
30,Anaitz Arbilla,es ESP,DF,Eibar,31.2,45,26,31,11,3,27,54,50,27,36,11,25,69,114,73,1
31,Unai Arietaleanizbeaskoa,es ESP,"FW,MF",Eibar,0.5,1,0,0,0,1,0,0,,0,0,0,0,0,1,0,0
32,Sergio Arribas,es ESP,"MF,FW",Real Madrid,1.5,3,1,2,1,0,1,3,33.3,2,2,0,2,4,7,2,0
33,Sergio Asenjo,es ESP,GK,Villarreal,36,0,0,0,0,0,0,1,0,1,0,0,0,0,0,13,2
34,Marco Asensio,es ESP,"FW,MF",Real Madrid,20.8,12,6,7,4,1,3,24,12.5,21,15,0,15,11,23,10,0
35,Iago Aspas,es ESP,FW,Celta Vigo,31.8,11,3,2,7,2,2,23,8.7,21,25,2,23,16,27,21,0
36,Miguel Atienza,es ESP,MF,Eibar,9.3,20,9,5,15,0,8,23,34.8,15,14,1,13,9,29,12,0
37,Ezequiel Ávila,ar ARG,"FW,MF",Osasuna,2.2,6,2,3,1,2,2,4,50,2,1,0,1,1,7,0,0
38,Ramon Azeez,ng NGA,MF,Granada,1.1,1,1,0,1,0,0,0,,0,0,0,0,1,2,1,0
39,Carlos Bacca,co COL,FW,Villarreal,8.7,9,5,5,3,1,3,5,60,2,5,0,5,3,12,2,0
40,Édgar Badía,es ESP,GK,Elche,30,1,0,1,0,0,1,3,33.3,2,0,0,0,0,1,17,3
41,Alex Baena,es ESP,MF,Villarreal,1.5,4,3,1,2,1,1,3,33.3,2,1,1,0,1,5,1,0
42,Miguel Baeza,es ESP,"MF,FW",Celta Vigo,6,7,6,5,2,0,5,13,38.5,8,3,0,3,3,10,2,0
43,Mikel Balenziaga,es ESP,DF,Athletic Club,18.8,26,15,11,12,3,9,18,50,9,22,7,15,7,33,46,0
44,Barcia,es ESP,DF,Granada,1,1,1,1,0,0,0,0,,0,1,1,0,3,4,9,0
45,Enis Bardhi,mk MKD,MF,Levante,18.7,28,12,8,16,4,10,36,27.8,26,8,2,6,21,49,14,0
46,Kike Barja,es ESP,"MF,FW",Osasuna,15.9,10,5,6,1,3,5,24,20.8,19,10,1,9,16,26,8,0
47,Marc Baró,es ESP,DF,Cádiz,1,2,1,2,0,0,0,2,0,2,1,0,1,2,4,2,1
48,Antonio Barragán,es ESP,DF,Elche,24.8,28,14,21,5,2,12,21,57.1,9,22,8,14,33,61,67,1
49,Ander Barrenetxea,es ESP,"MF,FW",Real Sociedad,14.5,29,19,5,18,6,9,24,37.5,15,20,0,20,6,35,8,0
50,Marc Bartra,es ESP,DF,Betis,18.8,27,16,18,8,1,12,22,54.5,10,19,5,14,40,67,74,3
51,Álvaro Bastida,es ESP,MF,Cádiz,0.4,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
52,Rodrigo Battaglia,ar ARG,MF,Alavés,27.7,38,16,21,14,3,16,50,32,34,30,14,16,29,67,40,1
53,Jon Bautista,es ESP,FW,Real Sociedad,4.1,5,3,0,2,3,0,3,0,3,3,1,2,2,7,4,0
54,Fran Beltrán,es ESP,"MF,FW",Celta Vigo,15.5,30,22,15,12,3,8,24,33.3,16,14,1,13,16,46,24,0
55,Sergio Benito,es ESP,FW,Valladolid,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
56,Karim Benzema,fr FRA,FW,Real Madrid,32.2,8,6,4,2,2,5,15,33.3,10,9,2,7,8,16,24,0
57,Yuri Berchiche,es ESP,DF,Athletic Club,18.7,24,19,14,5,5,10,24,41.7,14,14,0,14,11,35,29,0
58,Álex Berenguer,es ESP,"MF,FW",Athletic Club,25.3,47,31,21,20,6,9,51,17.6,42,48,3,45,18,65,27,0
59,Pedro Bigas,es ESP,DF,Eibar,17,11,9,7,4,0,7,14,50,7,12,6,6,23,34,54,0
60,Blanco,es ESP,"MF,FW",Real Madrid,2.4,7,2,4,2,1,3,7,42.9,4,6,2,4,3,10,5,0
61,Alejandro Blanco,es ESP,MF,Valencia,6.4,8,4,4,4,0,3,18,16.7,15,5,0,5,8,16,9,0
62,Rubén Blanco,es ESP,GK,Celta Vigo,18.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,7,3
63,Alejandro Blesa,es ESP,MF,Levante,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
64,Yann Bodiger,fr FRA,MF,Cádiz,2.8,2,2,1,1,0,1,6,16.7,5,7,3,4,8,10,4,0
65,Yassine Bounou,ma MAR,GK,Sevilla,33,1,1,1,0,0,0,2,0,2,0,0,0,0,1,12,2
66,Lucas Boyé,ar ARG,FW,Elche,29.9,47,31,13,27,7,10,49,20.4,39,37,2,35,19,66,21,0
67,Martin Braithwaite,dk DEN,FW,Barcelona,13.1,8,4,2,3,3,1,6,16.7,5,2,0,2,6,14,7,0
68,Darko Brasanac,rs SRB,MF,Osasuna,10.1,10,6,6,4,0,5,16,31.3,11,8,1,7,7,17,10,0
69,Álvaro Bravo,es ESP,MF,Granada,0.2,1,1,1,0,0,1,2,50,1,0,0,0,1,2,0,0
70,Claudio Bravo,cl CHI,GK,Betis,20,0,0,0,0,0,0,1,0,1,0,0,0,0,0,11,0
71,Yan Brice Eteki,cm CMR,MF,Granada,14.7,23,15,10,12,1,8,19,42.1,11,13,3,10,13,36,16,1
72,Juan Brunet,ar ARG,MF,Granada,0.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
73,Bryan,es ESP,FW,Sevilla,0.1,1,1,0,1,0,0,0,,0,0,0,0,0,1,0,0
74,Bryan,es ESP,"MF,FW",Eibar,25.2,28,18,12,11,5,6,23,26.1,17,20,0,20,17,45,6,0
75,Ante Budimir,hr CRO,FW,Osasuna,18.1,20,12,2,11,7,4,15,26.7,11,17,4,13,2,22,17,1
76,Esteban Burgos,ar ARG,DF,Eibar,12.3,7,6,4,3,0,1,5,20,4,8,7,1,23,30,54,2
77,Burgui,es ESP,MF,Alavés,0.2,3,1,2,1,0,1,1,100,0,0,0,0,0,3,0,0
78,Sergio Busquets,es ESP,MF,Barcelona,28,63,35,21,29,13,27,76,35.5,49,27,4,23,53,116,18,2
79,Erick Cabaco,uy URU,DF,Getafe,14.7,24,14,11,12,1,12,22,54.5,10,8,6,2,13,37,51,1
80,Cala,es ESP,DF,Cádiz,25.2,21,12,15,6,0,11,21,52.4,10,18,8,10,35,56,91,0
81,Jonathan Calleri,ar ARG,FW,Osasuna,17.2,15,6,2,4,9,3,17,17.6,14,18,2,16,1,16,10,1
82,Dani Calvo,es ESP,DF,Elche,19.8,20,13,13,7,0,7,10,70,3,18,12,6,11,31,71,0
83,José Campaña,es ESP,MF,Levante,8.3,14,6,3,6,5,5,14,35.7,9,2,0,2,13,27,4,0
84,Sergio Canales,es ESP,"MF,FW",Betis,27.8,16,9,9,6,1,3,21,14.3,18,18,0,18,13,29,5,0
85,Álex Cantero,es ESP,FW,Levante,2.6,2,1,0,2,0,1,2,50,1,1,0,1,0,2,3,0
86,Ander Capa,es ESP,DF,Athletic Club,23.7,37,18,22,13,2,18,37,48.6,19,21,8,13,25,62,57,0
87,Étienne Capoue,fr FRA,MF,Villarreal,13.2,20,10,14,6,0,8,18,44.4,10,7,1,6,20,40,23,0
88,Isaac Carcelen,es ESP,DF,Cádiz,28.7,68,43,36,25,7,33,60,55,27,37,12,25,49,117,89,0
89,Cárdenas,es ESP,GK,Levante,8,0,0,0,0,0,0,1,0,1,0,0,0,3,3,5,1
90,Marc Cardona,es ESP,"FW,DF",Osasuna,0.6,1,0,1,0,0,1,1,100,0,0,0,0,0,1,0,0
91,Diego Carlos,br BRA,DF,Sevilla,31,22,13,17,4,1,8,16,50,8,35,27,8,31,53,114,1
92,Juan Carlos,es ESP,"MF,FW",Huesca,3.2,5,3,4,1,0,2,15,13.3,13,7,0,7,1,6,1,0
93,Yannick Carrasco,be BEL,"DF,MF",Atlético Madrid,24.2,27,15,14,6,7,15,34,44.1,19,24,0,24,17,44,16,1
94,Sergio Carreira,es ESP,DF,Celta Vigo,2.9,3,0,2,1,0,1,1,100,0,2,0,2,1,4,7,0
95,Guido Carrillo,ar ARG,FW,Elche,11.1,9,8,1,7,1,2,8,25,6,2,1,1,4,13,14,0
96,Dani Carvajal,es ESP,DF,Real Madrid,10.6,27,20,12,10,5,11,20,55,9,19,1,18,13,40,27,0
97,William Carvalho,pt POR,MF,Betis,13.6,19,12,7,11,1,5,21,23.8,16,11,3,8,11,30,14,1
98,Casemiro,br BRA,MF,Real Madrid,32.2,84,49,50,30,4,33,73,45.2,40,50,17,33,70,154,62,0
99,Sofian Chakla,ma MAR,DF,Villarreal,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
100,Sofian Chakla,ma MAR,DF,Getafe,10,12,8,10,1,1,5,7,71.4,2,3,2,1,14,26,48,1
101,Chema,es ESP,"DF,MF",Getafe,6.2,11,5,6,5,0,5,7,71.4,2,1,0,1,10,21,23,0
102,Denis Cheryshev,ru RUS,MF,Valencia,12.2,19,15,6,7,6,6,26,23.1,20,15,1,14,12,31,15,0
103,Samuel Chukwueze,ng NGA,"MF,FW",Villarreal,15.2,12,7,4,4,4,3,17,17.6,14,8,0,8,10,22,3,0
104,Víctor Chust,es ESP,DF,Real Madrid,1.1,1,1,0,1,0,0,2,0,2,2,2,0,1,2,5,0
105,Cifu,es ESP,DF,Elche,5,10,7,7,3,0,7,13,53.8,6,5,1,4,8,18,10,0
106,Alberto Cifuentes,es ESP,GK,Cádiz,2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
107,Jasper Cillessen,nl NED,GK,Valencia,10,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
108,Carlos Clerc,es ESP,DF,Levante,30.9,56,29,33,16,7,22,39,56.4,17,26,4,22,37,93,55,1
109,Coke,es ESP,DF,Levante,9.3,24,10,14,7,3,14,27,51.9,13,13,1,12,14,38,27,0
110,Francis Coquelin,fr FRA,MF,Villarreal,8.2,19,14,4,12,3,8,19,42.1,11,8,2,6,21,40,11,1
111,Iñigo Córdoba,es ESP,"FW,MF",Athletic Club,1.1,0,0,0,0,0,0,3,0,3,4,0,4,2,2,1,0
112,Iñigo Córdoba,es ESP,MF,Alavés,2.4,6,4,1,3,2,2,10,20,8,7,0,7,3,9,2,0
113,Ángel Correa,ar ARG,"FW,MF",Atlético Madrid,26.6,38,21,10,23,5,15,45,33.3,30,18,1,17,22,60,16,0
114,Rober Correa,es ESP,DF,Eibar,12.6,16,9,8,6,2,8,12,66.7,4,9,1,8,20,36,31,0
115,Thierry Correia,pt POR,DF,Valencia,23.7,47,27,32,10,5,21,43,48.8,22,24,6,18,42,89,63,1
116,Diego Costa,es ESP,FW,Atlético Madrid,2.3,1,0,1,0,0,1,3,33.3,2,0,0,0,0,1,2,0
117,Jaume Costa,es ESP,"DF,MF",Villarreal,3.9,10,6,4,6,0,7,9,77.8,2,7,1,6,6,16,8,0
118,Thibaut Courtois,be BEL,GK,Real Madrid,38,0,0,0,0,0,0,1,0,1,1,0,1,1,1,17,2
119,Philippe Coutinho,br BRA,"MF,FW",Barcelona,7.3,8,6,2,5,1,3,9,33.3,6,7,0,7,2,10,1,0
120,Juan Cruz Armada,es ESP,DF,Osasuna,21.8,36,22,17,16,3,19,35,54.3,16,19,5,14,15,51,50,0
121,Sergio Cubero Ezcurra,es ESP,MF,Eibar,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
122,Cucho,co COL,"FW,MF",Getafe,16.3,19,10,1,14,4,2,23,8.7,21,18,1,17,6,25,8,0
123,Marc Cucurella,es ESP,MF,Getafe,36,64,51,19,40,5,25,66,37.9,41,45,4,41,40,104,27,0
124,Patrick Cutrone,it ITA,FW,Valencia,1.2,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0
125,Moussa Dembélé,fr FRA,FW,Atlético Madrid,1.1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0
126,Ousmane Dembélé,fr FRA,FW,Barcelona,19.7,14,9,4,9,1,6,17,35.3,11,10,0,10,9,23,3,1
127,Sergiño Dest,us USA,"DF,FW",Barcelona,21.2,31,16,23,6,2,18,32,56.3,14,25,4,21,10,41,24,1
128,Deyverson,br BRA,FW,Alavés,9.7,6,4,3,1,2,2,13,15.4,11,9,0,9,9,15,13,0
129,Abdoulay Diaby,ml MLI,DF,Getafe,0.2,2,0,0,2,0,0,0,,0,2,0,2,0,2,0,0
130,Mouctar Diakhaby,gn GUI,DF,Valencia,23.1,16,8,10,6,0,8,12,66.7,4,28,21,7,27,43,102,1
131,Víctor Díaz,es ESP,DF,Granada,9.2,21,10,13,6,2,10,19,52.6,9,14,8,6,16,37,39,0
132,Papakouli Diop,sn SEN,MF,Eibar,25.8,43,29,15,22,6,12,41,29.3,29,23,5,18,39,82,34,1
133,Djené,tg TOG,DF,Getafe,32.7,61,39,31,26,4,26,34,76.5,8,24,11,13,42,103,96,0
134,Marko Dmitrovi?,rs SRB,GK,Eibar,34.7,4,3,4,0,0,2,4,50,2,0,0,0,0,4,16,2
135,Jaume Doménech,es ESP,GK,Valencia,28,1,1,1,0,0,1,2,50,1,1,0,1,0,1,16,2
136,Carlos Dominguez,es ESP,DF,Celta Vigo,4,5,4,4,1,0,3,6,50,3,5,3,2,6,11,24,0
137,John Donald,es ESP,"DF,MF",Elche,0.6,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
138,Cheick Doukouré,ci CIV,"MF,FW",Levante,1.1,5,4,2,1,2,3,4,75,1,2,0,2,3,8,0,0
139,Idrissa Doumbia,ci CIV,MF,Huesca,8.7,15,8,6,7,2,5,13,38.5,8,6,3,3,7,22,9,0
140,Domingos Duarte,pt POR,DF,Granada,26.3,32,20,18,12,2,14,21,66.7,7,29,20,9,29,61,86,0
141,Óscar Duarte,cr CRC,DF,Levante,22.9,22,13,17,5,0,10,18,55.6,8,23,15,8,36,58,97,1
142,Rubén Duarte,es ESP,DF,Alavés,28.3,55,30,28,21,6,23,52,44.2,29,44,6,38,66,121,72,0
143,Unai Dufur,es ESP,DF,Eibar,0.7,2,2,2,0,0,2,4,50,2,0,0,0,1,3,0,0
144,Hugo Duro,es ESP,FW,Real Madrid,0.6,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0
145,Aritz Elustondo,es ESP,DF,Real Sociedad,20.9,30,16,21,7,2,18,22,81.8,4,12,5,7,15,45,63,0
146,Rodrigo Ely,br BRA,DF,Alavés,5.2,5,2,3,2,0,3,4,75,1,2,1,1,7,12,23,1
147,Emerson,br BRA,DF,Betis,33.2,91,52,62,25,4,43,78,55.1,35,33,6,27,61,152,102,2
148,Youssef En-Nesyri,ma MAR,FW,Sevilla,25.7,17,11,2,9,6,4,21,19,17,15,0,15,8,25,23,0
149,Sergi Enrich,es ESP,FW,Eibar,15.6,21,15,6,7,8,9,22,40.9,13,11,0,11,6,27,5,0
150,Aarón Escandell,es ESP,GK,Granada,5,1,1,1,0,0,1,1,100,0,0,0,0,0,1,6,0
151,Dani Escriche,es ESP,"FW,MF",Huesca,9.5,9,7,5,2,2,3,10,30,7,11,0,11,8,17,5,0
152,Sergio Escudero,es ESP,DF,Sevilla,6.3,12,8,6,5,1,6,12,50,6,5,2,3,9,21,7,0
153,Alfonso Espino,uy URU,DF,Cádiz,28.9,92,48,63,28,1,43,85,50.6,42,30,5,25,41,133,74,0
154,Vicente Esquerdo,es ESP,MF,Valencia,2.6,7,4,5,2,0,4,6,66.7,2,4,2,2,8,15,1,0
155,Pervis Estupiñán,ec ECU,DF,Villarreal,13,37,17,23,12,2,14,23,60.9,9,10,2,8,35,72,14,2
156,Xabier Etxeita,es ESP,DF,Getafe,9.8,8,4,5,3,0,7,14,50,7,6,3,3,13,21,38,0
157,Edu Expósito,es ESP,MF,Eibar,27.3,51,30,16,31,4,20,66,30.3,46,25,4,21,22,73,17,0
158,Jokin Ezkieta,es ESP,GK,Athletic Club,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
159,Fali,es ESP,"DF,MF",Cádiz,29.3,42,25,24,15,3,16,37,43.2,21,28,15,13,32,74,119,0
160,Ansu Fati,es ESP,FW,Barcelona,4.8,9,4,2,4,3,2,10,20,8,4,0,4,3,12,1,0
161,Nabil Fekir,fr FRA,"MF,FW",Betis,29.1,45,23,9,22,14,7,43,16.3,36,31,2,29,8,53,2,0
162,Felipe,br BRA,DF,Atlético Madrid,22.9,29,17,19,10,0,18,23,78.3,5,30,15,15,36,65,128,2
163,João Félix,pt POR,"FW,MF",Atlético Madrid,17.5,8,4,1,6,1,4,17,23.5,13,3,0,3,5,13,2,0
164,Aitor Fernández,es ESP,GK,Levante,29,0,0,0,0,0,0,0,,0,0,0,0,2,2,17,1
165,Álex Fernández,es ESP,MF,Cádiz,21.6,19,9,8,8,3,8,30,26.7,22,14,1,13,22,41,15,0
166,Álvaro Fernández,es ESP,GK,Huesca,22,1,1,0,1,0,1,3,33.3,2,0,0,0,2,3,7,0
167,Andrés Fernández,es ESP,GK,Huesca,16,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,2
168,Augusto Fernández,ar ARG,MF,Cádiz,4.1,11,3,5,6,0,2,13,15.4,11,5,1,4,9,20,5,0
169,Carlos Fernández,es ESP,FW,Sevilla,1.6,1,0,1,0,0,0,2,0,2,3,1,2,1,2,0,0
170,Carlos Fernández,es ESP,"FW,MF",Real Sociedad,4.3,3,2,0,2,1,1,8,12.5,7,6,1,5,0,3,6,0
171,Joaquín Fernández,es ESP,DF,Valladolid,23,30,16,21,8,1,12,21,57.1,9,24,15,9,43,73,113,0
172,Fernando,br BRA,MF,Sevilla,28.3,54,28,24,25,5,23,43,53.5,20,25,11,14,41,95,70,0
173,David Ferreiro,es ESP,"MF,FW",Huesca,28.1,25,12,12,8,5,8,49,16.3,41,21,1,20,25,50,15,0
174,Facundo Ferreyra,ar ARG,FW,Celta Vigo,3.3,4,3,1,2,1,0,2,0,2,5,0,5,2,6,2,0
175,Fidel,es ESP,"MF,DF",Elche,26.6,46,30,28,15,3,25,64,39.1,39,22,2,20,16,62,14,0
176,Junior Firpo,es ESP,"DF,MF",Barcelona,3.2,1,1,1,0,0,0,1,0,1,5,3,2,4,5,7,0
177,Kingsley Fobi,gh GHA,DF,Granada,0.5,0,0,0,0,0,0,0,,0,0,0,0,1,1,1,0
178,Ramón Folch,es ESP,MF,Elche,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
179,José Fontán,es ESP,DF,Celta Vigo,7.2,12,9,8,4,0,5,11,45.5,6,4,3,1,13,25,27,0
180,Dimitri Foulquier,fr FRA,DF,Granada,29.6,35,21,20,12,3,15,26,57.7,11,24,7,17,26,61,60,0
181,Juan Foyth,ar ARG,"DF,MF",Villarreal,13,40,22,22,14,4,12,29,41.4,17,21,6,15,19,59,24,1
182,Jorge de Frutos,es ESP,MF,Levante,24.3,48,24,21,21,6,11,41,26.8,30,25,2,23,16,64,18,0
183,Ramiro Funes Mori,ar ARG,DF,Villarreal,8.1,12,8,7,5,0,7,11,63.6,4,7,5,2,8,20,42,1
184,Javi Galán,es ESP,DF,Huesca,34.1,88,54,47,35,6,46,72,63.9,26,30,4,26,39,127,61,0
185,Enric Gallego,es ESP,FW,Osasuna,9,6,3,2,2,2,2,14,14.3,12,5,1,4,1,7,9,0
186,Kévin Gameiro,fr FRA,FW,Valencia,12,7,4,3,2,2,3,11,27.3,8,10,0,10,0,7,3,0
187,Aleix García,es ESP,MF,Eibar,4.9,5,4,2,2,1,1,10,10,9,5,0,5,8,13,2,0
188,Borja García,es ESP,"MF,FW",Huesca,12.4,13,7,4,6,3,6,12,50,6,12,0,12,10,23,4,1
189,Dani García,es ESP,MF,Athletic Club,21.3,39,19,10,23,6,15,46,32.6,31,20,7,13,33,72,34,0
190,David García,es ESP,DF,Osasuna,35,26,17,13,13,0,13,24,54.2,11,36,19,17,59,85,171,0
191,Manu García,es ESP,MF,Alavés,12.5,24,13,10,13,1,8,35,22.9,27,16,1,15,12,36,21,0
192,Raúl García,es ESP,"DF,MF",Valladolid,5.6,10,8,5,5,0,6,20,30,14,5,1,4,9,19,10,0
193,Raúl García,es ESP,"FW,MF",Athletic Club,19.4,34,19,9,19,6,7,22,31.8,15,30,1,29,15,49,20,0
194,Rubén García,es ESP,"MF,FW",Osasuna,30.2,50,29,21,22,7,14,45,31.1,31,28,2,26,29,79,20,0
195,Sergi García,es ESP,MF,Alavés,0.2,1,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0
196,Unai García,es ESP,DF,Osasuna,13.8,19,9,14,4,1,9,15,60,6,16,8,8,14,33,40,0
197,Mario Gaspar,es ESP,DF,Villarreal,20.6,55,34,22,24,9,21,40,52.5,19,26,4,22,30,85,47,1
198,Paulo Gazzaniga,ar ARG,GK,Elche,8,1,1,1,0,0,0,0,,0,0,0,0,1,2,4,0
199,David Gil,es ESP,GK,Cádiz,4,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0
200,Álvaro Giménez,es ESP,FW,Cádiz,4.5,4,2,2,2,0,0,3,0,3,2,0,2,2,6,3,0
201,Dani Gómez,es ESP,FW,Levante,18.5,4,3,2,1,1,0,11,0,11,3,0,3,2,6,4,0
202,Ibai Gómez,es ESP,MF,Athletic Club,4.7,6,4,2,3,1,4,7,57.1,3,3,0,3,2,8,4,0
203,Maxi Gómez,uy URU,FW,Valencia,29.9,11,9,3,7,1,3,14,21.4,11,13,3,10,2,13,34,0
204,Moi Gómez,es ESP,"MF,FW",Villarreal,28.5,21,12,6,8,7,14,35,40,21,20,3,17,11,32,16,0
205,Papu Gómez,ar ARG,"MF,FW",Sevilla,10.2,9,6,2,4,3,2,12,16.7,10,13,2,11,7,16,6,0
206,Sergi Gómez,es ESP,DF,Sevilla,8,4,3,2,2,0,1,1,100,0,5,4,1,6,10,34,0
207,Sergio Gómez,es ESP,"MF,FW",Huesca,8.8,29,10,17,9,3,11,22,50,11,15,0,15,14,43,9,0
208,Maxime Gonalons,fr FRA,MF,Granada,16.4,53,37,18,33,2,15,37,40.5,22,17,0,17,25,78,21,1
209,Bruno González,es ESP,DF,Valladolid,25.1,26,17,18,8,0,17,31,54.8,14,22,14,8,37,63,112,1
210,Diego González,es ESP,DF,Elche,14.2,11,7,7,3,1,5,11,45.5,6,16,9,7,20,31,49,1
211,Sergio González,es ESP,"MF,DF",Cádiz,1,1,0,0,1,0,1,2,50,1,0,0,0,2,3,0,0
212,Urko González,es ESP,MF,Real Sociedad,0.5,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0
213,Andoni Gorosabel,es ESP,DF,Real Sociedad,26.5,76,43,45,20,11,27,64,42.2,37,25,4,21,23,99,42,0
214,Antoine Griezmann,fr FRA,"FW,MF",Barcelona,28.9,37,22,10,18,9,12,40,30,28,20,1,19,12,49,11,0
215,Andrés Guardado,mx MEX,MF,Betis,14.6,25,12,10,11,4,10,25,40,15,13,3,10,18,43,19,0
216,Sergi Guardiola,es ESP,FW,Valladolid,19.9,11,5,1,5,5,2,27,7.4,25,12,1,11,7,18,16,3
217,Nemanja Gudelj,rs SRB,"MF,DF",Sevilla,11.6,23,12,16,5,2,4,10,40,6,10,6,4,24,47,24,2
218,Gonçalo Guedes,pt POR,"MF,FW",Valencia,25.4,18,12,8,7,3,10,45,22.2,35,24,1,23,8,26,7,0
219,Ander Guevara,es ESP,MF,Real Sociedad,23.1,35,23,15,16,4,15,30,50,15,19,5,14,25,60,35,1
220,John Guidetti,se SWE,FW,Alavés,2.3,2,2,0,2,0,0,2,0,2,0,0,0,1,3,2,0
221,Hugo Guillamón,es ESP,DF,Valencia,22.1,23,13,17,6,0,8,20,40,12,19,14,5,27,50,102,3
222,Jon Guridi,es ESP,MF,Real Sociedad,9.2,19,9,10,6,3,8,22,36.4,14,8,1,7,10,29,9,0
