,,,,,,Tackles,,,,,Vs Dribbles,,,,Blocks,,,,,,
Rk,Player,Nation,Pos,Squad,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
215,Vicente Guaita,es ESP,GK,Getafe,33,0,0,0,0,0,0,0,,0,0,0,0,3,3,12,1
216,Andrés Guardado,mx MEX,MF,Betis,25.2,41,27,17,18,6,15,55,27.3,40,27,5,22,22,63,29,1
217,Gonçalo Guedes,pt POR,MF,Valencia,27.1,38,26,18,15,5,16,51,31.4,35,22,0,22,16,54,10,0
218,Ramiro Guerra,uy URU,MF,Villarreal,0.8,3,2,1,0,2,2,3,66.7,1,0,0,0,0,3,2,0
219,Francis Guerrero,es ESP,"DF,MF",Betis,11,31,19,22,7,2,16,34,47.1,18,16,4,12,21,52,26,0
220,John Guidetti,se SWE,FW,Alavés,13.6,7,7,3,1,3,2,10,20,8,10,1,9,2,9,7,0
221,John Guidetti,se SWE,"FW,MF",Celta Vigo,1.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
222,Guilherme,br BRA,MF,La Coruña,29.3,79,56,35,37,7,28,77,36.4,49,36,9,27,46,125,62,0
223,Gerard Gumbau,es ESP,MF,Leganés,15.9,35,26,13,21,1,12,37,32.4,25,12,4,8,14,49,27,0
224,Jon Guridi,es ESP,MF,Real Sociedad,0.6,1,0,1,0,0,0,1,0,1,1,0,1,0,1,0,0
225,Alejandro Gutiérrez Mozo,es ESP,MF,Leganés,0.5,3,2,1,2,0,1,4,25,3,0,0,0,0,3,0,0
226,Hacen,mr MTN,"FW,MF",Levante,0.9,0,0,0,0,0,0,0,,0,4,2,2,1,1,0,0
227,Munir El Haddadi,ma MAR,FW,Alavés,27.2,25,20,8,9,8,5,14,35.7,9,13,2,11,9,34,5,0
228,Achraf Hakimi,ma MAR,DF,Real Madrid,8.4,21,15,9,6,6,11,25,44,14,9,1,8,10,31,19,1
229,Alen Halilovi?,hr CRO,"FW,MF",Las Palmas,14.5,11,7,5,6,0,4,17,23.5,13,10,1,9,5,16,4,0
230,Mario Hermoso,es ESP,DF,Espanyol,21.4,14,12,13,1,0,8,21,38.1,13,15,8,7,25,39,122,0
231,Hernán,es ESP,MF,Las Palmas,3.9,18,9,8,7,3,10,17,58.8,7,2,0,2,8,26,5,0
232,Héctor Hernández,es ESP,DF,Alavés,0.2,1,1,0,1,0,1,1,100,0,0,0,0,0,1,1,0
233,Lucas Hernández,fr FRA,DF,Atlético Madrid,23.5,93,68,51,35,7,55,74,74.3,19,35,10,25,40,133,90,0
234,Luis Hernández,es ESP,DF,Málaga,36,49,43,37,9,3,17,33,51.5,16,32,21,11,77,126,185,1
235,Pablo Hernández,cl CHI,MF,Celta Vigo,20.2,48,33,17,27,4,14,46,30.4,32,29,11,18,40,88,72,0
236,Theo Hernández,fr FRA,DF,Real Madrid,10.7,21,15,16,2,3,13,25,52,12,9,2,7,17,38,20,0
237,Borja Herrera,es ESP,DF,Las Palmas,2.7,2,1,2,0,0,2,7,28.6,5,6,1,5,3,5,4,0
238,Iago Herrerín,es ESP,GK,Athletic Club,8,2,1,2,0,0,2,2,100,0,0,0,0,0,2,7,1
239,Andrew Hjulsager,dk DEN,"DF,MF",Celta Vigo,0.2,0,0,0,0,0,0,2,0,2,1,0,1,0,0,0,0
240,Brown Ideye,ng NGA,FW,Málaga,8.1,2,2,0,2,0,0,5,0,5,2,0,2,1,3,11,0
241,Asier Illarramendi,es ESP,MF,Real Sociedad,35.1,85,57,35,41,9,37,90,41.1,53,44,8,36,75,160,35,0
242,Andrés Iniesta,es ESP,MF,Barcelona,20.3,28,22,11,8,9,6,31,19.4,25,21,2,19,10,38,12,1
243,Takashi Inui,jp JPN,"MF,FW",Eibar,29.2,39,21,12,19,8,13,42,31,29,36,0,36,18,57,10,0
244,Gorka Iraizoz,es ESP,GK,Girona,8.5,1,1,1,0,0,1,2,50,1,0,0,0,1,2,9,2
245,Carlos Isaac,es ESP,DF,Atlético Madrid,0.7,1,0,1,0,0,1,3,33.3,2,0,0,0,2,3,1,0
246,Isco,es ESP,MF,Real Madrid,19.7,22,12,5,10,7,5,35,14.3,30,11,0,11,15,37,2,0
247,Manuel Iturra,cl CHI,MF,Málaga,17.6,70,45,36,27,7,22,55,40,33,19,2,17,29,99,23,0
248,Ander Iturraspe,es ESP,MF,Athletic Club,21.2,42,31,18,22,2,10,32,31.3,22,22,7,15,35,77,57,0
249,Ivi,es ESP,"MF,FW",Levante,19.6,48,34,19,23,6,21,62,33.9,41,21,1,20,15,63,15,0
250,Adnan Januzaj,be BEL,FW,Real Sociedad,17.5,16,11,2,8,6,5,18,27.8,13,12,0,12,11,27,5,0
251,Jason,es ESP,"FW,MF",Levante,19.8,32,25,11,14,7,11,38,28.9,27,14,1,13,20,52,8,0
252,Álvaro Jiménez,es ESP,"MF,FW",Getafe,5.9,15,8,5,6,4,8,21,38.1,13,6,0,6,1,16,6,0
253,Joaquín,es ESP,"MF,FW",Betis,27.5,22,19,11,10,1,4,16,25,12,17,2,15,15,37,38,0
254,Jony,es ESP,"FW,MF",Málaga,2.4,3,2,2,0,1,0,4,0,4,1,0,1,2,5,1,0
255,Joan Jordán,es ESP,MF,Eibar,27,31,24,8,19,4,10,68,14.7,58,24,0,24,30,61,12,0
256,Willian José,br BRA,FW,Real Sociedad,30.8,10,7,1,5,4,2,9,22.2,7,10,1,9,5,15,31,0
257,Jozabed,es ESP,MF,Celta Vigo,16.4,18,12,7,9,2,3,18,16.7,15,18,2,16,16,34,19,0
258,Juanfran,es ESP,DF,La Coruña,34,64,44,38,22,4,35,65,53.8,30,29,11,18,63,127,121,0
259,Juanfran,es ESP,DF,Atlético Madrid,14.5,33,24,21,9,3,21,32,65.6,11,14,4,10,26,59,35,0
260,Juankar,es ESP,DF,Málaga,8.7,23,17,13,8,2,11,20,55,9,8,1,7,19,42,26,0
261,Juanmi,es ESP,"FW,MF",Real Sociedad,16.5,22,13,7,12,3,4,22,18.2,18,11,0,11,10,32,6,0
262,Juanpe,es ESP,DF,Girona,34.1,48,30,28,20,0,30,43,69.8,13,27,19,8,53,101,137,0
263,Juanpi,ve VEN,"MF,FW",Málaga,6.8,11,8,2,7,2,3,8,37.5,5,7,0,7,6,17,1,0
264,David Juncà,es ESP,DF,Eibar,10,15,13,9,6,0,7,19,36.8,12,7,1,6,11,26,25,0
265,Aleksandar Katai,rs SRB,"MF,DF",Alavés,0.6,1,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0
266,Olarenwaju Kayode,ng NGA,"FW,MF",Girona,4.3,3,3,1,2,0,0,4,0,4,1,0,1,1,4,0,0
267,Keko,es ESP,"MF,FW",Málaga,13.4,38,23,17,13,8,15,47,31.9,32,25,3,22,13,51,9,0
268,Kike,es ESP,FW,Eibar,27.3,14,8,1,7,6,2,11,18.2,9,15,1,14,10,24,14,0
269,Simon Kjær,dk DEN,DF,Sevilla,17.5,35,24,25,8,2,13,22,59.1,9,16,10,6,32,67,109,0
270,Koke,es ESP,MF,Atlético Madrid,30.6,75,45,31,32,12,27,95,28.4,68,40,3,37,24,99,38,0
271,Geoffrey Kondogbia,cf CTA,MF,Valencia,29,88,57,38,43,7,23,68,33.8,45,46,14,32,62,150,66,0
272,Mateo Kovacic,hr CRO,MF,Real Madrid,11,37,27,19,18,0,8,27,29.6,19,9,4,5,5,42,5,0
273,Maksym Koval,ua UKR,GK,La Coruña,1.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,2
274,Bojan Krki?,es ESP,"FW,MF",Alavés,4.9,2,1,1,1,0,1,2,50,1,5,0,5,3,5,0,0
275,Michael Krohn-Dehli,dk DEN,MF,La Coruña,8.1,12,9,6,5,1,4,17,23.5,13,2,0,2,13,25,7,0
276,Michael Krohn-Dehli,dk DEN,"MF,FW",Sevilla,6,13,7,4,5,4,6,11,54.5,5,5,0,5,4,17,7,0
277,Toni Kroos,de GER,MF,Real Madrid,25.1,55,35,19,29,7,22,59,37.3,37,20,2,18,16,71,10,1
278,Zdravko Kuzmanovi?,rs SRB,MF,Málaga,5.3,4,4,1,3,0,0,5,0,5,2,2,0,4,8,9,0
279,Alberto de la Bella,es ESP,DF,Real Sociedad,17,36,22,25,10,1,16,28,57.1,12,19,5,14,21,57,54,0
280,Mehdi Lacen,dz ALG,MF,Málaga,11.7,35,19,18,17,0,14,38,36.8,24,13,1,12,15,50,11,0
281,Mehdi Lacen,dz ALG,MF,Getafe,0.7,3,1,2,1,0,0,0,,0,1,0,1,0,3,1,0
282,Víctor Laguardia,es ESP,DF,Alavés,17,20,15,13,5,2,11,19,57.9,8,23,14,9,29,49,109,0
283,Aymeric Laporte,es ESP,DF,Athletic Club,19,38,23,27,11,0,14,25,56,11,19,13,6,27,65,94,1
284,Borja Lasso,es ESP,MF,Sevilla,0.6,4,1,2,2,0,1,2,50,1,3,0,3,0,4,0,0
285,Toni Lato,es ESP,"DF,MF",Valencia,8.9,30,16,22,6,2,16,27,59.3,11,9,3,6,9,39,23,0
286,Miguel Layún,mx MEX,DF,Sevilla,13.2,28,19,14,12,2,17,36,47.2,19,18,4,14,15,43,44,1
287,Iñigo Lekue,es ESP,"DF,FW",Athletic Club,23.5,71,42,37,26,8,34,53,64.2,19,29,3,26,16,87,46,1
288,Mauricio Lemos,uy URU,"DF,MF",Las Palmas,14,22,10,17,5,0,15,27,55.6,12,16,13,3,25,47,51,1
289,Clément Lenglet,fr FRA,DF,Sevilla,33.3,67,50,32,35,0,21,38,55.3,17,44,27,17,35,102,157,1
290,Pedro León,es ESP,"FW,MF",Eibar,10.3,9,4,0,2,7,0,4,0,4,18,2,16,9,18,5,0
291,Sergio León,es ESP,FW,Betis,22,13,7,3,6,4,3,11,27.3,8,12,1,11,6,19,5,0
292,Jefferson Lerma,co COL,MF,Levante,23.7,51,35,26,23,2,17,45,37.8,28,25,10,15,49,100,43,0
293,Maxime Lestienne,be BEL,MF,Málaga,7.4,8,5,5,0,3,3,15,20,12,7,1,6,6,14,6,0
294,Raúl Lizoain,es ESP,GK,Las Palmas,11,1,0,1,0,0,1,3,33.3,2,0,0,0,1,2,2,3
295,Diego Llorente,es ESP,DF,Real Sociedad,25.8,30,22,16,13,1,18,29,62.1,11,41,18,23,43,73,96,0
296,Marcos Llorente,es ESP,MF,Real Madrid,6.1,15,8,7,8,0,6,11,54.5,5,7,0,7,5,20,8,0
297,Stanislav Lobotka,sk SVK,MF,Celta Vigo,34,64,45,24,35,5,23,65,35.4,42,25,9,16,39,103,22,0
298,David Lombán,es ESP,DF,Eibar,11,16,8,12,3,1,10,15,66.7,5,6,4,2,29,45,66,2
299,Adrián López,es ESP,"FW,MF",La Coruña,26.1,24,14,11,8,5,7,25,28,18,22,4,18,10,34,49,0
300,Alberto López,es ESP,DF,Málaga,0.5,1,1,0,1,0,1,1,100,0,1,0,1,2,3,2,0
301,Andoni López,es ESP,DF,Athletic Club,1,1,0,1,0,0,1,1,100,0,1,0,1,1,2,6,0
302,David López,es ESP,"DF,MF",Espanyol,37,67,49,47,19,1,27,54,50,27,43,26,17,67,134,161,0
303,Diego López,es ESP,GK,Espanyol,9.5,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
304,Iván López,es ESP,DF,Levante,1.9,1,1,1,0,0,0,0,,0,2,2,0,8,9,2,0
305,Javi López,es ESP,DF,Espanyol,10.7,47,35,31,12,4,18,35,51.4,17,7,2,5,18,65,48,0
306,Pedro López Muñoz,es ESP,DF,Levante,17.7,33,23,21,10,2,17,30,56.7,13,22,7,15,26,59,45,0
307,Pau López,es ESP,GK,Espanyol,28.5,0,0,0,0,0,0,0,,0,0,0,0,1,1,15,2
308,Pedro López,es ESP,GK,Betis,4.6,0,0,0,0,0,0,0,,0,1,0,1,0,0,3,0
309,Víctor López,es ESP,MF,Alavés,0.7,2,1,0,2,0,0,1,0,1,0,0,0,1,3,1,0
310,Anthony Lozano,hn HON,"FW,MF",Girona,5.2,9,5,2,7,0,1,5,20,4,3,0,3,3,12,2,0
311,Filipe Luís,br BRA,DF,Atlético Madrid,18.4,83,52,41,33,9,36,49,73.5,13,27,7,20,35,118,34,0
312,José Luis Gayà,es ESP,DF,Valencia,32.4,77,60,52,22,3,43,68,63.2,25,43,12,31,56,133,90,1
313,José Luis Morales,es ESP,"MF,FW",Levante,34,37,23,15,15,7,13,65,20,52,28,0,28,26,63,20,0
314,Luisinho,pt POR,DF,La Coruña,29.1,111,77,64,40,7,65,96,67.7,31,24,4,20,55,166,113,0
315,Douglas Luiz,br BRA,"MF,FW",Girona,3.4,10,9,4,6,0,3,11,27.3,8,1,0,1,4,14,0,0
316,Sasa Lukic,rs SRB,MF,Levante,11,21,16,9,8,4,5,16,31.3,11,14,6,8,17,38,13,0
317,Antonio Luna,es ESP,DF,Levante,22.5,39,26,23,13,3,24,41,58.5,17,26,9,17,36,75,68,0
318,Pablo Maffeo,es ESP,DF,Girona,29.4,74,55,39,23,12,25,49,51,24,28,7,21,50,124,82,0
319,Nemanja Maksimovi?,rs SRB,MF,Valencia,6.2,21,13,10,8,3,8,16,50,8,15,6,9,16,37,8,0
320,Hugo Mallo,es ESP,DF,Celta Vigo,33.3,84,55,55,26,3,35,53,66,18,30,15,15,68,152,111,1
321,Aïssa Mandi,dz ALG,DF,Betis,33.6,54,35,27,25,2,19,34,55.9,15,39,24,15,71,125,133,3
322,Martín Mantovani,ar ARG,DF,Leganés,11.4,12,5,10,2,0,7,10,70,3,10,6,4,22,34,67,0
323,José Manuel Jurado,es ESP,"MF,FW",Espanyol,16.7,18,14,8,8,2,5,14,35.7,9,13,1,12,16,34,5,0
324,Marcelo,br BRA,DF,Real Madrid,25.1,53,37,19,23,11,22,58,37.9,36,26,2,24,30,83,23,2
325,Óscar de Marcos,es ESP,"DF,FW",Athletic Club,18.4,28,21,11,15,2,13,29,44.8,16,15,2,13,19,47,36,0
326,José María Giménez,uy URU,DF,Atlético Madrid,18.8,38,27,29,6,3,23,35,65.7,12,28,15,13,30,68,101,1
327,Adrián Marín,es ESP,DF,Villarreal,2.6,6,4,3,3,0,2,8,25,6,2,0,2,3,9,8,0
328,Guillermo Maripán,cl CHI,DF,Alavés,17,28,16,24,4,0,17,32,53.1,15,19,10,9,36,64,108,0
329,Roger Martí,es ESP,FW,Levante,10.7,8,4,2,5,1,2,13,15.4,11,11,0,11,1,9,5,0
330,Aarón Martín,es ESP,DF,Espanyol,31.3,56,36,41,12,3,31,59,52.5,28,26,5,21,49,105,78,0
331,Carlos Martínez,es ESP,DF,Real Sociedad,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
332,Emiliano Martínez,ar ARG,GK,Getafe,5,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,0
333,Iñigo Martínez,es ESP,DF,Athletic Club,16,28,20,20,8,0,18,29,62.1,11,17,8,9,30,58,82,0
334,Iñigo Martínez,es ESP,DF,Real Sociedad,11.7,14,9,9,4,1,5,11,45.5,6,9,4,5,23,37,55,0
335,Roger Martínez,co COL,FW,Villarreal,2.6,1,1,0,1,0,0,2,0,2,2,0,2,0,1,1,0
336,Javier Mascherano,ar ARG,DF,Barcelona,6,15,13,9,6,0,8,9,88.9,1,14,8,6,8,23,20,0
337,Borja Mayoral,es ESP,"FW,MF",Real Madrid,3.8,6,3,0,4,2,1,5,20,4,3,0,3,0,6,0,0
338,Róbert Mazá?,sk SVK,DF,Celta Vigo,0.9,0,0,0,0,0,0,1,0,1,1,0,1,2,2,0,0
339,Álvaro Medrán,es ESP,MF,Alavés,10.5,20,14,5,10,5,8,21,38.1,13,7,0,7,13,33,10,0
340,Álvaro Medrán,es ESP,MF,Valencia,0.8,1,1,1,0,0,1,2,50,1,0,0,0,3,4,1,0
341,Óscar Melendo,es ESP,"MF,FW",Espanyol,7.6,2,2,2,0,0,0,5,0,5,2,0,2,3,5,3,0
342,Brais Méndez,es ESP,"MF,FW",Celta Vigo,10.5,19,15,9,6,4,7,17,41.2,10,13,0,13,4,23,12,0
343,Gabriel Mercado,ar ARG,DF,Sevilla,23.5,55,37,35,18,2,36,67,53.7,31,32,20,12,42,97,83,1
344,Sabin Merino,es ESP,"FW,MF",Athletic Club,4.2,7,3,2,3,2,3,8,37.5,5,6,2,4,1,8,10,0
345,Roque Mesa,es ESP,MF,Sevilla,3.8,13,10,2,7,4,6,8,75,2,3,2,1,0,13,5,0
346,Lionel Messi,ar ARG,FW,Barcelona,33.3,17,8,0,11,6,2,18,11.1,16,11,1,10,7,24,0,0
347,Michel,br BRA,DF,Las Palmas,23.7,33,24,21,8,4,14,25,56,11,21,11,10,39,72,64,1
348,Santi Mina,es ESP,FW,Valencia,17.3,17,9,4,9,4,4,22,18.2,18,14,1,13,2,19,19,0
349,Yerry Mina,co COL,DF,Barcelona,4.1,10,8,6,4,0,4,6,66.7,2,6,3,3,6,16,16,0
350,Ignasi Miquel,es ESP,DF,Málaga,19.7,19,10,11,7,1,4,15,26.7,11,23,13,10,33,52,113,0
351,Luka Modric,hr CRO,MF,Real Madrid,21.9,33,22,14,15,4,15,41,36.6,26,13,4,9,31,64,7,0
352,Johan Mojica,co COL,DF,Girona,23.7,42,27,31,8,3,21,37,56.8,16,24,3,21,32,74,42,2
353,Jorge Molina,es ESP,FW,Getafe,31,18,10,3,6,9,4,27,14.8,23,25,4,21,7,25,27,0
354,Daniel Molina Orta,es ESP,MF,Celta Vigo,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
355,Francisco Molinero,es ESP,DF,Getafe,6.4,13,10,10,3,0,7,16,43.8,9,6,0,6,14,27,27,0
356,Momo,es ESP,"FW,MF",Las Palmas,7.5,14,8,8,3,3,4,13,30.8,9,5,0,5,5,19,1,0
357,Jefferson Montero,ec ECU,"MF,FW",Getafe,0.6,1,1,1,0,0,1,1,100,0,0,0,0,0,1,2,0
358,Martín Montoya,es ESP,DF,Valencia,23.9,66,48,36,22,8,30,55,54.5,25,35,10,25,53,119,89,0
359,Walter Montoya,ar ARG,FW,Sevilla,0.8,1,1,1,0,0,1,3,33.3,2,1,0,1,0,1,3,0
360,Shaquell Moore,us USA,DF,Levante,4.7,8,6,3,3,2,3,7,42.9,4,4,0,4,13,21,11,0
361,Emre Mor,tr TUR,"FW,MF",Celta Vigo,7.4,14,7,6,7,1,6,11,54.5,5,7,1,6,4,18,7,0
362,Sergio Mora,es ESP,MF,Getafe,9,21,15,8,12,1,14,31,45.2,17,10,2,8,15,36,11,0
363,Erik Morán,es ESP,MF,Leganés,2.5,2,2,1,0,1,0,3,0,3,1,1,0,4,6,0,0
364,Gerard Moreno,es ESP,FW,Espanyol,37.9,41,28,7,22,12,12,53,22.6,41,27,6,21,19,60,46,0
365,Héctor Moreno,mx MEX,DF,Real Sociedad,8,7,3,7,0,0,5,7,71.4,2,3,3,0,10,17,17,0
366,Marlos Moreno,co COL,"MF,DF",Girona,0.3,1,1,0,0,1,0,1,0,1,1,0,1,0,1,0,0
367,Loren Morón,es ESP,FW,Betis,11.8,14,8,4,5,5,4,17,23.5,13,14,1,13,1,15,12,0
368,Pedro Mosquera,es ESP,MF,La Coruña,15.5,48,31,15,29,4,13,38,34.2,25,26,6,20,23,71,38,0
369,Toni Moya,es ESP,MF,Atlético Madrid,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
370,Álex Mula,es ESP,"FW,MF",Málaga,6.2,7,3,3,4,0,2,12,16.7,10,5,0,5,6,13,1,0
371,Iker Muniain,es ESP,"MF,FW",Athletic Club,8.7,10,8,2,6,2,1,7,14.3,6,4,0,4,4,14,3,0
372,Marc Muniesa,es ESP,DF,Girona,12.5,33,18,17,15,1,11,23,47.8,12,12,5,7,33,66,40,0
373,Ezequiel Muñoz,ar ARG,DF,Leganés,15.6,36,28,24,12,0,11,20,55,9,18,11,7,24,60,84,0
374,Sulley Muntari,gh GHA,MF,La Coruña,4.5,9,7,2,7,0,1,7,14.3,6,10,4,6,11,20,10,0
375,Luis Muriel,co COL,FW,Sevilla,17.9,16,9,2,8,6,2,23,8.7,21,16,2,14,3,19,4,1
376,Jeison Murillo,co COL,DF,Valencia,15.3,31,24,25,6,0,14,21,66.7,7,18,9,9,29,60,85,1
377,Fahad Al Muwallad,sa KSA,MF,Levante,0.3,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0
378,Alfred N'Diaye,sn SEN,"DF,MF",Villarreal,1.1,3,1,1,1,1,1,1,100,0,0,0,0,3,6,3,0
379,Nacho,es ESP,DF,Real Madrid,23,55,40,29,19,7,20,38,52.6,18,21,9,12,46,101,51,0
380,Matías Nahuel,es ESP,"MF,FW",Betis,2.8,4,4,1,1,2,2,5,40,3,2,0,2,2,6,1,0
381,Naldo,br BRA,DF,Espanyol,10.2,14,8,12,1,1,5,10,50,5,13,10,3,16,30,57,1
382,Nano,es ESP,FW,Levante,3.1,7,6,2,4,1,1,1,100,0,4,0,4,0,7,0,0
383,Naranjo,es ESP,"MF,FW",Leganés,6.2,17,10,3,12,2,4,12,33.3,8,11,1,10,3,20,4,0
384,Juanjo Narváez,co COL,MF,Betis,3.4,8,6,4,4,0,3,6,50,3,3,0,3,8,16,4,0
385,Fernando Navarro,es ESP,DF,La Coruña,11.6,32,22,24,7,1,16,25,64,9,13,3,10,29,61,49,0
386,Marc Navarro,es ESP,DF,Espanyol,12.3,20,13,12,8,0,10,20,50,10,11,6,5,22,42,17,0
387,Rafa Navarro,es ESP,DF,Betis,1.5,3,2,3,0,0,0,4,0,4,0,0,0,1,4,6,0
388,Ximo Navarro,es ESP,DF,Las Palmas,29,63,43,44,19,0,28,50,56,22,27,16,11,66,129,131,4
389,Jesús Navas,es ESP,"FW,DF",Sevilla,19.6,32,25,17,9,6,12,26,46.2,14,14,5,9,19,51,37,0
390,Keylor Navas,cr CRC,GK,Real Madrid,27,2,1,2,0,0,1,1,100,0,0,0,0,3,5,10,2
391,Raúl Navas,es ESP,DF,Real Sociedad,19.9,22,15,18,4,0,14,26,53.8,12,23,13,10,30,52,73,0
392,Merveille Ndockyt,cg CGO,"MF,FW",Getafe,0.8,1,1,0,1,0,0,1,0,1,2,0,2,2,3,0,0
393,Neto,br BRA,GK,Valencia,33,1,1,1,0,0,1,2,50,1,1,0,1,1,2,8,3
394,Saúl Ñíguez,es ESP,MF,Atlético Madrid,35.1,132,90,53,69,10,40,104,38.5,64,61,12,49,55,187,77,0
395,Nolito,es ESP,"FW,MF",Sevilla,17.8,49,36,21,21,7,14,33,42.4,19,17,2,15,10,59,17,0
396,Unai Núñez,es ESP,DF,Athletic Club,32.7,73,52,54,19,0,38,56,67.9,18,52,27,25,67,140,155,2
397,Steven Nzonzi,fr FRA,MF,Sevilla,24.6,39,26,14,19,6,20,30,66.7,10,27,8,19,28,67,36,2
398,Jan Oblak,si SVN,GK,Atlético Madrid,37,0,0,0,0,0,0,0,,0,0,0,0,2,2,7,0
399,Álvaro Odriozola,es ESP,DF,Real Sociedad,32.4,41,27,22,15,4,20,35,57.1,15,25,7,18,26,67,50,0
400,Oier Olazábal,es ESP,GK,Levante,26,0,0,0,0,0,0,2,0,2,1,0,1,1,1,12,3
401,Paulo Oliveira,pt POR,DF,Eibar,24.6,41,22,28,13,0,16,22,72.7,6,23,9,14,62,103,140,0
402,Mathías Olivera,uy URU,MF,Getafe,1.1,3,1,1,0,2,3,5,60,2,3,0,3,1,4,2,0
403,Michael Olunga,ke KEN,"FW,MF",Girona,4.8,6,5,1,3,2,1,3,33.3,2,5,0,5,3,9,5,0
404,Javier Ontiveros,es ESP,"MF,FW",Málaga,4.3,10,7,8,2,0,2,4,50,2,4,2,2,4,14,4,0
405,Fabián Orellana,cl CHI,"MF,FW",Eibar,13.1,14,8,5,8,1,4,23,17.4,19,10,1,9,7,21,3,0
406,Mikel Oyarzabal,es ESP,"FW,MF",Real Sociedad,30.8,33,23,10,13,10,7,39,17.9,32,32,2,30,18,51,19,0
407,Daniel Pacheco,es ESP,"MF,FW",Getafe,1.9,4,4,1,2,1,0,1,0,1,2,0,2,2,6,1,0
408,Fernando Pacheco,es ESP,GK,Alavés,37.3,0,0,0,0,0,0,0,,0,1,0,1,3,3,12,4
409,Costel Pantilimon,ro ROU,GK,La Coruña,6,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
410,Rubén Pardo,es ESP,MF,Real Sociedad,2.5,1,0,0,1,0,1,2,50,1,5,0,5,5,6,1,0
411,Nicolás Pareja,ar ARG,DF,Sevilla,4.5,11,8,7,3,1,3,5,60,2,8,1,7,13,24,24,0
412,Daniel Parejo,es ESP,MF,Valencia,33.3,88,57,35,43,10,31,87,35.6,56,37,10,27,34,122,27,1
413,Thomas Partey,gh GHA,"MF,DF",Atlético Madrid,26.4,94,64,48,39,7,33,69,47.8,36,32,7,25,53,147,34,1
414,Paulinho,br BRA,MF,Barcelona,21.6,39,28,17,15,7,11,38,28.9,27,25,3,22,15,54,16,1
415,Gabriel Paulista,br BRA,DF,Valencia,28.7,47,27,41,4,2,32,46,69.6,14,30,14,16,51,98,142,2
416,Giampaolo Pazzini,it ITA,FW,Levante,4.9,0,0,0,0,0,0,0,,0,1,0,1,1,1,1,0
417,Alfonso Pedraza,es ESP,"MF,DF",Alavés,27.1,57,40,24,21,12,19,56,33.9,37,39,5,34,32,89,26,0
418,Rubén Peña,es ESP,"DF,MF",Eibar,19.2,41,28,20,17,4,20,42,47.6,22,24,6,18,30,71,31,0
419,Gabriel Peñalba,ar ARG,MF,Las Palmas,6.3,6,5,4,2,0,5,11,45.5,6,7,4,3,8,14,15,0
420,Adalberto Peñaranda,ve VEN,"FW,MF",Málaga,8.9,10,6,2,6,2,2,3,66.7,1,8,1,7,0,10,1,0
421,Andreas Pereira,br BRA,MF,Valencia,12,26,15,12,11,3,10,30,33.3,20,9,1,8,11,37,5,0
422,Hernán Pérez,py PAR,MF,Alavés,4.2,11,8,6,4,1,2,19,10.5,17,5,0,5,3,14,6,0
423,Hernán Pérez,py PAR,"MF,DF",Espanyol,1.6,4,3,1,1,2,2,3,66.7,1,1,0,1,1,5,1,0
424,Lucas Pérez,es ESP,FW,La Coruña,31.1,17,12,5,8,4,1,32,3.1,31,19,1,18,9,26,1,0
425,Rubén Pérez,es ESP,MF,Leganés,28,99,61,47,48,4,48,101,47.5,53,30,5,25,77,176,40,0
426,Pablo Piatti,ar ARG,"MF,FW",Espanyol,19.3,45,32,14,21,10,17,57,29.8,40,28,3,25,22,67,16,0
427,Tomás Pina Isla,es ESP,MF,Alavés,26.5,71,49,27,38,6,20,40,50,20,28,10,18,43,114,37,0
428,Gerard Piqué,es ESP,DF,Barcelona,29.2,31,22,22,9,0,16,36,44.4,20,40,27,13,30,61,127,0
429,Guido Pizarro,ar ARG,MF,Sevilla,19.5,75,47,36,36,3,29,67,43.3,38,20,7,13,26,101,48,0
430,Carles Planas,es ESP,DF,Girona,2.1,5,2,4,1,0,3,6,50,3,1,0,1,5,10,6,0
431,Pere Pons,es ESP,MF,Girona,28.4,80,54,28,48,4,23,87,26.4,64,28,3,25,30,110,25,0
432,Francisco Portillo,es ESP,"MF,FW",Getafe,27.3,38,23,15,18,5,11,45,24.4,34,25,1,24,22,60,21,0
433,Portu,es ESP,MF,Girona,33.3,30,24,9,11,10,8,33,24.2,25,14,0,14,12,42,1,0
434,Sergio Postigo,es ESP,DF,Levante,26.9,36,23,30,5,1,18,32,56.3,14,27,13,14,40,76,140,1
435,Darío Poveda,es ESP,MF,Villarreal,0,1,0,0,1,0,1,1,100,0,0,0,0,0,1,0,0
436,Andrés Prieto,es ESP,GK,Málaga,4,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0
