,,,,,,Tackles,,,,,Vs Dribbles,,,,Blocks,,,,,,
Rk,Player,Nation,Pos,Squad,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
50,Éver Banega,ar ARG,MF,Sevilla,26.7,71,53,25,37,9,22,63,34.9,41,23,1,22,12,83,17,3
51,Léo Baptistão,br BRA,"FW,MF",Espanyol,29.7,54,34,12,28,14,13,52,25,39,22,1,21,23,77,25,0
52,Mariano Barbosa,ar ARG,GK,Villarreal,12.5,0,0,0,0,0,0,0,,0,0,0,0,1,1,4,0
53,Enis Bardhi,mk MKD,MF,Levante,17.6,39,26,14,16,9,10,38,26.3,28,11,0,11,16,55,7,0
54,Antonio Barragán,es ESP,DF,Betis,26.4,59,42,40,11,8,24,36,66.7,12,22,5,17,24,83,66,0
55,Barri,es ESP,"MF,FW",Getafe,1.3,1,0,0,1,0,0,4,0,4,1,1,0,1,2,3,0
56,Marc Bartra,es ESP,DF,Betis,15.8,38,28,30,8,0,21,39,53.8,18,19,10,9,32,70,97,1
57,Borja Bastón,es ESP,FW,Málaga,10.9,9,7,1,6,2,1,13,7.7,12,7,0,7,3,12,5,0
58,Jon Bautista,es ESP,"FW,MF",Real Sociedad,2,0,0,0,0,0,0,1,0,1,2,0,2,0,0,0,0
59,Paul Baysse,fr FRA,DF,Málaga,13.8,25,16,21,3,1,10,17,58.8,7,10,6,4,20,45,84,0
60,Claudio Beauvue,gp GLP,FW,Leganés,18.6,5,3,2,2,1,1,12,8.3,11,7,0,7,2,7,16,0
61,Bebé,cv CPV,"MF,FW",Eibar,4.1,9,7,1,4,4,3,8,37.5,5,5,0,5,3,12,1,0
62,Wissam Ben Yedder,fr FRA,FW,Sevilla,18.9,12,8,2,5,5,1,2,50,1,10,0,10,5,17,2,0
63,Karim Benzema,fr FRA,FW,Real Madrid,23.9,14,8,2,6,6,3,20,15,17,18,0,18,8,22,19,0
64,Markel Bergara,es ESP,MF,Getafe,16.3,35,22,17,17,1,7,25,28,18,10,3,7,23,58,20,0
65,Pedro Bigas,es ESP,DF,Las Palmas,9.9,14,9,10,4,0,7,13,53.8,6,18,11,7,16,30,41,2
66,Rubén Blanco,es ESP,GK,Celta Vigo,21.6,0,0,0,0,0,0,2,0,2,1,0,1,3,3,16,1
67,Emmanuel Boateng,gh GHA,FW,Levante,14.2,4,3,0,0,4,0,6,0,6,8,1,7,5,9,17,0
68,Daniele Bonera,it ITA,DF,Villarreal,13.2,16,11,8,7,1,10,15,66.7,5,17,12,5,12,28,72,0
69,Celso Borges,cr CRC,MF,La Coruña,25.6,61,39,34,22,5,15,47,31.9,32,39,7,32,34,95,36,0
70,Ryad Boudebouz,dz ALG,"MF,FW",Betis,15.1,32,18,6,21,5,6,26,23.1,20,18,1,17,7,39,8,0
71,Yassine Bounou,ma MAR,GK,Girona,29.5,1,1,1,0,0,0,2,0,2,0,0,0,4,5,14,0
72,Eneko Bóveda,es ESP,DF,La Coruña,7.4,24,16,13,10,1,8,13,61.5,5,18,7,11,16,40,36,2
73,Eneko Bóveda,es ESP,DF,Athletic Club,5.8,12,11,7,4,1,5,11,45.5,6,3,0,3,14,26,14,0
74,Lucas Boyé,ar ARG,"FW,MF",Celta Vigo,3.1,12,8,3,7,2,3,10,30,7,5,0,5,6,18,4,0
75,Darko Brasanac,rs SRB,"MF,FW",Leganés,13.4,32,17,11,17,4,13,33,39.4,20,14,3,11,14,46,12,0
76,Alberto Bueno,es ESP,"MF,FW",Málaga,2.5,3,2,2,1,0,2,11,18.2,9,2,0,2,1,4,2,0
77,Burgui,es ESP,"MF,FW",Alavés,11.5,10,5,2,4,4,2,6,33.3,4,5,0,5,7,17,1,0
78,Sergio Busquets,es ESP,MF,Barcelona,28.8,88,48,27,46,15,39,79,49.4,40,37,10,27,51,139,15,1
79,Unai Bustinza,es ESP,DF,Leganés,18.2,36,21,25,8,3,21,38,55.3,17,17,9,8,47,83,64,0
80,Erick Cabaco,uy URU,DF,Levante,11.6,25,14,21,4,0,14,20,70,6,10,8,2,17,42,71,2
81,Gustavo Cabral,ar ARG,DF,Celta Vigo,21,29,21,14,15,0,14,38,36.8,24,22,11,11,43,72,106,2
82,Leandro Cabrera,uy URU,DF,Getafe,8,19,10,12,7,0,7,17,41.2,10,9,5,4,22,41,37,0
83,Cala,es ESP,DF,Getafe,20,21,14,16,5,0,13,27,48.1,14,21,10,11,39,60,124,0
84,Carlos Calderón,es ESP,MF,Getafe,0,1,1,0,0,1,0,0,,0,0,0,0,0,1,0,0
85,Jonathan Calleri,ar ARG,FW,Las Palmas,34.5,24,16,5,10,9,4,23,17.4,19,15,2,13,7,31,35,0
86,Víctor Camarasa,es ESP,MF,Betis,13.9,20,15,8,10,2,3,13,23.1,10,8,0,8,15,35,13,0
87,José Campaña,es ESP,MF,Levante,30.4,57,36,25,27,5,19,58,32.8,39,31,10,21,45,102,37,0
88,Joel Campbell,cr CRC,"MF,FW",Betis,2.4,6,2,3,3,0,3,6,50,3,2,0,2,0,6,0,0
89,Sergio Canales,es ESP,"MF,FW",Real Sociedad,21.4,30,24,6,18,6,9,32,28.1,23,25,0,25,11,41,3,0
90,João Cancelo,pt POR,MF,Valencia,1,1,1,0,1,0,1,1,100,0,1,0,1,2,3,0,0
91,Ander Capa,es ESP,DF,Eibar,25,57,38,34,14,9,25,38,65.8,13,21,2,19,52,109,50,1
92,Lionel Carole,fr FRA,DF,Sevilla,6,12,6,7,5,0,5,7,71.4,2,6,3,3,6,18,29,0
93,Yannick Carrasco,be BEL,"MF,FW",Atlético Madrid,10,17,13,7,5,5,3,8,37.5,5,9,0,9,4,21,3,0
94,Daniel Carriço,pt POR,DF,Sevilla,5.1,7,7,6,1,0,4,7,57.1,3,6,3,3,10,17,22,0
95,Federico Cartabia,ar ARG,"FW,MF",La Coruña,14.7,37,23,15,15,7,11,30,36.7,19,15,0,15,18,55,10,0
96,Dani Carvajal,es ESP,DF,Real Madrid,24.7,59,40,27,22,10,22,38,57.9,16,33,15,18,38,97,42,2
97,Casemiro,br BRA,MF,Real Madrid,28.8,109,78,64,39,6,42,84,50,42,56,11,45,63,172,49,3
98,Kiko Casilla,es ESP,GK,Real Madrid,10,1,0,1,0,0,1,1,100,0,0,0,0,2,3,6,2
99,Dani Castellano,es ESP,DF,Las Palmas,22.5,46,29,29,16,1,25,48,52.1,23,28,7,21,42,88,64,1
100,Javi Castellano,es ESP,MF,Las Palmas,17.4,47,27,20,25,2,20,37,54.1,17,23,6,17,38,85,16,1
101,Samu Castillejo,es ESP,"MF,FW",Villarreal,23,41,28,22,10,9,13,62,21,49,39,5,34,22,63,37,0
102,Chory Castro,uy URU,"MF,FW",Málaga,22.9,37,24,15,14,8,11,32,34.4,21,21,2,19,23,60,13,0
103,Jonny Castro,es ESP,DF,Celta Vigo,35.6,102,78,60,31,11,43,91,47.3,48,48,8,40,93,195,92,1
104,Rubén Castro,es ESP,FW,Betis,4,1,1,0,0,1,0,0,,0,0,0,0,0,1,2,0
105,Dani Ceballos,es ESP,MF,Real Madrid,4.5,8,7,3,2,3,4,16,25,12,6,0,6,5,13,1,0
106,Emanuel Cecchini,ar ARG,"MF,DF",Málaga,0.3,3,1,2,1,0,2,3,66.7,1,0,0,0,2,5,2,0
107,Nereo Champagne,ar ARG,GK,Leganés,2,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,0
108,Charles,br BRA,FW,Eibar,17.6,11,8,2,5,4,1,8,12.5,7,7,0,7,7,18,10,0
109,Chema,es ESP,DF,Levante,22.4,20,13,14,6,0,9,18,50,9,43,27,16,30,50,110,1
110,Denis Cheryshev,ru RUS,"MF,FW",Villarreal,10.3,27,16,12,10,5,6,23,26.1,17,18,1,17,13,40,10,0
111,Leandro Chichizola,ar ARG,GK,Las Palmas,27,2,0,2,0,0,2,6,33.3,4,0,0,0,4,6,29,3
112,Chuca,es ESP,MF,Villarreal,1,1,0,1,0,0,1,3,33.3,2,1,1,0,1,2,1,1
113,Cifu,es ESP,DF,Málaga,1.2,2,1,0,1,1,1,5,20,4,1,1,0,2,4,2,0
114,Jasper Cillessen,nl NED,GK,Barcelona,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
115,Coke,es ESP,DF,Levante,15.4,35,23,26,7,2,18,39,46.2,21,17,5,12,34,69,46,0
116,Emre Çolak,tr TUR,MF,La Coruña,16.1,24,19,4,14,6,7,28,25,21,7,1,6,7,31,5,1
117,Francis Coquelin,fr FRA,"MF,DF",Valencia,7.3,18,14,11,6,1,9,16,56.3,7,9,2,7,20,38,23,0
118,Sébastien Corchia,fr FRA,DF,Sevilla,9.1,18,13,7,8,3,9,16,56.3,7,18,4,14,16,34,20,0
119,Iñigo Córdoba,es ESP,FW,Athletic Club,16.2,44,30,18,21,5,16,58,27.6,42,31,0,31,21,65,9,0
120,Ángel Correa,ar ARG,"MF,FW",Atlético Madrid,25,41,29,12,16,13,8,57,14,49,30,1,29,25,66,17,0
121,Joaquín Correa,ar ARG,FW,Sevilla,13.3,15,10,7,6,2,8,29,27.6,21,15,1,14,2,17,12,0
122,Diego Costa,es ESP,FW,Atlético Madrid,11.6,17,11,2,10,5,4,15,26.7,11,14,4,10,5,22,3,0
123,Jaume Costa,es ESP,DF,Villarreal,28.2,67,43,39,22,6,33,51,64.7,18,30,8,22,46,113,97,0
124,Philippe Coutinho,br BRA,"MF,FW",Barcelona,14.4,27,14,8,14,5,9,32,28.1,23,14,0,14,6,33,4,0
125,Juan Cruz,es ESP,FW,Málaga,0.1,2,2,0,2,0,0,0,,0,0,0,0,0,2,0,0
126,Iván Cuéllar,es ESP,GK,Leganés,35,4,3,4,0,0,3,4,75,1,0,0,0,3,7,22,6
